"","2017-12-12_to_2019-12-13_VGPortfolio_20QRank","2018-01-12_to_2020-01-13_VGPortfolio_20QRank","2018-02-12_to_2020-02-13_VGPortfolio_20QRank","2018-03-12_to_2020-03-13_VGPortfolio_20QRank","2018-04-12_to_2020-04-13_VGPortfolio_20QRank","2018-05-14_to_2020-05-13_VGPortfolio_20QRank","2018-06-12_to_2020-06-13_VGPortfolio_20QRank","2018-07-12_to_2020-07-13_VGPortfolio_20QRank","2018-08-13_to_2020-08-13_VGPortfolio_20QRank","2018-09-12_to_2020-09-13_VGPortfolio_20QRank","2018-10-12_to_2020-10-13_VGPortfolio_20QRank","2018-11-12_to_2020-11-13_VGPortfolio_20QRank","2018-12-12_to_2020-12-13_VGPortfolio_20QRank","2019-01-14_to_2021-01-13_VGPortfolio_20QRank","2019-02-12_to_2021-02-13_VGPortfolio_20QRank","2019-03-12_to_2021-03-13_VGPortfolio_20QRank","2019-04-12_to_2021-04-13_VGPortfolio_20QRank","2019-05-13_to_2021-05-13_VGPortfolio_20QRank","2019-06-12_to_2021-06-13_VGPortfolio_20QRank","2019-07-12_to_2021-07-13_VGPortfolio_20QRank","2019-08-12_to_2021-08-13_VGPortfolio_20QRank","2019-09-12_to_2021-09-13_VGPortfolio_20QRank"
"P Information Ratio","0.27","0.23","0.16","1.27","0.03","0.01","0.13","0.51","0.3","-0.17","-0.24","0.9","0.8","0.85","-0.31","-0.31","-0.23","-0.26","-0.14","-0.18","0.85","0.97"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.16","0.14","0.09","0.17","-0.15","-0.22","-0.07","0.23","0.18","-0.16","-0.07","0.24","0.26","0.11","-0.37","-0.28","-0.19","-0.26","-0.25","-0.03","0.18","0.27"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.94","0.9","0.91","0.86","1.03","1.05","1.06","1.11","1.15","1.13","1.1","1.22","1.27","1.28","1.12","1.12","1.11","1.06","1.07","1.06","1.34","1.32"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","87.93","87.07","86.82","89.53","88.35","91.97","90.24","91.18","91.77","92.58","92.32","92.08","88.35","88.01","88.31","87.7","87.45","84.04","83.36","83.74","83.83","84.84"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-19.4694","-18.761","-19.2233","-26.1822","-32.149","-31.6004","-31.8405","-32.9173","-33.1896","-32.2467","-31.5384","-32.8467","-32.989","-33.7633","-31.9516","-32.161","-31.7072","-31.4905","-31.5627","-31.2727","-33.9407","-34.0995"
"B Max Drawdown","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.489899999999999","1.1983","0.736000000000001","-0.143600000000003","-0.617800000000003","-0.0692000000000021","-0.3093","-1.3861","-1.6584","-0.715499999999999","-0.00720000000000098","-1.3155","-1.4578","-2.2321","-0.420400000000001","-0.629800000000003","-0.176000000000002","0.0406999999999975","-0.0315000000000012","0.258499999999998","-2.4095","-2.5683"
