"","2014-12-11_to_2016-12-12_VGPortfolio_8QRank","2015-01-12_to_2017-01-12_VGPortfolio_8QRank","2015-02-11_to_2017-02-12_VGPortfolio_8QRank","2015-03-11_to_2017-03-12_VGPortfolio_8QRank","2015-04-13_to_2017-04-12_VGPortfolio_8QRank","2015-05-11_to_2017-05-12_VGPortfolio_8QRank","2015-06-11_to_2017-06-12_VGPortfolio_8QRank","2015-07-13_to_2017-07-12_VGPortfolio_8QRank","2015-08-11_to_2017-08-12_VGPortfolio_8QRank","2015-09-11_to_2017-09-12_VGPortfolio_8QRank","2015-10-12_to_2017-10-12_VGPortfolio_8QRank","2015-11-11_to_2017-11-12_VGPortfolio_8QRank","2015-12-11_to_2017-12-12_VGPortfolio_8QRank","2016-01-11_to_2018-01-12_VGPortfolio_8QRank","2016-02-11_to_2018-02-12_VGPortfolio_8QRank","2016-03-11_to_2018-03-12_VGPortfolio_8QRank","2016-04-11_to_2018-04-12_VGPortfolio_8QRank","2016-05-11_to_2018-05-12_VGPortfolio_8QRank","2016-06-13_to_2018-06-12_VGPortfolio_8QRank","2016-07-11_to_2018-07-12_VGPortfolio_8QRank","2016-08-11_to_2018-08-12_VGPortfolio_8QRank","2016-09-12_to_2018-09-12_VGPortfolio_8QRank","2016-10-11_to_2018-10-12_VGPortfolio_8QRank","2016-11-11_to_2018-11-12_VGPortfolio_8QRank","2016-12-12_to_2018-12-12_VGPortfolio_8QRank","2017-01-11_to_2019-01-12_VGPortfolio_8QRank","2017-02-13_to_2019-02-12_VGPortfolio_8QRank","2017-03-13_to_2019-03-12_VGPortfolio_8QRank","2017-04-11_to_2019-04-12_VGPortfolio_8QRank","2017-05-11_to_2019-05-12_VGPortfolio_8QRank","2017-06-12_to_2019-06-12_VGPortfolio_8QRank","2017-07-11_to_2019-07-12_VGPortfolio_8QRank","2017-08-11_to_2019-08-12_VGPortfolio_8QRank","2017-09-11_to_2019-09-12_VGPortfolio_8QRank","2017-10-11_to_2019-10-12_VGPortfolio_8QRank","2017-11-13_to_2019-11-12_VGPortfolio_8QRank","2017-12-11_to_2019-12-12_VGPortfolio_8QRank","2018-01-11_to_2020-01-12_VGPortfolio_8QRank","2018-02-12_to_2020-02-12_VGPortfolio_8QRank","2018-03-12_to_2020-03-12_VGPortfolio_8QRank","2018-04-11_to_2020-04-12_VGPortfolio_8QRank","2018-05-11_to_2020-05-12_VGPortfolio_8QRank","2018-06-11_to_2020-06-12_VGPortfolio_8QRank","2018-07-11_to_2020-07-12_VGPortfolio_8QRank","2018-08-13_to_2020-08-12_VGPortfolio_8QRank","2018-09-11_to_2020-09-12_VGPortfolio_8QRank","2018-10-11_to_2020-10-12_VGPortfolio_8QRank","2018-11-12_to_2020-11-12_VGPortfolio_8QRank","2018-12-11_to_2020-12-12_VGPortfolio_8QRank","2019-01-11_to_2021-01-12_VGPortfolio_8QRank","2019-02-11_to_2021-02-12_VGPortfolio_8QRank","2019-03-11_to_2021-03-12_VGPortfolio_8QRank","2019-04-11_to_2021-04-12_VGPortfolio_8QRank","2019-05-13_to_2021-05-12_VGPortfolio_8QRank","2019-06-11_to_2021-06-12_VGPortfolio_8QRank","2019-07-11_to_2021-07-12_VGPortfolio_8QRank","2019-08-12_to_2021-08-12_VGPortfolio_8QRank","2019-09-11_to_2021-09-12_VGPortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.21","0.34","0.25","0.52","0.51","0.37","0.2","0.17","1.08","0.38","0.69","0.67","0.67","0.69","0.65","0.29","0.69","0.58","0.7","0.5","0.58","0.38","0.57","0.55","0.49","0.19","0.17","0.21","0.12","-0.03","-0.07","0.04","-0.11","0.22","-0.08","0.24","0.04","0","-0.16","-0.03","-0.56","-0.45","-0.26","-0.29","-0.07","-0.39","-0.28","0.27","0.15","-0.06","-0.59","-0.3","0.49","0.2","0.25","0.27","0.3","0.37"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.82","0.91","0.83","0.79","0.78","0.76","0.73","0.75","0.67","0.7","0.85","0.91","0.9","0.96","1.14","1.29","1.15","1.19","1.16","1.2","1.01","1.06","0.96","0.93","0.96","1.01","1.08","1.1","1.07","1.07","1.01","1.06","1.01","1.01","1.04","0.91","0.93","0.98","0.91","0.89","1.06","1.03","1.04","1.09","1.14","1.06","1.12","1.15","1.3","1.23","1.14","1.1","1.29","1.27","1.3","1.26","1.26","1.22"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","77.35","80.96","78.06","74.23","73.73","75.4","71.64","72.08","61.72","77.41","67.28","71.18","74.52","54.47","61.35","74.14","67.37","69.26","71.31","69.48","60.99","63.68","60.82","72.24","81.96","89.83","89.2","90.35","89.75","91.17","92.4","93.85","90.72","91.25","91.38","86.97","90.13","90.3","85","89.09","88.74","93.95","92.68","92.73","91.52","92.05","91.89","91.01","89","88.3","88.31","84.98","88.75","84.93","84.33","85.13","83.96","82.53"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.6308","-14.7562","-13.9307","-12.7574","-12.6407","-12.5484","-13.7748","-14.1235","-11.5429","-11.7896","-12.8891","-12.3983","-12.7222","-7.9324","-9.6332","-9.6723","-9.6721","-9.7386","-9.6278","-9.7022","-9.9161","-9.7102","-9.8395","-11.2717","-11.3392","-20.6071","-21.4573","-22.0846","-21.6064","-21.1472","-20.1374","-20.954","-19.482","-19.1782","-20.3039","-18.3288","-18.085","-19.3871","-18.4401","-24.6469","-31.6929","-30.5726","-30.0029","-31.1798","-32.8223","-31.3613","-32.1809","-30.9894","-33.6778","-33.083","-32.8782","-32.8886","-32.5472","-32.6629","-32.6615","-31.0787","-30.7133","-30.8111"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-9.7412","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-1.3029","-1.4283","-0.6028","0.570499999999999","0.687199999999999","0.779499999999999","-0.446900000000001","-0.7956","0.2933","0.0465999999999998","-1.0529","-0.9847","-2.196","-2.812","0.107999999999999","0.0687999999999995","0.908999999999999","0.842499999999999","0.953299999999999","0.8789","0.664999999999999","0.870899999999999","0.7416","-0.6906","-0.758100000000001","-0.6478","-1.498","-2.1253","-1.6471","-1.1879","-0.178100000000001","-0.994700000000002","0.4773","0.781099999999999","-0.3446","1.6305","1.8743","0.572199999999999","1.5192","-4.6876","-0.161700000000003","0.958599999999997","1.5283","0.351399999999998","-1.2911","0.169899999999998","-0.649700000000003","0.541799999999999","-2.1466","-1.5518","-1.347","-1.3574","-1.016","-1.1317","-1.1303","0.452499999999997","0.817899999999998","0.720099999999999"
