"","2014-12-11_to_2017-12-12_VGPortfolio_8QRank","2015-01-12_to_2018-01-12_VGPortfolio_8QRank","2015-02-11_to_2018-02-12_VGPortfolio_8QRank","2015-03-11_to_2018-03-12_VGPortfolio_8QRank","2015-04-13_to_2018-04-12_VGPortfolio_8QRank","2015-05-11_to_2018-05-12_VGPortfolio_8QRank","2015-06-11_to_2018-06-12_VGPortfolio_8QRank","2015-07-13_to_2018-07-12_VGPortfolio_8QRank","2015-08-11_to_2018-08-12_VGPortfolio_8QRank","2015-09-11_to_2018-09-12_VGPortfolio_8QRank","2015-10-12_to_2018-10-12_VGPortfolio_8QRank","2015-11-11_to_2018-11-12_VGPortfolio_8QRank","2015-12-11_to_2018-12-12_VGPortfolio_8QRank","2016-01-11_to_2019-01-12_VGPortfolio_8QRank","2016-02-11_to_2019-02-12_VGPortfolio_8QRank","2016-03-11_to_2019-03-12_VGPortfolio_8QRank","2016-04-11_to_2019-04-12_VGPortfolio_8QRank","2016-05-11_to_2019-05-12_VGPortfolio_8QRank","2016-06-13_to_2019-06-12_VGPortfolio_8QRank","2016-07-11_to_2019-07-12_VGPortfolio_8QRank","2016-08-11_to_2019-08-12_VGPortfolio_8QRank","2016-09-12_to_2019-09-12_VGPortfolio_8QRank","2016-10-11_to_2019-10-12_VGPortfolio_8QRank","2016-11-11_to_2019-11-12_VGPortfolio_8QRank","2016-12-12_to_2019-12-12_VGPortfolio_8QRank","2017-01-11_to_2020-01-12_VGPortfolio_8QRank","2017-02-13_to_2020-02-12_VGPortfolio_8QRank","2017-03-13_to_2020-03-12_VGPortfolio_8QRank","2017-04-11_to_2020-04-12_VGPortfolio_8QRank","2017-05-11_to_2020-05-12_VGPortfolio_8QRank","2017-06-12_to_2020-06-12_VGPortfolio_8QRank","2017-07-11_to_2020-07-12_VGPortfolio_8QRank","2017-08-11_to_2020-08-12_VGPortfolio_8QRank","2017-09-11_to_2020-09-12_VGPortfolio_8QRank","2017-10-11_to_2020-10-12_VGPortfolio_8QRank","2017-11-13_to_2020-11-12_VGPortfolio_8QRank","2017-12-11_to_2020-12-12_VGPortfolio_8QRank","2018-01-11_to_2021-01-12_VGPortfolio_8QRank","2018-02-12_to_2021-02-12_VGPortfolio_8QRank","2018-03-12_to_2021-03-12_VGPortfolio_8QRank","2018-04-11_to_2021-04-12_VGPortfolio_8QRank","2018-05-11_to_2021-05-12_VGPortfolio_8QRank","2018-06-11_to_2021-06-12_VGPortfolio_8QRank","2018-07-11_to_2021-07-12_VGPortfolio_8QRank","2018-08-13_to_2021-08-12_VGPortfolio_8QRank","2018-09-11_to_2021-09-12_VGPortfolio_8QRank","2018-10-11_to_2021-10-12_VGPortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.29","0.38","0.33","0.62","0.69","0.37","0.27","0.3","0.89","0.34","0.66","0.44","0.42","0.23","0.33","0.19","0.25","0.2","0.14","0.14","0.13","0.02","0.12","0.34","0.21","0.02","-0.04","0.12","0.05","-0.1","0.07","-0.06","0.1","0.12","0.31","0.32","0.01","0.05","0.2","0.02","-0.2","-0.26","-0.2","-0.17","-0.05","-0.3","-0.34"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.82","0.9","0.86","0.87","0.86","0.8","0.78","0.78","0.75","0.74","0.91","0.98","1.02","1.17","1.21","1.22","1.25","1.24","1.24","1.27","1.2","1.22","1.11","0.99","0.96","1.05","1.07","1.01","1.04","1.08","1.06","1.07","1.07","1.04","1.1","1.05","1.03","1.07","1.14","1.01","1.05","1.04","1","1.07","1.18","1.04","1.11"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","75.01","77.68","75.27","67.67","65.9","74.36","72.71","74.27","61.5","77.25","68.09","77.63","78.05","81.69","82.51","84.14","82.15","82.42","85.61","86.18","83.82","84.74","83.13","79.59","83.72","87.29","84.43","84.29","87.2","90.81","90.28","91.35","89.43","89.59","91.04","89.1","87.15","90.16","86.76","89.08","83.97","87.64","88.1","88.43","88.25","87.89","87.61"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.6308","-14.7562","-13.9307","-12.7574","-12.6407","-12.5484","-13.7748","-14.1235","-11.5429","-11.7896","-12.8891","-12.3983","-15.7697","-25.6372","-26.4105","-25.9618","-26.2787","-25.8412","-25.2096","-25.1458","-24.1548","-23.9939","-22.3318","-19.9871","-19.0833","-20.6071","-21.4573","-26.1303","-30.1033","-29.9725","-30.6386","-30.5216","-31.1822","-30.6807","-31.1051","-30.0831","-31.1946","-30.8894","-31.1712","-29.0995","-31.6929","-30.5726","-30.0029","-31.1798","-32.8223","-31.3613","-32.1809"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-1.3029","-1.4283","-0.6028","0.570499999999999","0.687199999999999","0.779499999999999","-0.446900000000001","-0.7956","0.2933","0.0465999999999998","-1.0529","-0.9847","-5.1886","-5.6779","-6.4512","-6.0025","-6.3194","-5.8819","-5.2503","-5.1865","-4.1955","-4.0346","-2.3725","-0.0278000000000027","0.875999999999998","-0.6478","-1.498","-6.171","1.4279","1.5587","0.892599999999998","1.0096","0.348999999999997","0.850499999999997","0.426099999999998","1.4481","0.336599999999997","0.6418","0.359999999999999","2.4317","-0.161700000000003","0.958599999999997","1.5283","0.351399999999998","-1.2911","0.169899999999998","-0.649700000000003"
