"","2014-06-11_to_2015-06-12_ValuePortfolio_6QRank","2014-07-11_to_2015-07-12_ValuePortfolio_6QRank","2014-08-11_to_2015-08-12_ValuePortfolio_6QRank","2014-09-11_to_2015-09-12_ValuePortfolio_6QRank","2014-10-13_to_2015-10-12_ValuePortfolio_6QRank","2014-11-11_to_2015-11-12_ValuePortfolio_6QRank","2014-12-11_to_2015-12-12_ValuePortfolio_6QRank","2015-01-12_to_2016-01-12_ValuePortfolio_6QRank","2015-02-11_to_2016-02-12_ValuePortfolio_6QRank","2015-03-11_to_2016-03-12_ValuePortfolio_6QRank","2015-04-13_to_2016-04-12_ValuePortfolio_6QRank","2015-05-11_to_2016-05-12_ValuePortfolio_6QRank","2015-06-11_to_2016-06-12_ValuePortfolio_6QRank","2015-07-13_to_2016-07-12_ValuePortfolio_6QRank","2015-08-11_to_2016-08-12_ValuePortfolio_6QRank","2015-09-11_to_2016-09-12_ValuePortfolio_6QRank","2015-10-12_to_2016-10-12_ValuePortfolio_6QRank","2015-11-11_to_2016-11-12_ValuePortfolio_6QRank","2015-12-11_to_2016-12-12_ValuePortfolio_6QRank","2016-01-11_to_2017-01-12_ValuePortfolio_6QRank","2016-02-11_to_2017-02-12_ValuePortfolio_6QRank","2016-03-11_to_2017-03-12_ValuePortfolio_6QRank","2016-04-11_to_2017-04-12_ValuePortfolio_6QRank","2016-05-11_to_2017-05-12_ValuePortfolio_6QRank","2016-06-13_to_2017-06-12_ValuePortfolio_6QRank","2016-07-11_to_2017-07-12_ValuePortfolio_6QRank","2016-08-11_to_2017-08-12_ValuePortfolio_6QRank","2016-09-12_to_2017-09-12_ValuePortfolio_6QRank","2016-10-11_to_2017-10-12_ValuePortfolio_6QRank","2016-11-11_to_2017-11-12_ValuePortfolio_6QRank","2016-12-12_to_2017-12-12_ValuePortfolio_6QRank","2017-01-11_to_2018-01-12_ValuePortfolio_6QRank","2017-02-13_to_2018-02-12_ValuePortfolio_6QRank","2017-03-13_to_2018-03-12_ValuePortfolio_6QRank","2017-04-11_to_2018-04-12_ValuePortfolio_6QRank","2017-05-11_to_2018-05-12_ValuePortfolio_6QRank","2017-06-12_to_2018-06-12_ValuePortfolio_6QRank","2017-07-11_to_2018-07-12_ValuePortfolio_6QRank","2017-08-11_to_2018-08-12_ValuePortfolio_6QRank","2017-09-11_to_2018-09-12_ValuePortfolio_6QRank","2017-10-11_to_2018-10-12_ValuePortfolio_6QRank","2017-11-13_to_2018-11-12_ValuePortfolio_6QRank","2017-12-11_to_2018-12-12_ValuePortfolio_6QRank","2018-01-11_to_2019-01-12_ValuePortfolio_6QRank","2018-02-12_to_2019-02-12_ValuePortfolio_6QRank","2018-03-12_to_2019-03-12_ValuePortfolio_6QRank","2018-04-11_to_2019-04-12_ValuePortfolio_6QRank","2018-05-11_to_2019-05-12_ValuePortfolio_6QRank","2018-06-11_to_2019-06-12_ValuePortfolio_6QRank","2018-07-11_to_2019-07-12_ValuePortfolio_6QRank","2018-08-13_to_2019-08-12_ValuePortfolio_6QRank","2018-09-11_to_2019-09-12_ValuePortfolio_6QRank","2018-10-11_to_2019-10-12_ValuePortfolio_6QRank","2018-11-12_to_2019-11-12_ValuePortfolio_6QRank","2018-12-11_to_2019-12-12_ValuePortfolio_6QRank","2019-01-11_to_2020-01-12_ValuePortfolio_6QRank","2019-02-11_to_2020-02-12_ValuePortfolio_6QRank","2019-03-11_to_2020-03-12_ValuePortfolio_6QRank","2019-04-11_to_2020-04-12_ValuePortfolio_6QRank","2019-05-13_to_2020-05-12_ValuePortfolio_6QRank","2019-06-11_to_2020-06-12_ValuePortfolio_6QRank","2019-07-11_to_2020-07-12_ValuePortfolio_6QRank","2019-08-12_to_2020-08-12_ValuePortfolio_6QRank","2019-09-11_to_2020-09-12_ValuePortfolio_6QRank","2019-10-11_to_2020-10-12_ValuePortfolio_6QRank","2019-11-11_to_2020-11-12_ValuePortfolio_6QRank","2019-12-11_to_2020-12-12_ValuePortfolio_6QRank","2020-01-13_to_2021-01-12_ValuePortfolio_6QRank","2020-02-11_to_2021-02-12_ValuePortfolio_6QRank","2020-03-11_to_2021-03-12_ValuePortfolio_6QRank","2020-04-13_to_2021-04-12_ValuePortfolio_6QRank","2020-05-11_to_2021-05-12_ValuePortfolio_6QRank","2020-06-11_to_2021-06-12_ValuePortfolio_6QRank","2020-07-13_to_2021-07-12_ValuePortfolio_6QRank","2020-08-11_to_2021-08-12_ValuePortfolio_6QRank","2020-09-11_to_2021-09-12_ValuePortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","5.155","0.395","1.86","-5.394","3.643","-1.834","-1.603","-1.55","-12.617","-3.509","-3.186","-1.49","0.536","3.336","5.074","10.023","6.249","11.106","20.311","26.358","48.647","25.198","18.651","25.531","23.876","24.795","20.9","19.283","23.507","17.498","19.528","20.541","11.435","7.543","4.88","3.791","9.571","12.756","1.732","4.817","-1.938","2.381","-4.843","-9.592","2.185","0.995","3.663","2.252","-0.831","4.287","2.945","2.638","5.64","8.53","13.155","16.48","16.751","-14.644","-8.92","3.507","14.868","27.937","44.921","39.049","57.135","9.864","10.467","5.941","7.144","90.324","73.795","84.822","62.982","61.581","49.957","55.473"
"B Annualized Returns","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","-2.687","-4.482","-5.084","-2.223","-2.487","-2.89","-3.34","1.804","-3.505","-2.357","-3.271","-0.791","0.721","0.555","-0.283","-1.228","-0.825","6.252","10.094","7.296","25.818","7.47","5.289","10.154","7.376","11.653","9.105","3.927","5.034","-1.513","1.075","-2.302","-3.123","-8.953","-7.931","-9.724","-4.715","-1.996","-14.369","-11.175","-11.593","-3.84","-4.466","-3.354","-0.363","0.561","-5.758","-4.013","-4.649","-3.619","1.195","-1.469","-2.717","-5.255","-6.959","-10.813","-9.131","-5.099","-8.764","-2.878","5.631","16.235","24.189","22.687","32.49","-8.105","-8.407","-11.511","-12.013","31.273","25.045","45.623","22.831","24.189","18.891","20.54"
"P Volatility","5.3","7.17","7.18","9.95","9.9","12.26","14.12","15.66","14.84","13.23","15.86","14.45","14.65","16.42","16.47","17.05","11.26","11.72","13.76","11.73","15.14","13.57","14.72","13.1","12.51","12.45","12.56","10.73","10.45","4.47","6.03","5.99","8.28","9.19","11.41","10.71","10.58","9.45","9.69","11.07","9.73","10.3","10.94","14.05","13.46","13.76","14.72","15.88","17.67","20.55","20.27","21.65","20.6","22.21","20.13","14.29","16.15","16.8","24.75","25.74","25.79","24.05","23.27","32.49","32.65","28.18","31.31","27.25","26.81","19.57","23.27","23.53","18.84","21.86","25.97","23.5"
"B Volatility","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-4.65","-3.05","-2.74","-2","-2.3","-3.99","-2.16","0.220000000000001","-0.19","-1.64","-0.449999999999999","-1.82","-1.52","0.450000000000001","1.75","3","1.49","1.81","3.79","3.76","7.6","7.4","8.49","6.86","6.38","6.93","7.11","5.42","6.19","0.319999999999999","1.77","1.73","2.71","1.21","1.86","1.14","0.890000000000001","-0.190000000000001","-0.450000000000001","0.620000000000001","-0.699999999999999","-2.74","-2.11","-0.75","-3","-2.31","-1.44","-0.619999999999999","-0.779999999999998","1.21","1.22","2.46","3.01","4.53","6.67","1.94","3.75","0.620000000000001","5.61","3.52","4.28","2.46","1.46","9.37","8.41","3.56","4.95","0.84","2.92","0.640000000000001","7.4","7.44","2.49","5.79","11.64","11.42"
"P Tracking Error","6.6","4.44","4.72","3.85","5.1","6.79","5.32","4.14","4.76","5.82","5.69","6.99","5.13","5.25","6.65","7.63","4.27","6.51","6.36","7.27","11.28","11.55","12.09","9.7","9.31","10.78","10.51","8.4","8.46","4.24","6.23","5.62","6.1","5.01","6.3","6.22","5.72","6.28","8.42","6.85","6.78","6.82","7.63","8.94","6.9","5.92","6.07","6.17","6.2","6.55","8.39","9.15","6.83","6.99","9","4.19","6.18","4.33","8.13","8.47","9.55","10.36","7.48","15.39","14.19","8.9","11.69","9.2","10.8","14.38","18.08","19.2","15.51","18.36","19.82","19.51"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.41","-1.01","-1.08","-0.58","-0.49","-0.43","-0.63","0.44","-0.74","-0.4","-0.57","-0.11","0.14","0.11","-0.04","-0.16","-0.19","0.96","1.59","1","2.29","0.65","0.44","1.05","0.79","1.08","0.87","0.47","0.6","-0.36","0.17","-0.41","-0.51","-1.79","-1.26","-1.56","-0.82","-0.32","-1.71","-1.63","-1.71","-0.56","-0.59","-0.38","-0.05","0.09","-0.95","-0.65","-0.75","-0.55","0.14","-0.16","-0.4","-0.75","-0.77","-2.58","-1.48","-1.18","-1.08","-0.34","0.59","1.57","3.23","1.47","2.29","-0.91","-0.72","-1.25","-1.11","2.17","1.39","2.38","1.47","1.32","0.95","1.05"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.19","-0.25","-0.32","-0.35","-0.16","-0.23","-0.09","0.34","-0.48","-0.49","-0.38","0.01","0.12","0.23","0.08","-0.16","0.42","0.52","0.58","0.55","0.59","0.52","-0.28","0.01","0.15","0.73","0.28","0","-0.57","0.59","0.89","0.41","-0.36","-0.62","-0.63","-0.3","-0.3","-0.14","-0.55","-0.9","-0.52","-0.47","-0.34","-0.29","0.3","0.1","-0.19","-0.55","-0.5","-0.41","0.21","-0.07","-0.4","-0.59","-1.2","-1.12","-0.92","-0.28","-0.37","0","0.36","0.59","1.67","1.83","1.5","-0.67","-0.66","-0.93","-0.96","2.03","2.22","2.27","2.58","2.7","1.68","1.59"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.42","0.65","0.65","0.79","0.74","0.7","0.82","0.98","0.94","0.82","0.91","0.8","0.86","0.97","1.02","1.09","1.07","0.98","1.25","1.17","1.4","1.17","1.41","1.5","1.43","1.13","1.3","1.29","1.54","0.56","0.43","0.62","1","0.97","1","0.92","0.92","0.77","0.61","0.85","0.72","0.68","0.68","0.77","0.75","0.8","0.84","0.89","0.9","1.01","0.97","1.02","1.11","1.21","1.39","1.11","1.22","1","1.25","1.1","1.12","1","1.01","1.27","1.24","1.09","1.11","0.97","1.03","0.75","0.93","0.86","0.71","0.77","1.19","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
