"","2013-09-11_to_2016-09-12_GrowthPortfolio_3QRank","2013-10-11_to_2016-10-12_GrowthPortfolio_3QRank","2013-11-11_to_2016-11-12_GrowthPortfolio_3QRank","2013-12-11_to_2016-12-12_GrowthPortfolio_3QRank","2014-01-13_to_2017-01-12_GrowthPortfolio_3QRank","2014-02-11_to_2017-02-12_GrowthPortfolio_3QRank","2014-03-11_to_2017-03-12_GrowthPortfolio_3QRank","2014-04-11_to_2017-04-12_GrowthPortfolio_3QRank","2014-05-12_to_2017-05-12_GrowthPortfolio_3QRank","2014-06-11_to_2017-06-12_GrowthPortfolio_3QRank","2014-07-11_to_2017-07-12_GrowthPortfolio_3QRank","2014-08-11_to_2017-08-12_GrowthPortfolio_3QRank","2014-09-11_to_2017-09-12_GrowthPortfolio_3QRank","2014-10-13_to_2017-10-12_GrowthPortfolio_3QRank","2014-11-11_to_2017-11-12_GrowthPortfolio_3QRank","2014-12-11_to_2017-12-12_GrowthPortfolio_3QRank","2015-01-12_to_2018-01-12_GrowthPortfolio_3QRank","2015-02-11_to_2018-02-12_GrowthPortfolio_3QRank","2015-03-11_to_2018-03-12_GrowthPortfolio_3QRank","2015-04-13_to_2018-04-12_GrowthPortfolio_3QRank","2015-05-11_to_2018-05-12_GrowthPortfolio_3QRank","2015-06-11_to_2018-06-12_GrowthPortfolio_3QRank","2015-07-13_to_2018-07-12_GrowthPortfolio_3QRank","2015-08-11_to_2018-08-12_GrowthPortfolio_3QRank","2015-09-11_to_2018-09-12_GrowthPortfolio_3QRank","2015-10-12_to_2018-10-12_GrowthPortfolio_3QRank","2015-11-11_to_2018-11-12_GrowthPortfolio_3QRank","2015-12-11_to_2018-12-12_GrowthPortfolio_3QRank","2016-01-11_to_2019-01-12_GrowthPortfolio_3QRank","2016-02-11_to_2019-02-12_GrowthPortfolio_3QRank","2016-03-11_to_2019-03-12_GrowthPortfolio_3QRank","2016-04-11_to_2019-04-12_GrowthPortfolio_3QRank","2016-05-11_to_2019-05-12_GrowthPortfolio_3QRank","2016-06-13_to_2019-06-12_GrowthPortfolio_3QRank","2016-07-11_to_2019-07-12_GrowthPortfolio_3QRank","2016-08-11_to_2019-08-12_GrowthPortfolio_3QRank","2016-09-12_to_2019-09-12_GrowthPortfolio_3QRank","2016-10-11_to_2019-10-12_GrowthPortfolio_3QRank","2016-11-11_to_2019-11-12_GrowthPortfolio_3QRank","2016-12-12_to_2019-12-12_GrowthPortfolio_3QRank","2017-01-11_to_2020-01-12_GrowthPortfolio_3QRank","2017-02-13_to_2020-02-12_GrowthPortfolio_3QRank","2017-03-13_to_2020-03-12_GrowthPortfolio_3QRank","2017-04-11_to_2020-04-12_GrowthPortfolio_3QRank","2017-05-11_to_2020-05-12_GrowthPortfolio_3QRank","2017-06-12_to_2020-06-12_GrowthPortfolio_3QRank","2017-07-11_to_2020-07-12_GrowthPortfolio_3QRank","2017-08-11_to_2020-08-12_GrowthPortfolio_3QRank","2017-09-11_to_2020-09-12_GrowthPortfolio_3QRank","2017-10-11_to_2020-10-12_GrowthPortfolio_3QRank","2017-11-13_to_2020-11-12_GrowthPortfolio_3QRank","2017-12-11_to_2020-12-12_GrowthPortfolio_3QRank","2018-01-11_to_2021-01-12_GrowthPortfolio_3QRank","2018-02-12_to_2021-02-12_GrowthPortfolio_3QRank","2018-03-12_to_2021-03-12_GrowthPortfolio_3QRank","2018-04-11_to_2021-04-12_GrowthPortfolio_3QRank","2018-05-11_to_2021-05-12_GrowthPortfolio_3QRank","2018-06-11_to_2021-06-12_GrowthPortfolio_3QRank","2018-07-11_to_2021-07-12_GrowthPortfolio_3QRank","2018-08-13_to_2021-08-12_GrowthPortfolio_3QRank","2018-09-11_to_2021-09-12_GrowthPortfolio_3QRank","2018-10-11_to_2021-10-12_GrowthPortfolio_3QRank"
"P Information Ratio","0.52","0.96","1.19","1.26","1","0.95","0.98","1.84","2.23","1.08","1.23","0.96","1.99","0.91","0.69","0.69","0.96","1.52","-0.18","-0.1","1.08","1.26","1.47","0.64","1.97","1.86","1.16","1.01","1.08","0.81","0.56","1.15","0.43","0.45","0.1","0.2","0.67","0.3","0.75","0.04","0.17","0.51","0.03","0.41","0.93","0.87","0.96","1.67","1.76","1.93","1.68","1.81","1.86","1.51","0.64","1.05","0.65","0.75","0.97","1.09","1.25","0.63"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.34","0.75","0.78","0.91","0.6","0.69","0.86","1.25","1.1","0.71","0.7","0.59","1.25","0.54","0.38","0.44","0.37","0.62","-0.02","0.16","0.46","0.47","0.7","0.42","1.34","1.3","0.77","0.47","0.59","0.33","0.11","0.56","0.12","0.18","0.06","0.14","0.1","-0.06","-0.01","-0.3","-0.18","-0.01","0.11","0.23","0.36","0.32","0.28","0.85","1.26","1.13","0.92","1.17","0.73","0.41","0.32","0.35","0.25","0.3","0.48","0.49","0.58","0.41"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.92","0.82","0.91","0.89","0.94","0.92","0.94","0.96","0.88","0.87","0.81","0.83","0.98","0.74","0.82","0.89","0.92","1.01","0.94","0.87","0.95","0.89","0.89","0.84","0.97","1.04","1.28","1.26","1.19","1.22","1.14","1.16","1.18","1.06","1.06","0.95","1.09","1.24","1.3","1.33","1.32","1.29","1.21","1.25","1.19","1.17","1.15","1.08","1.07","1.09","1.02","1.14","0.97","1.02","1.08","1.04","1.06","1.07","1.05","0.95","0.97","0.86"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","62.22","57.03","61","56.57","55.15","50.24","59.07","62.14","64.62","67.09","64.16","61.99","63.56","64.31","75.86","80.64","83.25","76.01","81.1","82.09","78.15","80.16","72.35","67.66","50.67","49.04","60.29","61.53","63.97","69.23","75.9","72.45","77.31","78.6","79.88","82.57","89.59","88.48","89.83","91.9","89.64","85.43","83.13","85.04","89.21","88.75","87.99","85.33","81.99","82.9","87.07","84.47","90.57","93.2","90.41","90.74","90.67","90.17","89.57","89.93","87.83","91.08"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-22.2848","-18.0023","-17.8859","-17.6115","-20.2036","-18.3263","-18.6631","-17.9237","-16.4554","-17.2693","-15.9377","-17.5148","-17.1173","-12.5659","-14.3753","-12.4988","-13.543","-15.1392","-13.5734","-13.0327","-16.703","-15.6976","-16.3845","-14.7862","-18.0299","-17.2239","-18.5057","-21.5883","-28.4951","-29.6492","-26.9015","-26.4356","-27.9399","-24.0559","-22.5996","-19.4098","-22.5448","-25.091","-26.0813","-26.9746","-26.5575","-26.3155","-31.6508","-38.7462","-35.8372","-36.2622","-37.2095","-33.6796","-32.2809","-32.8438","-29.1617","-31.2125","-28.3958","-30.1819","-31.8737","-29.7417","-30.9847","-31.2724","-30.7032","-29.3312","-28.827","-28.6719"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-8.9569","-4.6744","-4.558","-4.2836","-6.8757","-4.9984","-5.3352","-4.5958","-3.1275","-3.9414","-2.6098","-4.1869","-3.7894","0.762","-1.0474","0.8291","-0.2151","-1.8113","-0.2455","0.295199999999999","-3.3751","-2.3697","-3.0566","-2.95","-6.1937","-5.3877","-7.0921","-10.4155","-8.5358","-9.6899","-6.9422","-6.4763","-7.9806","-4.0966","-2.6403","0.549499999999998","-2.5855","-5.1317","-6.1219","-7.0153","-6.5982","-6.3562","-5.6122","-7.215","-4.306","-4.731","-5.6783","-2.1484","-0.749700000000004","-1.3126","2.3695","0.3187","3.1354","1.3493","-0.342500000000001","1.7895","0.546499999999998","0.258799999999997","0.827999999999999","2.2","2.7042","2.8593"
