"","2013-06-11_to_2014-06-12_ALLPortfolio_2QRank","2013-07-11_to_2014-07-12_ALLPortfolio_2QRank","2013-08-12_to_2014-08-12_ALLPortfolio_2QRank","2013-09-11_to_2014-09-12_ALLPortfolio_2QRank","2013-10-11_to_2014-10-12_ALLPortfolio_2QRank","2013-11-11_to_2014-11-12_ALLPortfolio_2QRank","2013-12-11_to_2014-12-12_ALLPortfolio_2QRank","2014-01-13_to_2015-01-12_ALLPortfolio_2QRank","2014-02-11_to_2015-02-12_ALLPortfolio_2QRank","2014-03-11_to_2015-03-12_ALLPortfolio_2QRank","2014-04-11_to_2015-04-12_ALLPortfolio_2QRank","2014-05-12_to_2015-05-12_ALLPortfolio_2QRank","2014-06-11_to_2015-06-12_ALLPortfolio_2QRank","2014-07-11_to_2015-07-12_ALLPortfolio_2QRank","2014-08-11_to_2015-08-12_ALLPortfolio_2QRank","2014-09-11_to_2015-09-12_ALLPortfolio_2QRank","2014-10-13_to_2015-10-12_ALLPortfolio_2QRank","2014-11-11_to_2015-11-12_ALLPortfolio_2QRank","2014-12-11_to_2015-12-12_ALLPortfolio_2QRank","2015-01-12_to_2016-01-12_ALLPortfolio_2QRank","2015-02-11_to_2016-02-12_ALLPortfolio_2QRank","2015-03-11_to_2016-03-12_ALLPortfolio_2QRank","2015-04-13_to_2016-04-12_ALLPortfolio_2QRank","2015-05-11_to_2016-05-12_ALLPortfolio_2QRank","2015-06-11_to_2016-06-12_ALLPortfolio_2QRank","2015-07-13_to_2016-07-12_ALLPortfolio_2QRank","2015-08-11_to_2016-08-12_ALLPortfolio_2QRank","2015-09-11_to_2016-09-12_ALLPortfolio_2QRank","2015-10-12_to_2016-10-12_ALLPortfolio_2QRank","2015-11-11_to_2016-11-12_ALLPortfolio_2QRank","2015-12-11_to_2016-12-12_ALLPortfolio_2QRank","2016-01-11_to_2017-01-12_ALLPortfolio_2QRank","2016-02-11_to_2017-02-12_ALLPortfolio_2QRank","2016-03-11_to_2017-03-12_ALLPortfolio_2QRank","2016-04-11_to_2017-04-12_ALLPortfolio_2QRank","2016-05-11_to_2017-05-12_ALLPortfolio_2QRank","2016-06-13_to_2017-06-12_ALLPortfolio_2QRank","2016-07-11_to_2017-07-12_ALLPortfolio_2QRank","2016-08-11_to_2017-08-12_ALLPortfolio_2QRank","2016-09-12_to_2017-09-12_ALLPortfolio_2QRank","2016-10-11_to_2017-10-12_ALLPortfolio_2QRank","2016-11-11_to_2017-11-12_ALLPortfolio_2QRank","2016-12-12_to_2017-12-12_ALLPortfolio_2QRank","2017-01-11_to_2018-01-12_ALLPortfolio_2QRank","2017-02-13_to_2018-02-12_ALLPortfolio_2QRank","2017-03-13_to_2018-03-12_ALLPortfolio_2QRank","2017-04-11_to_2018-04-12_ALLPortfolio_2QRank","2017-05-11_to_2018-05-12_ALLPortfolio_2QRank","2017-06-12_to_2018-06-12_ALLPortfolio_2QRank","2017-07-11_to_2018-07-12_ALLPortfolio_2QRank","2017-08-11_to_2018-08-12_ALLPortfolio_2QRank","2017-09-11_to_2018-09-12_ALLPortfolio_2QRank","2017-10-11_to_2018-10-12_ALLPortfolio_2QRank","2017-11-13_to_2018-11-12_ALLPortfolio_2QRank","2017-12-11_to_2018-12-12_ALLPortfolio_2QRank","2018-01-11_to_2019-01-12_ALLPortfolio_2QRank","2018-02-12_to_2019-02-12_ALLPortfolio_2QRank","2018-03-12_to_2019-03-12_ALLPortfolio_2QRank","2018-04-11_to_2019-04-12_ALLPortfolio_2QRank","2018-05-11_to_2019-05-12_ALLPortfolio_2QRank","2018-06-11_to_2019-06-12_ALLPortfolio_2QRank","2018-07-11_to_2019-07-12_ALLPortfolio_2QRank","2018-08-13_to_2019-08-12_ALLPortfolio_2QRank","2018-09-11_to_2019-09-12_ALLPortfolio_2QRank","2018-10-11_to_2019-10-12_ALLPortfolio_2QRank","2018-11-12_to_2019-11-12_ALLPortfolio_2QRank","2018-12-11_to_2019-12-12_ALLPortfolio_2QRank","2019-01-11_to_2020-01-12_ALLPortfolio_2QRank","2019-02-11_to_2020-02-12_ALLPortfolio_2QRank","2019-03-11_to_2020-03-12_ALLPortfolio_2QRank","2019-04-11_to_2020-04-12_ALLPortfolio_2QRank","2019-05-13_to_2020-05-12_ALLPortfolio_2QRank","2019-06-11_to_2020-06-12_ALLPortfolio_2QRank","2019-07-11_to_2020-07-12_ALLPortfolio_2QRank","2019-08-12_to_2020-08-12_ALLPortfolio_2QRank","2019-09-11_to_2020-09-12_ALLPortfolio_2QRank","2019-10-11_to_2020-10-12_ALLPortfolio_2QRank","2019-11-11_to_2020-11-12_ALLPortfolio_2QRank","2019-12-11_to_2020-12-12_ALLPortfolio_2QRank","2020-01-13_to_2021-01-12_ALLPortfolio_2QRank","2020-02-11_to_2021-02-12_ALLPortfolio_2QRank","2020-03-11_to_2021-03-12_ALLPortfolio_2QRank","2020-04-13_to_2021-04-12_ALLPortfolio_2QRank","2020-05-11_to_2021-05-12_ALLPortfolio_2QRank","2020-06-11_to_2021-06-12_ALLPortfolio_2QRank","2020-07-13_to_2021-07-12_ALLPortfolio_2QRank","2020-08-11_to_2021-08-12_ALLPortfolio_2QRank","2020-09-11_to_2021-09-12_ALLPortfolio_2QRank"
"P Information Ratio","1.31","1.25","0.8","0.25","0.12","0.51","0.76","0.17","0.52","0.51","1.51","1.61","1.96","2.21","1.71","1.69","1.37","0.12","1.11","1.27","-0.08","0.34","0.39","0.4","0.36","0.29","0.1","-1.13","1.48","2.63","1.76","2.3","3.45","2.36","1.52","1.4","2.19","2.09","1.3","1.3","1.63","0.24","0.74","0.53","1.39","1.76","1.5","0.58","1.11","0.97","0.15","0.4","0.46","-0.06","0.02","0.27","1.07","0.07","-0.23","0.32","0.33","-0.3","-0.07","-0.49","-0.48","-0.46","-0.51","-1.5","-0.61","-2.01","-0.27","-0.23","-0.01","0.62","0.2","0.02","0.76","0.32","0.72","1.1","0.69","3.2","0.86","1.96","1.14","1.03","0.79","0.56"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.02","1.03","0.61","0.21","-0.02","0.21","0.31","-0.53","0.05","0.02","0.5","0.67","0.51","0.88","0.59","0.56","0.55","0.15","0.87","0.74","0.09","0.42","0.19","0.23","0.15","0.27","0.59","0.13","0.69","0.33","0.49","0.21","0.56","0.32","0.27","0","0.44","0.41","0.38","-0.23","0.31","0.1","0.16","-0.37","-0.3","-0.05","0.31","0.07","0.47","0.2","0.16","0.04","0.04","0.14","0.1","-0.08","0.27","0.09","0.05","-0.22","-0.08","0.07","0.05","-0.21","-0.48","-0.26","-0.59","-0.43","-0.29","-0.24","-0.41","-0.1","-0.06","0.31","-0.07","-0.01","0.22","0.25","0.65","0.61","-0.15","0.89","0.97","0.89","1.25","1.4","0.73","0.33"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.9","0.75","0.81","0.85","1.08","1.25","1.05","1.36","0.89","1.09","1.13","1.03","1.06","1.07","0.97","1.12","1.02","0.87","0.86","0.87","0.88","0.88","0.81","0.78","0.8","0.83","0.76","0.84","0.85","0.9","0.95","1.11","1.02","1.24","1.24","1.31","1.18","1.16","1.08","1.34","1.14","1.1","1.09","1.27","1.27","1.17","1.03","1.04","1.03","1.03","0.95","1.02","1.05","0.92","0.89","0.89","0.93","0.99","1","0.98","0.94","1.02","0.98","0.95","1.04","1.07","1.12","1.01","0.98","0.94","1.08","1.1","1.17","1.17","1.22","1.2","1.16","1.09","1.27","1.23","1.29","1.12","1.16","1.02","0.98","0.9","1.04","1.06"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","42.4","36.34","39.68","55.62","60.09","61.73","57.52","63.43","53.07","74.01","81.76","75.73","80.06","79.17","73.81","84.99","78.9","76.26","78.58","78.48","79.5","77.66","78.73","78.12","77.92","78","83.93","95.33","87.17","92.21","87.37","78.61","78.49","84.95","75.84","75.91","71.75","58.63","62.65","64.59","59.92","56.39","52.57","62.35","75.15","88.09","82.49","83.03","82.32","86.11","81.97","88.66","84.48","86.73","86.02","90.8","96.15","94.55","93.64","93.59","95.32","93.9","93.11","88.59","87.6","90.44","81.53","78.81","76","83.31","88.54","88.82","86.98","90.1","89.04","92.05","91.73","92.54","89","90.5","90.04","79.92","67.27","62.68","58.46","50.87","48.88","44.77"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-6.5153","-6.1844","-5.2341","-4.7823","-5.1101","-7.7038","-7.2596","-7.2894","-7.2603","-8.1872","-7.614","-7.6151","-7.4536","-8.1346","-7.7846","-11.4461","-11.3022","-12.9005","-11.8992","-11.623","-14.4256","-14.6293","-13.7949","-13.5057","-13.0678","-13.4154","-14.7819","-14.5905","-13.4415","-13.336","-13.2409","-7.1001","-4.8261","-4.763","-5.0535","-4.3313","-3.7884","-3.4804","-3.16","-4.5029","-2.6669","-2.6899","-2.898","-3.0968","-9.3923","-9.6047","-10.1688","-10.5023","-9.9093","-9.6561","-9.4017","-10.0598","-10.8485","-11.022","-10.7761","-18.5216","-18.1887","-18.3482","-18.7027","-19.298","-18.5826","-19.0108","-18.6983","-18.7503","-15.9014","-14.4885","-10.1107","-7.0507","-7.0961","-27.2014","-30.7525","-30.9919","-32.363","-31.1848","-33.0302","-32.3156","-32.1549","-29.35","-33.025","-32.8963","-32.9781","-14.8183","-8.9571","-9.042","-9.0651","-8.8055","-8.3599","-6.6957"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1205","-5.1204","-5.1205","-4.8468","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.5281","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.8111"
"MD DIFF(P-B)","-0.2614","0.0694999999999997","1.0198","1.4716","1.1438","-0.2569","0.1873","0.157500000000001","0.1866","-0.7403","-0.1671","-0.1682","-0.00669999999999948","-0.6877","-0.3377","1.8818","2.0257","0.4274","1.4287","1.7049","-1.0977","-1.3014","-0.467000000000001","-0.1778","0.2601","-0.0875000000000004","-2.9457","-2.7543","-1.6053","-1.9224","-2.7147","-1.9797","0.2943","0.3575","0.0669000000000004","0.7892","1.0584","0.8744","1.1948","-0.7062","0.2733","0.2134","0.00530000000000008","-0.1935","0.348799999999999","0.1364","0.4123","0.0787999999999993","0.671799999999999","0.924999999999999","1.1794","0.5213","-0.2674","-0.440900000000001","-0.195","1.4377","1.7706","1.6111","1.2566","0.661300000000001","1.3767","0.948499999999999","1.261","1.209","0.840199999999998","1.3241","1.3877","0.6184","0.573","-8.6733","0.778699999999997","0.539299999999997","-0.831800000000001","0.346399999999999","-1.499","-0.784400000000005","-0.623699999999999","2.1812","-1.4938","-1.3651","-1.4469","1.2322","1.545","1.4601","1.437","1.6965","2.1422","1.1154"
