"","2013-06-11_to_2016-06-12_ValuePortfolio_2QRank","2013-07-11_to_2016-07-12_ValuePortfolio_2QRank","2013-08-12_to_2016-08-12_ValuePortfolio_2QRank","2013-09-11_to_2016-09-12_ValuePortfolio_2QRank","2013-10-11_to_2016-10-12_ValuePortfolio_2QRank","2013-11-11_to_2016-11-12_ValuePortfolio_2QRank","2013-12-11_to_2016-12-12_ValuePortfolio_2QRank","2014-01-13_to_2017-01-12_ValuePortfolio_2QRank","2014-02-11_to_2017-02-12_ValuePortfolio_2QRank","2014-03-11_to_2017-03-12_ValuePortfolio_2QRank","2014-04-11_to_2017-04-12_ValuePortfolio_2QRank","2014-05-12_to_2017-05-12_ValuePortfolio_2QRank","2014-06-11_to_2017-06-12_ValuePortfolio_2QRank","2014-07-11_to_2017-07-12_ValuePortfolio_2QRank","2014-08-11_to_2017-08-12_ValuePortfolio_2QRank","2014-09-11_to_2017-09-12_ValuePortfolio_2QRank","2014-10-13_to_2017-10-12_ValuePortfolio_2QRank","2014-11-11_to_2017-11-12_ValuePortfolio_2QRank","2014-12-11_to_2017-12-12_ValuePortfolio_2QRank","2015-01-12_to_2018-01-12_ValuePortfolio_2QRank","2015-02-11_to_2018-02-12_ValuePortfolio_2QRank","2015-03-11_to_2018-03-12_ValuePortfolio_2QRank","2015-04-13_to_2018-04-12_ValuePortfolio_2QRank","2015-05-11_to_2018-05-12_ValuePortfolio_2QRank","2015-06-11_to_2018-06-12_ValuePortfolio_2QRank","2015-07-13_to_2018-07-12_ValuePortfolio_2QRank","2015-08-11_to_2018-08-12_ValuePortfolio_2QRank","2015-09-11_to_2018-09-12_ValuePortfolio_2QRank","2015-10-12_to_2018-10-12_ValuePortfolio_2QRank","2015-11-11_to_2018-11-12_ValuePortfolio_2QRank","2015-12-11_to_2018-12-12_ValuePortfolio_2QRank","2016-01-11_to_2019-01-12_ValuePortfolio_2QRank","2016-02-11_to_2019-02-12_ValuePortfolio_2QRank","2016-03-11_to_2019-03-12_ValuePortfolio_2QRank","2016-04-11_to_2019-04-12_ValuePortfolio_2QRank","2016-05-11_to_2019-05-12_ValuePortfolio_2QRank","2016-06-13_to_2019-06-12_ValuePortfolio_2QRank","2016-07-11_to_2019-07-12_ValuePortfolio_2QRank","2016-08-11_to_2019-08-12_ValuePortfolio_2QRank","2016-09-12_to_2019-09-12_ValuePortfolio_2QRank","2016-10-11_to_2019-10-12_ValuePortfolio_2QRank","2016-11-11_to_2019-11-12_ValuePortfolio_2QRank","2016-12-12_to_2019-12-12_ValuePortfolio_2QRank","2017-01-11_to_2020-01-12_ValuePortfolio_2QRank","2017-02-13_to_2020-02-12_ValuePortfolio_2QRank","2017-03-13_to_2020-03-12_ValuePortfolio_2QRank","2017-04-11_to_2020-04-12_ValuePortfolio_2QRank","2017-05-11_to_2020-05-12_ValuePortfolio_2QRank","2017-06-12_to_2020-06-12_ValuePortfolio_2QRank","2017-07-11_to_2020-07-12_ValuePortfolio_2QRank","2017-08-11_to_2020-08-12_ValuePortfolio_2QRank","2017-09-11_to_2020-09-12_ValuePortfolio_2QRank","2017-10-11_to_2020-10-12_ValuePortfolio_2QRank","2017-11-13_to_2020-11-12_ValuePortfolio_2QRank","2017-12-11_to_2020-12-12_ValuePortfolio_2QRank","2018-01-11_to_2021-01-12_ValuePortfolio_2QRank","2018-02-12_to_2021-02-12_ValuePortfolio_2QRank","2018-03-12_to_2021-03-12_ValuePortfolio_2QRank","2018-04-11_to_2021-04-12_ValuePortfolio_2QRank","2018-05-11_to_2021-05-12_ValuePortfolio_2QRank","2018-06-11_to_2021-06-12_ValuePortfolio_2QRank","2018-07-11_to_2021-07-12_ValuePortfolio_2QRank","2018-08-13_to_2021-08-12_ValuePortfolio_2QRank","2018-09-11_to_2021-09-12_ValuePortfolio_2QRank","2018-10-11_to_2021-10-12_ValuePortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.798","12.153","8.391","5.858","5.666","6.224","8.028","6.778","8.31","6.3","12.8","11.26","11.454","13.54","14.543","14.427","23.543","5.174","16.261","20.048","7.853","14.116","6.853","7.449","6.611","7.96","10.284","13.958","12.59","9.015","8.947","12.476","22.842","14.261","17.783","16.16","18.429","19.24","5.226","8.346","8.373","8.527","12.383","11.477","11.067","-0.783","5.546","-3.45","-3.527","-0.856","2.215","3.368","6.468","11.785","14.978","0.063","22.944","17.621","22.059","9.698","11.168","12.073","13.079","25.506","29.926"
"B Annualized Returns","8.113","8.165","8.521","8.219","7.8","6.6","7.751","7.502","8.201","8.639","8.825","7.948","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","7.685","3.988","-0.130000000000001","-2.361","-2.134","-0.375999999999999","0.277","-0.724","0.109","-2.339","3.975","3.312","3.944","6.292","6.611","6.917","13.337","-2.83","6.863","8.752","-1.008","3.088","-1.722","-1.598","-3.01","-2.135","-0.729999999999999","-0.209999999999999","1.182","-0.304","0.311","2.253","9.656","3.067","5.578","4.477","7.039","7.146","-4.32","-3.336","-3.133","-4.333","0.0519999999999996","-1.773","-2.863","-2.925","-1.361","-11.193","-12.692","-12.366","-10.752","-8.778","-6.707","-0.768000000000001","2.398","-12.087","7.64","4.305","4.612","-5.611","-5.25","-6.006","-4.742","7.788","9.53"
"P Volatility","10.61","10.81","10.15","9.06","8.75","9.28","9.53","9.38","8.62","10.19","12.27","12.48","11.29","13.15","12.79","12.24","14.06","10.59","12.78","12.67","12.47","12.72","10.08","9.6","9.51","10.18","10.58","11.83","10.36","10.1","12.57","13.89","15.64","13.94","15.68","15.26","15.3","15.17","10.92","11.03","10.83","9.52","9.66","9.93","10.62","12.35","14.07","18.06","19.46","19.11","20.59","19.66","17.42","20.62","23.48","14.74","21.03","21.03","22.47","15.97","16.2","18.25","20.26","27.45","28.89"
"B Volatility","11.91","11.66","11.55","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-1.3","-0.85","-1.4","-2.47","-2.54","-1.99","-1.77","-1.61","-2.24","-0.860000000000001","1.21","1.45","0.27","2.16","1.9","1.39","3.21","-0.26","1.87","2.28","2.06","2.11","-0.85","-1.33","-1.35","-0.630000000000001","0.41","1.87","1.91","0.6","3.18","3.31","4.51","3.21","4.93","4.33","3.43","2.9","-1.33","-1.32","-1.44","-2.75","-2.68","-2.47","-1.65","-1.1","-0.859999999999999","1.49","2.8","2.43","3.7","2.15","-0.43","2.62","4.7","-3.9","2.6","2.84","4.22","-2.43","-2.21","-0.129999999999999","1.92","9.08","10.92"
"P Tracking Error","6.2","5.71","5.17","7.38","6.58","6.22","6.15","6.53","6.34","4.93","4.12","4.63","5.08","5.33","4.69","4.94","7.55","4.32","5.85","6.28","5.69","6.42","4.97","6.36","6.36","5.64","4.69","5.8","4.73","4.27","6.1","6.79","8.6","7.23","9.44","8.6","6.94","6.43","5.09","5.72","4.2","7.22","7.42","6.73","7.15","5.51","5.88","6.01","6.86","6.36","7.76","6.29","5.8","8.56","11.6","8.71","10.47","10.75","11.3","7.75","7.36","7.65","8.52","13.45","14.17"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
