"","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.243","33.789","24.534","23.727","19.083","20.557","7.95","21.009","10.936","5.97","1.997","-5.06","1.842","7.647","3.128","0.136","3.541","7.843","11.522","12.756","12.662","12.583","30.133","49.581","33.934","28.682","35.457","33.876","32.973","27.826","28.896","35.918","35.368","32.921","42.532","29.734","31.335","31.297","34.64","35.101","29.564","24.504","23.83","9.63","9.334","6.002","-1.002","8.875","4.796","14.561","7.802","2.433","8.807","2.189","4.71","11.052","15.026","15.738","25.949","23.761","-7.382","8.441","16.597","10.184","17.964","19.957","18.778","29.377","30.035","54.493","63.062","40.123","78.202","65.325","49.465","50.83","46.655","38.348","43.025"
"B Annualized Returns","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","5.02","19.613","14.717","15.885","14.206","13.613","11.121","14.879","9.88","4.233","5.351","4.052","2.994","7.562","3.827","0.321","0.76","2.486","0.271000000000001","5.682","7.808","2.366","11.071","26.752","16.206","15.32","20.08","17.376","19.831","16.031","13.54","17.445","16.357","14.468","19.689","15.176","14.839","18.486","21.125","20.815","14.812","8.403","7.838","-0.0249999999999986","3.113","6.379","5.236","6.327","4.362","5.14","1.537","-1.385","0.901000000000001","0.439","0.603","2.695","1.241","-4.376","-1.344","-2.121","2.163","8.597","10.212","0.946999999999999","6.262","-0.774999999999999","2.416","4.732","12.066","35.619","45.61","20.966","19.151","16.575","10.266","10.679","9.263","7.282","8.092"
"P Volatility","11.2","11.42","10.99","11.92","12.11","11.02","13.38","13.24","14.33","15.08","13.8","13.44","12.06","15.37","13.46","14.19","13.93","12.88","13.28","11.58","11.84","12.52","9.87","8.77","6.43","6.69","5.71","7.03","8.96","7.48","8.33","7.97","7.13","5.31","6.53","9.78","9.11","11.41","13.52","13.55","14","13.67","14.88","12.81","18.31","18.06","17.29","20.01","18.81","19.36","19.52","20.77","21.44","20.78","21.61","17.24","15.55","13.36","12.1","10.59","13.78","14.13","18.14","17.82","19.71","18.41","18.18","19.09","21.13","31.63","30.98","26.94","23.82","22.1","22.13","21.38","18.75","15.54","13.77"
"B Volatility","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","1.9","1.39","1.01","1.97","1.89","1.1","1.43","1.04","-1.92","-1.2","-1.64","-1.59","-2.81","-0.94","-2.81","-1.98","-2.04","-1.84","-0.770000000000001","1.81","1.93","2.55","1.9","1.23","0.26","0.46","-0.53","0.9","3.44","2.03","3.02","3.71","2.98","1.05","2.27","4.21","1.13","1.86","3.95","3.86","4.36","3.53","4.43","2.38","5.27","5.01","2.49","3.55","2.74","3.2","3.02","2.32","2.1","1.73","2.42","-0.350000000000001","-2.13","-0.100000000000001","-0.25","-1.81","-2.4","-5.01","-4.08","-3.69","-1.88","-3.4","-4.94","-5.15","-3.49","5.27","4.57","3.05","4.89","6.23","6.04","5.03","2.68","1.21","1.69"
"P Tracking Error","6.04","7.75","6.97","8.66","7.53","7.57","7.35","6.73","7.81","6.64","6.54","8.45","8.74","7.55","5.69","5.14","4.5","4.38","4.18","4.07","3.87","4.21","5.04","4.48","5.35","6.33","6.01","8.7","9.78","7.2","8.37","8.56","7.12","5.65","5.84","5.53","3.66","5.43","7.14","6.96","7.56","8.62","9.17","7.59","8.85","8.66","6.75","8.34","8.06","7.37","7.04","6.9","6.06","6.54","6.41","5.8","6.45","5.57","5.49","5.02","5.9","8.58","8.54","7.91","6.83","7.79","8.28","8.54","7.1","9.41","6.67","5.68","9.93","11.25","10.58","9.45","9.26","7.3","6.32"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
