"","2014-12-11_to_2017-12-12_GrowthPortfolio_8QRank","2015-01-12_to_2018-01-12_GrowthPortfolio_8QRank","2015-02-11_to_2018-02-12_GrowthPortfolio_8QRank","2015-03-11_to_2018-03-12_GrowthPortfolio_8QRank","2015-04-13_to_2018-04-12_GrowthPortfolio_8QRank","2015-05-11_to_2018-05-12_GrowthPortfolio_8QRank","2015-06-11_to_2018-06-12_GrowthPortfolio_8QRank","2015-07-13_to_2018-07-12_GrowthPortfolio_8QRank","2015-08-11_to_2018-08-12_GrowthPortfolio_8QRank","2015-09-11_to_2018-09-12_GrowthPortfolio_8QRank","2015-10-12_to_2018-10-12_GrowthPortfolio_8QRank","2015-11-11_to_2018-11-12_GrowthPortfolio_8QRank","2015-12-11_to_2018-12-12_GrowthPortfolio_8QRank","2016-01-11_to_2019-01-12_GrowthPortfolio_8QRank","2016-02-11_to_2019-02-12_GrowthPortfolio_8QRank","2016-03-11_to_2019-03-12_GrowthPortfolio_8QRank","2016-04-11_to_2019-04-12_GrowthPortfolio_8QRank","2016-05-11_to_2019-05-12_GrowthPortfolio_8QRank","2016-06-13_to_2019-06-12_GrowthPortfolio_8QRank","2016-07-11_to_2019-07-12_GrowthPortfolio_8QRank","2016-08-11_to_2019-08-12_GrowthPortfolio_8QRank","2016-09-12_to_2019-09-12_GrowthPortfolio_8QRank","2016-10-11_to_2019-10-12_GrowthPortfolio_8QRank","2016-11-11_to_2019-11-12_GrowthPortfolio_8QRank","2016-12-12_to_2019-12-12_GrowthPortfolio_8QRank","2017-01-11_to_2020-01-12_GrowthPortfolio_8QRank","2017-02-13_to_2020-02-12_GrowthPortfolio_8QRank","2017-03-13_to_2020-03-12_GrowthPortfolio_8QRank","2017-04-11_to_2020-04-12_GrowthPortfolio_8QRank","2017-05-11_to_2020-05-12_GrowthPortfolio_8QRank","2017-06-12_to_2020-06-12_GrowthPortfolio_8QRank","2017-07-11_to_2020-07-12_GrowthPortfolio_8QRank","2017-08-11_to_2020-08-12_GrowthPortfolio_8QRank","2017-09-11_to_2020-09-12_GrowthPortfolio_8QRank","2017-10-11_to_2020-10-12_GrowthPortfolio_8QRank","2017-11-13_to_2020-11-12_GrowthPortfolio_8QRank","2017-12-11_to_2020-12-12_GrowthPortfolio_8QRank","2018-01-11_to_2021-01-12_GrowthPortfolio_8QRank","2018-02-12_to_2021-02-12_GrowthPortfolio_8QRank","2018-03-12_to_2021-03-12_GrowthPortfolio_8QRank","2018-04-11_to_2021-04-12_GrowthPortfolio_8QRank","2018-05-11_to_2021-05-12_GrowthPortfolio_8QRank","2018-06-11_to_2021-06-12_GrowthPortfolio_8QRank","2018-07-11_to_2021-07-12_GrowthPortfolio_8QRank","2018-08-13_to_2021-08-12_GrowthPortfolio_8QRank","2018-09-11_to_2021-09-12_GrowthPortfolio_8QRank","2018-10-11_to_2021-10-12_GrowthPortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","16.285","19.956","18.316","29.079","26.168","18.971","17.112","16.402","28.483","20.483","26.234","21.172","20.571","20.343","25.113","19.994","23.929","22.906","20.133","20.438","19.77","21.35","22.227","20.931","18.339","17.804","21.221","7.824","14.354","15.221","18.012","19.933","24.044","23.591","28.11","28.036","18.419","19.862","31.532","19.484","21.328","19.576","21.69","24.667","31.742","22.738","26.345"
"B Annualized Returns","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","6.887","8.66","9.455","18.051","17.593","9.924","7.491","6.307","17.469","6.315","14.826","11.853","11.935","10.12","11.927","8.8","11.724","11.223","8.743","8.344","10.224","9.668","10.721","8.071","6.008","4.554","7.291","5.682","7.447","7.478","8.847","8.423","11.077","11.445","14.935","15.483","5.839","7.712","16.228","6.168","3.881","4.267","5.272","6.588","13.921","5.02","5.949"
"P Volatility","11.65","11.28","12.75","13.99","14.84","12.34","11.36","10.9","12.98","10.14","11.83","14.7","14.75","15.51","16.82","16.53","16.67","16.51","16.89","16.84","16.84","16.74","16.55","16.22","15.71","15.97","16.22","16.94","17.63","18.27","17.57","18.33","19.94","18.48","22.08","21.9","19.73","22.14","26.61","21.59","22.03","21.31","20.93","22.39","26.01","20.72","20.43"
"B Volatility","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","0.74","0.889999999999999","2.34","3.38","3.91","1.41","0.5","0.0899999999999999","2.81","0.18","3.38","5.2","5.36","4.93","5.69","5.8","5.92","5.58","5.02","4.57","4.59","4.39","4.28","3.95","3.37","3.57","3.95","3.49","2.7","1.7","0.91","1.65","3.05","0.969999999999999","4.23","3.9","0.949999999999999","3.5","8.18","3.4","3.78","2.91","2.52","4.01","7.67","2.35","2.46"
"P Tracking Error","7.01","6.71","7.65","9","9.48","6.95","6.69","6.61","9.15","6.8","7.7","8.61","8.86","8.74","9.68","9.44","9.73","9.41","8.85","8.34","8.74","8.28","8.89","8.24","7.36","6.96","7.49","7.51","7.75","6.55","6.67","6.01","7.56","6.67","8.41","8.33","5.17","6.87","11.14","6.42","7.12","6.41","5.66","6.44","10.89","5.15","5.54"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.98","1.29","1.24","2.01","1.86","1.43","1.12","0.95","1.91","0.93","1.93","1.38","1.35","1.16","1.23","0.93","1.2","1.19","0.99","1","1.17","1.17","1.21","0.98","0.82","0.65","0.97","0.76","0.96","1.14","1.33","1.4","1.47","1.72","1.78","1.86","1.13","1.12","1.46","0.96","0.55","0.67","0.93","1.02","1.28","0.97","1.07"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.71","0.62","0.69","1.3","1.37","0.75","0.62","0.61","1.31","0.68","1.17","0.72","0.59","0.57","0.55","0.37","0.69","0.57","0.55","0.49","0.65","0.58","0.6","0.54","0.35","0.12","0.34","0.39","0.59","0.45","0.71","0.51","0.71","0.91","0.9","1.13","0.46","0.44","0.76","0.44","0.11","0.22","0.33","0.33","0.61","0.21","0.32"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.86","0.88","0.98","1.01","1.05","0.94","0.86","0.82","0.91","0.79","1.06","1.29","1.29","1.23","1.26","1.3","1.29","1.27","1.24","1.21","1.19","1.19","1.15","1.15","1.13","1.17","1.19","1.14","1.06","1.03","0.98","1.04","1.1","0.98","1.15","1.13","1.01","1.14","1.36","1.14","1.15","1.11","1.1","1.18","1.33","1.1","1.1"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","64.39","64.77","62.94","57.35","58.1","67.69","66.2","65.36","49.35","58.3","56.58","68.12","66.34","69.85","69","70.27","68.55","69.81","74.56","77.19","74.16","76.92","71.46","74.66","78.51","82.27","80.14","80.99","80.39","86.83","85.19","89.05","85.87","86.61","86.67","86.32","92.94","91.46","88.35","92.37","90.87","91.6","93.25","93.75","87.52","94.38","93.17"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-18.8939","-18.0411","-17.4548","-17.2115","-16.8748","-16.6792","-17.4247","-17.4745","-16.9684","-15.3007","-14.9752","-16.9748","-21.0701","-28.7967","-30.6332","-30.3556","-29.8456","-29.1108","-28.1197","-27.3967","-26.7341","-26.4719","-25.1554","-24.6032","-23.858","-23.998","-25.3243","-26.607","-30.9894","-28.956","-29.8382","-31.0802","-32.1041","-30.0599","-31.9751","-31.5486","-32.2861","-32.8515","-35.0971","-32.5455","-34.2685","-32.5726","-32.7103","-34.7058","-35.7615","-33.9089","-34.5509"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-5.566","-4.7132","-4.1269","-3.8836","-3.5469","-3.3513","-4.0968","-4.1466","-5.1322","-3.4645","-3.139","-5.5612","-9.8973","-8.8374","-10.6739","-10.3963","-9.8863","-9.1515","-8.1604","-7.4374","-6.7748","-6.5126","-5.1961","-4.6438","-3.8987","-4.0387","-5.365","-0.5684","0.541799999999999","2.5752","1.693","0.450999999999997","-0.572900000000004","1.4713","-0.443900000000003","-0.0174000000000021","-0.754899999999999","-1.3203","-3.5659","-1.0143","-2.7373","-1.0414","-1.1791","-3.17460000000001","-4.2303","-2.3777","-3.0197"
