"","2013-06-11_to_2014-06-12_GrowthPortfolio_2QRank","2013-07-11_to_2014-07-12_GrowthPortfolio_2QRank","2013-08-12_to_2014-08-12_GrowthPortfolio_2QRank","2013-09-11_to_2014-09-12_GrowthPortfolio_2QRank","2013-10-11_to_2014-10-12_GrowthPortfolio_2QRank","2013-11-11_to_2014-11-12_GrowthPortfolio_2QRank","2013-12-11_to_2014-12-12_GrowthPortfolio_2QRank","2014-01-13_to_2015-01-12_GrowthPortfolio_2QRank","2014-02-11_to_2015-02-12_GrowthPortfolio_2QRank","2014-03-11_to_2015-03-12_GrowthPortfolio_2QRank","2014-04-11_to_2015-04-12_GrowthPortfolio_2QRank","2014-05-12_to_2015-05-12_GrowthPortfolio_2QRank","2014-06-11_to_2015-06-12_GrowthPortfolio_2QRank","2014-07-11_to_2015-07-12_GrowthPortfolio_2QRank","2014-08-11_to_2015-08-12_GrowthPortfolio_2QRank","2014-09-11_to_2015-09-12_GrowthPortfolio_2QRank","2014-10-13_to_2015-10-12_GrowthPortfolio_2QRank","2014-11-11_to_2015-11-12_GrowthPortfolio_2QRank","2014-12-11_to_2015-12-12_GrowthPortfolio_2QRank","2015-01-12_to_2016-01-12_GrowthPortfolio_2QRank","2015-02-11_to_2016-02-12_GrowthPortfolio_2QRank","2015-03-11_to_2016-03-12_GrowthPortfolio_2QRank","2015-04-13_to_2016-04-12_GrowthPortfolio_2QRank","2015-05-11_to_2016-05-12_GrowthPortfolio_2QRank","2015-06-11_to_2016-06-12_GrowthPortfolio_2QRank","2015-07-13_to_2016-07-12_GrowthPortfolio_2QRank","2015-08-11_to_2016-08-12_GrowthPortfolio_2QRank","2015-09-11_to_2016-09-12_GrowthPortfolio_2QRank","2015-10-12_to_2016-10-12_GrowthPortfolio_2QRank","2015-11-11_to_2016-11-12_GrowthPortfolio_2QRank","2015-12-11_to_2016-12-12_GrowthPortfolio_2QRank","2016-01-11_to_2017-01-12_GrowthPortfolio_2QRank","2016-02-11_to_2017-02-12_GrowthPortfolio_2QRank","2016-03-11_to_2017-03-12_GrowthPortfolio_2QRank","2016-04-11_to_2017-04-12_GrowthPortfolio_2QRank","2016-05-11_to_2017-05-12_GrowthPortfolio_2QRank","2016-06-13_to_2017-06-12_GrowthPortfolio_2QRank","2016-07-11_to_2017-07-12_GrowthPortfolio_2QRank","2016-08-11_to_2017-08-12_GrowthPortfolio_2QRank","2016-09-12_to_2017-09-12_GrowthPortfolio_2QRank","2016-10-11_to_2017-10-12_GrowthPortfolio_2QRank","2016-11-11_to_2017-11-12_GrowthPortfolio_2QRank","2016-12-12_to_2017-12-12_GrowthPortfolio_2QRank","2017-01-11_to_2018-01-12_GrowthPortfolio_2QRank","2017-02-13_to_2018-02-12_GrowthPortfolio_2QRank","2017-03-13_to_2018-03-12_GrowthPortfolio_2QRank","2017-04-11_to_2018-04-12_GrowthPortfolio_2QRank","2017-05-11_to_2018-05-12_GrowthPortfolio_2QRank","2017-06-12_to_2018-06-12_GrowthPortfolio_2QRank","2017-07-11_to_2018-07-12_GrowthPortfolio_2QRank","2017-08-11_to_2018-08-12_GrowthPortfolio_2QRank","2017-09-11_to_2018-09-12_GrowthPortfolio_2QRank","2017-10-11_to_2018-10-12_GrowthPortfolio_2QRank","2017-11-13_to_2018-11-12_GrowthPortfolio_2QRank","2017-12-11_to_2018-12-12_GrowthPortfolio_2QRank","2018-01-11_to_2019-01-12_GrowthPortfolio_2QRank","2018-02-12_to_2019-02-12_GrowthPortfolio_2QRank","2018-03-12_to_2019-03-12_GrowthPortfolio_2QRank","2018-04-11_to_2019-04-12_GrowthPortfolio_2QRank","2018-05-11_to_2019-05-12_GrowthPortfolio_2QRank","2018-06-11_to_2019-06-12_GrowthPortfolio_2QRank","2018-07-11_to_2019-07-12_GrowthPortfolio_2QRank","2018-08-13_to_2019-08-12_GrowthPortfolio_2QRank","2018-09-11_to_2019-09-12_GrowthPortfolio_2QRank","2018-10-11_to_2019-10-12_GrowthPortfolio_2QRank","2018-11-12_to_2019-11-12_GrowthPortfolio_2QRank","2018-12-11_to_2019-12-12_GrowthPortfolio_2QRank","2019-01-11_to_2020-01-12_GrowthPortfolio_2QRank","2019-02-11_to_2020-02-12_GrowthPortfolio_2QRank","2019-03-11_to_2020-03-12_GrowthPortfolio_2QRank","2019-04-11_to_2020-04-12_GrowthPortfolio_2QRank","2019-05-13_to_2020-05-12_GrowthPortfolio_2QRank","2019-06-11_to_2020-06-12_GrowthPortfolio_2QRank","2019-07-11_to_2020-07-12_GrowthPortfolio_2QRank","2019-08-12_to_2020-08-12_GrowthPortfolio_2QRank","2019-09-11_to_2020-09-12_GrowthPortfolio_2QRank","2019-10-11_to_2020-10-12_GrowthPortfolio_2QRank","2019-11-11_to_2020-11-12_GrowthPortfolio_2QRank","2019-12-11_to_2020-12-12_GrowthPortfolio_2QRank","2020-01-13_to_2021-01-12_GrowthPortfolio_2QRank","2020-02-11_to_2021-02-12_GrowthPortfolio_2QRank","2020-03-11_to_2021-03-12_GrowthPortfolio_2QRank","2020-04-13_to_2021-04-12_GrowthPortfolio_2QRank","2020-05-11_to_2021-05-12_GrowthPortfolio_2QRank","2020-06-11_to_2021-06-12_GrowthPortfolio_2QRank","2020-07-13_to_2021-07-12_GrowthPortfolio_2QRank","2020-08-11_to_2021-08-12_GrowthPortfolio_2QRank","2020-09-11_to_2021-09-12_GrowthPortfolio_2QRank"
"P Information Ratio","1.38","1.38","1.29","0.89","0.7","0.75","0.93","0.4","0.05","0.27","2.4","1.2","1.57","1.16","1.43","1.42","2.67","1.32","0.58","0.59","0.2","0.5","0.75","1.08","0.19","0.17","-0.49","-0.7","2.16","2.12","1.16","1.64","1.45","1.07","1.12","1.04","1.25","1.39","3.78","2.63","3.14","3.26","1.45","1.44","1.79","2.87","2.74","1.88","2.38","1.56","1.34","1.09","0.53","0.59","0.78","1.24","0.74","0.05","1.08","0.08","0.49","0.53","1.13","-0.03","-0.06","-0.43","-0.75","-0.83","-0.24","-0.1","0.4","-0.24","-0.41","0.58","-0.38","-1.33","-0.55","1.79","2.68","4.02","3.23","0.58","0.6","0.32","1.07","0.2","1.01","0.96"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.32","1.52","1.48","0.79","1","0.55","0.84","-1.02","0.33","1","0.93","0.67","0.64","0.78","0.49","0.63","1.08","0.53","0.74","0.45","-0.04","0.41","0.65","0.28","-0.01","0","-0.23","-0.09","0.88","0.83","0.46","0.37","0.7","0.85","1.12","0.63","0.88","0.74","1.8","0.63","1","0.6","0.76","0.37","0.06","1.22","1.01","0.69","1.22","0.91","0.56","0.82","0.31","0.43","0.38","0.4","0.18","0.17","0.42","-0.01","0.31","0.5","0.46","0.12","0.14","0.27","0.83","0.65","0.87","-0.24","-0.01","-0.33","-0.27","0.39","-0.36","-0.57","0.03","1.72","2.13","1.91","1.92","0.02","-0.13","0.24","-0.28","0.25","0.21","0.21"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.85","0.79","0.62","0.8","0.97","1.15","0.89","1.6","0.39","0.75","0.87","0.66","0.96","1.03","0.87","0.94","0.97","0.84","0.67","0.66","0.76","0.77","0.89","0.89","0.94","0.92","1.01","0.88","1.02","1.02","1.11","1.11","0.92","0.6","0.69","0.76","0.67","0.9","0.8","1.17","1.16","1.16","0.91","1.01","1.52","1.11","1.18","1.29","1.29","1.28","1.16","1.17","1.21","1.27","1.22","1.03","1.12","1.2","1.19","1.19","1.06","0.98","0.8","0.77","0.72","0.58","0.33","0.44","0.4","0.74","0.79","0.96","1.11","1.05","1","1.02","0.87","1.08","1.29","1.16","1.12","1.16","1.21","1.14","1.19","0.97","0.96","0.97"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","30.35","25.07","6.94","21.28","28.81","34.05","17.19","34.15","-3.33","31.23","85.31","53.56","73.69","62.84","71.79","79.15","80.31","84.96","72.72","67.62","66.87","71.41","89.02","87.73","81.54","83.52","89.5","90.31","80.97","79.24","88.08","79.16","57.93","28.03","28.35","29.82","21.36","26.91","30.07","54","36.34","61.46","23.08","38.73","74.28","59.74","72.29","68.56","63.13","61.78","53.49","59.22","70.55","80.83","84.77","77.88","83.68","86.9","90.19","90.21","88.35","94.29","92.6","89.57","83.97","62.67","38.27","46.55","40.78","77.53","85.91","95.39","92.53","90.3","94.04","96.93","93.38","80.74","88.64","91.15","89.53","81","75.45","70.91","86.42","73.26","81.36","85.98"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.4206","-10.7162","-11.2047","-10.5732","-10.6824","-11.8531","-12.4307","-11.9521","-12.5943","-11.03","-8.0585","-9.5713","-10.2463","-10.5611","-8.3648","-12.441","-11.5385","-12.5527","-11.6292","-10.1181","-13.6337","-14.2981","-15.1955","-15.8996","-17.9018","-18.0553","-17.9988","-16.798","-15.2957","-15.8219","-14.328","-8.0591","-5.0222","-3.5578","-4.5947","-5.6121","-4.1012","-4.7322","-3.0933","-5.0033","-3.7175","-4.3801","-6.1521","-6.1349","-9.5795","-8.8607","-9.7992","-9.2963","-9.6289","-10.2347","-9.5392","-9.4158","-10.5177","-12.832","-13.5785","-24.397","-24.2576","-23.7127","-23.835","-24.5503","-23.1123","-20.7384","-18.0003","-18.6529","-15.301","-13.2341","-10.1594","-4.5059","-4.29","-23.9406","-31.0324","-32.3828","-34.7451","-32.244","-32.5879","-30.4365","-30.2975","-29.4132","-34.3518","-32.81","-32.9742","-13.7657","-13.0979","-13.8751","-12.8718","-12.6288","-12.4082","-10.6765"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-5.1667","-4.4623","-4.9508","-4.3193","-4.4285","-4.3433","-4.9209","-4.4423","-5.0845","-3.5202","-0.5486","-2.0615","-2.7365","-3.0513","-0.855","0.886899999999999","1.7894","0.7752","1.6987","3.2098","-0.3058","-0.9702","-1.8676","-2.5717","-4.5739","-4.7274","-6.1626","-4.9618","-3.4595","-4.4083","-3.8018","-2.9387","0.0982000000000003","1.5626","0.525700000000001","-0.4916","0.7456","-0.0893999999999995","1.5495","-0.9169","-0.4851","-1.4768","-3.2488","-3.2316","0.758900000000001","1.4777","1.3736","1.8765","1.5439","0.9381","1.6336","1.757","0.655100000000001","-1.6592","-2.4057","-4.4377","-4.2983","-3.7534","-3.8757","-4.591","-3.153","-0.7791","1.959","1.3064","1.4406","2.5785","1.339","3.1632","3.3791","2.098","0.498799999999999","-0.851600000000005","-3.2139","-0.712800000000001","-1.0567","1.0947","1.2337","2.118","-2.8206","-1.2788","-1.443","2.1735","-2.5958","-3.373","-2.3697","-2.1268","-1.9061","-2.7439"
