"","1 Y 2013-03-12 to 2015-03-13","1 Y 2013-04-12 to 2015-04-13","1 Y 2013-05-13 to 2015-05-13","1 Y 2013-06-12 to 2015-06-13","1 Y 2013-07-12 to 2015-07-13","1 Y 2013-08-12 to 2015-08-13","1 Y 2013-09-12 to 2015-09-13","1 Y 2013-10-14 to 2015-10-13","1 Y 2013-11-12 to 2015-11-13","1 Y 2013-12-12 to 2015-12-13","1 Y 2014-01-13 to 2016-01-13","1 Y 2014-02-12 to 2016-02-13","1 Y 2014-03-12 to 2016-03-13","1 Y 2014-04-14 to 2016-04-13","1 Y 2014-05-12 to 2016-05-13","1 Y 2014-06-12 to 2016-06-13","1 Y 2014-07-14 to 2016-07-13","1 Y 2014-08-12 to 2016-08-13","1 Y 2014-09-12 to 2016-09-13","1 Y 2014-10-13 to 2016-10-13","1 Y 2014-11-12 to 2016-11-13","1 Y 2014-12-12 to 2016-12-13","1 Y 2015-01-12 to 2017-01-13","1 Y 2015-02-12 to 2017-02-13","1 Y 2015-03-12 to 2017-03-13","1 Y 2015-04-13 to 2017-04-13","1 Y 2015-05-12 to 2017-05-13","1 Y 2015-06-12 to 2017-06-13","1 Y 2015-07-13 to 2017-07-13","1 Y 2015-08-12 to 2017-08-13","1 Y 2015-09-14 to 2017-09-13","1 Y 2015-10-12 to 2017-10-13","1 Y 2015-11-12 to 2017-11-13","1 Y 2015-12-14 to 2017-12-13","1 Y 2016-01-12 to 2018-01-13","1 Y 2016-02-12 to 2018-02-13","1 Y 2016-03-14 to 2018-03-13","1 Y 2016-04-12 to 2018-04-13","1 Y 2016-05-12 to 2018-05-13","1 Y 2016-06-13 to 2018-06-13","1 Y 2016-07-12 to 2018-07-13","1 Y 2016-08-12 to 2018-08-13","1 Y 2016-09-12 to 2018-09-13","1 Y 2016-10-12 to 2018-10-13","1 Y 2016-11-14 to 2018-11-13","1 Y 2016-12-12 to 2018-12-13","1 Y 2017-01-12 to 2019-01-13","1 Y 2017-02-13 to 2019-02-13","1 Y 2017-03-13 to 2019-03-13","1 Y 2017-04-12 to 2019-04-13","1 Y 2017-05-12 to 2019-05-13","1 Y 2017-06-12 to 2019-06-13","1 Y 2017-07-12 to 2019-07-13","1 Y 2017-08-14 to 2019-08-13","1 Y 2017-09-12 to 2019-09-13","1 Y 2017-10-12 to 2019-10-13","1 Y 2017-11-13 to 2019-11-13","1 Y 2017-12-12 to 2019-12-13","1 Y 2018-01-12 to 2020-01-13","1 Y 2018-02-12 to 2020-02-13","1 Y 2018-03-12 to 2020-03-13","1 Y 2018-04-12 to 2020-04-13","1 Y 2018-05-14 to 2020-05-13","1 Y 2018-06-12 to 2020-06-13","1 Y 2018-07-12 to 2020-07-13","1 Y 2018-08-13 to 2020-08-13","1 Y 2018-09-12 to 2020-09-13","1 Y 2018-10-12 to 2020-10-13","1 Y 2018-11-12 to 2020-11-13","1 Y 2018-12-12 to 2020-12-13","1 Y 2019-01-14 to 2021-01-13","1 Y 2019-02-12 to 2021-02-13","1 Y 2019-03-12 to 2021-03-13","1 Y 2019-04-12 to 2021-04-13","1 Y 2019-05-13 to 2021-05-13","1 Y 2019-06-12 to 2021-06-13","1 Y 2019-07-12 to 2021-07-13","1 Y 2019-08-12 to 2021-08-13","1 Y 2019-09-12 to 2021-09-13","2 Y 2013-03-12 to 2015-03-13","2 Y 2013-04-12 to 2015-04-13","2 Y 2013-05-13 to 2015-05-13","2 Y 2013-06-12 to 2015-06-13","2 Y 2013-07-12 to 2015-07-13","2 Y 2013-08-12 to 2015-08-13","2 Y 2013-09-12 to 2015-09-13","2 Y 2013-10-14 to 2015-10-13","2 Y 2013-11-12 to 2015-11-13","2 Y 2013-12-12 to 2015-12-13","2 Y 2014-01-13 to 2016-01-13","2 Y 2014-02-12 to 2016-02-13","2 Y 2014-03-12 to 2016-03-13","2 Y 2014-04-14 to 2016-04-13","2 Y 2014-05-12 to 2016-05-13","2 Y 2014-06-12 to 2016-06-13","2 Y 2014-07-14 to 2016-07-13","2 Y 2014-08-12 to 2016-08-13","2 Y 2014-09-12 to 2016-09-13","2 Y 2014-10-13 to 2016-10-13","2 Y 2014-11-12 to 2016-11-13","2 Y 2014-12-12 to 2016-12-13","2 Y 2015-01-12 to 2017-01-13","2 Y 2015-02-12 to 2017-02-13","2 Y 2015-03-12 to 2017-03-13","2 Y 2015-04-13 to 2017-04-13","2 Y 2015-05-12 to 2017-05-13","2 Y 2015-06-12 to 2017-06-13","2 Y 2015-07-13 to 2017-07-13","2 Y 2015-08-12 to 2017-08-13","2 Y 2015-09-14 to 2017-09-13","2 Y 2015-10-12 to 2017-10-13","2 Y 2015-11-12 to 2017-11-13","2 Y 2015-12-14 to 2017-12-13","2 Y 2016-01-12 to 2018-01-13","2 Y 2016-02-12 to 2018-02-13","2 Y 2016-03-14 to 2018-03-13","2 Y 2016-04-12 to 2018-04-13","2 Y 2016-05-12 to 2018-05-13","2 Y 2016-06-13 to 2018-06-13","2 Y 2016-07-12 to 2018-07-13","2 Y 2016-08-12 to 2018-08-13","2 Y 2016-09-12 to 2018-09-13","2 Y 2016-10-12 to 2018-10-13","2 Y 2016-11-14 to 2018-11-13","2 Y 2016-12-12 to 2018-12-13","2 Y 2017-01-12 to 2019-01-13","2 Y 2017-02-13 to 2019-02-13","2 Y 2017-03-13 to 2019-03-13","2 Y 2017-04-12 to 2019-04-13","2 Y 2017-05-12 to 2019-05-13","2 Y 2017-06-12 to 2019-06-13","2 Y 2017-07-12 to 2019-07-13","2 Y 2017-08-14 to 2019-08-13","2 Y 2017-09-12 to 2019-09-13","2 Y 2017-10-12 to 2019-10-13","2 Y 2017-11-13 to 2019-11-13","2 Y 2017-12-12 to 2019-12-13","2 Y 2018-01-12 to 2020-01-13","2 Y 2018-02-12 to 2020-02-13","2 Y 2018-03-12 to 2020-03-13","2 Y 2018-04-12 to 2020-04-13","2 Y 2018-05-14 to 2020-05-13","2 Y 2018-06-12 to 2020-06-13","2 Y 2018-07-12 to 2020-07-13","2 Y 2018-08-13 to 2020-08-13","2 Y 2018-09-12 to 2020-09-13","2 Y 2018-10-12 to 2020-10-13","2 Y 2018-11-12 to 2020-11-13","2 Y 2018-12-12 to 2020-12-13","2 Y 2019-01-14 to 2021-01-13","2 Y 2019-02-12 to 2021-02-13","2 Y 2019-03-12 to 2021-03-13","2 Y 2019-04-12 to 2021-04-13","2 Y 2019-05-13 to 2021-05-13","2 Y 2019-06-12 to 2021-06-13","2 Y 2019-07-12 to 2021-07-13","2 Y 2019-08-12 to 2021-08-13","2 Y 2019-09-12 to 2021-09-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","9.966","15.422","11.35","15.026","13.782","13.816","3.58","9.887","2.572","-0.744","-2.285","-8.543","0.152","2.734","-2.372","2.531","7.684","10.386","15.88","8.752","11.432","17.008","18.792","25.423","19.288","12.213","16.479","14.411","14.498","14.368","18.636","21.189","18.218","18.97","23.643","23.027","23.144","13.736","10.747","10.473","10.489","12.167","16.565","8.286","6.63","2.736","-4.586","7.399","2.996","11.322","5.79","5.018","7.371","2.839","3.518","9.336","10.256","18.215","22.826","23.169","-4.038","-7.768","-6.848","5.231","5.372","10.145","7.031","11.257","19.33","10.872","17.621","22.154","62.464","49.514","47.169","40.241","37.763","44.24","31.36","18.14","14.922","13.69","18.161","17.367","15.031","11.612","10.078","8.377","8.055","5.339","3.376","5.949","9.643","5.492","6.794","9.34","12.495","9.163","10.226","8.325","11.009","8.067","7.57","9.439","7.158","7.746","7.791","9.985","10.106","13.557","14.544","13.391","15.401","20.714","26.105","23.189","10.94","12.593","14.231","13.394","13.056","17.759","15.153","13.894","10.658","9","12.535","8.959","13.988","8.614","9.623","9.188","7.761","9.396","7.708","7.461","9.19","7.552","12.369","-1.341","0.953","-2.43","6.422","6.506","5.522","6.714","9.12","16.02","13.943","19.774","21.654","18.126","16.105","19.182","20.48","17.377","32.531","18.681"
"B Annualized Returns","10.828","12.771","9.672","7.842","5.52","6.003","-3.171","5.514","-0.371","1.737","-5.471","-9.112","-1.152","0.881","-2.688","0.284","2.267","5.357","9.721","7.273","4.854","11.052","17.077","22.901","17.789","11.48","15.377","16.879","13.395","11.795","17.126","18.992","19.473","17.508","22.843","14.823","15.565","13.306","13.515","13.426","14.605","14.558","16.443","9.655","5.99","-0.169","-6.238","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","8.357","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","40.151","37.087","31.563","30.588","13.595","13.058","12.153","12.529","10.838","9.966","6.883","7.949","6.538","7.582","2.15","1.912","4.38","6.73","4.124","3.563","4.135","5.679","3.34","6.143","2.937","6.864","6.507","5.438","8.128","6.048","7.038","8.275","7.687","8.498","13.363","12.981","12.379","14.235","20.938","18.788","16.67","12.389","14.487","15.139","13.998","13.73","16.784","13.978","12.52","8.31","6.952","8.504","8.54","11.103","8.46","8.943","11.277","8.808","9.756","8.157","9.938","9.441","9.222","13.294","1.075","4.147","4.109","6.913","8.922","11.298","10.064","15.346","17.09","19.492","23.319","22.134","19.946","21.521","21.947","23.243","22.837","27.787","25.24"
"AR DIFF(P-B)","-0.862","2.651","1.678","7.184","8.262","7.813","6.751","4.373","2.943","-2.481","3.186","0.569000000000001","1.304","1.853","0.316","2.247","5.417","5.029","6.159","1.479","6.578","5.956","1.715","2.522","1.499","0.732999999999999","1.102","-2.468","1.103","2.573","1.51","2.197","-1.255","1.462","0.800000000000001","8.204","7.579","0.430000000000001","-2.768","-2.953","-4.116","-2.391","0.122","-1.369","0.64","2.905","1.652","4.865","1.053","1.901","2.335","0.38","-0.534999999999999","-0.523","0.0659999999999998","0.979000000000001","-3.778","-1.761","-6.037","-2.015","-3.75","-6.583","-10.877","-4.006","-4.663","-13.975","-9.331","-12.625","-0.00800000000000267","-8.002","-0.763000000000002","2.997","3.413","0.154000000000003","4.217","0.0899999999999963","0.675999999999995","12.677","0.771999999999998","4.545","1.864","1.537","5.632","6.529","5.065","4.729","2.129","1.839","0.473","3.189","1.464","1.569","2.913","1.368","3.231","5.205","6.816","5.823","4.083","5.388","4.145","1.56","2.132","1.311","1.11","0.708","-0.484","2.298","1.608","0.194000000000001","1.563","1.012","1.166","-0.224","7.317","6.519","-1.449","-1.894","-0.907999999999999","-0.603999999999999","-0.674000000000001","0.975000000000001","1.175","1.374","2.348","2.048","4.031","0.419","2.885","0.154","0.68","-2.089","-1.047","-0.359999999999999","-0.449","-2.477","-0.251000000000001","-1.67","-0.925000000000001","-2.416","-3.194","-6.539","-0.491000000000001","-2.416","-5.776","-3.35","-6.226","-1.07","-5.549","-3.545","-0.48","-1.82","-5.416","-2.765","-2.763","-5.46","4.744","-6.559"
"P Volatility","10.2","9.35","9.36","9.81","10.17","10.15","12.71","12.33","15.27","14.57","14.87","14.43","13.81","15.07","15.25","14.78","15.35","13.45","12.7","10.02","9.52","11.54","8.13","7.26","6.04","7.45","7.42","6.19","5.87","5.86","5.43","4.08","4.74","4.6","4.18","7.91","9.08","8.82","9.47","9.88","9.83","10.16","10","9.97","12.24","12.27","13.71","16.44","15.75","15.01","15.97","17.76","18.93","17.86","18.27","17.46","17.29","12.42","11.82","11.66","15.7","18.8","22.98","23","20.97","22.49","22.26","22.46","27.24","27.26","26.21","27.39","16.51","14.27","14.47","14.01","13.5","19.43","12.23","9.91","9.45","9.4","9.82","10.06","9.53","10.88","10.64","12.06","11.17","11.93","12.14","11.69","12.09","12.19","11.92","12.38","11.93","11.79","11.3","11.5","12.62","11.51","10.82","11.52","11.68","12.2","11.07","10.85","9.77","8.98","7.32","7.64","7.68","6.23","8.13","7.54","7.16","7.83","8.13","7.95","7.68","7.5","7.35","8.99","8.95","11.25","12.75","12.38","12.03","12.36","13.65","14.31","13.75","13.91","13.89","14.24","13.82","13.87","13.1","14.81","16.52","19.57","19.56","18.27","19.64","19.64","19.07","22.12","20.42","19.76","21.7","19.67","19.78","18.06","17.42","17.17","21.6","17.53"
"B Volatility","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","9.55","9.9","9.88","9.65","9.48","9.04","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","0.899999999999999","-0.68","-0.620000000000001","-0.139999999999999","-0.0500000000000007","0.23","0.760000000000002","0.130000000000001","-0.98","-1.71","-0.57","-0.6","-1.06","-1.24","-1.02","-1.39","-0.620000000000001","-1.27","-1.35","0.25","-0.390000000000001","1.57","0.160000000000001","-0.28","-0.13","1.22","1.18","0.0600000000000005","0.350000000000001","0.41","0.12","-0.18","0.59","0.34","-0.0800000000000001","2.34","1.1","-0.73","-0.0999999999999996","0.190000000000001","0.19","0.0199999999999996","-0.449999999999999","-0.459999999999999","-0.799999999999999","-0.780000000000001","-1.09","-0.0199999999999996","-0.32","-1.15","-0.529999999999999","-0.689999999999998","-0.41","-1.19","-0.920000000000002","-0.129999999999999","-0.390000000000001","-1.04","-0.529999999999999","-0.74","-0.48","-0.34","0.760000000000002","1.49","-0.620000000000001","0.68","-0.859999999999999","-1.78","2.62","0.900000000000002","-0.199999999999999","3.5","-2.42","-1.6","-1.62","-2.34","-2.57","5.1","0.15","0.359999999999999","-0.450000000000001","-0.48","0.17","0.58","0.49","0.57","0.43","-0.19","-1.06","0.0999999999999996","-0.0899999999999999","-0.56","-0.9","-0.75","-1.01","-0.529999999999999","-0.99","-1.1","-1.57","-1.35","-0.350000000000001","-0.950000000000001","-1.06","-0.440000000000001","-0.27","0.25","-0.719999999999999","-0.870000000000001","-0.85","-1.19","-0.38","-0.04","0.149999999999999","0.12","1.52","0.67","-0.55","0.0999999999999996","0.370000000000001","0.42","-0.100000000000001","-0.41","-0.29","-0.52","-0.510000000000002","-0.66","0.210000000000001","-0.229999999999999","-0.630000000000001","-0.550000000000001","-0.459999999999999","-0.459999999999999","-1.02","-0.98","-0.979999999999999","-0.619999999999999","-1.19","-0.780000000000001","-1.12","-0.609999999999999","-0.84","0.0500000000000007","-0.0899999999999999","-1.29","-0.109999999999999","-0.949999999999999","-1.18","1.59","0.420000000000002","0.0700000000000003","1.95","-0.0699999999999967","0.0500000000000007","-0.77","-1.12","-1.39","3.25","-0.84"
"P Tracking Error","4.2","2.48","3.6","4.09","3.89","3.54","3.41","2.65","3.12","3.54","2.48","3.79","2.77","2.68","3.47","3.48","2.94","3.25","2.44","1.66","1.07","2.77","2.18","1.51","1.88","1.72","1.97","1.08","2.15","1.85","1.38","0.79","1.4","1.44","1.02","3.32","3.15","2.39","2.39","1.87","2.05","1.35","2.19","2.7","2.06","2.41","3.12","3.97","3.69","4.38","4.89","3.04","3.6","2.97","3.36","2.6","2.47","2.86","2.41","2.45","1.64","3.07","4.07","2.76","3.14","3.87","3.59","5.29","5.32","6.12","4.08","6.37","5.03","5.75","5.51","5.49","6.32","8.23","4.97","4.87","2.22","2.97","3.4","3.84","3.37","3.22","2.87","2.98","2.9","2.83","3.52","3.04","2.87","3.46","3.59","3.06","3.22","3.38","3.83","2.61","3.23","3.1","2.49","2.2","2.87","2.72","2.58","2.92","3","3.08","1.54","1.97","1.82","1.94","3.21","2.82","2.14","2.05","1.65","2.08","1.65","1.85","2.13","2.23","2.52","2.63","2.83","2.68","3.28","3.89","2.31","2.8","2.56","2.95","2.54","2.76","2.65","2.43","2.74","2.77","3.81","4.12","3.28","3.9","4.08","3.92","4.53","4","4.8","3.7","5.01","3.88","5.19","4.45","4.13","5.29","6.32","5.1"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
