"","2013-03-12_to_2016-03-13_ValuePortfolio_1QRank","2013-04-12_to_2016-04-13_ValuePortfolio_1QRank","2013-05-13_to_2016-05-13_ValuePortfolio_1QRank","2013-06-12_to_2016-06-13_ValuePortfolio_1QRank","2013-07-12_to_2016-07-13_ValuePortfolio_1QRank","2013-08-12_to_2016-08-13_ValuePortfolio_1QRank","2013-09-12_to_2016-09-13_ValuePortfolio_1QRank","2013-10-14_to_2016-10-13_ValuePortfolio_1QRank","2013-11-12_to_2016-11-13_ValuePortfolio_1QRank","2013-12-12_to_2016-12-13_ValuePortfolio_1QRank","2014-01-13_to_2017-01-13_ValuePortfolio_1QRank","2014-02-12_to_2017-02-13_ValuePortfolio_1QRank","2014-03-12_to_2017-03-13_ValuePortfolio_1QRank","2014-04-14_to_2017-04-13_ValuePortfolio_1QRank","2014-05-12_to_2017-05-13_ValuePortfolio_1QRank","2014-06-12_to_2017-06-13_ValuePortfolio_1QRank","2014-07-14_to_2017-07-13_ValuePortfolio_1QRank","2014-08-12_to_2017-08-13_ValuePortfolio_1QRank","2014-09-12_to_2017-09-13_ValuePortfolio_1QRank","2014-10-13_to_2017-10-13_ValuePortfolio_1QRank","2014-11-12_to_2017-11-13_ValuePortfolio_1QRank","2014-12-12_to_2017-12-13_ValuePortfolio_1QRank","2015-01-12_to_2018-01-13_ValuePortfolio_1QRank","2015-02-12_to_2018-02-13_ValuePortfolio_1QRank","2015-03-12_to_2018-03-13_ValuePortfolio_1QRank","2015-04-13_to_2018-04-13_ValuePortfolio_1QRank","2015-05-12_to_2018-05-13_ValuePortfolio_1QRank","2015-06-12_to_2018-06-13_ValuePortfolio_1QRank","2015-07-13_to_2018-07-13_ValuePortfolio_1QRank","2015-08-12_to_2018-08-13_ValuePortfolio_1QRank","2015-09-14_to_2018-09-13_ValuePortfolio_1QRank","2015-10-12_to_2018-10-13_ValuePortfolio_1QRank","2015-11-12_to_2018-11-13_ValuePortfolio_1QRank","2015-12-14_to_2018-12-13_ValuePortfolio_1QRank","2016-01-12_to_2019-01-13_ValuePortfolio_1QRank","2016-02-12_to_2019-02-13_ValuePortfolio_1QRank","2016-03-14_to_2019-03-13_ValuePortfolio_1QRank","2016-04-12_to_2019-04-13_ValuePortfolio_1QRank","2016-05-12_to_2019-05-13_ValuePortfolio_1QRank","2016-06-13_to_2019-06-13_ValuePortfolio_1QRank","2016-07-12_to_2019-07-13_ValuePortfolio_1QRank","2016-08-12_to_2019-08-13_ValuePortfolio_1QRank","2016-09-12_to_2019-09-13_ValuePortfolio_1QRank","2016-10-12_to_2019-10-13_ValuePortfolio_1QRank","2016-11-14_to_2019-11-13_ValuePortfolio_1QRank","2016-12-12_to_2019-12-13_ValuePortfolio_1QRank","2017-01-12_to_2020-01-13_ValuePortfolio_1QRank","2017-02-13_to_2020-02-13_ValuePortfolio_1QRank","2017-03-13_to_2020-03-13_ValuePortfolio_1QRank","2017-04-12_to_2020-04-13_ValuePortfolio_1QRank","2017-05-12_to_2020-05-13_ValuePortfolio_1QRank","2017-06-12_to_2020-06-13_ValuePortfolio_1QRank","2017-07-12_to_2020-07-13_ValuePortfolio_1QRank","2017-08-14_to_2020-08-13_ValuePortfolio_1QRank","2017-09-12_to_2020-09-13_ValuePortfolio_1QRank","2017-10-12_to_2020-10-13_ValuePortfolio_1QRank","2017-11-13_to_2020-11-13_ValuePortfolio_1QRank","2017-12-12_to_2020-12-13_ValuePortfolio_1QRank","2018-01-12_to_2021-01-13_ValuePortfolio_1QRank","2018-02-12_to_2021-02-13_ValuePortfolio_1QRank","2018-03-12_to_2021-03-13_ValuePortfolio_1QRank","2018-04-12_to_2021-04-13_ValuePortfolio_1QRank","2018-05-14_to_2021-05-13_ValuePortfolio_1QRank","2018-06-12_to_2021-06-13_ValuePortfolio_1QRank","2018-07-12_to_2021-07-13_ValuePortfolio_1QRank","2018-08-13_to_2021-08-13_ValuePortfolio_1QRank","2018-09-12_to_2021-09-13_ValuePortfolio_1QRank","2018-10-12_to_2021-10-13_ValuePortfolio_1QRank"
"P Information Ratio","2.12","1.46","1.5","1.44","0.71","0.06","0.14","0.33","0.22","1.23","0.41","-0.19","0.25","1.44","1.76","1.35","0.12","-0.35","-0.21","1.92","1.06","1.14","1.19","0.16","0.37","0","1.36","2.13","1.39","-0.29","-0.17","-0.04","0.66","0.13","0.43","1.57","1.27","1.08","1.09","0.7","1.19","-0.02","-0.43","-0.93","0.04","0.14","0.19","-0.75","-1.22","-1.33","-1.51","-1.63","-0.71","-0.79","-1.67","-1.7","0.08","0.31","0.84","-0.77","-0.65","0.61","0.75","-0.74","-0.59","-0.37","0.58","0.99"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.04","0.67","0.62","0.64","0.46","0.31","0.19","0.35","0.27","0.71","0.3","0.09","0.16","0.52","0.85","0.73","0.18","0.02","0.05","0.96","0.58","0.55","0.39","0.01","0.22","0.07","0.93","1.16","0.95","-0.1","-0.19","-0.23","0.09","-0.08","0.24","0.69","0.58","0.35","0.39","0.28","0.44","0.06","0.06","-0.17","0.37","0.32","0.37","-0.19","-0.5","-0.73","-1.15","-0.81","-0.21","-0.27","-0.86","-0.66","0.08","0.19","0.47","-0.09","-0.28","0.31","0.47","-0.33","-0.46","-0.39","0.18","0.29"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.81","1.07","1.02","0.86","0.69","0.68","0.8","0.68","0.75","0.84","0.76","0.72","0.92","1.12","1.07","0.97","0.79","0.81","0.9","1.14","1.05","1.03","1.05","1.02","0.86","0.83","0.84","1.03","1.16","1.06","1.1","1.25","1.08","1.11","1.09","1.2","1.22","1.22","0.94","1.05","0.96","0.89","0.78","0.82","0.7","0.76","0.71","0.82","1","1.18","1.19","1","0.84","1.02","0.93","0.91","0.95","1.01","0.95","0.78","0.72","1.26","1.11","0.94","1.07","1.11","1.45","1.45"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","74.6","78.85","81.04","81.39","73.63","77.52","80.72","80.33","62.49","69.84","69.86","69.04","86.12","84.07","71.4","69.82","82.31","80.21","88.18","68.89","73.14","72.92","72.33","80.78","84.39","84.81","53.87","68.49","65.82","81.52","68.39","73.21","86.41","80.7","76.62","71.6","79.69","74","84.93","85.28","85.46","87.33","83.63","86.22","69.35","78.48","74.49","76.22","84.37","90.05","82.78","87.81","85.29","92.88","87.37","88","77.45","83.41","77.49","84.21","77.71","79.45","81.34","83.96","82.64","78.91","81.77","84.25"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-12.2663","-17.187","-15.5872","-11.5985","-11.5189","-12.4791","-11.8279","-9.916","-17.8749","-12.3247","-11.3936","-12.0435","-13.8935","-19.9212","-20.1798","-19.3847","-12.7428","-14.1207","-14.8329","-19.3656","-18.9168","-17.1618","-16.6092","-18.6275","-13.7733","-13.1958","-13.2245","-11.9857","-15.4934","-16.5593","-18.6846","-19.1633","-14.1983","-15.4835","-22.3854","-25.1715","-23.8407","-22.5061","-18.514","-21.6891","-20.3972","-16.3648","-15.4006","-17.1321","-12.6025","-13.8172","-13.5291","-18.0814","-30.1907","-36.8824","-44.3014","-36.4012","-30.1983","-34.3362","-34.5284","-35.6499","-32.7413","-30.4593","-34.2329","-34.9715","-31.7138","-35.2589","-31.3107","-31.0686","-38.7491","-41.1131","-43.3332","-39.3913"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","1.0616","-3.8591","-2.2593","1.7294","1.809","0.848799999999999","1.5","3.4119","-4.547","1.0032","1.9343","1.2844","-0.5656","-6.5933","-6.8519","-6.0568","0.585099999999999","-0.7928","-1.505","-6.0377","-5.5889","-3.8339","-3.2813","-5.2996","-0.445400000000001","0.132099999999999","0.103399999999999","1.3422","-2.1655","-4.7231","-6.8484","-7.3271","-2.7847","-4.3107","-2.4261","-5.2122","-3.8814","-2.5468","1.4453","-1.7298","-0.437900000000003","3.5945","4.5587","2.8272","7.3568","6.1421","6.4302","1.8779","-4.1521","-5.3512","-12.7702","-4.87","1.3329","-2.805","-2.9972","-4.1187","-1.2101","1.0719","-2.7017","-3.4403","-0.182600000000001","-3.7277","0.220499999999998","0.462599999999998","-7.2179","-9.5819","-11.802","-7.8601"
