"","2013-09-11_to_2016-09-12_CorePortfolio_3QRank","2013-10-11_to_2016-10-12_CorePortfolio_3QRank","2013-11-11_to_2016-11-12_CorePortfolio_3QRank","2013-12-11_to_2016-12-12_CorePortfolio_3QRank","2014-01-13_to_2017-01-12_CorePortfolio_3QRank","2014-02-11_to_2017-02-12_CorePortfolio_3QRank","2014-03-11_to_2017-03-12_CorePortfolio_3QRank","2014-04-11_to_2017-04-12_CorePortfolio_3QRank","2014-05-12_to_2017-05-12_CorePortfolio_3QRank","2014-06-11_to_2017-06-12_CorePortfolio_3QRank","2014-07-11_to_2017-07-12_CorePortfolio_3QRank","2014-08-11_to_2017-08-12_CorePortfolio_3QRank","2014-09-11_to_2017-09-12_CorePortfolio_3QRank","2014-10-13_to_2017-10-12_CorePortfolio_3QRank","2014-11-11_to_2017-11-12_CorePortfolio_3QRank","2014-12-11_to_2017-12-12_CorePortfolio_3QRank","2015-01-12_to_2018-01-12_CorePortfolio_3QRank","2015-02-11_to_2018-02-12_CorePortfolio_3QRank","2015-03-11_to_2018-03-12_CorePortfolio_3QRank","2015-04-13_to_2018-04-12_CorePortfolio_3QRank","2015-05-11_to_2018-05-12_CorePortfolio_3QRank","2015-06-11_to_2018-06-12_CorePortfolio_3QRank","2015-07-13_to_2018-07-12_CorePortfolio_3QRank","2015-08-11_to_2018-08-12_CorePortfolio_3QRank","2015-09-11_to_2018-09-12_CorePortfolio_3QRank","2015-10-12_to_2018-10-12_CorePortfolio_3QRank","2015-11-11_to_2018-11-12_CorePortfolio_3QRank","2015-12-11_to_2018-12-12_CorePortfolio_3QRank","2016-01-11_to_2019-01-12_CorePortfolio_3QRank","2016-02-11_to_2019-02-12_CorePortfolio_3QRank","2016-03-11_to_2019-03-12_CorePortfolio_3QRank","2016-04-11_to_2019-04-12_CorePortfolio_3QRank","2016-05-11_to_2019-05-12_CorePortfolio_3QRank","2016-06-13_to_2019-06-12_CorePortfolio_3QRank","2016-07-11_to_2019-07-12_CorePortfolio_3QRank","2016-08-11_to_2019-08-12_CorePortfolio_3QRank","2016-09-12_to_2019-09-12_CorePortfolio_3QRank","2016-10-11_to_2019-10-12_CorePortfolio_3QRank","2016-11-11_to_2019-11-12_CorePortfolio_3QRank","2016-12-12_to_2019-12-12_CorePortfolio_3QRank","2017-01-11_to_2020-01-12_CorePortfolio_3QRank","2017-02-13_to_2020-02-12_CorePortfolio_3QRank","2017-03-13_to_2020-03-12_CorePortfolio_3QRank","2017-04-11_to_2020-04-12_CorePortfolio_3QRank","2017-05-11_to_2020-05-12_CorePortfolio_3QRank","2017-06-12_to_2020-06-12_CorePortfolio_3QRank","2017-07-11_to_2020-07-12_CorePortfolio_3QRank","2017-08-11_to_2020-08-12_CorePortfolio_3QRank","2017-09-11_to_2020-09-12_CorePortfolio_3QRank","2017-10-11_to_2020-10-12_CorePortfolio_3QRank","2017-11-13_to_2020-11-12_CorePortfolio_3QRank","2017-12-11_to_2020-12-12_CorePortfolio_3QRank","2018-01-11_to_2021-01-12_CorePortfolio_3QRank","2018-02-12_to_2021-02-12_CorePortfolio_3QRank","2018-03-12_to_2021-03-12_CorePortfolio_3QRank","2018-04-11_to_2021-04-12_CorePortfolio_3QRank","2018-05-11_to_2021-05-12_CorePortfolio_3QRank","2018-06-11_to_2021-06-12_CorePortfolio_3QRank","2018-07-11_to_2021-07-12_CorePortfolio_3QRank","2018-08-13_to_2021-08-12_CorePortfolio_3QRank","2018-09-11_to_2021-09-12_CorePortfolio_3QRank","2018-10-11_to_2021-10-12_CorePortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.81","1.28","1.48","1.21","1.51","0.99","0.94","0.26","0.3","1.76","1.92","2.03","0.57","2.06","1.85","1.17","1.4","1.8","2.32","2.14","1.81","1.82","1.26","1","-0.97","-0.72","-0.06","0.3","0.11","0.92","1.11","0.01","0.63","0.47","0.42","0.32","-0.03","0.2","0.21","0.65","0.16","0.31","0.72","0.35","-0.4","-0.33","-0.17","-1.01","-0.91","-1.03","-0.49","-0.48","0.24","-1.17","-0.41","-0.92","-0.46","-0.65","-0.72","-0.02","-0.9","-0.71"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.49","0.32","0.37","0.3","0.32","0.24","0.26","0.12","0.13","0.47","0.47","0.49","0.2","0.52","0.45","0.46","0.43","0.51","0.71","0.68","0.49","0.46","0.34","0.35","-0.18","-0.18","-0.03","0.07","0.14","0.18","0.29","0.07","0.25","0.14","0.13","0.1","0.06","0.1","0.12","0.21","0.09","0.11","0.15","0.06","-0.08","-0.02","0.06","-0.23","-0.28","-0.22","-0.13","-0.11","-0.09","-0.28","-0.11","-0.19","-0.17","-0.11","-0.12","-0.04","-0.23","-0.11"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","1","0.97","0.99","1.05","1.05","1","0.93","0.93","0.94","1","0.96","0.88","0.94","0.9","0.86","0.91","0.97","0.98","1","0.99","1.04","1.08","1","0.98","1.02","0.96","0.93","0.91","0.92","0.95","0.94","0.91","0.97","0.95","0.96","0.94","0.93","0.95","0.95","0.93","0.94","0.94","0.95","0.93","0.95","0.94","0.94","0.91","0.9","0.98","0.96","1.08","0.97","0.94","0.97","0.96","0.95","0.88","1.04","0.89","0.91"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","91.85","93.3","90.71","91.77","93.66","90.65","91.9","93.12","93.57","90.43","93.02","93.22","92.43","90.83","92.65","89.6","89.2","88.36","85.37","87.6","89.88","91.56","89.28","87.73","93.36","89.74","90.75","89.49","90.77","94.02","94.34","93.59","93.14","94.91","93.7","95.19","96.45","94.57","95.45","95.57","95.8","96.75","96.4","96.57","96.29","96.47","96.83","95.86","95.61","94.96","95.65","94.69","96.13","95.44","95.21","94.54","94.19","93.7","92.97","94.65","89.45","93.01"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.1298","-14.0292","-14.0432","-14.2934","-13.9762","-14.9154","-14.4416","-13.6699","-13.2675","-13.688","-13.9807","-13.4293","-14.0685","-12.9971","-11.9916","-13.0365","-13.3212","-13.9348","-13.9446","-14.0537","-12.5609","-12.8572","-14.7025","-14.1989","-13.0414","-13.5962","-13.3904","-12.7898","-16.6152","-15.4207","-16.8042","-17.4433","-15.5836","-16.9696","-16.6336","-17.884","-17.9752","-17.6826","-18.1759","-17.6761","-17.8287","-17.4952","-25.8435","-32.0754","-33.3468","-33.1405","-32.5076","-33.0856","-32.1505","-31.9848","-34.6603","-33.8653","-35.5025","-34.5401","-33.445","-34.6707","-35.2058","-35.3689","-33.4723","-34.5171","-33.1893","-33.2028"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.1981","-0.7013","-0.715300000000001","-0.9655","-0.648300000000001","-1.5875","-1.1137","-0.342000000000001","0.0603999999999996","-0.360100000000001","-0.652800000000001","-0.1014","-0.740600000000001","0.3308","1.3363","0.291399999999999","0.00670000000000037","-0.6069","-0.6167","-0.7258","0.766999999999999","0.470699999999999","-1.3746","-2.3627","-1.2052","-1.76","-1.9768","-1.617","3.3441","4.5386","3.1551","2.516","4.3757","2.9897","3.3257","2.0753","1.9841","2.2767","1.7835","2.2832","2.1306","2.4641","0.1951","-0.544200000000004","-1.8156","-1.6093","-0.976399999999998","-1.5544","-0.619300000000003","-0.453600000000002","-3.1291","-2.3341","-3.9713","-3.0089","-1.9138","-3.1395","-3.67460000000001","-3.8377","-1.9411","-2.9859","-1.6581","-1.67160000000001"
