"","2013-03-12_to_2015-03-13_VGPortfolio_1QRank","2013-04-12_to_2015-04-13_VGPortfolio_1QRank","2013-05-13_to_2015-05-13_VGPortfolio_1QRank","2013-06-12_to_2015-06-13_VGPortfolio_1QRank","2013-07-12_to_2015-07-13_VGPortfolio_1QRank","2013-08-12_to_2015-08-13_VGPortfolio_1QRank","2013-09-12_to_2015-09-13_VGPortfolio_1QRank","2013-10-14_to_2015-10-13_VGPortfolio_1QRank","2013-11-12_to_2015-11-13_VGPortfolio_1QRank","2013-12-12_to_2015-12-13_VGPortfolio_1QRank","2014-01-13_to_2016-01-13_VGPortfolio_1QRank","2014-02-12_to_2016-02-13_VGPortfolio_1QRank","2014-03-12_to_2016-03-13_VGPortfolio_1QRank","2014-04-14_to_2016-04-13_VGPortfolio_1QRank","2014-05-12_to_2016-05-13_VGPortfolio_1QRank","2014-06-12_to_2016-06-13_VGPortfolio_1QRank","2014-07-14_to_2016-07-13_VGPortfolio_1QRank","2014-08-12_to_2016-08-13_VGPortfolio_1QRank","2014-09-12_to_2016-09-13_VGPortfolio_1QRank","2014-10-13_to_2016-10-13_VGPortfolio_1QRank","2014-11-12_to_2016-11-13_VGPortfolio_1QRank","2014-12-12_to_2016-12-13_VGPortfolio_1QRank","2015-01-12_to_2017-01-13_VGPortfolio_1QRank","2015-02-12_to_2017-02-13_VGPortfolio_1QRank","2015-03-12_to_2017-03-13_VGPortfolio_1QRank","2015-04-13_to_2017-04-13_VGPortfolio_1QRank","2015-05-12_to_2017-05-13_VGPortfolio_1QRank","2015-06-12_to_2017-06-13_VGPortfolio_1QRank","2015-07-13_to_2017-07-13_VGPortfolio_1QRank","2015-08-12_to_2017-08-13_VGPortfolio_1QRank","2015-09-14_to_2017-09-13_VGPortfolio_1QRank","2015-10-12_to_2017-10-13_VGPortfolio_1QRank","2015-11-12_to_2017-11-13_VGPortfolio_1QRank","2015-12-14_to_2017-12-13_VGPortfolio_1QRank","2016-01-12_to_2018-01-13_VGPortfolio_1QRank","2016-02-12_to_2018-02-13_VGPortfolio_1QRank","2016-03-14_to_2018-03-13_VGPortfolio_1QRank","2016-04-12_to_2018-04-13_VGPortfolio_1QRank","2016-05-12_to_2018-05-13_VGPortfolio_1QRank","2016-06-13_to_2018-06-13_VGPortfolio_1QRank","2016-07-12_to_2018-07-13_VGPortfolio_1QRank","2016-08-12_to_2018-08-13_VGPortfolio_1QRank","2016-09-12_to_2018-09-13_VGPortfolio_1QRank","2016-10-12_to_2018-10-13_VGPortfolio_1QRank","2016-11-14_to_2018-11-13_VGPortfolio_1QRank","2016-12-12_to_2018-12-13_VGPortfolio_1QRank","2017-01-12_to_2019-01-13_VGPortfolio_1QRank","2017-02-13_to_2019-02-13_VGPortfolio_1QRank","2017-03-13_to_2019-03-13_VGPortfolio_1QRank","2017-04-12_to_2019-04-13_VGPortfolio_1QRank","2017-05-12_to_2019-05-13_VGPortfolio_1QRank","2017-06-12_to_2019-06-13_VGPortfolio_1QRank","2017-07-12_to_2019-07-13_VGPortfolio_1QRank","2017-08-14_to_2019-08-13_VGPortfolio_1QRank","2017-09-12_to_2019-09-13_VGPortfolio_1QRank","2017-10-12_to_2019-10-13_VGPortfolio_1QRank","2017-11-13_to_2019-11-13_VGPortfolio_1QRank","2017-12-12_to_2019-12-13_VGPortfolio_1QRank","2018-01-12_to_2020-01-13_VGPortfolio_1QRank","2018-02-12_to_2020-02-13_VGPortfolio_1QRank","2018-03-12_to_2020-03-13_VGPortfolio_1QRank","2018-04-12_to_2020-04-13_VGPortfolio_1QRank","2018-05-14_to_2020-05-13_VGPortfolio_1QRank","2018-06-12_to_2020-06-13_VGPortfolio_1QRank","2018-07-12_to_2020-07-13_VGPortfolio_1QRank","2018-08-13_to_2020-08-13_VGPortfolio_1QRank","2018-09-12_to_2020-09-13_VGPortfolio_1QRank","2018-10-12_to_2020-10-13_VGPortfolio_1QRank","2018-11-12_to_2020-11-13_VGPortfolio_1QRank","2018-12-12_to_2020-12-13_VGPortfolio_1QRank","2019-01-14_to_2021-01-13_VGPortfolio_1QRank","2019-02-12_to_2021-02-13_VGPortfolio_1QRank","2019-03-12_to_2021-03-13_VGPortfolio_1QRank","2019-04-12_to_2021-04-13_VGPortfolio_1QRank","2019-05-13_to_2021-05-13_VGPortfolio_1QRank","2019-06-12_to_2021-06-13_VGPortfolio_1QRank","2019-07-12_to_2021-07-13_VGPortfolio_1QRank","2019-08-12_to_2021-08-13_VGPortfolio_1QRank","2019-09-12_to_2021-09-13_VGPortfolio_1QRank"
"P Alpha Stat","1.04","1.2","0.99","0.83","0.59","0.75","0.47","0.71","0.8","0.77","0.57","0.3","0.43","0.52","0.67","0.55","0.34","0.23","0.25","0.41","0.38","0.46","0.66","0.57","0.56","0.58","0.62","0.9","0.61","0.6","0.6","0.38","0.5","0.44","0.81","0.42","0.2","0.7","0.72","0.75","0.61","0.43","0.27","0.25","0.12","0.16","0.1","-0.01","0.31","-0.08","0.14","0.01","0.26","0.12","0.09","-0.03","0.13","-0.18","-0.02","-0.1","-0.16","-0.09","0.25","-0.32","-0.14","0.2","0.19","0.36","-0.06","0.28","0.16","0.07","0.35","0.55","0.39","0.37","0.44","0.04","0.4"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.91","0.89","0.91","0.82","0.74","0.74","0.78","0.79","0.73","0.8","0.7","0.8","0.86","0.95","0.94","0.95","0.88","0.93","0.95","1.04","0.96","0.89","1.02","1","0.91","0.91","0.84","0.94","0.99","0.96","1.05","1.25","1.19","1.15","1","0.99","1.1","1.22","1.13","1.04","1.02","1.01","1.03","1.02","1.02","1.05","1.02","0.96","1.02","1.08","1.04","0.98","0.97","1.03","1.02","1","0.94","1","0.9","0.93","0.9","1.02","0.92","0.93","1.05","0.99","1.09","1.12","0.91","1.11","1.1","0.99","1.16","1.16","1.24","1.3","1.28","0.97","1.23"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","71.44","50.64","67.48","63.06","73.33","63.42","75.96","72.56","70.89","78.56","77.25","82.81","81.86","86.93","89.08","92.79","87.97","92.78","90.43","93.23","84.95","88.74","90.9","89.66","84.92","89.94","89.19","82.44","80.25","86.71","83.73","82.82","81.03","83.07","67.31","82.7","89.58","79.95","79.21","80.52","79.14","81.04","90.43","91.6","91.18","89.91","95","96.34","93.65","91.8","89.68","96.38","96.28","96.2","94.01","95.12","95.6","95.39","94.75","94.26","96.24","97.58","96.9","94.65","97.12","98.39","93.19","95.61","97.74","96.18","93.85","95.32","92.58","92.8","91.13","88.25","91.59","92.02","90.91"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-8.8209","-10.3317","-8.5562","-7.8074","-7.3959","-7.6666","-11.4336","-11.8065","-12.5571","-12.219","-11.5657","-12.2809","-14.6304","-15.2201","-15.7611","-15.3224","-16.0856","-14.1404","-16.4631","-16.3545","-15.9666","-13.4728","-14.7579","-16.1912","-14.5489","-13.1238","-13.0657","-15.1142","-16.4528","-14.2241","-15.2446","-16.7982","-14.8277","-13.9405","-6.7332","-8.6176","-9.1245","-10.7924","-9.1173","-9.987","-9.9225","-10.0972","-10.6335","-10.2235","-11.0762","-11.8171","-19.4825","-20.1864","-21.6632","-22.7352","-21.9417","-18.499","-18.908","-19.4937","-20.0251","-20.0508","-18.3168","-19.651","-17.9438","-18.5352","-25.3385","-33.0917","-30.0112","-30.72","-33.8989","-32.7143","-34.2035","-33.1284","-30.2736","-34.074","-34.8019","-30.5652","-34.31","-33.2686","-34.9158","-36.825","-35.6051","-34.2681","-34.0399"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-1.3111","-2.8219","-1.0464","-0.2976","0.1139","-0.1568","1.8943","1.5214","0.770799999999999","1.1089","1.7622","1.047","-1.3025","-1.8922","-2.4332","-1.9945","-2.7577","-0.8125","-3.1352","-3.0266","-2.6387","-0.1449","-1.43","-2.8633","-1.221","0.2041","0.2622","-1.7863","-3.1249","-2.3879","-3.4084","-4.962","-3.4141","-3.4143","-1.6127","1.7208","1.2139","0.3804","2.0555","1.1858","1.2503","1.0756","0.539300000000001","0.949300000000001","0.0966000000000005","-0.644299999999999","0.476799999999997","-0.2271","-1.7039","-2.7759","-1.9824","1.4603","1.0513","0.465599999999998","-0.0657999999999994","-0.0914999999999999","1.6425","0.308299999999999","2.0155","1.4241","0.700099999999999","-1.5605","1.52","0.811199999999999","-2.3677","-1.1831","-2.6723","-1.5972","1.2576","-2.5428","-3.27070000000001","0.965999999999998","-2.7788","-1.7374","-3.3846","-5.2938","-4.0739","-2.7369","-2.5087"
