"","2015-12-11_to_2016-12-12_CorePortfolio_12QRank","2016-01-11_to_2017-01-12_CorePortfolio_12QRank","2016-02-11_to_2017-02-12_CorePortfolio_12QRank","2016-03-11_to_2017-03-12_CorePortfolio_12QRank","2016-04-11_to_2017-04-12_CorePortfolio_12QRank","2016-05-11_to_2017-05-12_CorePortfolio_12QRank","2016-06-13_to_2017-06-12_CorePortfolio_12QRank","2016-07-11_to_2017-07-12_CorePortfolio_12QRank","2016-08-11_to_2017-08-12_CorePortfolio_12QRank","2016-09-12_to_2017-09-12_CorePortfolio_12QRank","2016-10-11_to_2017-10-12_CorePortfolio_12QRank","2016-11-11_to_2017-11-12_CorePortfolio_12QRank","2016-12-12_to_2017-12-12_CorePortfolio_12QRank","2017-01-11_to_2018-01-12_CorePortfolio_12QRank","2017-02-13_to_2018-02-12_CorePortfolio_12QRank","2017-03-13_to_2018-03-12_CorePortfolio_12QRank","2017-04-11_to_2018-04-12_CorePortfolio_12QRank","2017-05-11_to_2018-05-12_CorePortfolio_12QRank","2017-06-12_to_2018-06-12_CorePortfolio_12QRank","2017-07-11_to_2018-07-12_CorePortfolio_12QRank","2017-08-11_to_2018-08-12_CorePortfolio_12QRank","2017-09-11_to_2018-09-12_CorePortfolio_12QRank","2017-10-11_to_2018-10-12_CorePortfolio_12QRank","2017-11-13_to_2018-11-12_CorePortfolio_12QRank","2017-12-11_to_2018-12-12_CorePortfolio_12QRank","2018-01-11_to_2019-01-12_CorePortfolio_12QRank","2018-02-12_to_2019-02-12_CorePortfolio_12QRank","2018-03-12_to_2019-03-12_CorePortfolio_12QRank","2018-04-11_to_2019-04-12_CorePortfolio_12QRank","2018-05-11_to_2019-05-12_CorePortfolio_12QRank","2018-06-11_to_2019-06-12_CorePortfolio_12QRank","2018-07-11_to_2019-07-12_CorePortfolio_12QRank","2018-08-13_to_2019-08-12_CorePortfolio_12QRank","2018-09-11_to_2019-09-12_CorePortfolio_12QRank","2018-10-11_to_2019-10-12_CorePortfolio_12QRank","2018-11-12_to_2019-11-12_CorePortfolio_12QRank","2018-12-11_to_2019-12-12_CorePortfolio_12QRank","2019-01-11_to_2020-01-12_CorePortfolio_12QRank","2019-02-11_to_2020-02-12_CorePortfolio_12QRank","2019-03-11_to_2020-03-12_CorePortfolio_12QRank","2019-04-11_to_2020-04-12_CorePortfolio_12QRank","2019-05-13_to_2020-05-12_CorePortfolio_12QRank","2019-06-11_to_2020-06-12_CorePortfolio_12QRank","2019-07-11_to_2020-07-12_CorePortfolio_12QRank","2019-08-12_to_2020-08-12_CorePortfolio_12QRank","2019-09-11_to_2020-09-12_CorePortfolio_12QRank","2019-10-11_to_2020-10-12_CorePortfolio_12QRank","2019-11-11_to_2020-11-12_CorePortfolio_12QRank","2019-12-11_to_2020-12-12_CorePortfolio_12QRank","2020-01-13_to_2021-01-12_CorePortfolio_12QRank","2020-02-11_to_2021-02-12_CorePortfolio_12QRank","2020-03-11_to_2021-03-12_CorePortfolio_12QRank","2020-04-13_to_2021-04-12_CorePortfolio_12QRank","2020-05-11_to_2021-05-12_CorePortfolio_12QRank","2020-06-11_to_2021-06-12_CorePortfolio_12QRank","2020-07-13_to_2021-07-12_CorePortfolio_12QRank","2020-08-11_to_2021-08-12_CorePortfolio_12QRank","2020-09-11_to_2021-09-12_CorePortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.278","19.769","23.623","19.938","13.831","15.124","13.449","11.028","9.941","16.021","18.633","18.068","20.533","21.962","12.724","14.445","11.58","10.148","9.782","7.661","9.393","8.454","4.919","2.97","-3.233","-8.043","1.998","-0.02","9.524","7.761","7.723","8.605","4.374","5.928","9.061","10.177","18.384","22.947","20.195","-14.63","-3.275","0.53","0.399","9.857","21.145","15.953","22.966","6.797","9.012","11.226","10.39","53.672","45.687","43.842","43.015","36.36","32.171","34.024"
"B Annualized Returns","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","2.061","0.706999999999997","0.794","2.21","0.468999999999999","-0.253","-3.051","-2.114","-1.854","0.665000000000001","0.16","-0.942999999999998","2.08","-0.881","-1.834","-2.051","-1.231","-3.367","-4.504","-7.091","-6.708","-7.538","-4.736","-3.251","-2.856","-1.805","-0.55","-0.454","0.103","1.496","3.905","0.699000000000001","2.624","1.821","0.704000000000001","-3.608","-1.73","-4.346","-5.687","-5.085","-3.119","-5.855","-8.838","-1.845","0.413","-0.408999999999999","-1.679","-11.172","-9.862","-6.226","-8.767","-5.379","-3.063","4.643","2.864","-1.032","1.105","-0.908999999999999"
"P Volatility","12.02","7.96","7.82","6.72","6.96","6.84","6.91","6.26","6.36","5.84","4.31","4.59","4.54","5.08","5.31","7.46","8.76","8.99","8.83","8.35","9.89","10.04","9.84","10.61","10.85","13.5","14.48","15","14.59","14.27","16.01","17.54","17.04","17.27","16.4","17.02","13.67","12.8","12.87","16.59","20.67","24.15","22.15","23.4","23.8","26.76","27.7","23.69","26.41","25.88","23.83","17.68","16.64","16.11","15.91","16.84","15.32","13.68"
"B Volatility","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","2.05","-0.00999999999999979","0.28","0.55","0.73","0.6","0.78","0.74","0.91","0.53","0.0499999999999998","0.44","0.28","0.82","-0.260000000000001","-0.52","-0.790000000000001","-0.58","-0.859999999999999","-1.29","-0.25","-0.41","-0.59","-2.43","-2.2","-1.3","-1.98","-1.07","-1.57","-2.23","-2.44","-1.8","-2.01","-1.92","-1.19","-0.66","0.209999999999999","0.450000000000001","0.469999999999999","0.41","1.53","1.93","0.639999999999997","1.81","1.99","3.64","3.46","-0.93","0.0500000000000007","-0.530000000000001","-0.0600000000000023","-1.25","0.770000000000001","0.0199999999999996","-0.440000000000001","0.77","0.99","1.6"
"P Tracking Error","3.75","2.47","1.89","1.93","1.72","1.84","1.69","1.96","1.93","1.81","1.78","2.4","2.14","1.89","1.88","1.76","2.18","2.69","2.42","2.25","2.62","3.65","2.91","4.55","4.92","4.37","4.57","4.44","4.81","5.18","5.01","5.17","4.34","4.18","3.33","2.62","2.78","2.69","3.04","1.97","2.94","3.18","3.65","3.85","3.37","5.03","5.34","6.14","6.81","6.52","7.16","7.38","7.69","7.9","7.83","9.05","8.06","6.95"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
