"","2014-06-11_to_2015-06-12_GrowthPortfolio_6QRank","2014-07-11_to_2015-07-12_GrowthPortfolio_6QRank","2014-08-11_to_2015-08-12_GrowthPortfolio_6QRank","2014-09-11_to_2015-09-12_GrowthPortfolio_6QRank","2014-10-13_to_2015-10-12_GrowthPortfolio_6QRank","2014-11-11_to_2015-11-12_GrowthPortfolio_6QRank","2014-12-11_to_2015-12-12_GrowthPortfolio_6QRank","2015-01-12_to_2016-01-12_GrowthPortfolio_6QRank","2015-02-11_to_2016-02-12_GrowthPortfolio_6QRank","2015-03-11_to_2016-03-12_GrowthPortfolio_6QRank","2015-04-13_to_2016-04-12_GrowthPortfolio_6QRank","2015-05-11_to_2016-05-12_GrowthPortfolio_6QRank","2015-06-11_to_2016-06-12_GrowthPortfolio_6QRank","2015-07-13_to_2016-07-12_GrowthPortfolio_6QRank","2015-08-11_to_2016-08-12_GrowthPortfolio_6QRank","2015-09-11_to_2016-09-12_GrowthPortfolio_6QRank","2015-10-12_to_2016-10-12_GrowthPortfolio_6QRank","2015-11-11_to_2016-11-12_GrowthPortfolio_6QRank","2015-12-11_to_2016-12-12_GrowthPortfolio_6QRank","2016-01-11_to_2017-01-12_GrowthPortfolio_6QRank","2016-02-11_to_2017-02-12_GrowthPortfolio_6QRank","2016-03-11_to_2017-03-12_GrowthPortfolio_6QRank","2016-04-11_to_2017-04-12_GrowthPortfolio_6QRank","2016-05-11_to_2017-05-12_GrowthPortfolio_6QRank","2016-06-13_to_2017-06-12_GrowthPortfolio_6QRank","2016-07-11_to_2017-07-12_GrowthPortfolio_6QRank","2016-08-11_to_2017-08-12_GrowthPortfolio_6QRank","2016-09-12_to_2017-09-12_GrowthPortfolio_6QRank","2016-10-11_to_2017-10-12_GrowthPortfolio_6QRank","2016-11-11_to_2017-11-12_GrowthPortfolio_6QRank","2016-12-12_to_2017-12-12_GrowthPortfolio_6QRank","2017-01-11_to_2018-01-12_GrowthPortfolio_6QRank","2017-02-13_to_2018-02-12_GrowthPortfolio_6QRank","2017-03-13_to_2018-03-12_GrowthPortfolio_6QRank","2017-04-11_to_2018-04-12_GrowthPortfolio_6QRank","2017-05-11_to_2018-05-12_GrowthPortfolio_6QRank","2017-06-12_to_2018-06-12_GrowthPortfolio_6QRank","2017-07-11_to_2018-07-12_GrowthPortfolio_6QRank","2017-08-11_to_2018-08-12_GrowthPortfolio_6QRank","2017-09-11_to_2018-09-12_GrowthPortfolio_6QRank","2017-10-11_to_2018-10-12_GrowthPortfolio_6QRank","2017-11-13_to_2018-11-12_GrowthPortfolio_6QRank","2017-12-11_to_2018-12-12_GrowthPortfolio_6QRank","2018-01-11_to_2019-01-12_GrowthPortfolio_6QRank","2018-02-12_to_2019-02-12_GrowthPortfolio_6QRank","2018-03-12_to_2019-03-12_GrowthPortfolio_6QRank","2018-04-11_to_2019-04-12_GrowthPortfolio_6QRank","2018-05-11_to_2019-05-12_GrowthPortfolio_6QRank","2018-06-11_to_2019-06-12_GrowthPortfolio_6QRank","2018-07-11_to_2019-07-12_GrowthPortfolio_6QRank","2018-08-13_to_2019-08-12_GrowthPortfolio_6QRank","2018-09-11_to_2019-09-12_GrowthPortfolio_6QRank","2018-10-11_to_2019-10-12_GrowthPortfolio_6QRank","2018-11-12_to_2019-11-12_GrowthPortfolio_6QRank","2018-12-11_to_2019-12-12_GrowthPortfolio_6QRank","2019-01-11_to_2020-01-12_GrowthPortfolio_6QRank","2019-02-11_to_2020-02-12_GrowthPortfolio_6QRank","2019-03-11_to_2020-03-12_GrowthPortfolio_6QRank","2019-04-11_to_2020-04-12_GrowthPortfolio_6QRank","2019-05-13_to_2020-05-12_GrowthPortfolio_6QRank","2019-06-11_to_2020-06-12_GrowthPortfolio_6QRank","2019-07-11_to_2020-07-12_GrowthPortfolio_6QRank","2019-08-12_to_2020-08-12_GrowthPortfolio_6QRank","2019-09-11_to_2020-09-12_GrowthPortfolio_6QRank","2019-10-11_to_2020-10-12_GrowthPortfolio_6QRank","2019-11-11_to_2020-11-12_GrowthPortfolio_6QRank","2019-12-11_to_2020-12-12_GrowthPortfolio_6QRank","2020-01-13_to_2021-01-12_GrowthPortfolio_6QRank","2020-02-11_to_2021-02-12_GrowthPortfolio_6QRank","2020-03-11_to_2021-03-12_GrowthPortfolio_6QRank","2020-04-13_to_2021-04-12_GrowthPortfolio_6QRank","2020-05-11_to_2021-05-12_GrowthPortfolio_6QRank","2020-06-11_to_2021-06-12_GrowthPortfolio_6QRank","2020-07-13_to_2021-07-12_GrowthPortfolio_6QRank","2020-08-11_to_2021-08-12_GrowthPortfolio_6QRank","2020-09-11_to_2021-09-12_GrowthPortfolio_6QRank"
"P Information Ratio","1.98","2.61","2.14","1.67","1.8","1.37","1.26","0.56","0.7","0.57","1.24","0.86","0.74","-0.33","1.53","-0.57","1.58","1.77","0.3","1.74","4.81","2.4","2.48","4.16","2.47","2.49","2.2","1.7","1.94","2.42","2.36","2.2","2.48","2.42","2.64","2.15","2.56","1.44","1.46","1.17","0.58","0.41","0.26","0.39","0.14","-0.57","-0.34","-0.23","-0.26","0.35","0.57","0.2","0.38","0.34","-0.55","-0.19","0.06","0.42","0.6","1.56","0.93","0.64","0.23","0.39","1.16","1.54","0.97","6.69","4.51","1.33","1.32","1.17","1.42","1.13","1.12","0.62"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.85","1.41","0.94","0.89","0.76","1.08","1.34","0.41","0.38","0.5","0.92","0.29","0.51","-0.21","0.57","0.09","0.75","0.58","0.11","0.32","0.72","0.83","1.93","1.5","2.13","1.78","2.07","1.79","2.05","1.96","2.04","1.41","0.89","0.9","1.1","0.81","0.82","0.56","0.66","0.75","0.36","0.41","0.18","-0.07","-0.2","0.08","-0.27","-0.12","-0.03","0.37","0.17","0.17","0.24","0.34","-0.01","0.35","0.18","-0.03","0.21","0.65","0.88","0.64","0.37","0.09","0.98","0.92","0.88","2.19","1.78","0.66","0.51","0.48","-0.03","0.2","0.23","-0.2"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.95","0.85","0.87","0.89","0.89","0.7","0.66","0.71","0.86","0.83","0.86","0.8","0.81","0.74","0.87","0.74","1.21","1.3","1.25","1.18","1.03","0.74","0.58","0.67","0.48","0.49","0.54","0.48","0.33","0.66","0.58","0.62","1.13","1.15","1.17","1.19","1.11","1.24","1.09","1.16","1.1","1.28","1.3","1.08","1.27","1.11","1.1","1","1.02","1.12","0.99","1.07","0.94","0.9","0.91","0.79","0.79","0.88","0.79","0.79","0.82","0.78","0.83","0.81","0.79","0.76","0.78","1.07","0.98","1.09","1.12","1.27","1.24","1.1","1.02","1.08"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","66.83","59.31","62.92","70.93","76.24","66.4","64.67","67.85","76.86","74.75","83.14","82.66","73.72","86.49","87.6","93.35","86.22","88.66","86.15","81.29","82.08","57.22","17.53","39.24","10.95","1.92","1.71","-3.89","-8.42","0.26","-0.24","0.5","52.8","55.16","67.26","66.57","81.95","74.47","59.06","57.19","59.37","77.59","71.78","81.41","95.24","90.78","91.15","86.39","89","92.19","91.74","91.5","93.09","88.07","79.45","77.26","81.44","88.91","88.5","88.46","85.88","86.06","88.41","91.83","92.1","94.01","92.73","95.07","95.57","82.07","81.44","76.72","83.95","80.6","77.35","76.73"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.921","-10.265","-11.0062","-14.1745","-15.0975","-12.8265","-12.6002","-13.6213","-15.2695","-14.9856","-14.8467","-15.143","-17.2354","-15.5203","-15.5666","-13.7765","-16.8244","-17.3212","-16.0339","-9.6404","-4.7263","-4.4869","-5.5092","-5.2756","-4.2093","-5.212","-5.1881","-5.7325","-5.61","-4.1405","-3.72","-3.8655","-9.1828","-8.8931","-9.8168","-9.1292","-9.3388","-9.739","-10.0204","-11.1008","-10.6719","-14.2813","-18.1203","-26.0848","-25.9121","-24.0809","-24.1112","-22.9853","-22.3673","-23.37","-22.439","-24.6466","-19.3859","-16.88","-12.3704","-8.0446","-8.3592","-25.1178","-28.9709","-26.9696","-25.9391","-27.8722","-29.1238","-29.0994","-28.1495","-26.581","-27.3275","-29.8273","-29.6805","-15.0338","-12.3757","-13.7274","-13.1177","-12.8599","-12.8499","-12.0977"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-3.4112","-2.7552","-3.4964","-0.8466","-1.7696","0.5014","0.7277","-0.2934","-1.9416","-1.6577","-1.5188","-1.8151","-3.9075","-2.1924","-3.7304","-1.9403","-4.9882","-5.9076","-5.5077","-4.52","0.3941","0.6335","-0.3888","-0.1551","0.6375","-0.569199999999999","-0.5453","-1.6461","-2.3776","-1.2372","-0.8167","-0.9622","1.1556","1.4453","1.356","2.0436","1.834","1.4338","1.1524","0.072000000000001","0.5009","-3.1085","-6.9475","-6.1255","-5.9528","-4.1216","-4.1519","-3.026","-2.408","-3.4107","-2.4797","-4.6873","-2.6443","-1.0674","-0.872","-0.375500000000001","-0.690099999999999","0.9208","2.5603","4.5616","5.5921","3.659","2.4074","2.4318","3.3817","4.9502","4.2037","1.7039","1.8507","0.9054","-1.8736","-3.2253","-2.6156","-2.3579","-2.3478","-4.1651"
