"","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","6.722","6.773","9.634","15.724","6.368","5.984","11.87","22.163","24.392","11.802","8.874","2.639","10.428","7.296","4.487","13.081","13.285","12.165","12.589","21.485","14.548","17.704","16.991","20.824","21.101","15.357","18.274","17.525","6.937","9.601","4.594","-2.922","3.747","3.706","6.042","6.331","-1.326","5.391","3.903","4.143","5.872","3.607","9.614","9.675","9.753","-15.662","-4.201","-8.135","-10.64","-14.507","-7.44","-10.223","38.856","-4.272","0.184","3.705","48.668","104.847","94.864","92.499","92.449","72.456","64.267","53.991","6.233","3.846","5.414","4.939","4.75","2","6.395","8.8","3.627","3.779","2.667","0.553","5.628","5.298","4.631","11.544","9.71","10.97","16.381","23.898","29.122","21.304","17.818","22.9","22.479","19.983","19.662","18.401","14.924","13.625","11.812","7.617","7.517","5.605","5.46","4.777","3.98","9.011","2.634","4.479","1.252","2.993","2.13","-0.553","5.901","-6.99","-0.364","-3.819","-5.363","-5.801","-1.785","-4.008","20.578","1.751","6.472","10.097","31.411","32.231","32.795","41.155","49.288","46.806","54.291","50.005"
"B Annualized Returns","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","19.418","13.362","15.377","16.5","13.142","11.795","15.356","18.473","18.741","18.453","22.843","14.559","16.496","12.811","13.515","14.286","14.752","16.259","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","3.731","4.139","5.679","4.053","6.291","2.937","6.055","6.089","5.849","8.486","6.517","7.038","7.783","7.837","8.498","13.287","12.629","10.917","14.267","20.938","18.573","16.99","13.086","14.487","15.386","13.944","13.925","15.674","13.978","12.401","8.631","6.838","8.379","8.156","11.103","9.835","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.225","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.396"
"AR DIFF(P-B)","6.907","3.992","4.277","4.473","-0.706","1.13","1.653","3.101","1.563","-7.616","-4.488","-12.738","-6.072","-5.846","-7.308","-2.275","-5.188","-6.576","-5.864","-1.358","-0.0109999999999992","1.208","4.18","7.309","6.815","0.604999999999999","2.015","1.533","-2.718","3.38","4.971","3.316","1.199","3.272","-3.379","-0.178999999999999","-5.144","-2.515","2.153","0.0359999999999996","-2.485","-10.178","-10.5","-17.52","-16.129","-6.117","-4.045","-14.52","-19.877","-26.209","-28.172","-26.585","14.211","-22.241","-18.69","-13.747","29.511","45.796","46.114","53.3","52.298","35.064","33.201","23.403","2.502","-0.293","-0.265000000000001","0.886","-1.541","-0.937","0.34","2.711","-2.222","-4.707","-3.85","-6.485","-2.155","-2.539","-3.867","-1.743","-2.919","0.0530000000000008","2.114","2.96","10.549","4.314","4.732","8.413","7.093","6.039","5.737","2.727","0.946","1.224","3.181","0.779","-0.861999999999999","-2.551","-5.643","-5.058","-4.946","-2.266","-5.806","-5.41","-6.708","-6.95","-7.26","-9.778","-7.717","-3.017","-5.021","-8.731","-12.275","-15.936","-13.495","-14.072","5.388","-14.234","-13.02","-12.921","9.277","12.285","11.628","19.464","26.045","23.913","28.498","24.609"
"P Volatility","11.74","13.2","10.36","9.83","9.31","9.69","10.81","10.9","10.78","6.73","7.49","6.08","5.29","5.54","6.78","7.85","6.57","4.59","6.76","6.73","7.64","10.38","12.89","11.27","10.35","11.58","12.31","11.01","12.26","12.11","13.9","14.37","15.27","13.78","15.69","15.31","15.66","16.14","15.22","17.67","16.31","16.35","9.61","7.54","9.32","14.91","17.63","18.1","21.63","23.09","23.85","22.42","32.89","24.6","33.5","29.77","40.43","31.27","32.85","34.62","36.19","33.69","26.94","25.54","8.89","10.28","10.19","9.91","10.65","10.68","12.13","14.02","13.05","12.18","11.99","10.6","10.54","11.87","12.06","12.66","9.26","8.83","10.35","9.26","11.54","11.87","13.29","11.74","11.02","11.55","11.94","10.62","10.92","8.85","10.29","11.77","12.46","11.74","13.1","12.66","12.82","12.95","12.2","14.09","13.14","13.1","12.6","11.77","11.07","13.76","15.77","16.8","19.4","21.17","21.34","21.22","26.44","22.54","26.51","22.41","31.7","28.85","31.11","30.59","31.15","29.03","27.9","28.99"
"B Volatility","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-4.43","-2.77","-4.36","-4.22","-0.459999999999999","-0.220000000000001","0.84","2.93","3.24","0.56","1.26","-0.16","-0.84","0.0200000000000005","1.33","2.54","2.31","0.44","2.5","2.47","2.07","2.4","3.34","1.7","0.66","1.94","2.17","0.56","1.83","-0.93","0.85","-0.430000000000001","-1.19","-2.29","-0.470000000000001","-1.19","-2.79","-3.2","-3.83","-1.52","-1.28","-1.33","-3.85","-4.81","-3.08","-1.27","-1.51","-4.12","0.119999999999997","1.5","2.04","-0.699999999999999","8.65","-0.0199999999999996","7.14","3.36","16.54","12.34","16.98","18.53","19.84","17.62","12.61","13.46","-4.04","-2.63","-2.73","-2.98","-2.22","-2.17","-0.84","1.56","1.17","0.219999999999999","0.0400000000000009","-1.35","-1.25","0.149999999999999","1.44","2.49","1.56","1.15","2.82","3.15","4.93","5","5.58","4.01","3.26","4.02","4.16","2.71","3.28","-0.66","0.829999999999998","-0.140000000000001","-0.0799999999999983","-0.869999999999999","0.44","-0.25","-1.29","-1.82","-2.57","-0.800000000000001","-1.73","-1.76","-2.41","-2.88","-3.15","-1.66","-1.59","-2.72","-0.25","1.61","1.59","0.629999999999999","6.19","2.01","6.51","2.72","11.95","9.11","11.38","11.76","12.61","10.47","9.55","10.62"
"P Tracking Error","7.54","7.51","8.98","8.41","5.52","5.89","4.87","4.81","4.77","5.15","4.48","4.76","3.02","3.23","4.56","5.8","5.06","3.09","5.01","5.25","6.1","6.75","7.74","4.64","4.46","5.86","4.68","2.73","4.41","3.35","3.37","4.2","6.61","5.27","5.72","6.49","7.23","6.29","6.29","4.3","5.63","7.09","8.79","7.89","8.44","5.55","5.11","7.11","7.07","5.64","6.54","7.35","12.36","8.48","14.75","10.67","20.42","17.45","20.08","22.14","23.04","20.85","16.53","16.71","6.83","6.07","7.08","6.52","5.58","6.2","4.87","4.49","4.72","5.72","4.97","5.98","4.11","4.3","5.56","6.52","4.85","5.39","5.91","6.34","8.89","9.24","9.78","7.34","7.15","8.39","7.82","6.33","6.55","3.71","4.91","4.84","6.19","5.25","5.84","6.06","6.23","6.02","7.44","5.93","6.58","6.65","7.86","8.31","7.66","5.92","5.62","6.55","6.7","6.99","8.31","9.46","9.91","7.74","11.82","7.87","15.6","13.61","16.05","17.07","17.56","16.25","15.24","15.63"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
