"","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-1.367","11.535","16.245","11.666","7.958","9.374","6.855","18.553","51.456","36.403","27.112","22.77","42.574","18.559","31.094","21.084","45.773","52.349","42.526","49.014","37.588","39.399","37.514","32.11","32.558","28.391","26.991","25.102","16.807","9.866","4.766","-0.565","0.604","-1.968","4.715","6.552","-0.614","4.057","-3.724","0.402","8.429","18.325","26.015","31.802","31.214","-3.968","6.736","26.357","33.677","29.412","38.051","36.763","52.519","37.127","26.812","26.585","28.339","67.845","49.272","33.276","38.519","32.017","30.617","30.885","8.535","17.19","17.459","10.048","11.58","11.318","10.889","8.171","20.372","19","17.145","13.485","23.003","9.316","21.309","14.722","29.355","29.397","26.253","37.5","37.05","33.307","33.683","34.045","32.83","30.636","28.735","28.757","26.384","23.528","19.626","17.473","13.496","14.986","17.691","17.779","12.21","13.931","10.933","13.14","10.051","14.093","13.583","12.657","16.497","-2.46","7.641","13.035","17.173","20.07","21.324","20.029","27.603","26.112","21.732","27.314","27.118","24.686","24.038","25.522","26.365","22.883","26.452","25.387"
"B Annualized Returns","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","19.418","13.362","15.377","16.5","13.142","11.795","15.356","18.473","18.741","18.453","22.843","14.559","16.496","12.811","13.515","14.286","14.752","16.259","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","3.731","4.139","5.679","4.053","6.291","2.937","6.055","6.089","5.849","8.486","6.517","7.038","7.783","7.837","8.498","13.287","12.629","10.917","14.267","20.938","18.573","16.99","13.086","14.487","15.386","13.944","13.925","15.674","13.978","12.401","8.631","6.838","8.379","8.156","11.103","9.835","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.225","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.396"
"AR DIFF(P-B)","-1.182","8.754","10.888","0.415000000000001","0.884","4.52","-3.362","-0.509","28.627","16.985","13.75","7.393","26.074","5.417","19.299","5.728","27.3","33.608","24.073","26.171","23.029","22.903","24.703","18.595","18.272","13.639","10.732","9.11","7.152","3.645","5.143","5.673","-1.944","-2.402","-4.706","0.0419999999999998","-4.432","-3.849","-5.474","-3.705","0.072000000000001","4.54","5.901","4.607","5.332","5.577","6.892","19.972","24.44","17.71","17.319","20.401","27.874","19.158","7.938","9.133","9.182","8.794","0.521999999999998","-5.92299999999999","-1.63200000000001","-5.375","-0.448999999999998","0.297000000000001","4.804","13.051","11.78","5.995","5.289","8.381","4.834","2.082","14.523","10.514","10.628","6.447","15.22","1.479","12.811","1.435","16.726","18.48","11.986","16.562","18.477","16.317","20.597","19.558","17.444","16.692","14.81","13.083","12.406","11.127","10.995","10.635","5.117","6.83","6.588","7.944","3.284","2.654","2.493","3.251","2.091","4.15","4.193","3.432","2.879","1.513","2.984","8.123","10.261","9.935","9.614","9.965","12.413","10.127","2.24","4.296","4.984","4.74","2.871","3.831","3.122","-0.0100000000000016","0.659000000000002","-0.00900000000000034"
"P Volatility","17.8","15.84","17.76","15.39","15.11","13.27","14.09","10.58","9.58","7.8","6.93","7.81","8.33","6.99","8.13","7.26","8.54","8.89","8.14","9.48","14.03","14.49","16.46","16.1","14.35","13.61","14.57","14.09","13.11","18.59","18.41","15.61","17.84","18.86","18.09","19.31","20.95","24.1","24.91","23.89","22.44","21.49","19.64","17.57","15.9","19.62","22.91","25.67","23.91","21.72","22","23.95","25.33","24.18","25.51","25.54","21.92","19.35","14.48","14.33","14.82","13.65","11.89","9.91","14.4","13.39","14.75","13.48","14.04","12.9","13.12","12.45","12.9","12.21","11.79","11.16","12.7","10.25","10.9","8.85","10.94","11.86","11.37","9.76","11.27","10.7","12.1","12.18","11.25","10.85","11.53","11.8","11.18","14.21","14.04","14.95","14.55","15.61","15.48","16.19","16.55","18.84","19.7","19.69","20.13","19.23","20.39","19.35","18.36","18.28","20.34","22.31","21.81","21.18","20.33","22.58","20.99","20.11","19.5","18.76","18.38","19.15","17.81","16.27","16.29","15.71","15.8","14.85"
"B Volatility","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","1.63","-0.130000000000001","3.04","1.34","5.34","3.36","4.12","2.61","2.04","1.63","0.699999999999999","1.57","2.2","1.47","2.68","1.95","4.28","4.74","3.88","5.22","8.46","6.51","6.91","6.53","4.66","3.97","4.43","3.64","2.68","5.55","5.36","0.809999999999999","1.38","2.79","1.93","2.81","2.5","4.76","5.86","4.7","4.85","3.81","6.18","5.22","3.5","3.44","3.77","3.45","2.4","0.129999999999999","0.190000000000001","0.829999999999998","1.09","-0.440000000000001","-0.849999999999998","-0.870000000000001","-1.97","0.420000000000002","-1.39","-1.76","-1.53","-2.42","-2.44","-2.17","1.47","0.48","1.83","0.59","1.17","0.0500000000000007","0.149999999999999","-0.0100000000000016","1.02","0.25","-0.16","-0.789999999999999","0.91","-1.47","0.280000000000001","-1.32","3.24","4.18","3.84","3.65","4.66","3.83","4.39","4.45","3.49","3.32","3.75","3.89","3.54","4.7","4.58","3.04","2.01","3","2.82","3.28","2.44","4.07","4.93","4.8","5.26","4.37","5.38","4.7","4.14","2.86","2.98","2.79","2.16","1.62","0.579999999999998","1.99","0.739999999999998","-0.420000000000002","-0.5","-0.93","-1.37","-0.59","-1.92","-2.56","-2.25","-2.85","-2.55","-3.52"
"P Tracking Error","8.54","7.5","8.18","6.99","8.19","6.27","6.1","4.09","5.47","5.89","5.43","6","7.7","5.71","7.17","6.16","9.43","8.84","8.14","9.38","10.31","9.34","10.69","9.78","7.96","7.7","10.53","9.9","9.3","9.15","8.92","6.33","3.78","5.84","4.73","6.51","4.49","5.77","7.25","6.74","7.54","5.56","7.14","6.27","4.97","6.76","7.17","7.16","7.33","5.56","5.83","4.8","5.19","6.03","6.02","6.58","5.7","6.1","6.36","5.21","4.84","5.42","5.69","6.09","7.44","7.01","6.95","6.61","7.23","7.45","7.84","6.38","6.28","6.3","5.85","5.97","8.22","5.77","6.18","5.27","7.29","7.38","7.03","7.32","7.77","7.09","8.51","8.3","7.67","7.61","9.25","9.76","9.21","8.6","8.22","7.64","4.98","6.92","6.63","7.16","4.98","6.51","7.77","8.3","8.54","7.31","8.64","7.33","5.45","6.2","6.31","6.95","7.17","6.08","5.67","6.14","5.55","5.94","5.85","5.94","5.32","5.76","6.2","6.75","6.48","6.8","6.24","7.25"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
