"","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-4.111","-6.277","2.474","6.447","3.023","2.785","2.624","6.241","0.263","0.845","2.972","10.583","18","15.357","6.811","-17.27","-13.526","-18.891","-14.703","-15.749","28.121","16.169","-6.413","-12.015","-5.464","-2.77","3.398","80.466","63.587","89.652","62.967","57.319","53.79","49.678"
"B Annualized Returns","-0.169","-6.92","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","6.675","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","38.619","37.088","31.563","33.761"
"AR DIFF(P-B)","-3.942","0.643","-0.0599999999999996","4.504","-6.398","-0.67","-2.014","-1.665","-3.099","-2.607","-3.703","-3.451","-1.976","-13.506","-18.373","-16.982","-12.341","-22.92","-23.94","-25.784","4.001","-0.192999999999998","-30.295","-31.353","-24.338","-21.154","-15.759","21.415","14.227","46.7","24.348","20.231","22.227","15.917"
"P Volatility","9.17","11.95","13.21","11.82","12.94","13.91","15.43","17.68","19.26","20.84","20.28","21.29","18.29","15.44","16.22","19.68","23.77","26.16","25.41","25.99","29.63","36.5","23.97","22.49","26.92","27.59","29.61","19.81","19.46","19.89","18.95","20.45","22.74","20.48"
"B Volatility","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-3.88","-2.85","-3.25","-4.25","-3.22","-2.59","-3.02","-1.66","0.210000000000001","1.65","2.69","3.61","4.83","3.09","3.82","3.5","4.63","3.94","3.9","4.4","7.82","13.38","-0.27","-2.13","0.560000000000002","1.18","5.72","0.879999999999999","3.59","3.8","2.6","4.38","8.41","8.4"
"P Tracking Error","8.99","7.34","6.29","7.13","7.14","6.45","6.16","5.38","3.79","4.78","5.2","6.46","7.15","5.54","7.81","6.76","7.98","10.11","9.92","10.56","10.74","17.1","7.84","9.12","10.71","11.44","15.42","15.74","16.45","17.4","16.95","17.41","17.2","16.89"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
