"","2013-03-12_to_2014-03-13_GrowthPortfolio_1QRank","2013-04-12_to_2014-04-13_GrowthPortfolio_1QRank","2013-05-13_to_2014-05-13_GrowthPortfolio_1QRank","2013-06-12_to_2014-06-13_GrowthPortfolio_1QRank","2013-07-12_to_2014-07-13_GrowthPortfolio_1QRank","2013-08-12_to_2014-08-13_GrowthPortfolio_1QRank","2013-09-12_to_2014-09-13_GrowthPortfolio_1QRank","2013-10-14_to_2014-10-13_GrowthPortfolio_1QRank","2013-11-12_to_2014-11-13_GrowthPortfolio_1QRank","2013-12-12_to_2014-12-13_GrowthPortfolio_1QRank","2014-01-13_to_2015-01-13_GrowthPortfolio_1QRank","2014-02-12_to_2015-02-13_GrowthPortfolio_1QRank","2014-03-12_to_2015-03-13_GrowthPortfolio_1QRank","2014-04-14_to_2015-04-13_GrowthPortfolio_1QRank","2014-05-12_to_2015-05-13_GrowthPortfolio_1QRank","2014-06-12_to_2015-06-13_GrowthPortfolio_1QRank","2014-07-14_to_2015-07-13_GrowthPortfolio_1QRank","2014-08-12_to_2015-08-13_GrowthPortfolio_1QRank","2014-09-12_to_2015-09-13_GrowthPortfolio_1QRank","2014-10-13_to_2015-10-13_GrowthPortfolio_1QRank","2014-11-12_to_2015-11-13_GrowthPortfolio_1QRank","2014-12-12_to_2015-12-13_GrowthPortfolio_1QRank","2015-01-12_to_2016-01-13_GrowthPortfolio_1QRank","2015-02-12_to_2016-02-13_GrowthPortfolio_1QRank","2015-03-12_to_2016-03-13_GrowthPortfolio_1QRank","2015-04-13_to_2016-04-13_GrowthPortfolio_1QRank","2015-05-12_to_2016-05-13_GrowthPortfolio_1QRank","2015-06-12_to_2016-06-13_GrowthPortfolio_1QRank","2015-07-13_to_2016-07-13_GrowthPortfolio_1QRank","2015-08-12_to_2016-08-13_GrowthPortfolio_1QRank","2015-09-14_to_2016-09-13_GrowthPortfolio_1QRank","2015-10-12_to_2016-10-13_GrowthPortfolio_1QRank","2015-11-12_to_2016-11-13_GrowthPortfolio_1QRank","2015-12-14_to_2016-12-13_GrowthPortfolio_1QRank","2016-01-12_to_2017-01-13_GrowthPortfolio_1QRank","2016-02-12_to_2017-02-13_GrowthPortfolio_1QRank","2016-03-14_to_2017-03-13_GrowthPortfolio_1QRank","2016-04-12_to_2017-04-13_GrowthPortfolio_1QRank","2016-05-12_to_2017-05-13_GrowthPortfolio_1QRank","2016-06-13_to_2017-06-13_GrowthPortfolio_1QRank","2016-07-12_to_2017-07-13_GrowthPortfolio_1QRank","2016-08-12_to_2017-08-13_GrowthPortfolio_1QRank","2016-09-12_to_2017-09-13_GrowthPortfolio_1QRank","2016-10-12_to_2017-10-13_GrowthPortfolio_1QRank","2016-11-14_to_2017-11-13_GrowthPortfolio_1QRank","2016-12-12_to_2017-12-13_GrowthPortfolio_1QRank","2017-01-12_to_2018-01-13_GrowthPortfolio_1QRank","2017-02-13_to_2018-02-13_GrowthPortfolio_1QRank","2017-03-13_to_2018-03-13_GrowthPortfolio_1QRank","2017-04-12_to_2018-04-13_GrowthPortfolio_1QRank","2017-05-12_to_2018-05-13_GrowthPortfolio_1QRank","2017-06-12_to_2018-06-13_GrowthPortfolio_1QRank","2017-07-12_to_2018-07-13_GrowthPortfolio_1QRank","2017-08-14_to_2018-08-13_GrowthPortfolio_1QRank","2017-09-12_to_2018-09-13_GrowthPortfolio_1QRank","2017-10-12_to_2018-10-13_GrowthPortfolio_1QRank","2017-11-13_to_2018-11-13_GrowthPortfolio_1QRank","2017-12-12_to_2018-12-13_GrowthPortfolio_1QRank","2018-01-12_to_2019-01-13_GrowthPortfolio_1QRank","2018-02-12_to_2019-02-13_GrowthPortfolio_1QRank","2018-03-12_to_2019-03-13_GrowthPortfolio_1QRank","2018-04-12_to_2019-04-13_GrowthPortfolio_1QRank","2018-05-14_to_2019-05-13_GrowthPortfolio_1QRank","2018-06-12_to_2019-06-13_GrowthPortfolio_1QRank","2018-07-12_to_2019-07-13_GrowthPortfolio_1QRank","2018-08-13_to_2019-08-13_GrowthPortfolio_1QRank","2018-09-12_to_2019-09-13_GrowthPortfolio_1QRank","2018-10-12_to_2019-10-13_GrowthPortfolio_1QRank","2018-11-12_to_2019-11-13_GrowthPortfolio_1QRank","2018-12-12_to_2019-12-13_GrowthPortfolio_1QRank","2019-01-14_to_2020-01-13_GrowthPortfolio_1QRank","2019-02-12_to_2020-02-13_GrowthPortfolio_1QRank","2019-03-12_to_2020-03-13_GrowthPortfolio_1QRank","2019-04-12_to_2020-04-13_GrowthPortfolio_1QRank","2019-05-13_to_2020-05-13_GrowthPortfolio_1QRank","2019-06-12_to_2020-06-13_GrowthPortfolio_1QRank","2019-07-12_to_2020-07-13_GrowthPortfolio_1QRank","2019-08-12_to_2020-08-13_GrowthPortfolio_1QRank","2019-09-12_to_2020-09-13_GrowthPortfolio_1QRank","2019-10-14_to_2020-10-13_GrowthPortfolio_1QRank","2019-11-12_to_2020-11-13_GrowthPortfolio_1QRank","2019-12-12_to_2020-12-13_GrowthPortfolio_1QRank","2020-01-13_to_2021-01-13_GrowthPortfolio_1QRank","2020-02-12_to_2021-02-13_GrowthPortfolio_1QRank","2020-03-12_to_2021-03-13_GrowthPortfolio_1QRank","2020-04-13_to_2021-04-13_GrowthPortfolio_1QRank","2020-05-12_to_2021-05-13_GrowthPortfolio_1QRank","2020-06-12_to_2021-06-13_GrowthPortfolio_1QRank","2020-07-13_to_2021-07-13_GrowthPortfolio_1QRank","2020-08-12_to_2021-08-13_GrowthPortfolio_1QRank","2020-09-14_to_2021-09-13_GrowthPortfolio_1QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","39.79","36.722","28.916","33.49","25.221","27.284","27.369","17.67","23.007","19.86","14.525","14.032","16.961","16.631","12.489","8.624","17.504","16.755","11.637","12.597","6.378","5.643","-0.254","-2.637","4.7","10.424","5.505","0.685","-0.905","14.697","22.299","13.828","13.317","16.87","27.031","12.433","7.493","21.288","33.251","29.364","19.172","27.171","34.366","40.705","27.866","25.723","32.78","22.329","37.377","22.393","34.423","23.316","29.988","19.346","25.528","16.324","11.831","1.377","-3.132","4.12","2.229","12.511","9.303","2.529","9.14","4.618","2.123","11.228","7.899","9.168","22.757","20.531","-7.633","-1.185","1.978","4.723","-0.35","12.846","50.204","27.996","40.834","51.329","61.469","54.739","74.989","52.575","45.533","68.779","53.622","46.64","34.422"
"B Annualized Returns","16.431","12.55","14.691","16.269","15.846","14.078","17.4","10.446","13.927","11.808","10.384","14.231","10.828","12.771","9.672","7.842","5.52","6.003","-2.716","5.514","-0.371","3.505","-5.471","-9.112","-1.152","0.881","-2.688","0.284","2.267","5.357","9.721","7.273","4.854","11.052","17.077","22.901","17.789","11.48","15.377","16.879","13.395","11.963","17.126","18.992","19.473","17.508","22.843","14.823","15.565","13.306","13.601","13.426","14.605","14.558","16.443","9.655","5.99","-0.169","-6.92","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","6.675","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","38.619","37.088","31.563","33.761"
"AR DIFF(P-B)","23.359","24.172","14.225","17.221","9.375","13.206","9.969","7.224","9.08","8.052","4.141","-0.199","6.133","3.86","2.817","0.782000000000001","11.984","10.752","14.353","7.083","6.749","2.138","5.217","6.475","5.852","9.543","8.193","0.401","-3.172","9.34","12.578","6.555","8.463","5.818","9.954","-10.468","-10.296","9.808","17.874","12.485","5.777","15.208","17.24","21.713","8.393","8.215","9.937","7.506","21.812","9.087","20.822","9.89","15.383","4.788","9.085","6.669","5.841","1.546","3.788","1.586","0.286","3.09","5.848","-2.109","1.234","1.256","-1.329","4.553","-6.135","-10.808","-6.106","-4.653","-7.345","0","-2.051","-4.514","-10.385","-11.274","33.842","4.114","21.496","32.455","43.085","35.582","15.938","3.215","2.581","30.16","16.534","15.077","0.660999999999994"
"P Volatility","13.33","15.15","12.57","12.47","10.26","12.16","11.73","12.36","12.12","11.49","9.01","10.51","10.82","9.78","10.17","11.45","11.65","11.12","12.5","12.1","13.26","12.54","13.99","14.54","14.98","18.61","16.61","18.05","15.94","13.62","14.21","11.51","13.24","12.73","9.78","10.62","7.82","7.85","7.69","6.39","8.4","8.58","8.86","7.45","7.57","7.78","7.21","8.8","11.28","12.13","15.8","13.09","15.4","13.1","15.73","13.56","18.19","13.9","16.69","20.67","19.88","19.04","16.16","17.99","18.96","15.21","14.7","15.29","12.46","9.75","9.51","13.34","15.9","20.27","24.57","23.54","22.51","19.2","33.46","19.5","33.15","38.94","33.2","26.48","23.24","19.64","20.01","20.63","19.84","17.12","12.41"
"B Volatility","10.63","10.61","10.58","10.01","9.31","8.17","8.4","7.94","7.69","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","2.7","4.54","1.99","2.46","0.949999999999999","3.99","3.33","4.42","4.43","3.77","3.91","2.85","1.52","-0.25","0.19","1.5","1.43","1.2","0.550000000000001","-0.0999999999999996","-2.99","-3.74","-1.45","-0.49","0.110000000000001","2.3","0.34","1.88","-0.0300000000000011","-1.1","0.16","1.74","3.33","2.76","1.81","3.08","1.65","1.62","1.45","0.26","2.88","3.13","3.55","3.19","3.42","3.52","2.95","3.23","3.3","2.58","6.23","3.4","5.76","2.96","5.28","3.13","5.15","0.85","1.89","4.21","3.81","2.88","-0.34","-0.460000000000001","-0.379999999999999","-3.84","-4.49","-2.3","-5.22","-3.71","-2.84","0.94","-0.279999999999999","1.13","2.35","2.03","0.920000000000002","-2.61","10.34","-4.74","8.53","12.58","6.79","2.59","4.31","3.77","3.92","4.28","3.77","2.79","0.33"
"P Tracking Error","7","14.6","11.06","10.08","8.81","10.33","11.56","9.92","10.64","8.38","6.89","10.09","8.27","5.56","5.61","3.27","6","4.75","3.61","4.06","7.59","8.56","7.54","7.03","7.46","7.15","6.29","6.41","5.87","4.64","3.76","3.78","4.76","3.99","5.4","9.25","7.26","5.61","4.92","5.7","5.87","6.18","5.47","5.72","5.81","6.51","5.56","5.64","7.78","7.53","9.15","5.92","7.99","5.13","9.45","6.4","8.76","2.93","2.97","6.34","6.81","5.6","5.45","4.82","5.57","5.22","7.75","6.47","9.03","7.8","6.92","4.24","3.97","3.69","5.97","8.29","6.31","5.76","15.16","8.37","12.64","16.3","10.83","7.06","9.53","9.29","9.54","6.35","7.35","8.61","3.21"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
