"","1 Y 2013-12-11 to 2014-12-12","1 Y 2014-01-13 to 2015-01-12","1 Y 2014-02-11 to 2015-02-12","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.439","12.718","12.84","5.806","8.384","8.237","9.3","5.696","4.772","-3.75","11.566","5.188","12.988","9.184","-11.592","-0.909","-0.225","-1.331","1.272","4.902","4.35","12.519","5.832","11.367","22.739","29.844","51.819","26.861","24.186","24.321","24.731","22.23","22.923","21.791","23.948","15.769","17.52","15.666","2.066","3.097","2.052","-1.461","2.466","2.296","6.094","6.335","-1.131","-1.439","-7.055","-11.329","1.824","-1.657","5.885","9.485","7.2","6.285","3.588","4.718","3.835","13.625","16.931","19.188","18.51","-19.909","-3.592","7.032","13.446","30.906","43.405","2.18","14.054","-2.886","34.372","0.023","10.313","93.487","70.057","89.967","66.265","67.04","59.842","61.838"
"B Annualized Returns","11.808","10.7","14.273","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","2.631","2.018","-1.433","-4.417","-5.792","-1.58","1.458","0.819","-2.172","-0.579","5.436","4.132","11.251","12.538","-2.48","0.243","-0.31","-0.632","1.457","2.121","-1.007","1.268","-1.242","6.513","12.522","10.782","28.99","9.133","10.824","8.944","8.231","9.088","11.128","6.435","5.475","-3.242","-0.933","-7.177","-12.492","-13.399","-10.759","-14.976","-11.82","-12.456","-10.007","-9.657","-10.786","-7.66","-6.678","-5.091","-0.724","-2.091","-3.536","3.22","3.382","-1.621","1.838","0.611","-4.522","-0.16","-3.183","-8.105","-7.372","-10.364","-3.436","0.647","4.209","19.204","22.673","-14.182","-10.591","-20.855","15.498","-17.429","-8.844","34.436","21.307","50.768","26.114","29.648","28.776","26.905"
"P Volatility","7.85","6.6","6.38","6.91","5.59","6.41","7.43","8.99","8.29","11.65","12.73","14.98","16.66","16.8","18.69","16.96","16.51","13.86","14.52","15.83","16.75","15.74","12.47","12.53","14.07","12.33","15.26","12.81","14.39","13.41","12.74","10.76","11.21","10.04","6.91","4.69","5.99","5.71","4.9","8.67","9.41","9.48","9.93","10.21","11.64","9.6","10.76","14.1","12.19","13.33","14.62","14.9","15.6","14.77","15.85","19","19.18","20.32","21.45","26.04","23.09","19.75","20.08","20.78","25.34","26.52","27.57","24.33","24.75","24.03","21.81","21.56","36.77","26.55","30.14","22.04","23.39","25.02","24.64","25.88","26.13","24.88"
"B Volatility","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","0.13","1.5","-1.28","-2.39","-4.44","-3.57","-2.52","-1.23","-1.63","-0.299999999999999","0.530000000000001","-1.27","0.379999999999999","1.36","3.66","2.09","0.200000000000003","-2.41","-1.65","-0.140000000000001","2.03","1.69","2.7","2.62","4.1","4.36","7.72","6.64","8.16","7.17","6.61","5.24","5.76","4.73","2.65","0.54","1.73","1.45","-0.67","0.69","-0.140000000000001","-0.0899999999999999","0.24","0.57","1.5","-0.85","0.33","1.06","-0.860000000000001","-1.47","-1.84","-1.17","-0.56","-1.73","-2.6","-0.34","0.129999999999999","1.13","3.86","8.36","9.63","7.4","7.68","4.6","6.2","4.3","6.06","2.74","2.94","0.91","-2.43","-3.06","10.41","0.140000000000001","6.25","3.11","7.52","8.93","8.29","9.81","11.8","12.8"
"P Tracking Error","4.15","3.79","5.83","6.54","6.83","6.62","3.57","2.83","5.68","4.28","3.32","4.74","5.28","4.58","6.49","7.34","5.69","7.93","5.97","5.44","8.43","8.24","4.75","5.31","6.35","8.16","11.22","10.28","11.75","9.86","9.73","9.1","9.89","7.97","4.84","3.65","4.92","3.23","4.18","4.17","5.58","6.28","6.54","8.15","6.85","5.87","6.29","5.7","6.43","6.84","7.61","7.21","8.81","10.47","10.29","7.21","6.5","7.87","6.75","10.52","10.96","8.54","8.71","7.05","9.26","9.44","10.5","9.63","8.33","9.66","9.62","9.17","14.51","8.52","12.67","15.84","17.66","20.38","21.76","21.15","19.31","20.61"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
