"","1 Y 2013-12-11 to 2015-12-12","1 Y 2014-01-13 to 2016-01-12","1 Y 2014-02-11 to 2016-02-12","1 Y 2014-03-11 to 2016-03-12","1 Y 2014-04-11 to 2016-04-12","1 Y 2014-05-12 to 2016-05-12","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2013-12-11 to 2015-12-12","2 Y 2014-01-13 to 2016-01-12","2 Y 2014-02-11 to 2016-02-12","2 Y 2014-03-11 to 2016-03-12","2 Y 2014-04-11 to 2016-04-12","2 Y 2014-05-12 to 2016-05-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","2.721","-2.017","-9.123","-2.443","-0.846","2.318","0.792","8.07","5.701","14.924","10.998","12.77","11.554","25.16","25.311","21.525","21.514","26.269","27.28","26.165","20.828","25.613","22.012","18.493","17.06","22.503","14.454","17.71","11.978","15.116","14.752","18.023","15.815","18.777","5.195","6.305","1.515","-1.856","5.318","3.339","11.968","9.791","7.033","10.523","4.391","5.822","9.588","12.203","16.377","21.849","21.46","-14.6","-4.099","-2.874","-1.345","6.541","14.791","3.03","9.8","13.891","21.17","26.705","27.783","76.977","46.074","43.54","41.607","44.782","36.371","39.59","10.459","5.913","3.785","5.849","9.236","7.937","5.914","9.181","10.276","9.898","11.766","9.946","7.4","10.188","8.265","11.711","11.62","13.919","15.108","15.915","14.724","19.897","14.266","10.773","13.628","20.65","17.424","17.732","11.554","13.513","14.549","15.747","12.64","17.928","12.761","14.03","11.059","11.086","11.161","10.351","12.418","11.803","10.167","12.86","9.213","9.877","8.642","8.826","6.522","6.985","11.116","-6.706","1.282","0.464","0.871","7.135","9.256","3.876","8.728","12.32","19.89","25.132","24.455","23.354","15.609","17.205","18.836","19.097","23.006","29.812"
"B Annualized Returns","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","19.418","13.362","15.377","16.5","13.142","11.795","15.356","18.473","18.741","18.453","22.843","14.559","16.496","12.811","13.515","14.286","14.752","16.259","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","7.303","3.425","1.912","4.38","6.23","4.358","3.731","4.139","5.679","4.053","6.291","2.937","6.055","6.089","5.849","8.486","6.517","7.038","7.783","7.837","8.498","13.287","12.629","10.917","14.267","20.938","18.573","16.99","13.086","14.487","15.386","13.944","13.925","15.674","13.978","12.401","8.631","6.838","8.379","8.156","11.103","9.835","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.225","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.396"
"AR DIFF(P-B)","0.984","1.337","-0.0109999999999992","-1.291","-0.931","3.017","0.977","5.289","0.343999999999999","3.673","3.924","7.916","1.337","6.098","2.482","2.107","8.152","10.892","10.78","13.023","9.033","10.257","3.539","-0.248000000000001","-1.393","-0.34","-0.104999999999999","1.214","-0.833","1.601","0.466000000000001","3.271","-0.444000000000001","2.785","-4.46","0.0839999999999996","1.892","4.382","2.77","2.905","2.547","3.281","3.215","2.617","2.641","1.715","1.231","-1.582","-3.737","-5.346","-4.422","-5.055","-3.943","-9.259","-10.582","-5.161","-5.941","-13.332","-14.845","-4.078","2.296","9.253","8.626","17.926","-2.676","4.341","1.456","7.38999999999999","5.305","9.002","3.156","2.488","1.873","1.469","3.006","3.579","2.183","5.042","4.597","5.845","5.475","7.009","1.345","4.099","2.416","3.225","5.103","6.881","7.325","8.078","6.226","6.61","1.637","-0.144","-0.638999999999999","-0.288","-1.149","0.742000000000001","-1.532","-0.974","-0.837","1.803","-1.285","2.254","-1.217","1.629","2.428","4.248","2.782","2.195","1.315","1.968","1.241","1.583","0.773","-0.0119999999999987","0.681999999999999","-1.117","-2.868","-2.24","-2.502","-2.733","-3.375","-4.448","-6.041","-3","-2.454","-6.188","-6.462","-3.665","0.398","2.114","2.321","3.408","-5.558","-4.486","-4.407","-3.796","-2.787","4.416"
"P Volatility","15.16","14.63","14.99","15.11","16.57","16.68","15.84","15.53","13.69","13.23","10.35","11.29","10.92","7.69","7.21","5.88","6.73","7.28","6.72","6.49","6.4","6.07","4.59","5.03","4.39","4.61","5.9","8.1","9","9.78","9.35","9.73","10.13","10.32","9.83","12.32","12.76","13.13","15.38","15.2","14.33","14.76","16.81","17.91","17.88","18.57","16.43","16.98","13.14","10.83","12.37","16.04","20.22","23.42","22.53","22.75","23.32","22.06","22.44","25.37","28.59","29.93","26.38","22.33","15.61","15.55","15.58","14.93","14.1","17.56","11.95","11.71","12.8","13.06","13.54","13.63","12.72","12.54","12.51","12.34","11.96","12.54","12.27","11.99","10.72","10.78","11.96","12.47","11.66","11.8","10.53","10.44","8.51","8.42","7.99","6.42","7.1","7.28","7.72","7.8","7.62","7.73","8.03","7.85","7.65","9.22","9.41","11.38","12.06","12.3","11.79","12.02","13.11","14.11","13.87","14.29","13.86","13.8","14.29","13.66","13.47","14.98","17.42","19.72","20.04","19.53","20.05","18.88","18.97","20.43","21.16","21.8","21.24","22.77","20.51","20.12","19.5","19.94","19.34","22.47"
"B Volatility","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-1.12","-0.809999999999999","-0.0399999999999991","0.24","0.260000000000002","0.41","-0.330000000000002","-0.440000000000001","-1.03","-0.82","0.58","1.38","0.949999999999999","-0.279999999999999","-0.33","-0.29","0.5","1.04","0.59","0.970000000000001","0.95","0.760000000000001","0.33","0.88","0.13","0.350000000000001","0.33","0.119999999999999","-0.550000000000001","0.209999999999999","-0.34","0.0899999999999999","-0.00999999999999979","-0.129999999999999","-0.6","-0.719999999999999","-0.290000000000001","-1.67","-1.08","-0.870000000000001","-1.83","-1.74","-1.64","-1.43","-1.17","-0.620000000000001","-1.16","-0.699999999999999","-0.32","-1.52","-0.0300000000000011","-0.140000000000001","1.08","1.2","1.02","1.16","1.51","-1.06","-1.8","0.75","2.23","3.52","2.49","3.4","-0.26","-0.539999999999999","-0.770000000000001","-1.14","-0.23","5.48","-0.280000000000001","-0.119999999999999","0.57","0.81","0.549999999999999","0.690000000000001","-0.209999999999999","-0.370000000000001","-0.41","-0.550000000000001","-0.909999999999998","-0.31","-0.700000000000001","-0.470000000000001","-1.16","-1.18","0.0100000000000016","0.520000000000001","-0.129999999999999","0.0800000000000001","-0.0899999999999999","0.27","0.81","0.74","0.46","0.31","0.489999999999999","0.41","0.00999999999999979","0.0699999999999994","-0.14","0.2","0.249999999999999","-0.0600000000000005","0.0100000000000007","-0.289999999999999","-0.0500000000000007","-0.529999999999999","-0.479999999999999","-0.309999999999999","-0.870000000000001","-0.890000000000001","-1","-0.66","-0.9","-0.600000000000001","-1.01","-1.06","-0.720000000000001","-0.99","-0.75","-0.44","0.0600000000000023","0.199999999999999","0.390000000000001","-0.0299999999999976","0.300000000000001","-1.71","-1.28","-0.100000000000001","1.16","2.11","1.49","3.03","0.780000000000001","1.29","0.960000000000001","1.38","0.989999999999998","4.1"
"P Tracking Error","3.97","3.37","3.54","2.77","2.87","3.11","2.56","2.42","3.31","3.11","1.79","3.12","2.04","1.61","2.67","2.1","2.07","3.27","3.49","3.93","3.18","3.03","1.41","2.01","1.65","1.46","1.14","1.22","1.83","2.16","2.05","1.86","1.26","2.15","2.68","2.41","3.11","2.79","3.1","3.99","3.29","3.94","4.3","4.02","3.84","3.27","2.91","2.37","2.96","2.76","2.24","3.36","2.87","3.79","3.28","2.74","2.98","3.49","6.1","4.12","6.33","6.45","4.77","6.01","5.92","5.28","5.12","6.48","4.77","7.68","3.51","3.15","3.37","3.27","3.21","2.97","3.12","2.98","3.27","3.15","3.08","2.95","2.92","2.91","3.25","2.9","3.06","3.09","3.39","3.66","2.79","2.76","2.01","2.26","1.94","1.92","1.85","1.99","2.22","1.8","1.64","1.67","2","1.97","2.6","1.93","2.56","2.44","2.34","2.98","2.63","2.99","3.34","2.96","3.2","3.03","2.61","3.68","3.85","3.69","2.92","3.27","3.15","3.52","3.61","3.75","3.57","4.81","5.21","3.48","5","5.18","4.2","5.12","5.12","4.67","4.62","6.04","4.84","6.39"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.25","0.4","0","-0.47","-0.32","0.97","0.38","2.19","0.1","1.18","2.19","2.54","0.66","3.79","0.93","1","3.94","3.33","3.09","3.31","2.84","3.39","2.51","-0.12","-0.84","-0.23","-0.09","1","-0.46","0.74","0.23","1.76","-0.35","1.3","-1.66","0.03","0.61","1.57","0.89","0.73","0.77","0.83","0.75","0.65","0.69","0.52","0.42","-0.67","-1.26","-1.94","-1.97","-1.5","-1.37","-2.44","-3.23","-1.88","-1.99","-3.82","-2.43","-0.99","0.36","1.43","1.81","2.98","-0.45","0.82","0.28","1.14","1.11","1.17","0.9","0.79","0.56","0.45","0.94","1.21","0.7","1.69","1.41","1.86","1.78","2.38","0.46","1.41","0.74","1.11","1.67","2.23","2.16","2.21","2.23","2.39","0.81","-0.06","-0.33","-0.15","-0.62","0.37","-0.69","-0.54","-0.51","1.08","-0.64","1.14","-0.47","0.84","0.95","1.74","1.19","0.74","0.5","0.66","0.37","0.53","0.24","0","0.26","-0.3","-0.74","-0.61","-0.86","-0.84","-1.07","-1.26","-1.67","-0.8","-0.69","-1.29","-1.24","-1.05","0.08","0.41","0.55","0.67","-1.09","-0.96","-0.95","-0.63","-0.58","0.69"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.32","0.23","0.1","-0.15","0","0.28","0.08","0.34","0.23","0.38","0.54","0.49","0.01","0.66","0.16","0.31","0.53","0.63","0.9","0.9","0.72","0.78","0.19","-0.09","-0.02","-0.08","-0.12","0.05","0.08","0.19","0.12","0.32","-0.04","0.13","-0.25","-0.05","0.11","0.06","0.19","0.32","0.31","0.31","0.33","0.24","0.26","0.23","0.18","-0.06","-0.22","-0.11","-0.31","-0.36","-0.45","-0.73","-0.88","-0.56","-0.71","-1.39","-0.92","-0.31","0.18","0.3","0.57","0.57","0.36","0.23","0.53","0.93","0.61","-0.34","0.31","0.23","0.22","0.15","0.25","0.3","0.18","0.47","0.4","0.54","0.41","0.49","0.19","0.41","0.23","0.28","0.46","0.47","0.59","0.63","0.61","0.51","0.07","-0.03","-0.1","0.06","-0.17","0.01","-0.08","0.02","0.01","0.17","-0.07","0.14","-0.06","0.17","0.22","0.3","0.22","0.24","0.16","0.19","0.14","0.23","0.11","0.06","0.11","-0.02","-0.18","-0.09","-0.12","-0.22","-0.33","-0.37","-0.44","-0.28","-0.21","-0.56","-0.44","-0.29","-0.03","-0.09","0.16","0.1","-0.34","-0.5","-0.31","-0.28","-0.28","-0.01"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.9","0.93","0.97","1","1","1.01","0.97","0.96","0.91","0.92","1.04","1.1","1.08","0.95","0.89","0.9","1.03","1.04","0.94","0.94","1.02","0.99","1.02","1.12","0.96","1.03","1.04","1","0.93","1","0.94","0.99","0.99","0.97","0.91","0.93","0.95","0.88","0.92","0.92","0.87","0.87","0.89","0.91","0.92","0.95","0.92","0.95","0.95","0.86","0.98","0.97","1.05","1.04","1.04","1.05","1.06","0.94","0.9","1.02","1.06","1.11","1.09","1.15","0.91","0.91","0.9","0.85","0.93","1.36","0.94","0.95","1.01","1.03","1.01","1.03","0.95","0.94","0.94","0.93","0.9","0.95","0.92","0.94","0.87","0.88","0.97","1.01","0.95","0.96","0.96","0.99","1.08","1.06","1.03","1","1.04","1.02","0.96","0.98","0.96","1","1","0.96","0.94","0.95","0.96","0.94","0.95","0.95","0.91","0.91","0.9","0.94","0.92","0.94","0.92","0.9","0.92","0.9","0.93","0.95","0.99","0.99","1","0.98","1","0.89","0.91","0.98","1.03","1.08","1.06","1.13","1.01","1.04","1.02","1.02","1.02","1.19"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
