"","2013-09-11_to_2016-09-12_ALLPortfolio_3QRank","2013-10-11_to_2016-10-12_ALLPortfolio_3QRank","2013-11-11_to_2016-11-12_ALLPortfolio_3QRank","2013-12-11_to_2016-12-12_ALLPortfolio_3QRank","2014-01-13_to_2017-01-12_ALLPortfolio_3QRank","2014-02-11_to_2017-02-12_ALLPortfolio_3QRank","2014-03-11_to_2017-03-12_ALLPortfolio_3QRank","2014-04-11_to_2017-04-12_ALLPortfolio_3QRank","2014-05-12_to_2017-05-12_ALLPortfolio_3QRank","2014-06-11_to_2017-06-12_ALLPortfolio_3QRank","2014-07-11_to_2017-07-12_ALLPortfolio_3QRank","2014-08-11_to_2017-08-12_ALLPortfolio_3QRank","2014-09-11_to_2017-09-12_ALLPortfolio_3QRank","2014-10-13_to_2017-10-12_ALLPortfolio_3QRank","2014-11-11_to_2017-11-12_ALLPortfolio_3QRank","2014-12-11_to_2017-12-12_ALLPortfolio_3QRank","2015-01-12_to_2018-01-12_ALLPortfolio_3QRank","2015-02-11_to_2018-02-12_ALLPortfolio_3QRank","2015-03-11_to_2018-03-12_ALLPortfolio_3QRank","2015-04-13_to_2018-04-12_ALLPortfolio_3QRank","2015-05-11_to_2018-05-12_ALLPortfolio_3QRank","2015-06-11_to_2018-06-12_ALLPortfolio_3QRank","2015-07-13_to_2018-07-12_ALLPortfolio_3QRank","2015-08-11_to_2018-08-12_ALLPortfolio_3QRank","2015-09-11_to_2018-09-12_ALLPortfolio_3QRank","2015-10-12_to_2018-10-12_ALLPortfolio_3QRank","2015-11-11_to_2018-11-12_ALLPortfolio_3QRank","2015-12-11_to_2018-12-12_ALLPortfolio_3QRank","2016-01-11_to_2019-01-12_ALLPortfolio_3QRank","2016-02-11_to_2019-02-12_ALLPortfolio_3QRank","2016-03-11_to_2019-03-12_ALLPortfolio_3QRank","2016-04-11_to_2019-04-12_ALLPortfolio_3QRank","2016-05-11_to_2019-05-12_ALLPortfolio_3QRank","2016-06-13_to_2019-06-12_ALLPortfolio_3QRank","2016-07-11_to_2019-07-12_ALLPortfolio_3QRank","2016-08-11_to_2019-08-12_ALLPortfolio_3QRank","2016-09-12_to_2019-09-12_ALLPortfolio_3QRank","2016-10-11_to_2019-10-12_ALLPortfolio_3QRank","2016-11-11_to_2019-11-12_ALLPortfolio_3QRank","2016-12-12_to_2019-12-12_ALLPortfolio_3QRank","2017-01-11_to_2020-01-12_ALLPortfolio_3QRank","2017-02-13_to_2020-02-12_ALLPortfolio_3QRank","2017-03-13_to_2020-03-12_ALLPortfolio_3QRank","2017-04-11_to_2020-04-12_ALLPortfolio_3QRank","2017-05-11_to_2020-05-12_ALLPortfolio_3QRank","2017-06-12_to_2020-06-12_ALLPortfolio_3QRank","2017-07-11_to_2020-07-12_ALLPortfolio_3QRank","2017-08-11_to_2020-08-12_ALLPortfolio_3QRank","2017-09-11_to_2020-09-12_ALLPortfolio_3QRank","2017-10-11_to_2020-10-12_ALLPortfolio_3QRank","2017-11-13_to_2020-11-12_ALLPortfolio_3QRank","2017-12-11_to_2020-12-12_ALLPortfolio_3QRank","2018-01-11_to_2021-01-12_ALLPortfolio_3QRank","2018-02-12_to_2021-02-12_ALLPortfolio_3QRank","2018-03-12_to_2021-03-12_ALLPortfolio_3QRank","2018-04-11_to_2021-04-12_ALLPortfolio_3QRank","2018-05-11_to_2021-05-12_ALLPortfolio_3QRank","2018-06-11_to_2021-06-12_ALLPortfolio_3QRank","2018-07-11_to_2021-07-12_ALLPortfolio_3QRank","2018-08-13_to_2021-08-12_ALLPortfolio_3QRank","2018-09-11_to_2021-09-12_ALLPortfolio_3QRank","2018-10-11_to_2021-10-12_ALLPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","10.056","11.527","10.986","12.908","11.087","12.798","12.129","15.676","16.238","12.06","11.902","12.739","16.034","15.947","14.069","15.828","17.627","12.211","10.729","9.516","12.203","12.973","13.361","13.095","21.609","18.251","15.806","13.127","14.537","19.079","14.095","16.198","14.642","14.321","14.796","12.296","15.461","13.631","13.155","11.977","13.796","13.684","1.298","6.481","7.935","8.758","10.38","14.143","13.557","15.653","13.019","14.931","13.503","20.232","15.964","20.672","19.109","19.617","20.971","18.337","23.264","24.596"
"B Annualized Returns","8.557","7.641","6.67","7.473","7.578","8.098","8.544","8.655","7.97","7.617","6.829","7.876","7.371","10.341","8.065","9.282","11.044","7.849","10.471","8.266","8.966","9.593","9.718","11.306","14.186","10.832","10.473","8.98","10.236","12.691","11.183","11.986","11.581","11.494","11.948","10.277","11.578","11.138","12.988","12.031","13.377","13.705","5.532","6.914","8.436","8.742","11.119","12.066","12.185","12.064","12.888","12.594","12.206","15.176","13.376","17.207","16.113","16.376","17.633","17.648","17.773","20.463"
"AR DIFF(P-B)","1.499","3.886","4.316","5.435","3.509","4.7","3.585","7.021","8.268","4.443","5.073","4.863","8.663","5.606","6.004","6.546","6.583","4.362","0.257999999999999","1.25","3.237","3.38","3.643","1.789","7.423","7.419","5.333","4.147","4.301","6.388","2.912","4.212","3.061","2.827","2.848","2.019","3.883","2.493","0.167","-0.0540000000000003","0.418999999999999","-0.0210000000000008","-4.234","-0.433","-0.501","0.0159999999999982","-0.738999999999999","2.077","1.372","3.589","0.131","2.337","1.297","5.056","2.588","3.465","2.996","3.241","3.338","0.689","5.491","4.133"
"P Volatility","10.98","10.82","11.08","11.12","10.41","10.3","10.8","11.78","11.56","11.4","10.79","11.14","11.76","11.09","11.49","11.77","11.25","10.96","11.22","10.98","11.2","10.82","10.54","9.44","10.3","9.6","11.07","11.04","12.31","13.48","12.6","12.61","13.04","13.11","13.71","13.43","13.1","13","12.06","11.99","12.2","12.01","13.28","16.66","18.37","18.9","18.96","19.23","21","20.78","19.5","21.65","18.85","20.36","21.02","20.66","20.58","20.39","22.22","19.67","22.75","22.95"
"B Volatility","11.7","11.5","11.44","11.47","11.28","11.23","11.41","11.41","11.39","11.38","11.35","11.25","11.23","11.23","11.15","11.21","10.91","10.97","11.11","11.42","11.41","11.28","11.21","10.51","10.31","8.86","9.89","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","-0.719999999999999","-0.68","-0.359999999999999","-0.350000000000001","-0.869999999999999","-0.93","-0.609999999999999","0.369999999999999","0.17","0.0199999999999996","-0.56","-0.109999999999999","0.529999999999999","-0.140000000000001","0.34","0.559999999999999","0.34","-0.00999999999999979","0.110000000000001","-0.44","-0.210000000000001","-0.459999999999999","-0.670000000000002","-1.07","-0.00999999999999979","0.74","1.18","1.25","2.15","2.7","2.24","2.24","2.4","1.82","2.28","2","1.6","1.53","0.6","0.44","0.609999999999999","0.549999999999999","0.27","1.99","2.04","2.5","2.5","2.66","3.58","3.03","1.7","3.32","0.620000000000001","2.38","3.26","2.86","2.57","2.35","4.22","1.69","4.76","5.39"
"P Tracking Error","5.64","5.94","5.88","5.96","5.75","5.84","5.4","5.69","5.27","5.34","5.8","5.88","6","5.12","5.29","5.34","5.14","4.9","4.66","4.99","5","5.28","5.45","5.06","5.46","4.92","4.85","4.65","5.01","5.15","4.34","4.43","5.04","4.6","4.72","5.05","4.47","4.92","4.06","3.99","3.93","4.58","4.9","5.79","5.5","6.59","6.43","6.19","7","6.8","5.86","7.35","5.75","6.86","7.2","6.99","7.33","7.17","8.16","6.79","8.53","8.87"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
