"","1 Y 2013-03-12 to 2014-03-13","1 Y 2013-04-12 to 2014-04-13","1 Y 2013-05-13 to 2014-05-13","1 Y 2013-06-12 to 2014-06-13","1 Y 2013-07-12 to 2014-07-13","1 Y 2013-08-12 to 2014-08-13","1 Y 2013-09-12 to 2014-09-13","1 Y 2013-10-14 to 2014-10-13","1 Y 2013-11-12 to 2014-11-13","1 Y 2013-12-12 to 2014-12-13","1 Y 2014-01-13 to 2015-01-13","1 Y 2014-02-12 to 2015-02-13","1 Y 2014-03-12 to 2015-03-13","1 Y 2014-04-14 to 2015-04-13","1 Y 2014-05-12 to 2015-05-13","1 Y 2014-06-12 to 2015-06-13","1 Y 2014-07-14 to 2015-07-13","1 Y 2014-08-12 to 2015-08-13","1 Y 2014-09-12 to 2015-09-13","1 Y 2014-10-13 to 2015-10-13","1 Y 2014-11-12 to 2015-11-13","1 Y 2014-12-12 to 2015-12-13","1 Y 2015-01-12 to 2016-01-13","1 Y 2015-02-12 to 2016-02-13","1 Y 2015-03-12 to 2016-03-13","1 Y 2015-04-13 to 2016-04-13","1 Y 2015-05-12 to 2016-05-13","1 Y 2015-06-12 to 2016-06-13","1 Y 2015-07-13 to 2016-07-13","1 Y 2015-08-12 to 2016-08-13","1 Y 2015-09-14 to 2016-09-13","1 Y 2015-10-12 to 2016-10-13","1 Y 2015-11-12 to 2016-11-13","1 Y 2015-12-14 to 2016-12-13","1 Y 2016-01-12 to 2017-01-13","1 Y 2016-02-12 to 2017-02-13","1 Y 2016-03-14 to 2017-03-13","1 Y 2016-04-12 to 2017-04-13","1 Y 2016-05-12 to 2017-05-13","1 Y 2016-06-13 to 2017-06-13","1 Y 2016-07-12 to 2017-07-13","1 Y 2016-08-12 to 2017-08-13","1 Y 2016-09-12 to 2017-09-13","1 Y 2016-10-12 to 2017-10-13","1 Y 2016-11-14 to 2017-11-13","1 Y 2016-12-12 to 2017-12-13","1 Y 2017-01-12 to 2018-01-13","1 Y 2017-02-13 to 2018-02-13","1 Y 2017-03-13 to 2018-03-13","1 Y 2017-04-12 to 2018-04-13","1 Y 2017-05-12 to 2018-05-13","1 Y 2017-06-12 to 2018-06-13","1 Y 2017-07-12 to 2018-07-13","1 Y 2017-08-14 to 2018-08-13","1 Y 2017-09-12 to 2018-09-13","1 Y 2017-10-12 to 2018-10-13","1 Y 2017-11-13 to 2018-11-13","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","26.922","13.611","16.079","19.568","20.654","16.26","19.836","10.27","14.51","15.489","13.557","16.373","12.587","16.882","12.474","11.985","10.407","14.644","2.807","13.146","3.926","4.045","-3.805","-7.451","-0.503","2.331","-2.354","1.537","5.651","5.785","8.696","8.263","7.802","11.939","16.149","29.268","23.234","8.213","14.302","18.117","16.375","12.847","18.965","22.904","21.675","19.192","25.525","17.918","15.268","17.08","11.279","14.43","10.747","12.933","15.608","7.596","4.737","0.855","-5.424","2.516","0.704","10.364","1.417","7.625","7.684","4.667","5.92","6.676","12.425","17.287","22.08","21.156","-5.995","-9.901","-3.483","4.204","-0.036","21.772","5.878","21.051","8.919","11.082","10.314","10.62","53.921","49.605","45.309","42.125","43.213","37.908","34.608"
"B Annualized Returns","16.431","12.55","14.691","16.269","15.846","14.078","17.4","10.446","13.927","11.808","10.384","14.231","10.828","12.771","9.672","7.842","5.52","6.003","-2.716","5.514","-0.371","3.505","-5.471","-9.112","-1.152","0.881","-2.688","0.284","2.267","5.357","9.721","7.273","4.854","11.052","17.077","22.901","17.789","11.48","15.377","16.879","13.395","11.963","17.126","18.992","19.473","17.508","22.843","14.823","15.565","13.306","13.601","13.426","14.605","14.558","16.443","9.655","5.99","-0.169","-6.92","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","6.675","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","38.619","37.088","31.563","33.761"
"AR DIFF(P-B)","10.491","1.061","1.388","3.299","4.808","2.182","2.436","-0.176","0.583","3.681","3.173","2.142","1.759","4.111","2.802","4.143","4.887","8.641","5.523","7.632","4.297","0.54","1.666","1.661","0.649","1.45","0.334","1.253","3.384","0.428","-1.025","0.99","2.948","0.887","-0.928000000000001","6.367","5.445","-3.267","-1.075","1.238","2.98","0.884","1.839","3.912","2.202","1.684","2.682","3.095","-0.296999999999999","3.774","-2.322","1.004","-3.858","-1.625","-0.835000000000001","-2.059","-1.253","1.024","1.496","-0.0179999999999998","-1.239","0.943000000000001","-2.038","2.987","-0.222","1.305","2.468","0.00100000000000033","-1.609","-2.689","-6.783","-4.028","-5.707","-8.716","-7.512","-5.033","-10.071","-2.348","-10.484","-2.831","-10.419","-7.792","-8.07","-8.537","-5.13","0.244999999999997","2.357","3.506","6.125","6.345","0.846999999999994"
"P Volatility","9.91","10.33","10.21","10.65","10.29","9.26","9.42","8.66","8.49","7.46","7.77","8.54","9.65","9.48","9.35","9.3","9.56","8.6","11.2","11.25","14.13","14.46","13.52","13.29","13.93","15.4","16.14","15.06","14.61","13.16","12","9.39","9.69","10.05","8.19","8.92","6.47","5.91","6.53","6.73","6.25","5.13","4.75","3.95","3.7","4.07","3.92","6.22","8.13","9.57","8.92","9.52","9.17","9.36","9.14","8.86","11.8","12.1","14.15","14.91","15.35","14.34","16.12","16.33","17.15","18.39","18.7","17.18","17.97","12.98","12.54","11.23","16.8","20.28","21.36","20.76","20.29","23.02","22.19","26.93","23.43","24.49","26.69","23.47","16.77","15.41","14.84","15.03","17.12","16.03","13.05"
"B Volatility","10.63","10.61","10.58","10.01","9.31","8.17","8.4","7.94","7.69","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-0.720000000000001","-0.279999999999999","-0.369999999999999","0.640000000000001","0.979999999999999","1.09","1.02","0.72","0.8","-0.26","2.67","0.879999999999999","0.35","-0.549999999999999","-0.630000000000001","-0.649999999999999","-0.66","-1.32","-0.75","-0.949999999999999","-2.12","-1.82","-1.92","-1.74","-0.94","-0.909999999999998","-0.129999999999999","-1.11","-1.36","-1.56","-2.05","-0.379999999999999","-0.220000000000001","0.0800000000000001","0.22","1.38","0.3","-0.32","0.29","0.600000000000001","0.73","-0.32","-0.56","-0.31","-0.45","-0.19","-0.34","0.649999999999999","0.15","0.0199999999999996","-0.65","-0.17","-0.470000000000001","-0.780000000000001","-1.31","-1.57","-1.24","-0.950000000000001","-0.65","-1.55","-0.720000000000001","-1.82","-0.379999999999999","-2.12","-2.19","-0.66","-0.490000000000002","-0.41","0.289999999999999","-0.48","0.19","-1.17","0.620000000000001","1.14","-0.859999999999999","-0.75","-1.3","1.21","-0.93","2.69","-1.19","-1.87","0.280000000000001","-0.420000000000002","-2.16","-0.459999999999999","-1.25","-1.32","1.05","1.7","0.970000000000001"
"P Tracking Error","5.01","1.8","2.53","2.63","3.6","3.34","3.07","2.81","2.75","2.29","3.22","3.56","3.19","2.77","3.74","3.99","3.42","3.42","4.27","4.07","3.57","3.89","4.04","3.37","2.63","3.45","3.27","3.6","3.69","4.04","4.29","2.03","2.55","2.17","2.67","2.72","2.66","1.71","1.69","1.18","1.99","1.96","1.37","1.45","2.53","2.75","2.34","1.23","1.41","1.99","2.56","1.59","1.88","2.18","2.78","1.92","2.88","2.46","2.42","3.13","3.48","4.25","4.03","3.77","4.69","3.4","2.82","3.37","2.52","3.43","2.94","3.15","2.12","3.38","3.01","2.04","3.91","2.72","3.1","5.38","4.21","4.6","5.82","6.54","6.06","5.18","6.46","6.9","10.72","7.83","6.17"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
