"","2014-12-11_to_2016-12-12_ValuePortfolio_8QRank","2015-01-12_to_2017-01-12_ValuePortfolio_8QRank","2015-02-11_to_2017-02-12_ValuePortfolio_8QRank","2015-03-11_to_2017-03-12_ValuePortfolio_8QRank","2015-04-13_to_2017-04-12_ValuePortfolio_8QRank","2015-05-11_to_2017-05-12_ValuePortfolio_8QRank","2015-06-11_to_2017-06-12_ValuePortfolio_8QRank","2015-07-13_to_2017-07-12_ValuePortfolio_8QRank","2015-08-11_to_2017-08-12_ValuePortfolio_8QRank","2015-09-11_to_2017-09-12_ValuePortfolio_8QRank","2015-10-12_to_2017-10-12_ValuePortfolio_8QRank","2015-11-11_to_2017-11-12_ValuePortfolio_8QRank","2015-12-11_to_2017-12-12_ValuePortfolio_8QRank","2016-01-11_to_2018-01-12_ValuePortfolio_8QRank","2016-02-11_to_2018-02-12_ValuePortfolio_8QRank","2016-03-11_to_2018-03-12_ValuePortfolio_8QRank","2016-04-11_to_2018-04-12_ValuePortfolio_8QRank","2016-05-11_to_2018-05-12_ValuePortfolio_8QRank","2016-06-13_to_2018-06-12_ValuePortfolio_8QRank","2016-07-11_to_2018-07-12_ValuePortfolio_8QRank","2016-08-11_to_2018-08-12_ValuePortfolio_8QRank","2016-09-12_to_2018-09-12_ValuePortfolio_8QRank","2016-10-11_to_2018-10-12_ValuePortfolio_8QRank","2016-11-11_to_2018-11-12_ValuePortfolio_8QRank","2016-12-12_to_2018-12-12_ValuePortfolio_8QRank","2017-01-11_to_2019-01-12_ValuePortfolio_8QRank","2017-02-13_to_2019-02-12_ValuePortfolio_8QRank","2017-03-13_to_2019-03-12_ValuePortfolio_8QRank","2017-04-11_to_2019-04-12_ValuePortfolio_8QRank","2017-05-11_to_2019-05-12_ValuePortfolio_8QRank","2017-06-12_to_2019-06-12_ValuePortfolio_8QRank","2017-07-11_to_2019-07-12_ValuePortfolio_8QRank","2017-08-11_to_2019-08-12_ValuePortfolio_8QRank","2017-09-11_to_2019-09-12_ValuePortfolio_8QRank","2017-10-11_to_2019-10-12_ValuePortfolio_8QRank","2017-11-13_to_2019-11-12_ValuePortfolio_8QRank","2017-12-11_to_2019-12-12_ValuePortfolio_8QRank","2018-01-11_to_2020-01-12_ValuePortfolio_8QRank","2018-02-12_to_2020-02-12_ValuePortfolio_8QRank","2018-03-12_to_2020-03-12_ValuePortfolio_8QRank","2018-04-11_to_2020-04-12_ValuePortfolio_8QRank","2018-05-11_to_2020-05-12_ValuePortfolio_8QRank","2018-06-11_to_2020-06-12_ValuePortfolio_8QRank","2018-07-11_to_2020-07-12_ValuePortfolio_8QRank","2018-08-13_to_2020-08-12_ValuePortfolio_8QRank","2018-09-11_to_2020-09-12_ValuePortfolio_8QRank","2018-10-11_to_2020-10-12_ValuePortfolio_8QRank","2018-11-12_to_2020-11-12_ValuePortfolio_8QRank","2018-12-11_to_2020-12-12_ValuePortfolio_8QRank","2019-01-11_to_2021-01-12_ValuePortfolio_8QRank","2019-02-11_to_2021-02-12_ValuePortfolio_8QRank","2019-03-11_to_2021-03-12_ValuePortfolio_8QRank","2019-04-11_to_2021-04-12_ValuePortfolio_8QRank","2019-05-13_to_2021-05-12_ValuePortfolio_8QRank","2019-06-11_to_2021-06-12_ValuePortfolio_8QRank","2019-07-11_to_2021-07-12_ValuePortfolio_8QRank","2019-08-12_to_2021-08-12_ValuePortfolio_8QRank","2019-09-11_to_2021-09-12_ValuePortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","3.631","7.065","3.254","4.397","3.918","2.477","3.323","3.639","5.903","10.616","9.414","10.737","16.094","26.894","33.881","20.842","19.214","18.206","19.139","18.288","14.529","13.671","10.943","12.785","11.35","6.018","7.17","8.132","7.956","6.501","3.72","6.129","3.537","6.518","4.496","6.887","8.087","5.464","5.599","-5.262","-3.755","-3.9","-4.809","-5.368","-3.9","-5.681","0.158","2.483","11.074","9.005","8.078","10.894","32.463","34.516","39.469","36.234","43.332","38.149"
"B Annualized Returns","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","-1.513","1.121","-2.595","-4.089","-2.599","-4.374","-4.043","-4.198","-2.661","-2.653","-2.879","-0.18","2.663","7.006","14.986","3.852","5.592","3.719","3.753","4.043","0.603999999999999","-2.003","-3.05","0.384","2.719","-0.82","-1.209","-0.0240000000000009","-2.995","-3.334","-5.206","-5.503","-4.903","-3.581","-3.464","-3.056","-1.476","-3.761","-8.019","-0.930999999999999","-8.412","-8.875","-11.549","-15.503","-15.61","-15.746","-15.922","-13.362","-8.692","-13.62","-14.968","-9.594","10.953","12.825","16.415","13.117","16.585","12.753"
"P Volatility","12.01","13.89","11.67","10.94","10.67","10.9","10.15","10.33","9.38","9.44","9.62","8.86","10.07","10.91","11.73","11.06","12.41","12.31","11.91","12.24","11.16","10.81","9.4","7.95","9.82","11.88","12.43","12.63","12.92","13.39","14.1","14.29","13.95","14.6","14.36","11.86","12.35","11.8","10.67","12.68","16.75","17.4","16.43","16.75","18.05","18.08","19.39","20.68","27.41","24.02","26.91","24.11","31.28","31.64","32","31","30.72","29.15"
"B Volatility","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-0.960000000000001","1.43","-0.210000000000001","-1.02","-1.28","-1.05","-1.64","-1.39","-1.24","-0.73","1.92","1.18","2.54","4.8","5.12","4.19","4.7","4.58","4.15","4.71","3.38","2.9","1.76","-1.56","0.359999999999999","-0.0299999999999994","-0.109999999999999","0.0200000000000014","0.26","0.48","-0.00999999999999979","-0.48","-0.82","-0.290000000000001","-0.51","-3","-2.66","-2.85","-3.55","-2.74","-0.609999999999999","-2.12","-3.22","-2.81","-1.7","-2.51","-0.859999999999999","0.149999999999999","7.41","4.33","7.16","4.37","11.55","12.81","13.46","12.44","12.37","10.78"
"P Tracking Error","6.16","4.16","5.68","7.15","6.84","6.9","6.04","5.44","5.55","5.04","5.16","4.84","6.33","8.45","8.83","8.06","8.78","8.55","8.43","9.24","7.8","7.56","5.79","5.31","5.4","4.45","4.61","4.45","5.68","5.24","5.53","5.92","6.07","4.83","4.33","6.98","6.87","7.24","8.01","8.08","7.66","8.06","8.17","7.97","7.81","8.91","6.66","7.49","12.06","10.21","12.93","11.47","16","17.65","18.28","17.51","17.53","16.5"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
