"","1 Y 2013-06-11 to 2014-06-12","1 Y 2013-07-11 to 2014-07-12","1 Y 2013-08-12 to 2014-08-12","1 Y 2013-09-11 to 2014-09-12","1 Y 2013-10-11 to 2014-10-12","1 Y 2013-11-11 to 2014-11-12","1 Y 2013-12-11 to 2014-12-12","1 Y 2014-01-13 to 2015-01-12","1 Y 2014-02-11 to 2015-02-12","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Information Ratio","1.21","1.06","-0.44","-1.63","-1.11","-0.94","0.56","0.59","0.41","-0.32","1.72","2.79","2.25","4.2","2.78","2.87","0.75","-1.32","1.79","2.15","-0.6","0.08","-0.01","0.01","0.63","0.33","0.34","0.31","0.84","1.09","1.55","0.95","2.47","1.28","1.09","0.82","1.8","2.42","-2.88","-1.51","-1.16","-1.99","-0.14","-2.06","-0.3","-2.58","-1.48","-1.92","-1.28","-0.8","-1.27","-0.58","-0.33","-0.28","-0.62","-0.57","-0.03","-0.31","-0.84","-0.05","0.17","-0.64","-0.89","-1.27","-0.81","-0.09","-0.03","-0.68","0.03","-0.45","-0.44","1.09","0.54","1.75","1.12","0.66","1.38","-1.38","-0.64","-0.34","-0.66","2.27","1.13","2.28","1.38","1.42","1.14","1.07"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.57","1.4","0.16","-0.05","-0.23","0.06","0.21","-0.17","0.33","-0.25","0.6","0.97","1.09","1.1","0.87","0.93","0.17","-0.59","0.98","1.01","-0.42","-0.01","-0.27","0.13","0.33","0.42","0.32","-0.01","0.53","0.36","0.61","0.5","0.93","0.44","0.58","0.01","0.71","1.07","-0.48","-0.38","0.38","-0.08","0.28","-0.37","-0.14","-1.25","-0.56","-0.61","-0.6","-0.41","-0.03","-0.47","0.05","-0.3","-0.47","-0.68","0.25","0.03","-0.4","-0.22","-0.12","-0.49","-0.21","-0.94","-0.87","-0.63","-1.8","-1.56","-0.72","-0.01","-0.09","0.99","0.43","0.61","0.53","0.85","0.86","-0.5","-0.52","-0.47","-0.64","1.79","1.78","2.4","2.91","2.76","1.52","0.96"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.51","0.36","0.75","0.7","0.71","0.92","0.91","0.98","0.84","0.97","1.09","0.97","0.81","1.05","1.13","1.06","1.06","0.87","1.01","1.01","1.11","1.02","0.83","0.74","0.72","0.82","0.93","1.06","1.19","1.2","1.36","1.45","1.27","1.53","1.16","1.49","1.29","0.95","0.83","0.92","0.54","0.7","0.72","1.09","0.89","1.26","1.05","0.99","0.94","0.91","0.77","0.95","0.97","0.7","0.62","0.71","0.76","0.81","0.81","0.89","0.86","1.03","1.1","1.15","1.36","1.44","1.84","1.57","1.54","1.28","1.08","0.96","1.02","1.06","1.2","1.3","1.42","0.93","1.11","1.11","1.08","0.95","1.04","0.87","0.87","1.01","1.29","1.05"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","27.83","13.18","64.25","65.52","66.48","83.75","81.58","57.54","62.12","78.62","85.37","81.84","68.1","90.38","88.96","88.4","83.43","89.98","88.03","85.17","81.61","66.62","76.26","73.02","82.96","80.23","89.42","87.36","88.13","84.81","79.52","58.45","36.37","45.16","16.95","33.28","52.77","30.38","62.88","51.15","30.71","33.29","19.31","63.1","56.08","84.78","79.53","68.97","62.82","60.24","61.66","72.03","63.58","57.58","43.22","59.47","66.36","67.62","64.92","77.13","83.39","89.19","95.19","89.62","94.41","92.14","87.76","94.83","92.9","92.97","86.95","84.16","88.65","87.1","88.79","83.85","87.71","92.2","90.15","88.8","83.76","52.36","31.47","21.84","19.79","26.24","43.07","43.5"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-4.904","-4.2721","-4.9725","-5.4928","-5.1989","-5.3477","-5.5836","-4.7523","-5.0436","-7.8604","-7.536","-6.3981","-5.4792","-6.9126","-8.0379","-11.5821","-13.85","-16.5429","-13.3063","-13.541","-18.5878","-19.8676","-17.2505","-16.0343","-11.9616","-13.4375","-15.4581","-15.6727","-15.3451","-12.8526","-13.2037","-12.4532","-12.9053","-12.8092","-11.6965","-11.6336","-7.3486","-5.6675","-6.1298","-5.8402","-3.1096","-3.7918","-4.0213","-2.0557","-9.1293","-10.629","-14.0551","-15.3742","-14.3542","-12.7225","-11.4151","-13.1686","-13.5403","-15.5811","-16.2495","-18.6813","-14.1671","-14.8279","-15.2774","-16.8511","-16.7527","-19.9903","-21.4438","-20.93","-17.4215","-17.0494","-13.0269","-11.4316","-11.7892","-30.6865","-34.0834","-31.5472","-33.8807","-32.5298","-37.9921","-36.8994","-36.8003","-30.1168","-35.9372","-37.4828","-38.3439","-20.8292","-21.4122","-22.0255","-12.5469","-11.958","-10.9308","-9.1719"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","1.3499","1.9818","1.2814","0.7611","1.055","2.1621","1.9262","2.7575","2.4662","-0.3506","-0.0260999999999996","1.1117","2.0306","0.5972","-0.5281","1.7458","-0.5221","-3.215","0.0215999999999994","-0.213100000000001","-5.2599","-6.5397","-3.9226","-2.7064","1.3663","-0.1096","-3.6219","-3.8365","-3.5089","-1.439","-2.6775","-7.3328","-7.7849","-7.6888","-6.5761","-6.5131","-2.5018","-1.0247","-1.487","-1.7538","0.1228","-0.8885","-1.118","0.8476","1.2091","-0.2906","-2.8823","-4.2014","-3.1814","-1.5497","-0.2423","-1.9958","-2.3675","-4.4083","-5.0767","1.278","5.7922","5.1314","4.6819","3.1082","3.2066","-0.0310000000000024","-1.4845","-0.970700000000001","-0.679900000000004","-1.2368","-1.5285","-3.7625","-4.1201","-4.6479","-2.5522","-0.0160000000000018","-2.3495","-0.998600000000003","-6.4609","-5.3682","-5.2691","1.4144","-4.406","-5.9516","-6.8127","-4.89","-10.9101","-11.5234","-2.0448","-1.456","-0.428699999999999","-1.2393"
