"","1 Y 2013-03-12 to 2014-03-13","1 Y 2013-04-12 to 2014-04-13","1 Y 2013-05-13 to 2014-05-13","1 Y 2013-06-12 to 2014-06-13","1 Y 2013-07-12 to 2014-07-13","1 Y 2013-08-12 to 2014-08-13","1 Y 2013-09-12 to 2014-09-13","1 Y 2013-10-14 to 2014-10-13","1 Y 2013-11-12 to 2014-11-13","1 Y 2013-12-12 to 2014-12-13","1 Y 2014-01-13 to 2015-01-13","1 Y 2014-02-12 to 2015-02-13","1 Y 2014-03-12 to 2015-03-13","1 Y 2014-04-14 to 2015-04-13","1 Y 2014-05-12 to 2015-05-13","1 Y 2014-06-12 to 2015-06-13","1 Y 2014-07-14 to 2015-07-13","1 Y 2014-08-12 to 2015-08-13","1 Y 2014-09-12 to 2015-09-13","1 Y 2014-10-13 to 2015-10-13","1 Y 2014-11-12 to 2015-11-13","1 Y 2014-12-12 to 2015-12-13","1 Y 2015-01-12 to 2016-01-13","1 Y 2015-02-12 to 2016-02-13","1 Y 2015-03-12 to 2016-03-13","1 Y 2015-04-13 to 2016-04-13","1 Y 2015-05-12 to 2016-05-13","1 Y 2015-06-12 to 2016-06-13","1 Y 2015-07-13 to 2016-07-13","1 Y 2015-08-12 to 2016-08-13","1 Y 2015-09-14 to 2016-09-13","1 Y 2015-10-12 to 2016-10-13","1 Y 2015-11-12 to 2016-11-13","1 Y 2015-12-14 to 2016-12-13","1 Y 2016-01-12 to 2017-01-13","1 Y 2016-02-12 to 2017-02-13","1 Y 2016-03-14 to 2017-03-13","1 Y 2016-04-12 to 2017-04-13","1 Y 2016-05-12 to 2017-05-13","1 Y 2016-06-13 to 2017-06-13","1 Y 2016-07-12 to 2017-07-13","1 Y 2016-08-12 to 2017-08-13","1 Y 2016-09-12 to 2017-09-13","1 Y 2016-10-12 to 2017-10-13","1 Y 2016-11-14 to 2017-11-13","1 Y 2016-12-12 to 2017-12-13","1 Y 2017-01-12 to 2018-01-13","1 Y 2017-02-13 to 2018-02-13","1 Y 2017-03-13 to 2018-03-13","1 Y 2017-04-12 to 2018-04-13","1 Y 2017-05-12 to 2018-05-13","1 Y 2017-06-12 to 2018-06-13","1 Y 2017-07-12 to 2018-07-13","1 Y 2017-08-14 to 2018-08-13","1 Y 2017-09-12 to 2018-09-13","1 Y 2017-10-12 to 2018-10-13","1 Y 2017-11-13 to 2018-11-13","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","34.224","32.323","29.942","24.669","18.166","13.146","14.848","8.037","19.695","16.088","15.85","17.491","13.18","24.786","24.505","25.167","9.174","5.972","-3.321","12.955","6.714","13.917","7.489","-10.737","1.345","1.176","5.194","13.709","11.812","6.246","8.863","5.395","8.081","22.062","31.73","54.717","31.333","25.582","17.369","18.256","20.414","10.984","16.859","13.363","19.203","19.182","19.434","12.801","11.878","9.897","7.003","7.991","10.664","8.993","3.292","-2.022","2.092","-3.783","-9.974","5.386","6.392","-2.695","6.569","-2.173","7.352","2.258","0.961","2.84","14.935","27.068","29.42","16.505","-1.875","6.112","1.385","8.807","34.3","28.664","0.927","22.779","17.345","14.074","9.751","5.148","101.67","75.755","104.036","33.38","30.855","27.071","47.788"
"B Annualized Returns","16.431","12.55","14.691","16.269","15.846","14.078","17.4","10.446","13.927","11.808","10.384","14.231","10.828","12.771","9.672","7.842","5.52","6.003","-2.716","5.514","-0.371","3.505","-5.471","-9.112","-1.152","0.881","-2.688","0.284","2.267","5.357","9.721","7.273","4.854","11.052","17.077","22.901","17.789","11.48","15.377","16.879","13.395","11.963","17.126","18.992","19.473","17.508","22.843","14.823","15.565","13.306","13.601","13.426","14.605","14.558","16.443","9.655","5.99","-0.169","-6.92","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","6.675","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","38.619","37.088","31.563","33.761"
"AR DIFF(P-B)","17.793","19.773","15.251","8.4","2.32","-0.931999999999999","-2.552","-2.409","5.768","4.28","5.466","3.26","2.352","12.015","14.833","17.325","3.654","-0.0309999999999997","-0.605","7.441","7.085","10.412","12.96","-1.625","2.497","0.295","7.882","13.425","9.545","0.889","-0.858000000000001","-1.878","3.227","11.01","14.653","31.816","13.544","14.102","1.992","1.377","7.019","-0.978999999999999","-0.266999999999999","-5.629","-0.27","1.674","-3.409","-2.022","-3.687","-3.409","-6.598","-5.435","-3.941","-5.565","-13.151","-11.677","-3.898","-3.614","-3.054","2.852","4.449","-12.116","3.114","-6.811","-0.553999999999999","-1.104","-2.491","-3.835","0.901","7.092","0.557000000000002","-8.679","-1.587","7.297","-2.644","-0.43","24.265","4.544","-15.435","-1.103","-1.993","-4.8","-8.633","-14.009","42.619","26.395","61.084","-5.239","-6.233","-4.492","14.027"
"P Volatility","9.85","12.12","13.05","9.39","6.32","5.72","8.22","6.46","10.32","10.79","7.69","7.59","10.05","11.06","11.05","8.5","8.57","9.44","12.56","14.14","16","17.23","17.21","16.31","13.12","13.92","13.69","14.01","17.03","16.97","18.78","17.11","13.45","14.15","12.43","13.93","11.37","12.36","7.73","8.35","3.77","6.17","5.02","4.3","6.72","6.95","6.15","7.03","11.17","12.6","11.44","9.28","9.59","10.74","11.67","12.04","11.66","13.57","11.15","13.09","13.24","15.88","14.69","20.96","23.51","22.85","23.89","22.52","24.26","23.03","16.33","16.42","15.06","20.11","26.23","27.63","28.93","26.84","24.18","27.86","22.66","29.3","25.19","29.74","25.86","27.13","28.37","14.24","14.31","13.9","22.03"
"B Volatility","10.63","10.61","10.58","10.01","9.31","8.17","8.4","7.94","7.69","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-0.780000000000001","1.51","2.47","-0.619999999999999","-2.99","-2.45","-0.18","-1.48","2.63","3.07","2.59","-0.0700000000000003","0.75","1.03","1.07","-1.45","-1.65","-0.48","0.610000000000001","1.94","-0.25","0.949999999999999","1.77","1.28","-1.75","-2.39","-2.58","-2.16","1.06","2.25","4.73","7.34","3.54","4.18","4.46","6.39","5.2","6.13","1.49","2.22","-1.75","0.72","-0.29","0.04","2.57","2.69","1.89","1.46","3.19","3.05","1.87","-0.41","-0.0500000000000007","0.6","1.22","1.61","-1.38","0.52","-3.65","-3.37","-2.83","-0.279999999999999","-1.81","2.51","4.17","3.8","4.7","4.93","6.58","9.57","3.98","4.02","-1.12","0.969999999999999","4.01","6.12","7.34","5.03","1.06","3.62","-1.96","2.94","-1.22","5.85","6.93","11.26","12.28","-2.11","-1.76","-0.43","9.95"
"P Tracking Error","7.44","7.57","7.21","8.06","5.72","4.31","3.37","2.79","6.42","6.15","3.33","4.8","5.22","4.27","4.81","4.15","4.38","3.67","2.42","5.9","5.43","7.01","7.51","6.66","5.74","5.87","7.53","5.14","5.06","6.31","8.55","9.49","4.97","6.2","8.26","10.77","7.94","9.08","3.73","5.27","4.66","3.23","4.25","2.87","5.3","5.19","4.08","5.02","4.99","5.91","7.37","4.49","7.62","5.33","6.07","6.27","9.71","8.27","10.2","7.61","9.06","6.97","5.82","7.38","7.54","5.34","8.14","7.68","8.9","9.95","5.44","6.59","6.46","7.3","7.66","9.39","9.55","8.7","7.64","5.96","7.57","10.02","9.93","14.36","18.73","21.66","23.33","10.25","9.61","8.48","16.34"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
