"","2014-06-11_to_2017-06-12_GrowthPortfolio_6QRank","2014-07-11_to_2017-07-12_GrowthPortfolio_6QRank","2014-08-11_to_2017-08-12_GrowthPortfolio_6QRank","2014-09-11_to_2017-09-12_GrowthPortfolio_6QRank","2014-10-13_to_2017-10-12_GrowthPortfolio_6QRank","2014-11-11_to_2017-11-12_GrowthPortfolio_6QRank","2014-12-11_to_2017-12-12_GrowthPortfolio_6QRank","2015-01-12_to_2018-01-12_GrowthPortfolio_6QRank","2015-02-11_to_2018-02-12_GrowthPortfolio_6QRank","2015-03-11_to_2018-03-12_GrowthPortfolio_6QRank","2015-04-13_to_2018-04-12_GrowthPortfolio_6QRank","2015-05-11_to_2018-05-12_GrowthPortfolio_6QRank","2015-06-11_to_2018-06-12_GrowthPortfolio_6QRank","2015-07-13_to_2018-07-12_GrowthPortfolio_6QRank","2015-08-11_to_2018-08-12_GrowthPortfolio_6QRank","2015-09-11_to_2018-09-12_GrowthPortfolio_6QRank","2015-10-12_to_2018-10-12_GrowthPortfolio_6QRank","2015-11-11_to_2018-11-12_GrowthPortfolio_6QRank","2015-12-11_to_2018-12-12_GrowthPortfolio_6QRank","2016-01-11_to_2019-01-12_GrowthPortfolio_6QRank","2016-02-11_to_2019-02-12_GrowthPortfolio_6QRank","2016-03-11_to_2019-03-12_GrowthPortfolio_6QRank","2016-04-11_to_2019-04-12_GrowthPortfolio_6QRank","2016-05-11_to_2019-05-12_GrowthPortfolio_6QRank","2016-06-13_to_2019-06-12_GrowthPortfolio_6QRank","2016-07-11_to_2019-07-12_GrowthPortfolio_6QRank","2016-08-11_to_2019-08-12_GrowthPortfolio_6QRank","2016-09-12_to_2019-09-12_GrowthPortfolio_6QRank","2016-10-11_to_2019-10-12_GrowthPortfolio_6QRank","2016-11-11_to_2019-11-12_GrowthPortfolio_6QRank","2016-12-12_to_2019-12-12_GrowthPortfolio_6QRank","2017-01-11_to_2020-01-12_GrowthPortfolio_6QRank","2017-02-13_to_2020-02-12_GrowthPortfolio_6QRank","2017-03-13_to_2020-03-12_GrowthPortfolio_6QRank","2017-04-11_to_2020-04-12_GrowthPortfolio_6QRank","2017-05-11_to_2020-05-12_GrowthPortfolio_6QRank","2017-06-12_to_2020-06-12_GrowthPortfolio_6QRank","2017-07-11_to_2020-07-12_GrowthPortfolio_6QRank","2017-08-11_to_2020-08-12_GrowthPortfolio_6QRank","2017-09-11_to_2020-09-12_GrowthPortfolio_6QRank","2017-10-11_to_2020-10-12_GrowthPortfolio_6QRank","2017-11-13_to_2020-11-12_GrowthPortfolio_6QRank","2017-12-11_to_2020-12-12_GrowthPortfolio_6QRank","2018-01-11_to_2021-01-12_GrowthPortfolio_6QRank","2018-02-12_to_2021-02-12_GrowthPortfolio_6QRank","2018-03-12_to_2021-03-12_GrowthPortfolio_6QRank","2018-04-11_to_2021-04-12_GrowthPortfolio_6QRank","2018-05-11_to_2021-05-12_GrowthPortfolio_6QRank","2018-06-11_to_2021-06-12_GrowthPortfolio_6QRank","2018-07-11_to_2021-07-12_GrowthPortfolio_6QRank","2018-08-13_to_2021-08-12_GrowthPortfolio_6QRank","2018-09-11_to_2021-09-12_GrowthPortfolio_6QRank","2018-10-11_to_2021-10-12_GrowthPortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.693","27.266","25.387","17.344","18.287","18.326","18.293","16.56","26.82","27.895","24.18","12.803","26.867","13.642","23.798","17.256","28.066","22.153","20.17","22.453","23.438","19.082","25.932","23.442","20.391","20.977","18.601","19.491","20.212","21.167","20.755","21.56","17.373","7.008","12.891","18.572","16.495","21.204","23.689","25.155","19.658","19.332","20.714","19.703","21.74","27.793","33.523","27.778","29.756","26.561","24.902","25.258","29.298"
"B Annualized Returns","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","8.183","20.018","17.455","9.834","8.081","10.322","8.895","5.264","17.959","16.867","15.605","3.756","17.246","3.547","12.784","3.088","16.658","12.834","11.534","12.23","10.252","7.888","13.727","11.759","9.001","8.883","9.055","7.809","8.706","8.307","8.424","8.31","3.443","4.866","5.984","10.829","7.33","9.694","10.722","13.009","6.483","6.779","8.134","7.553","6.436","14.477","16.076","12.469","13.338","8.482","7.081","7.54","8.902"
"P Volatility","12.72","12.29","13.54","11.83","12.03","11.36","11.47","10.78","13.7","13.09","13.16","11.32","13.96","10.77","12.39","10.09","13.11","15.61","15.58","16.18","16.79","15.84","16.16","16.13","16.2","16.41","16.72","16.57","16.12","15.91","16.02","15.18","14.78","15.63","17.3","18.44","18.75","21.02","21.97","23.4","21.87","21.45","23.16","22.92","22.46","26.24","26.19","25.42","24.07","19.77","18.97","19.72","18.85"
"B Volatility","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","1.7","1.3","2.65","0.98","1.18","0.51","0.56","0.389999999999999","3.29","2.48","2.23","0.390000000000001","3.1","-0.0400000000000009","2.22","0.129999999999999","4.66","6.11","6.19","5.6","5.66","5.11","5.41","5.2","4.33","4.14","4.47","4.22","3.85","3.64","3.68","2.78","2.51","2.18","2.37","1.87","2.09","4.34","5.08","5.89","4.02","3.45","4.38","4.28","4.03","8.05","7.94","7.02","5.66","1.39","0.629999999999999","1.35","0.880000000000003"
"P Tracking Error","7.32","7.69","8.03","6.69","6.58","7.02","7.28","6.02","8.61","7.83","7.52","5.68","8.86","5.5","7.41","5.85","8.71","9.22","9.34","9.43","9.21","8.67","9.49","9.04","8.46","8.54","8.9","8.98","8.56","7.61","7.27","6.59","4.9","6.52","6.52","6.96","5.77","7.41","8.42","9.51","8.12","6.8","8.01","7.02","6.18","11.01","11.4","11.3","10.59","5.86","5.66","5.87","5.73"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
