"","1 Y 2013-03-12 to 2014-03-13","1 Y 2013-04-12 to 2014-04-13","1 Y 2013-05-13 to 2014-05-13","1 Y 2013-06-12 to 2014-06-13","1 Y 2013-07-12 to 2014-07-13","1 Y 2013-08-12 to 2014-08-13","1 Y 2013-09-12 to 2014-09-13","1 Y 2013-10-14 to 2014-10-13","1 Y 2013-11-12 to 2014-11-13","1 Y 2013-12-12 to 2014-12-13","1 Y 2014-01-13 to 2015-01-13","1 Y 2014-02-12 to 2015-02-13","1 Y 2014-03-12 to 2015-03-13","1 Y 2014-04-14 to 2015-04-13","1 Y 2014-05-12 to 2015-05-13","1 Y 2014-06-12 to 2015-06-13","1 Y 2014-07-14 to 2015-07-13","1 Y 2014-08-12 to 2015-08-13","1 Y 2014-09-12 to 2015-09-13","1 Y 2014-10-13 to 2015-10-13","1 Y 2014-11-12 to 2015-11-13","1 Y 2014-12-12 to 2015-12-13","1 Y 2015-01-12 to 2016-01-13","1 Y 2015-02-12 to 2016-02-13","1 Y 2015-03-12 to 2016-03-13","1 Y 2015-04-13 to 2016-04-13","1 Y 2015-05-12 to 2016-05-13","1 Y 2015-06-12 to 2016-06-13","1 Y 2015-07-13 to 2016-07-13","1 Y 2015-08-12 to 2016-08-13","1 Y 2015-09-14 to 2016-09-13","1 Y 2015-10-12 to 2016-10-13","1 Y 2015-11-12 to 2016-11-13","1 Y 2015-12-14 to 2016-12-13","1 Y 2016-01-12 to 2017-01-13","1 Y 2016-02-12 to 2017-02-13","1 Y 2016-03-14 to 2017-03-13","1 Y 2016-04-12 to 2017-04-13","1 Y 2016-05-12 to 2017-05-13","1 Y 2016-06-13 to 2017-06-13","1 Y 2016-07-12 to 2017-07-13","1 Y 2016-08-12 to 2017-08-13","1 Y 2016-09-12 to 2017-09-13","1 Y 2016-10-12 to 2017-10-13","1 Y 2016-11-14 to 2017-11-13","1 Y 2016-12-12 to 2017-12-13","1 Y 2017-01-12 to 2018-01-13","1 Y 2017-02-13 to 2018-02-13","1 Y 2017-03-13 to 2018-03-13","1 Y 2017-04-12 to 2018-04-13","1 Y 2017-05-12 to 2018-05-13","1 Y 2017-06-12 to 2018-06-13","1 Y 2017-07-12 to 2018-07-13","1 Y 2017-08-14 to 2018-08-13","1 Y 2017-09-12 to 2018-09-13","1 Y 2017-10-12 to 2018-10-13","1 Y 2017-11-13 to 2018-11-13","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.88","0.73","0.85","0.69","0.6","0.71","0.71","0.85","0.91","1.09","1.29","0.68","0.85","0.92","0.93","0.94","0.87","0.95","1.02","1","0.82","0.81","0.9","0.92","0.85","0.93","0.85","0.93","0.98","0.97","1.09","1.34","1.29","1.28","1.1","0.97","1","1.16","1.02","0.83","0.73","1.04","1","0.95","1.1","1.05","1.08","1.07","1.14","1.08","1.16","1.04","1.08","1.07","1.08","1.07","0.96","0.95","0.85","0.97","0.93","1.02","0.88","1","1.05","0.98","0.95","1.01","0.97","1.17","0.96","1.13","0.9","1.01","1.11","1.13","1.16","1.02","1.19","0.94","1.08","1.24","1.07","1.11","1.05","1.06","1.05","0.97","0.94","0.92","1.11"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","85.02","30.43","52.24","38.9","49.16","44.33","54.64","54.97","44.86","64.25","78.07","48.46","67.72","81.99","84.16","90.66","88.68","88.65","96.11","94.67","89.81","92.41","95.92","88.2","84.61","92.36","92.03","90.41","91.75","93.73","92.1","88.27","93.19","92.57","84.16","79.44","88.13","60.61","88.55","72.19","51.01","71.47","80.81","75.63","69.94","56.21","73.61","86.25","91.73","89.19","90.52","94.7","96.8","95.83","90.09","89.97","91.63","90.82","94.49","95","96.3","95.82","95.56","92.91","96","97.31","94.3","97.16","98.08","97.73","95.61","95.87","97.7","97.18","99.41","96.54","98.5","97.04","96.42","95.95","96.7","93.13","95.84","94.78","90.53","73.82","72.69","89.67","96.74","74.54","65.6"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.0646","-8.5827","-7.4784","-6.6029","-5.508","-5.5479","-5.9159","-6.4617","-7.6396","-7.6124","-7.0579","-8.0717","-8.8256","-7.8585","-8.3702","-7.9955","-7.2173","-8.2887","-11.5374","-11.7661","-12.4516","-11.5104","-12.2559","-16.1912","-14.5489","-13.1238","-13.0657","-15.1142","-16.4528","-14.2241","-15.2446","-16.7982","-14.8277","-13.9405","-6.7332","-6.2861","-6.1259","-6.539","-5.4083","-5.5808","-4.0062","-3.4945","-4.0881","-3.2343","-3.8169","-4.1961","-3.3942","-9.4415","-10.1123","-11.0004","-11.0693","-10.9169","-10.8837","-11.2041","-11.0615","-11.8736","-11.1336","-11.9171","-17.9438","-18.5352","-17.2155","-20.7701","-17.5965","-19.7283","-20.3874","-18.0875","-17.9912","-15.2891","-14.3617","-10.4896","-7.4112","-8.4821","-27.4728","-33.2686","-34.9158","-36.825","-35.6051","-34.2681","-34.0399","-31.967","-34.4567","-37.0406","-33.6146","-34.8409","-18.2187","-11.4192","-10.9993","-8.5162","-8.3564","-7.9505","-7.5317"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.3048","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1204","-5.1205","-5.1205","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1727","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","1.1893","-2.3288","-1.2245","-0.349","0.7459","0.706","0.338","-0.1569","-0.129799999999999","-0.1026","0.4519","-0.5619","-1.3158","-0.3486","-0.8604","-0.4857","0.2925","-0.7789","1.7905","1.5618","0.876300000000001","1.8175","1.072","-2.8633","-1.221","0.2041","0.2622","-1.7863","-3.1249","-2.3879","-3.4084","-4.962","-3.4141","-3.4143","-1.6127","-1.1657","-1.0054","-1.4185","-0.2879","-0.734","0.6366","1.1483","-0.00169999999999959","-0.00190000000000001","-0.9136","-1.2928","-0.4909","0.8969","0.226100000000001","0.1724","0.1035","0.2559","0.289100000000001","-0.0312999999999999","0.1112","-0.700799999999999","0.039200000000001","-0.744299999999999","2.0155","1.4241","2.7438","-0.8108","2.3628","0.230999999999998","-0.428100000000001","1.8718","1.9681","1.4525","1.4509","1.0088","0.2579","-0.813000000000001","-1.4342","-1.7374","-3.3846","-5.2938","-4.0739","-2.7369","-2.5087","-0.4358","-2.9255","-5.5094","-2.0834","-3.3097","-2.2795","-0.9171","-0.497199999999999","1.9859","2.1456","2.5516","0.4009"
