"","2013-12-11_to_2016-12-12_GrowthPortfolio_4QRank","2014-01-13_to_2017-01-12_GrowthPortfolio_4QRank","2014-02-11_to_2017-02-12_GrowthPortfolio_4QRank","2014-03-11_to_2017-03-12_GrowthPortfolio_4QRank","2014-04-11_to_2017-04-12_GrowthPortfolio_4QRank","2014-05-12_to_2017-05-12_GrowthPortfolio_4QRank","2014-06-11_to_2017-06-12_GrowthPortfolio_4QRank","2014-07-11_to_2017-07-12_GrowthPortfolio_4QRank","2014-08-11_to_2017-08-12_GrowthPortfolio_4QRank","2014-09-11_to_2017-09-12_GrowthPortfolio_4QRank","2014-10-13_to_2017-10-12_GrowthPortfolio_4QRank","2014-11-11_to_2017-11-12_GrowthPortfolio_4QRank","2014-12-11_to_2017-12-12_GrowthPortfolio_4QRank","2015-01-12_to_2018-01-12_GrowthPortfolio_4QRank","2015-02-11_to_2018-02-12_GrowthPortfolio_4QRank","2015-03-11_to_2018-03-12_GrowthPortfolio_4QRank","2015-04-13_to_2018-04-12_GrowthPortfolio_4QRank","2015-05-11_to_2018-05-12_GrowthPortfolio_4QRank","2015-06-11_to_2018-06-12_GrowthPortfolio_4QRank","2015-07-13_to_2018-07-12_GrowthPortfolio_4QRank","2015-08-11_to_2018-08-12_GrowthPortfolio_4QRank","2015-09-11_to_2018-09-12_GrowthPortfolio_4QRank","2015-10-12_to_2018-10-12_GrowthPortfolio_4QRank","2015-11-11_to_2018-11-12_GrowthPortfolio_4QRank","2015-12-11_to_2018-12-12_GrowthPortfolio_4QRank","2016-01-11_to_2019-01-12_GrowthPortfolio_4QRank","2016-02-11_to_2019-02-12_GrowthPortfolio_4QRank","2016-03-11_to_2019-03-12_GrowthPortfolio_4QRank","2016-04-11_to_2019-04-12_GrowthPortfolio_4QRank","2016-05-11_to_2019-05-12_GrowthPortfolio_4QRank","2016-06-13_to_2019-06-12_GrowthPortfolio_4QRank","2016-07-11_to_2019-07-12_GrowthPortfolio_4QRank","2016-08-11_to_2019-08-12_GrowthPortfolio_4QRank","2016-09-12_to_2019-09-12_GrowthPortfolio_4QRank","2016-10-11_to_2019-10-12_GrowthPortfolio_4QRank","2016-11-11_to_2019-11-12_GrowthPortfolio_4QRank","2016-12-12_to_2019-12-12_GrowthPortfolio_4QRank","2017-01-11_to_2020-01-12_GrowthPortfolio_4QRank","2017-02-13_to_2020-02-12_GrowthPortfolio_4QRank","2017-03-13_to_2020-03-12_GrowthPortfolio_4QRank","2017-04-11_to_2020-04-12_GrowthPortfolio_4QRank","2017-05-11_to_2020-05-12_GrowthPortfolio_4QRank","2017-06-12_to_2020-06-12_GrowthPortfolio_4QRank","2017-07-11_to_2020-07-12_GrowthPortfolio_4QRank","2017-08-11_to_2020-08-12_GrowthPortfolio_4QRank","2017-09-11_to_2020-09-12_GrowthPortfolio_4QRank","2017-10-11_to_2020-10-12_GrowthPortfolio_4QRank","2017-11-13_to_2020-11-12_GrowthPortfolio_4QRank","2017-12-11_to_2020-12-12_GrowthPortfolio_4QRank","2018-01-11_to_2021-01-12_GrowthPortfolio_4QRank","2018-02-12_to_2021-02-12_GrowthPortfolio_4QRank","2018-03-12_to_2021-03-12_GrowthPortfolio_4QRank","2018-04-11_to_2021-04-12_GrowthPortfolio_4QRank","2018-05-11_to_2021-05-12_GrowthPortfolio_4QRank","2018-06-11_to_2021-06-12_GrowthPortfolio_4QRank","2018-07-11_to_2021-07-12_GrowthPortfolio_4QRank","2018-08-13_to_2021-08-12_GrowthPortfolio_4QRank","2018-09-11_to_2021-09-12_GrowthPortfolio_4QRank","2018-10-11_to_2021-10-12_GrowthPortfolio_4QRank"
"P Information Ratio","0.79","1.17","0.93","1.49","1.86","1.37","1.94","1.23","1.93","1.14","1.13","0.89","1.73","0.62","1.77","1.66","0.54","0.98","1.2","1.07","0.78","0.89","1.84","1.35","1.26","1.02","1.19","0.84","1.24","1.25","1.13","0.62","0.63","0.57","1.1","0.18","-0.07","-0.24","0.68","0.43","0.49","0.9","1.23","1.18","1.27","1.41","0.87","1.54","2.05","1.92","1.3","1.63","1.4","0.29","0.65","0.92","0.88","0.94","1.24"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.6","0.69","0.66","1.15","1.25","0.81","1.37","0.73","1.24","0.69","0.6","0.51","1.18","0.41","1.06","0.8","0.38","0.48","0.36","0.43","0.51","0.5","1.29","0.75","0.58","0.59","0.62","0.38","0.78","0.54","0.5","0.27","0.24","0.19","0.49","-0.1","-0.27","-0.32","0.1","0.28","0.28","0.39","0.57","0.46","0.56","0.81","0.39","1.07","1.32","1.14","0.45","1.06","0.47","0.1","0.33","0.49","0.39","0.31","0.55"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.92","0.95","0.9","0.85","0.94","0.86","0.94","0.92","0.98","0.91","0.83","0.79","0.8","0.81","0.91","1.04","0.92","0.96","1.01","0.96","0.79","0.81","1.07","1.33","1.27","1.16","1.21","1.18","1.14","1.14","1.11","1.09","1.1","1.09","1.07","1.15","1.22","1.24","1.3","1.23","1.2","1.18","1.19","1.21","1.18","1.21","1.24","1.18","1.15","1.22","1.02","1.18","1.02","1.04","1.01","1.04","1.01","1.13","0.97"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","57.69","56","51.48","59.97","62.29","58.75","56.31","61.64","61.08","67.08","66.69","72.55","62.31","73.76","61.49","72.88","76.41","72.59","84.03","77.36","68.73","70.38","50.67","66.78","65.4","60.62","63.58","65.91","65.37","75.02","80.71","79.9","82.25","79.39","78.59","92","92.84","92.22","84.87","83.08","85.36","87.92","87","86.06","87.87","88.02","88.82","84.12","84.37","84.49","90.71","85.23","91.86","91.05","88.41","89.82","89.68","90.74","90.57"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-19.2783","-18.8704","-17.7377","-17.3074","-18.0172","-18.3554","-18.1611","-18.1474","-17.2444","-15.7975","-16.5762","-15.2899","-12.9796","-12.3713","-13.2581","-13.4154","-14.1129","-17.4105","-17.3153","-16.417","-15.4492","-14.3915","-17.5106","-18.2042","-21.3032","-28.3258","-29.6301","-28.0923","-26.9517","-25.0227","-23.9768","-23.6863","-23.2558","-22.6279","-21.4041","-23.0986","-24.4117","-25.8384","-27.0884","-29.738","-33.7745","-34.5098","-34.2743","-37.1006","-36.4863","-35.5512","-38.4935","-32.8264","-31.037","-31.2759","-30.7669","-32.0428","-30.6224","-31.7524","-30.78","-29.7732","-29.8668","-31.6891","-30.1507"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-5.9504","-5.5425","-4.4098","-3.9795","-4.6893","-5.0275","-4.8332","-4.8195","-3.9165","-2.4696","-3.2483","-1.962","0.3483","0.9566","0.069799999999999","-0.0875000000000004","-0.785","-4.0826","-3.9874","-3.0891","-3.613","-2.5553","-5.6744","-6.7906","-10.1304","-8.3665","-9.6708","-8.133","-6.9924","-5.0634","-4.0175","-3.727","-3.2965","-2.6686","-1.4448","-3.1392","-4.4524","-5.8791","-7.1291","-3.6994","-2.2433","-2.9786","-2.7431","-5.5694","-4.9551","-4.02","-6.9623","-1.2952","0.494199999999999","0.255299999999998","0.764299999999999","-0.511600000000001","0.908799999999999","-0.221200000000003","0.751199999999997","1.758","1.6644","-0.157900000000001","1.3805"
