"","2013-09-11_to_2014-09-12_CorePortfolio_3QRank","2013-10-11_to_2014-10-12_CorePortfolio_3QRank","2013-11-11_to_2014-11-12_CorePortfolio_3QRank","2013-12-11_to_2014-12-12_CorePortfolio_3QRank","2014-01-13_to_2015-01-12_CorePortfolio_3QRank","2014-02-11_to_2015-02-12_CorePortfolio_3QRank","2014-03-11_to_2015-03-12_CorePortfolio_3QRank","2014-04-11_to_2015-04-12_CorePortfolio_3QRank","2014-05-12_to_2015-05-12_CorePortfolio_3QRank","2014-06-11_to_2015-06-12_CorePortfolio_3QRank","2014-07-11_to_2015-07-12_CorePortfolio_3QRank","2014-08-11_to_2015-08-12_CorePortfolio_3QRank","2014-09-11_to_2015-09-12_CorePortfolio_3QRank","2014-10-13_to_2015-10-12_CorePortfolio_3QRank","2014-11-11_to_2015-11-12_CorePortfolio_3QRank","2014-12-11_to_2015-12-12_CorePortfolio_3QRank","2015-01-12_to_2016-01-12_CorePortfolio_3QRank","2015-02-11_to_2016-02-12_CorePortfolio_3QRank","2015-03-11_to_2016-03-12_CorePortfolio_3QRank","2015-04-13_to_2016-04-12_CorePortfolio_3QRank","2015-05-11_to_2016-05-12_CorePortfolio_3QRank","2015-06-11_to_2016-06-12_CorePortfolio_3QRank","2015-07-13_to_2016-07-12_CorePortfolio_3QRank","2015-08-11_to_2016-08-12_CorePortfolio_3QRank","2015-09-11_to_2016-09-12_CorePortfolio_3QRank","2015-10-12_to_2016-10-12_CorePortfolio_3QRank","2015-11-11_to_2016-11-12_CorePortfolio_3QRank","2015-12-11_to_2016-12-12_CorePortfolio_3QRank","2016-01-11_to_2017-01-12_CorePortfolio_3QRank","2016-02-11_to_2017-02-12_CorePortfolio_3QRank","2016-03-11_to_2017-03-12_CorePortfolio_3QRank","2016-04-11_to_2017-04-12_CorePortfolio_3QRank","2016-05-11_to_2017-05-12_CorePortfolio_3QRank","2016-06-13_to_2017-06-12_CorePortfolio_3QRank","2016-07-11_to_2017-07-12_CorePortfolio_3QRank","2016-08-11_to_2017-08-12_CorePortfolio_3QRank","2016-09-12_to_2017-09-12_CorePortfolio_3QRank","2016-10-11_to_2017-10-12_CorePortfolio_3QRank","2016-11-11_to_2017-11-12_CorePortfolio_3QRank","2016-12-12_to_2017-12-12_CorePortfolio_3QRank","2017-01-11_to_2018-01-12_CorePortfolio_3QRank","2017-02-13_to_2018-02-12_CorePortfolio_3QRank","2017-03-13_to_2018-03-12_CorePortfolio_3QRank","2017-04-11_to_2018-04-12_CorePortfolio_3QRank","2017-05-11_to_2018-05-12_CorePortfolio_3QRank","2017-06-12_to_2018-06-12_CorePortfolio_3QRank","2017-07-11_to_2018-07-12_CorePortfolio_3QRank","2017-08-11_to_2018-08-12_CorePortfolio_3QRank","2017-09-11_to_2018-09-12_CorePortfolio_3QRank","2017-10-11_to_2018-10-12_CorePortfolio_3QRank","2017-11-13_to_2018-11-12_CorePortfolio_3QRank","2017-12-11_to_2018-12-12_CorePortfolio_3QRank","2018-01-11_to_2019-01-12_CorePortfolio_3QRank","2018-02-12_to_2019-02-12_CorePortfolio_3QRank","2018-03-12_to_2019-03-12_CorePortfolio_3QRank","2018-04-11_to_2019-04-12_CorePortfolio_3QRank","2018-05-11_to_2019-05-12_CorePortfolio_3QRank","2018-06-11_to_2019-06-12_CorePortfolio_3QRank","2018-07-11_to_2019-07-12_CorePortfolio_3QRank","2018-08-13_to_2019-08-12_CorePortfolio_3QRank","2018-09-11_to_2019-09-12_CorePortfolio_3QRank","2018-10-11_to_2019-10-12_CorePortfolio_3QRank","2018-11-12_to_2019-11-12_CorePortfolio_3QRank","2018-12-11_to_2019-12-12_CorePortfolio_3QRank","2019-01-11_to_2020-01-12_CorePortfolio_3QRank","2019-02-11_to_2020-02-12_CorePortfolio_3QRank","2019-03-11_to_2020-03-12_CorePortfolio_3QRank","2019-04-11_to_2020-04-12_CorePortfolio_3QRank","2019-05-13_to_2020-05-12_CorePortfolio_3QRank","2019-06-11_to_2020-06-12_CorePortfolio_3QRank","2019-07-11_to_2020-07-12_CorePortfolio_3QRank","2019-08-12_to_2020-08-12_CorePortfolio_3QRank","2019-09-11_to_2020-09-12_CorePortfolio_3QRank","2019-10-11_to_2020-10-12_CorePortfolio_3QRank","2019-11-11_to_2020-11-12_CorePortfolio_3QRank","2019-12-11_to_2020-12-12_CorePortfolio_3QRank","2020-01-13_to_2021-01-12_CorePortfolio_3QRank","2020-02-11_to_2021-02-12_CorePortfolio_3QRank","2020-03-11_to_2021-03-12_CorePortfolio_3QRank","2020-04-13_to_2021-04-12_CorePortfolio_3QRank","2020-05-11_to_2021-05-12_CorePortfolio_3QRank","2020-06-11_to_2021-06-12_CorePortfolio_3QRank","2020-07-13_to_2021-07-12_CorePortfolio_3QRank","2020-08-11_to_2021-08-12_CorePortfolio_3QRank","2020-09-11_to_2021-09-12_CorePortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","21.631","12.423","18.725","15.326","15.105","16.876","14.488","16.826","10.945","11.585","6.286","13.397","1.965","11.057","4.333","1.301","-1.814","-7.395","2.305","3.926","3.364","4.557","6.011","6.907","9.726","5.391","6.27","11.847","19.865","25.838","19.966","11.802","12.183","16.069","14.952","11.171","16.691","22.811","19.912","21.379","26.865","16.082","20.779","16.109","13.976","13.345","14.201","14.569","13.975","5.732","4.144","-0.802","-6.886","2.322","2.427","7.227","6.735","4.21","7.754","0.552","5.24","10.497","11.178","20.5","22.764","23.185","-15.211","-6.622","-1.983","-0.068","8.237","9.135","8.392","13.564","19.854","26.133","13.329","16.281","59.92","48.452","42.051","38.225","36.573","29.219","30.927"
"B Annualized Returns","17.4","12.657","14.605","11.808","10.7","14.273","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","4.231","-0.234","4.12","3.518","4.405","2.603","4.265","2.65","1.128","3.743","1.409","6.453","5.136","4.927","3.277","-0.436","1.54","1.717","3.457","3.841","4.063","4.742","3.23","1.55","-1.525","-1.683","1.416","1.63","0.802999999999997","3.009","2.238","-1.56","-3.194","-0.431000000000001","1.81","-0.624000000000001","1.335","4.338","0.901","2.926","4.022","1.524","4.283","3.298","0.461","-0.940999999999999","-0.551","-1.532","-2.017","-3.923","-2.077","-0.425","-0.648","-0.226","1.993","-2.194","0.470000000000001","0.392","-0.152","-1.198","1.133","2.14","-2.607","0.385999999999999","-4.529","-2.697","-5.666","-6.466","-8.368","-9.305","-3.465","-11.597","-7.97","-11.081","1.885","7.259","-4.123","-2.876","0.869","-0.298000000000002","2.852","-1.926","-0.819000000000003","-1.847","-4.006"
"P Volatility","9.61","8.45","8.41","8.65","7.51","9.53","10.34","9.01","10.49","10.19","10.72","10.4","11.83","11.78","14.25","13.38","13.39","13.7","13.66","16.05","15.16","16.34","16.76","14.63","13.78","11.11","11.13","11.01","8.54","8.32","5.68","6.73","6.42","6.48","6.23","5.68","5.15","4.91","3.51","4.49","4.41","5.98","8.87","10.24","9.34","9.71","9.59","10.14","10.03","10.33","11.61","12.17","13.46","15.58","15.33","15.38","15.14","16.81","17.3","18.63","17.82","16.51","17.58","14.01","11.75","12.54","16.75","21.93","23.53","22.42","24.5","21.81","22.35","24.47","26.11","29.42","25.19","23.63","16.74","15.15","14.74","14.78","15.15","14.39","13.42"
"B Volatility","8.4","7.94","7.69","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","1.21","0.509999999999999","0.72","0.930000000000001","2.41","1.87","1.04","-1.02","0.51","0.24","0.5","0.48","-0.119999999999999","-0.42","-2","-2.9","-2.05","-1.33","-1.21","-0.259999999999998","-1.11","0.169999999999998","0.790000000000001","-0.0899999999999999","-0.270000000000001","1.34","1.22","1.04","0.569999999999999","0.78","-0.49","0.5","0.18","0.350000000000001","0.710000000000001","0.23","-0.159999999999999","0.65","-0.640000000000001","0.23","0.15","0.41","0.889999999999999","0.69","-0.23","0.0200000000000014","-0.0500000000000007","0","-0.42","-0.0999999999999996","-1.43","-0.880000000000001","-1.34","-0.880000000000001","-0.74","-0.779999999999999","-1.36","-1.64","-2.04","-0.420000000000002","-1.37","-1.08","-0.100000000000001","0.549999999999999","-0.6","0.139999999999999","0.57","2.79","1.31","0.91","2.91","0","-0.77","0.23","1.49","3.06","-1.22","-0.260000000000002","-2.19","-0.719999999999999","-1.35","-1.57","-0.92","0.0600000000000005","1.34"
"P Tracking Error","3.52","2.6","2.73","2.86","3.2","3.28","3.25","3.49","3.63","3.89","2.44","2.62","3.38","3.19","3.33","4.58","3.9","4.12","4.08","3.73","3.22","2.37","3.49","3.64","2.58","2.96","2.66","2.34","2.76","2.42","2.17","2.31","2.47","1.77","2.25","2.89","1.57","1.49","2.08","1.52","1.3","1.37","2.03","1.74","1.84","2","1.85","2.66","2.62","2.97","3.76","3.31","3.01","3.23","2.72","3.66","3.78","4.16","4.76","4.08","4.92","3.44","2.98","2.87","2.46","2.57","2.42","4.22","3.31","3.04","4.41","3.39","3.16","5.34","3.8","5.68","5.98","5.39","5.37","5.45","7.32","6.7","8.52","6.68","6.58"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
