"","1 Y 2013-12-11 to 2014-12-12","1 Y 2014-01-13 to 2015-01-12","1 Y 2014-02-11 to 2015-02-12","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","17.199","14.509","18.526","14.845","21.996","13.866","11.616","9.674","15.707","4.621","13.198","7.192","1.468","-0.876","-5.571","2.137","2.532","2.777","3.762","6.499","9.013","14.427","7.012","5.141","10.288","18.825","22.258","17.941","11.131","11.589","14.347","13.515","9.685","17.085","20.872","22.144","21.499","26.897","17.346","17.86","12.869","14.212","13.393","15.248","14.762","14.088","9.287","5.541","-2.499","-5.958","1.654","0.554","7.144","6.431","2.224","7.788","2.76","4.729","8.922","10.531","18.624","22.316","21.622","-14.021","-6.468","-4.298","0.28","-1.047","10.951","17.029","25.312","18.571","12.992","13.706","11.692","57.977","49.169","42.601","39.772","35.369","27.671","29.909"
"B Annualized Returns","11.808","10.7","14.273","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","5.391","3.809","4.253","4.622","7.82","4.049","3.774","4.797","8.763","7.792","7.068","6.136","-0.269","2.478","3.541","3.289","2.447","3.476","3.947","3.718","3.656","3.176","-0.0620000000000003","0.287","0.0709999999999997","-0.237000000000002","-0.571000000000002","0.212999999999997","-2.231","-3.788","-2.153","0.373000000000001","-2.11","1.729","2.399","3.133","3.046","4.054","2.788","1.364","0.0579999999999998","0.696999999999999","-0.892999999999999","0.495999999999999","-1.339","-1.904","-0.367999999999999","-0.68","-2.122","0.28","-0.894","0.12","-2.277","0.166","-1.594","-0.117999999999999","1.01","0.622","0.565000000000001","-3.254","-1.49","-4.977","-4.26","-4.476","-6.312","-10.683","-8.957","-12.749","-9.781","0.667000000000002","0.667000000000002","0.602","-5.882","-3.746","-7.465","-1.07400000000001","0.418999999999997","3.402","-0.379000000000005","-2.023","-3.395","-5.024"
"P Volatility","8.88","7.17","9.1","10.96","10.85","11.2","9.9","9.69","9.8","12.07","11.68","14.77","14.41","13.97","13.41","13.13","15.89","16.44","15.44","15.31","14.11","14.03","10.8","10.6","10.68","8.32","8.23","6.99","7.07","6.17","6.24","5.93","6.24","5.24","5.19","4.24","4.38","3.96","5.73","8.72","9.91","9.9","9.7","10.24","9.98","10.02","9.69","10.94","11.9","14.18","15.15","15.33","14.63","15.47","17.82","17.92","18.3","17.18","16.92","16.41","12.92","11.57","11.83","16.32","20.65","24.26","23.17","24.09","23.84","27.08","29.17","27.25","25.67","25.8","23.12","16.51","14.72","15.5","15.17","15.64","14.05","13.61"
"B Volatility","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","1.16","2.07","1.44","1.66","0.82","1.22","-0.0499999999999989","-0.530000000000001","-0.119999999999999","0.120000000000001","-0.52","-1.48","-1.87","-1.47","-1.62","-1.74","-0.419999999999998","0.170000000000002","-0.730000000000002","-0.66","-0.610000000000001","-0.0200000000000014","1.03","0.69","0.709999999999999","0.350000000000001","0.69","0.82","0.84","-0.0700000000000003","0.11","0.41","0.79","-0.0699999999999994","0.930000000000001","0.0899999999999999","0.12","-0.3","0.16","0.74","0.359999999999999","0.33","0.00999999999999979","0.6","-0.16","-0.43","-0.74","-2.1","-1.15","-0.620000000000001","-1.31","-0.74","-1.53","-1.03","-0.629999999999999","-1.42","-0.75","-2.01","-0.669999999999998","-1.27","-0.540000000000001","-0.779999999999999","-0.57","0.140000000000001","1.51","2.04","1.66","2.5","2.03","3.96","4.93","2.63","-0.689999999999998","-0.609999999999999","-0.77","-2.42","-1.15","-0.59","-1.18","-0.43","-0.279999999999999","1.53"
"P Tracking Error","3.29","3.19","3.46","3.5","3.1","3.09","3.82","3.64","3.22","3.23","3.25","2.99","3.78","3.66","3.84","3.71","3.57","3","3.35","3.4","2.5","2.36","2.55","2.64","2.36","2.39","2.48","2.69","2.63","1.27","1.18","1.47","2.47","1.82","2.49","0.94","1.9","1.76","1.46","1.84","1.8","1.96","2.1","1.77","1.78","2.79","2.45","4.5","4.87","4.6","3.61","3.28","3.6","3.21","3.66","4.7","3.83","4.61","3.72","3.05","3.61","3.19","2.84","1.73","4.15","3.76","3.6","4.7","3.93","5.44","6.5","4.79","5.33","6.36","5.97","5.78","6.14","6.8","6.79","8.05","7.57","6.8"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
