"","2014-12-11_to_2017-12-12_ValuePortfolio_8QRank","2015-01-12_to_2018-01-12_ValuePortfolio_8QRank","2015-02-11_to_2018-02-12_ValuePortfolio_8QRank","2015-03-11_to_2018-03-12_ValuePortfolio_8QRank","2015-04-13_to_2018-04-12_ValuePortfolio_8QRank","2015-05-11_to_2018-05-12_ValuePortfolio_8QRank","2015-06-11_to_2018-06-12_ValuePortfolio_8QRank","2015-07-13_to_2018-07-12_ValuePortfolio_8QRank","2015-08-11_to_2018-08-12_ValuePortfolio_8QRank","2015-09-11_to_2018-09-12_ValuePortfolio_8QRank","2015-10-12_to_2018-10-12_ValuePortfolio_8QRank","2015-11-11_to_2018-11-12_ValuePortfolio_8QRank","2015-12-11_to_2018-12-12_ValuePortfolio_8QRank","2016-01-11_to_2019-01-12_ValuePortfolio_8QRank","2016-02-11_to_2019-02-12_ValuePortfolio_8QRank","2016-03-11_to_2019-03-12_ValuePortfolio_8QRank","2016-04-11_to_2019-04-12_ValuePortfolio_8QRank","2016-05-11_to_2019-05-12_ValuePortfolio_8QRank","2016-06-13_to_2019-06-12_ValuePortfolio_8QRank","2016-07-11_to_2019-07-12_ValuePortfolio_8QRank","2016-08-11_to_2019-08-12_ValuePortfolio_8QRank","2016-09-12_to_2019-09-12_ValuePortfolio_8QRank","2016-10-11_to_2019-10-12_ValuePortfolio_8QRank","2016-11-11_to_2019-11-12_ValuePortfolio_8QRank","2016-12-12_to_2019-12-12_ValuePortfolio_8QRank","2017-01-11_to_2020-01-12_ValuePortfolio_8QRank","2017-02-13_to_2020-02-12_ValuePortfolio_8QRank","2017-03-13_to_2020-03-12_ValuePortfolio_8QRank","2017-04-11_to_2020-04-12_ValuePortfolio_8QRank","2017-05-11_to_2020-05-12_ValuePortfolio_8QRank","2017-06-12_to_2020-06-12_ValuePortfolio_8QRank","2017-07-11_to_2020-07-12_ValuePortfolio_8QRank","2017-08-11_to_2020-08-12_ValuePortfolio_8QRank","2017-09-11_to_2020-09-12_ValuePortfolio_8QRank","2017-10-11_to_2020-10-12_ValuePortfolio_8QRank","2017-11-13_to_2020-11-12_ValuePortfolio_8QRank","2017-12-11_to_2020-12-12_ValuePortfolio_8QRank","2018-01-11_to_2021-01-12_ValuePortfolio_8QRank","2018-02-12_to_2021-02-12_ValuePortfolio_8QRank","2018-03-12_to_2021-03-12_ValuePortfolio_8QRank","2018-04-11_to_2021-04-12_ValuePortfolio_8QRank","2018-05-11_to_2021-05-12_ValuePortfolio_8QRank","2018-06-11_to_2021-06-12_ValuePortfolio_8QRank","2018-07-11_to_2021-07-12_ValuePortfolio_8QRank","2018-08-13_to_2021-08-12_ValuePortfolio_8QRank","2018-09-11_to_2021-09-12_ValuePortfolio_8QRank","2018-10-11_to_2021-10-12_ValuePortfolio_8QRank"
"P Information Ratio","-0.73","-0.05","-0.82","-0.95","-0.6","-0.79","-0.89","-0.88","-0.84","-0.82","-0.87","-0.41","0.03","0.11","0.95","0.1","0.12","0.06","-0.11","0.07","-0.37","-0.51","-0.8","-0.3","-0.2","-0.78","-0.93","-0.57","-0.7","-1.15","-1.5","-1.54","-1.39","-1.47","-1.29","-1.1","-0.8","-0.72","-1.11","-0.74","-1.29","-1.02","-1.28","-1.51","-1.4","-1.42","-1.62"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.2","-0.03","-0.2","-0.3","-0.18","-0.17","-0.2","-0.11","-0.06","-0.17","-0.2","-0.07","0.01","0.04","0.27","0.08","-0.22","-0.13","-0.11","-0.12","-0.29","-0.5","-0.38","0.05","0.07","-0.03","-0.27","-0.22","-0.33","-0.5","-0.71","-0.67","-0.64","-0.8","-0.45","-0.56","-0.46","-0.26","-0.3","-0.23","-0.47","-0.54","-0.63","-0.62","-0.66","-0.72","-0.76"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.81","1.04","0.81","0.77","0.75","0.75","0.75","0.79","0.78","0.8","0.93","0.83","0.93","1.1","1.16","1.08","1.14","1.17","1.18","1.21","1.12","1.15","1.03","0.78","0.78","0.87","0.91","0.94","0.95","1.03","1.02","0.97","0.91","0.96","0.91","0.77","0.85","0.76","0.69","0.68","0.78","0.79","0.72","0.74","0.78","0.78","0.89"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","74.11","88.55","72.58","63.06","65.29","64.58","68.34","72.27","69.86","68.24","65.92","67.55","64.17","68.66","71.95","72.15","69.19","70.86","73.94","73.89","76.83","77.8","82.23","77.63","75.65","86.28","83.29","85.34","85.53","89.2","88.78","85.95","86.38","87.9","88.41","79.38","79.25","78.52","76.99","76.37","75.52","78.21","73.65","75.3","73.5","73.26","81.54"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-16.477","-14.4842","-15.0829","-16.141","-15.2269","-15.1217","-14.8124","-13.336","-12.7213","-13.4368","-14.3388","-12.9181","-13.0229","-24.8805","-23.4486","-23.6836","-24.7898","-24.7865","-25.0065","-26.0783","-25.5172","-24.8459","-21.6988","-14.7635","-13.8832","-17.3023","-17.7983","-26.4184","-32.117","-34.4946","-35.1716","-33.5882","-32.7147","-34.8512","-32.9167","-33.1671","-34.5689","-32.2474","-29.845","-29.3313","-32.5064","-31.7643","-31.3165","-31.4064","-33.3298","-33.2408","-33.2649"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-3.1491","-1.1563","-1.755","-2.8131","-1.899","-1.7938","-1.4845","-0.00810000000000066","-0.8851","-1.6006","-2.5026","-1.5045","-1.8501","-4.9212","-3.4893","-3.7243","-4.8305","-4.8272","-5.0472","-6.119","-5.5579","-4.8866","-1.7395","5.1959","6.0761","2.657","2.161","-0.379799999999999","-0.585799999999999","-2.9634","-3.6404","-2.057","-1.1835","-3.32","-1.3855","-1.6359","-3.0377","-0.716200000000001","1.6862","2.1999","-0.975200000000001","-0.2331","0.214699999999997","0.124799999999997","-1.7986","-1.7096","-1.7337"
