"","2014-03-11_to_2015-03-12_CorePortfolio_5QRank","2014-04-11_to_2015-04-12_CorePortfolio_5QRank","2014-05-12_to_2015-05-12_CorePortfolio_5QRank","2014-06-11_to_2015-06-12_CorePortfolio_5QRank","2014-07-11_to_2015-07-12_CorePortfolio_5QRank","2014-08-11_to_2015-08-12_CorePortfolio_5QRank","2014-09-11_to_2015-09-12_CorePortfolio_5QRank","2014-10-13_to_2015-10-12_CorePortfolio_5QRank","2014-11-11_to_2015-11-12_CorePortfolio_5QRank","2014-12-11_to_2015-12-12_CorePortfolio_5QRank","2015-01-12_to_2016-01-12_CorePortfolio_5QRank","2015-02-11_to_2016-02-12_CorePortfolio_5QRank","2015-03-11_to_2016-03-12_CorePortfolio_5QRank","2015-04-13_to_2016-04-12_CorePortfolio_5QRank","2015-05-11_to_2016-05-12_CorePortfolio_5QRank","2015-06-11_to_2016-06-12_CorePortfolio_5QRank","2015-07-13_to_2016-07-12_CorePortfolio_5QRank","2015-08-11_to_2016-08-12_CorePortfolio_5QRank","2015-09-11_to_2016-09-12_CorePortfolio_5QRank","2015-10-12_to_2016-10-12_CorePortfolio_5QRank","2015-11-11_to_2016-11-12_CorePortfolio_5QRank","2015-12-11_to_2016-12-12_CorePortfolio_5QRank","2016-01-11_to_2017-01-12_CorePortfolio_5QRank","2016-02-11_to_2017-02-12_CorePortfolio_5QRank","2016-03-11_to_2017-03-12_CorePortfolio_5QRank","2016-04-11_to_2017-04-12_CorePortfolio_5QRank","2016-05-11_to_2017-05-12_CorePortfolio_5QRank","2016-06-13_to_2017-06-12_CorePortfolio_5QRank","2016-07-11_to_2017-07-12_CorePortfolio_5QRank","2016-08-11_to_2017-08-12_CorePortfolio_5QRank","2016-09-12_to_2017-09-12_CorePortfolio_5QRank","2016-10-11_to_2017-10-12_CorePortfolio_5QRank","2016-11-11_to_2017-11-12_CorePortfolio_5QRank","2016-12-12_to_2017-12-12_CorePortfolio_5QRank","2017-01-11_to_2018-01-12_CorePortfolio_5QRank","2017-02-13_to_2018-02-12_CorePortfolio_5QRank","2017-03-13_to_2018-03-12_CorePortfolio_5QRank","2017-04-11_to_2018-04-12_CorePortfolio_5QRank","2017-05-11_to_2018-05-12_CorePortfolio_5QRank","2017-06-12_to_2018-06-12_CorePortfolio_5QRank","2017-07-11_to_2018-07-12_CorePortfolio_5QRank","2017-08-11_to_2018-08-12_CorePortfolio_5QRank","2017-09-11_to_2018-09-12_CorePortfolio_5QRank","2017-10-11_to_2018-10-12_CorePortfolio_5QRank","2017-11-13_to_2018-11-12_CorePortfolio_5QRank","2017-12-11_to_2018-12-12_CorePortfolio_5QRank","2018-01-11_to_2019-01-12_CorePortfolio_5QRank","2018-02-12_to_2019-02-12_CorePortfolio_5QRank","2018-03-12_to_2019-03-12_CorePortfolio_5QRank","2018-04-11_to_2019-04-12_CorePortfolio_5QRank","2018-05-11_to_2019-05-12_CorePortfolio_5QRank","2018-06-11_to_2019-06-12_CorePortfolio_5QRank","2018-07-11_to_2019-07-12_CorePortfolio_5QRank","2018-08-13_to_2019-08-12_CorePortfolio_5QRank","2018-09-11_to_2019-09-12_CorePortfolio_5QRank","2018-10-11_to_2019-10-12_CorePortfolio_5QRank","2018-11-12_to_2019-11-12_CorePortfolio_5QRank","2018-12-11_to_2019-12-12_CorePortfolio_5QRank","2019-01-11_to_2020-01-12_CorePortfolio_5QRank","2019-02-11_to_2020-02-12_CorePortfolio_5QRank","2019-03-11_to_2020-03-12_CorePortfolio_5QRank","2019-04-11_to_2020-04-12_CorePortfolio_5QRank","2019-05-13_to_2020-05-12_CorePortfolio_5QRank","2019-06-11_to_2020-06-12_CorePortfolio_5QRank","2019-07-11_to_2020-07-12_CorePortfolio_5QRank","2019-08-12_to_2020-08-12_CorePortfolio_5QRank","2019-09-11_to_2020-09-12_CorePortfolio_5QRank","2019-10-11_to_2020-10-12_CorePortfolio_5QRank","2019-11-11_to_2020-11-12_CorePortfolio_5QRank","2019-12-11_to_2020-12-12_CorePortfolio_5QRank","2020-01-13_to_2021-01-12_CorePortfolio_5QRank","2020-02-11_to_2021-02-12_CorePortfolio_5QRank","2020-03-11_to_2021-03-12_CorePortfolio_5QRank","2020-04-13_to_2021-04-12_CorePortfolio_5QRank","2020-05-11_to_2021-05-12_CorePortfolio_5QRank","2020-06-11_to_2021-06-12_CorePortfolio_5QRank","2020-07-13_to_2021-07-12_CorePortfolio_5QRank","2020-08-11_to_2021-08-12_CorePortfolio_5QRank","2020-09-11_to_2021-09-12_CorePortfolio_5QRank"
"P Information Ratio","0.87","1.37","1.3","1.55","1.64","2.78","2.09","2.35","1.39","0.93","1.32","1.07","0.85","0.94","1.5","1.75","1.42","0.83","1.33","0.8","1.13","1.37","-0.28","-0.63","-0.68","-1.32","-2.39","-1.73","-1.48","-1.68","0.64","0.62","0.01","-0.34","0.76","1.13","2.54","2.5","0.32","0.1","-0.61","0.6","-0.68","-0.41","-0.22","0.13","0.14","0","0.09","-0.39","-0.13","0.03","-0.32","0.01","-0.07","-0.21","-0.9","-0.71","-1.63","-1.42","-1.48","-1.41","-2.51","-2.41","-2.8","-3.46","-3.26","-2.5","-0.4","-1.02","-0.62","-0.65","-0.07","-0.52","0.54","0.15","-0.11","-0.29","-0.77"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.19","0.39","0.35","0.32","0.54","0.55","0.59","0.37","0.32","0.58","0.47","0.36","0.15","0.25","0.41","0.49","0.29","0.42","0.38","0.25","0.11","0.16","0.14","-0.17","-0.07","-0.3","-0.3","-0.43","-0.33","-0.15","-0.09","-0.14","-0.03","-0.12","0.17","0.18","0.24","0.31","0","0.03","0.03","0.13","-0.12","0","-0.12","0.01","-0.09","0.05","0.01","0.03","0.01","0.03","-0.12","0.02","0.02","0.02","-0.21","-0.06","-0.01","-0.12","-0.17","-0.59","-1.15","-0.83","-1.12","-1.12","-1.3","-0.95","-0.19","-0.46","-0.31","-0.24","0.57","0.28","0.3","0.76","0.38","0.4","-0.16"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.05","1.02","0.98","1.03","0.97","1.01","0.95","0.9","0.84","0.79","0.82","0.93","0.97","0.93","0.98","0.96","0.98","0.92","0.91","1.03","1.06","1.01","0.96","0.97","0.95","1.02","1.08","1.18","1.14","0.92","1.03","1.05","1.07","1.1","0.92","0.96","1.08","1.06","1.04","1","0.99","1.04","0.91","0.94","0.84","0.88","0.85","0.85","0.9","0.87","0.87","0.9","0.93","0.93","0.93","0.95","0.98","0.92","0.9","0.88","0.93","1.06","1.13","1.06","1.06","1.05","1.05","1.02","1.11","1.03","0.97","0.94","0.84","0.94","0.84","0.83","0.86","0.88","0.97"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","87.31","90.6","86.54","90.2","90.76","92.98","92.08","94.17","96.14","95.63","94.86","94.17","95.9","97.02","95.13","95.14","95.12","93.47","96.41","97.38","95.95","95.79","88.64","88.98","82.1","87.9","92.72","96.82","91.7","87.95","97.35","95.03","88.23","87.04","88.09","91.83","95.75","97.38","96.15","95.07","95.96","96.68","89.1","93.26","92.63","90.96","94.65","88.57","89.59","92.35","92.88","94.87","94.51","95.98","94.78","94.19","97.2","93.68","94.59","93.19","97.82","96.21","96.72","97.17","95","97.76","97.64","95.47","97.6","94.14","95.26","92.75","84.56","82.13","75.15","78.77","71.21","76.55","73.19"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-7.9296","-7.5677","-7.3063","-7.6464","-7.5642","-7.4987","-11.1762","-10.6506","-11.1125","-11.2565","-11.4344","-13.6701","-13.8529","-11.8331","-13.8433","-13.1691","-14.045","-13.6798","-12.7066","-12.8031","-13.1693","-11.7659","-5.666","-5.5962","-5.4669","-5.7325","-6.0136","-5.9582","-6.2605","-5.1753","-3.394","-3.0134","-3.4008","-2.8749","-2.5473","-9.6141","-9.7267","-10.9892","-11.7897","-11.339","-11.8595","-11.6577","-10.8585","-11.0613","-11.0462","-10.8768","-17.002","-16.0483","-16.2118","-16.8876","-16.9082","-16.5933","-17.3579","-17.268","-16.7106","-14.3503","-14.6186","-10.2587","-6.5043","-6.2299","-26.6752","-34.4635","-36.6432","-34.2434","-35.7396","-34.0819","-35.1356","-35.9946","-36.2237","-35.1768","-33.9065","-33.2098","-17.7896","-8.7099","-9.2319","-8.1903","-8.0036","-7.89","-7.6545"
"B Max Drawdown","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-0.4198","-0.0578000000000003","0.2035","-0.1366","-0.0543999999999993","0.0110999999999999","2.1517","2.6773","2.2154","2.0714","1.8935","-0.3422","-0.525","1.4948","-0.5154","0.158799999999999","-0.7171","-1.8436","-0.8704","-0.966900000000001","-1.7557","-1.2397","-0.5456","-0.4758","-0.3465","-0.6121","-0.8931","-1.1114","-1.6177","-0.5325","0.6924","0.219","-0.4975","0.0284000000000004","0.356","0.724299999999999","0.611700000000001","0.1836","-0.616899999999999","-0.1662","-0.6867","-0.4849","0.314300000000001","0.111500000000001","0.1266","0.296000000000001","2.9573","3.911","3.7475","3.0717","3.0511","3.366","2.6014","2.6913","3.2487","2.3913","1.194","1.2397","1.1648","1.4392","-0.636600000000001","-2.93230000000001","-5.112","-2.7122","-4.2084","-2.5507","-3.6044","-4.4634","-4.6925","-3.6456","-2.3753","-1.6786","-1.8504","1.7922","1.2702","2.3118","2.4984","2.6121","0.2781"
