"","2015-12-11_to_2018-12-12_GrowthPortfolio_12QRank","2016-01-11_to_2019-01-12_GrowthPortfolio_12QRank","2016-02-11_to_2019-02-12_GrowthPortfolio_12QRank","2016-03-11_to_2019-03-12_GrowthPortfolio_12QRank","2016-04-11_to_2019-04-12_GrowthPortfolio_12QRank","2016-05-11_to_2019-05-12_GrowthPortfolio_12QRank","2016-06-13_to_2019-06-12_GrowthPortfolio_12QRank","2016-07-11_to_2019-07-12_GrowthPortfolio_12QRank","2016-08-11_to_2019-08-12_GrowthPortfolio_12QRank","2016-09-12_to_2019-09-12_GrowthPortfolio_12QRank","2016-10-11_to_2019-10-12_GrowthPortfolio_12QRank","2016-11-11_to_2019-11-12_GrowthPortfolio_12QRank","2016-12-12_to_2019-12-12_GrowthPortfolio_12QRank","2017-01-11_to_2020-01-12_GrowthPortfolio_12QRank","2017-02-13_to_2020-02-12_GrowthPortfolio_12QRank","2017-03-13_to_2020-03-12_GrowthPortfolio_12QRank","2017-04-11_to_2020-04-12_GrowthPortfolio_12QRank","2017-05-11_to_2020-05-12_GrowthPortfolio_12QRank","2017-06-12_to_2020-06-12_GrowthPortfolio_12QRank","2017-07-11_to_2020-07-12_GrowthPortfolio_12QRank","2017-08-11_to_2020-08-12_GrowthPortfolio_12QRank","2017-09-11_to_2020-09-12_GrowthPortfolio_12QRank","2017-10-11_to_2020-10-12_GrowthPortfolio_12QRank","2017-11-13_to_2020-11-12_GrowthPortfolio_12QRank","2017-12-11_to_2020-12-12_GrowthPortfolio_12QRank","2018-01-11_to_2021-01-12_GrowthPortfolio_12QRank","2018-02-12_to_2021-02-12_GrowthPortfolio_12QRank","2018-03-12_to_2021-03-12_GrowthPortfolio_12QRank","2018-04-11_to_2021-04-12_GrowthPortfolio_12QRank","2018-05-11_to_2021-05-12_GrowthPortfolio_12QRank","2018-06-11_to_2021-06-12_GrowthPortfolio_12QRank","2018-07-11_to_2021-07-12_GrowthPortfolio_12QRank","2018-08-13_to_2021-08-12_GrowthPortfolio_12QRank","2018-09-11_to_2021-09-12_GrowthPortfolio_12QRank","2018-10-11_to_2021-10-12_GrowthPortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","19.165","22.256","27.693","22.466","25.18","23.2","21.631","22.429","21.269","21.906","21.152","21.091","19.34","22.334","22.41","10.74","17.093","20.52","20.66","23.682","24.717","24.441","22.254","22.842","22.651","19.919","20.733","17.609","22.29","17.445","19.077","22.03","25.09","25.649","30.416"
"B Annualized Returns","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","10.529","12.033","14.507","11.272","12.975","11.517","10.241","10.335","11.723","10.224","9.646","8.231","7.009","9.084","8.48","8.598","10.186","12.777","11.495","12.172","11.75","12.295","9.079","10.289","10.071","7.769","5.429","4.293","4.843","2.136","2.659","3.951","7.269","7.931","10.02"
"P Volatility","15.44","16.09","16.96","16.44","16.52","16.18","16.96","17.14","17.23","16.78","16.51","15.91","16.33","15.86","16.5","17.03","17.73","19.27","19.23","19.61","19.05","20.46","19.88","20.17","20.8","20.06","20.44","20.19","20.16","20.46","20.23","20.49","20.54","19.55","18.35"
"B Volatility","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","6.05","5.51","5.83","5.71","5.77","5.25","5.09","4.87","4.98","4.43","4.24","3.64","3.99","3.46","4.23","3.58","2.8","2.7","2.57","2.93","2.16","2.95","2.03","2.17","2.02","1.42","2.01","2","1.91","2.06","1.82","2.11","2.2","1.18","0.380000000000003"
"P Tracking Error","9.17","9.27","9.82","9.3","9.72","9.19","8.99","8.86","9.03","8.42","8.32","7.61","7.66","7.25","7.31","7.47","8.07","7.91","7.4","7.84","6.73","7.62","7.01","6.69","6.9","5.99","6.19","6.12","5.84","5.67","5.76","5.5","5.53","4.9","4.78"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
