"","2014-03-11_to_2017-03-12_ValuePortfolio_5QRank","2014-04-11_to_2017-04-12_ValuePortfolio_5QRank","2014-05-12_to_2017-05-12_ValuePortfolio_5QRank","2014-06-11_to_2017-06-12_ValuePortfolio_5QRank","2014-07-11_to_2017-07-12_ValuePortfolio_5QRank","2014-08-11_to_2017-08-12_ValuePortfolio_5QRank","2014-09-11_to_2017-09-12_ValuePortfolio_5QRank","2014-10-13_to_2017-10-12_ValuePortfolio_5QRank","2014-11-11_to_2017-11-12_ValuePortfolio_5QRank","2014-12-11_to_2017-12-12_ValuePortfolio_5QRank","2015-01-12_to_2018-01-12_ValuePortfolio_5QRank","2015-02-11_to_2018-02-12_ValuePortfolio_5QRank","2015-03-11_to_2018-03-12_ValuePortfolio_5QRank","2015-04-13_to_2018-04-12_ValuePortfolio_5QRank","2015-05-11_to_2018-05-12_ValuePortfolio_5QRank","2015-06-11_to_2018-06-12_ValuePortfolio_5QRank","2015-07-13_to_2018-07-12_ValuePortfolio_5QRank","2015-08-11_to_2018-08-12_ValuePortfolio_5QRank","2015-09-11_to_2018-09-12_ValuePortfolio_5QRank","2015-10-12_to_2018-10-12_ValuePortfolio_5QRank","2015-11-11_to_2018-11-12_ValuePortfolio_5QRank","2015-12-11_to_2018-12-12_ValuePortfolio_5QRank","2016-01-11_to_2019-01-12_ValuePortfolio_5QRank","2016-02-11_to_2019-02-12_ValuePortfolio_5QRank","2016-03-11_to_2019-03-12_ValuePortfolio_5QRank","2016-04-11_to_2019-04-12_ValuePortfolio_5QRank","2016-05-11_to_2019-05-12_ValuePortfolio_5QRank","2016-06-13_to_2019-06-12_ValuePortfolio_5QRank","2016-07-11_to_2019-07-12_ValuePortfolio_5QRank","2016-08-11_to_2019-08-12_ValuePortfolio_5QRank","2016-09-12_to_2019-09-12_ValuePortfolio_5QRank","2016-10-11_to_2019-10-12_ValuePortfolio_5QRank","2016-11-11_to_2019-11-12_ValuePortfolio_5QRank","2016-12-12_to_2019-12-12_ValuePortfolio_5QRank","2017-01-11_to_2020-01-12_ValuePortfolio_5QRank","2017-02-13_to_2020-02-12_ValuePortfolio_5QRank","2017-03-13_to_2020-03-12_ValuePortfolio_5QRank","2017-04-11_to_2020-04-12_ValuePortfolio_5QRank","2017-05-11_to_2020-05-12_ValuePortfolio_5QRank","2017-06-12_to_2020-06-12_ValuePortfolio_5QRank","2017-07-11_to_2020-07-12_ValuePortfolio_5QRank","2017-08-11_to_2020-08-12_ValuePortfolio_5QRank","2017-09-11_to_2020-09-12_ValuePortfolio_5QRank","2017-10-11_to_2020-10-12_ValuePortfolio_5QRank","2017-11-13_to_2020-11-12_ValuePortfolio_5QRank","2017-12-11_to_2020-12-12_ValuePortfolio_5QRank","2018-01-11_to_2021-01-12_ValuePortfolio_5QRank","2018-02-12_to_2021-02-12_ValuePortfolio_5QRank","2018-03-12_to_2021-03-12_ValuePortfolio_5QRank","2018-04-11_to_2021-04-12_ValuePortfolio_5QRank","2018-05-11_to_2021-05-12_ValuePortfolio_5QRank","2018-06-11_to_2021-06-12_ValuePortfolio_5QRank","2018-07-11_to_2021-07-12_ValuePortfolio_5QRank","2018-08-13_to_2021-08-12_ValuePortfolio_5QRank","2018-09-11_to_2021-09-12_ValuePortfolio_5QRank","2018-10-11_to_2021-10-12_ValuePortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.177","6.395","5.255","5.645","4.901","5.957","5.734","9.861","8.456","10.327","13.297","3.907","8.243","11.115","7.678","8.144","6.351","8.178","11.531","7.945","9.535","10.601","12.819","18.094","12.888","14.621","16.39","14.018","13.739","9.888","9.455","6.488","10.036","13.926","11.01","9.838","-0.893","1.926","0.39","-1","2.72","-0.298","4.585","3.948","2.972","1.261","2.392","7.503","4.903","7.161","9.317","9.176","10.877","10.185","24.91","27.913"
"B Annualized Returns","8.639","8.825","7.948","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","-1.462","-2.43","-2.693","-1.865","-2.347","-1.975","-1.776","-0.344999999999999","0.452","0.929","2.001","-4.954","-2.785","2.54","-1.369","-1.477","-3.744","-2.836","-2.637","-3.463","0.215999999999999","1.965","2.596","4.908","1.694","2.416","4.707","2.628","1.645","0.342000000000001","-2.227","-5.018","-2.824","1.595","-2.24","-4.092","-3.035","-4.981","-7.353","-10.165","-8.79","-13.265","-7.561","-9.227","-9.581","-11.319","-9.758","-7.801","-8.413","-10.286","-5.992","-7.242","-7.202","-7.636","7.192","7.517"
"P Volatility","9.82","9.86","9.46","8.72","8.69","8.71","9.64","10.83","11.01","11.38","12.15","11.03","11.01","12.19","10.96","10.92","10.38","10.69","11.06","11.22","9.94","10.91","12.22","15.63","15.26","14.43","14.44","15.89","17.2","17.07","14.84","14.19","11.3","11.73","10.72","10.75","12.27","13.09","13.64","14.23","15.4","15.01","17.25","15.99","15.77","16.39","15.36","17.01","17.15","17.32","16.48","16.35","16.97","17.28","23.54","26.55"
"B Volatility","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-1.23","-1.2","-1.57","-2.3","-2.3","-2.18","-1.21","-0.0199999999999996","0.16","0.470000000000001","1.76","0.619999999999999","0.4","1.26","0.0300000000000011","0.0600000000000005","-0.43","0.52","1.1","2.77","0.44","1.52","1.64","4.5","4.53","3.68","3.51","4.02","4.93","4.82","2.49","1.92","-0.969999999999999","-0.609999999999999","-1.68","-1.52","-1.18","-1.84","-2.93","-2.43","-1.28","-1.88","-0.260000000000002","-1.86","-2.23","-2.39","-3.28","-1.42","-1.04","-0.93","-1.92","-2.06","-1.41","-1.06","5.17","8.58"
"P Tracking Error","6.97","4.69","4.49","5.95","5.89","6.2","4.72","3.57","3.61","3.79","4.36","5.41","4.35","4.35","4.58","4.6","5.29","5.08","6.13","6.21","5.17","5.52","5.92","8.7","8.54","8.58","7.56","7.8","8.96","8.82","6.63","6.98","6.52","6.4","5.83","6.55","5.55","6.79","7.49","7.54","6.97","7.58","5.71","7.21","7.38","8.08","8.16","7.05","6.96","7.04","8.46","8.46","8.68","8.37","11.13","12.66"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.21","-0.52","-0.6","-0.31","-0.4","-0.32","-0.38","-0.1","0.13","0.25","0.46","-0.92","-0.64","0.58","-0.3","-0.32","-0.71","-0.56","-0.43","-0.56","0.04","0.36","0.44","0.56","0.2","0.28","0.62","0.34","0.18","0.04","-0.34","-0.72","-0.43","0.25","-0.38","-0.62","-0.55","-0.73","-0.98","-1.35","-1.26","-1.75","-1.32","-1.28","-1.3","-1.4","-1.2","-1.11","-1.21","-1.46","-0.71","-0.86","-0.83","-0.91","0.65","0.59"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.09","-0.08","-0.02","0.01","0.04","0.05","-0.08","0.07","0","0.08","0.05","-0.32","-0.17","0.09","0.01","0","-0.05","-0.07","-0.13","-0.3","0.09","0.03","0.21","0.07","0.06","-0.05","0.23","0.15","-0.04","-0.11","-0.25","-0.38","-0.02","0.27","0.13","-0.09","-0.2","-0.33","-0.45","-0.59","-0.49","-0.88","-0.63","-0.47","-0.62","-0.7","-0.54","-0.29","-0.59","-0.53","-0.33","-0.32","-0.24","-0.3","0.4","0.02"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.7","0.81","0.78","0.67","0.67","0.66","0.8","0.94","0.96","0.98","1.1","0.93","0.95","1.04","0.92","0.92","0.84","0.93","0.93","1.11","0.9","1","1.01","1.18","1.2","1.08","1.13","1.18","1.22","1.21","1.08","1.01","0.78","0.82","0.76","0.74","0.83","0.78","0.74","0.76","0.84","0.79","0.93","0.82","0.8","0.79","0.74","0.85","0.87","0.88","0.8","0.79","0.82","0.84","1.14","1.34"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","60.12","81.52","83.28","70.26","70.68","66.66","80.53","89.13","89.06","88.6","87.42","75.73","84.12","87.06","82.72","82.43","76.06","77.25","68.75","69.18","73.1","73.66","75.8","69.73","69.67","63.98","72.8","77.06","74.45","74.84","79.87","75.12","71.4","73.16","77.28","70.68","82.45","78.73","79.47","79.08","82.02","79.24","89.2","83.22","82.85","81.05","80.88","84.94","84.95","84.76","78.22","78.26","77.2","78.82","78.15","82.09"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-12.7969","-11.4264","-11.0735","-10.9391","-10.9505","-11.5829","-12.2102","-13.5684","-14.6415","-14.6082","-15.6063","-17.4517","-15.7568","-18.9405","-16.336","-15.861","-14.5785","-14.6534","-16.5993","-17.182","-13.0479","-13.0691","-19.7453","-26.1591","-25.8622","-24.3471","-22.4356","-23.0627","-24.6344","-24.3198","-23.4761","-24.1987","-15.1538","-16.5208","-15.1891","-14.6116","-25.1732","-30.2019","-29.8791","-31.2991","-30.059","-31.2578","-35.3677","-30.7657","-31.9005","-30.6507","-30.6623","-33.4348","-33.8767","-33.1519","-31.7485","-32.727","-33.0908","-34.3544","-35.8084","-38.2278"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.530999999999999","1.9015","2.2544","2.3888","2.3774","1.745","1.1177","-0.240500000000001","-1.3136","-1.2803","-2.2784","-4.1238","-2.4289","-5.6126","-3.0081","-2.5331","-1.2506","-2.8172","-4.7631","-5.3458","-1.6343","-1.8963","0.213999999999999","-6.1998","-5.9029","-4.3878","-2.4763","-3.1034","-4.6751","-4.3605","-3.5168","-4.2394","4.8056","3.4385","4.7702","5.3477","0.865399999999998","1.3293","1.6521","0.232099999999999","1.4722","0.273399999999999","-3.8365","0.765499999999999","-0.369300000000003","0.880499999999998","0.8689","-1.9036","-2.3455","-1.6207","-0.217300000000002","-1.1958","-1.5596","-2.8232","-4.2772","-6.6966"
