"","2013-06-11_to_2014-06-12_VGPortfolio_2QRank","2013-07-11_to_2014-07-12_VGPortfolio_2QRank","2013-08-12_to_2014-08-12_VGPortfolio_2QRank","2013-09-11_to_2014-09-12_VGPortfolio_2QRank","2013-10-11_to_2014-10-12_VGPortfolio_2QRank","2013-11-11_to_2014-11-12_VGPortfolio_2QRank","2013-12-11_to_2014-12-12_VGPortfolio_2QRank","2014-01-13_to_2015-01-12_VGPortfolio_2QRank","2014-02-11_to_2015-02-12_VGPortfolio_2QRank","2014-03-11_to_2015-03-12_VGPortfolio_2QRank","2014-04-11_to_2015-04-12_VGPortfolio_2QRank","2014-05-12_to_2015-05-12_VGPortfolio_2QRank","2014-06-11_to_2015-06-12_VGPortfolio_2QRank","2014-07-11_to_2015-07-12_VGPortfolio_2QRank","2014-08-11_to_2015-08-12_VGPortfolio_2QRank","2014-09-11_to_2015-09-12_VGPortfolio_2QRank","2014-10-13_to_2015-10-12_VGPortfolio_2QRank","2014-11-11_to_2015-11-12_VGPortfolio_2QRank","2014-12-11_to_2015-12-12_VGPortfolio_2QRank","2015-01-12_to_2016-01-12_VGPortfolio_2QRank","2015-02-11_to_2016-02-12_VGPortfolio_2QRank","2015-03-11_to_2016-03-12_VGPortfolio_2QRank","2015-04-13_to_2016-04-12_VGPortfolio_2QRank","2015-05-11_to_2016-05-12_VGPortfolio_2QRank","2015-06-11_to_2016-06-12_VGPortfolio_2QRank","2015-07-13_to_2016-07-12_VGPortfolio_2QRank","2015-08-11_to_2016-08-12_VGPortfolio_2QRank","2015-09-11_to_2016-09-12_VGPortfolio_2QRank","2015-10-12_to_2016-10-12_VGPortfolio_2QRank","2015-11-11_to_2016-11-12_VGPortfolio_2QRank","2015-12-11_to_2016-12-12_VGPortfolio_2QRank","2016-01-11_to_2017-01-12_VGPortfolio_2QRank","2016-02-11_to_2017-02-12_VGPortfolio_2QRank","2016-03-11_to_2017-03-12_VGPortfolio_2QRank","2016-04-11_to_2017-04-12_VGPortfolio_2QRank","2016-05-11_to_2017-05-12_VGPortfolio_2QRank","2016-06-13_to_2017-06-12_VGPortfolio_2QRank","2016-07-11_to_2017-07-12_VGPortfolio_2QRank","2016-08-11_to_2017-08-12_VGPortfolio_2QRank","2016-09-12_to_2017-09-12_VGPortfolio_2QRank","2016-10-11_to_2017-10-12_VGPortfolio_2QRank","2016-11-11_to_2017-11-12_VGPortfolio_2QRank","2016-12-12_to_2017-12-12_VGPortfolio_2QRank","2017-01-11_to_2018-01-12_VGPortfolio_2QRank","2017-02-13_to_2018-02-12_VGPortfolio_2QRank","2017-03-13_to_2018-03-12_VGPortfolio_2QRank","2017-04-11_to_2018-04-12_VGPortfolio_2QRank","2017-05-11_to_2018-05-12_VGPortfolio_2QRank","2017-06-12_to_2018-06-12_VGPortfolio_2QRank","2017-07-11_to_2018-07-12_VGPortfolio_2QRank","2017-08-11_to_2018-08-12_VGPortfolio_2QRank","2017-09-11_to_2018-09-12_VGPortfolio_2QRank","2017-10-11_to_2018-10-12_VGPortfolio_2QRank","2017-11-13_to_2018-11-12_VGPortfolio_2QRank","2017-12-11_to_2018-12-12_VGPortfolio_2QRank","2018-01-11_to_2019-01-12_VGPortfolio_2QRank","2018-02-12_to_2019-02-12_VGPortfolio_2QRank","2018-03-12_to_2019-03-12_VGPortfolio_2QRank","2018-04-11_to_2019-04-12_VGPortfolio_2QRank","2018-05-11_to_2019-05-12_VGPortfolio_2QRank","2018-06-11_to_2019-06-12_VGPortfolio_2QRank","2018-07-11_to_2019-07-12_VGPortfolio_2QRank","2018-08-13_to_2019-08-12_VGPortfolio_2QRank","2018-09-11_to_2019-09-12_VGPortfolio_2QRank","2018-10-11_to_2019-10-12_VGPortfolio_2QRank","2018-11-12_to_2019-11-12_VGPortfolio_2QRank","2018-12-11_to_2019-12-12_VGPortfolio_2QRank","2019-01-11_to_2020-01-12_VGPortfolio_2QRank","2019-02-11_to_2020-02-12_VGPortfolio_2QRank","2019-03-11_to_2020-03-12_VGPortfolio_2QRank","2019-04-11_to_2020-04-12_VGPortfolio_2QRank","2019-05-13_to_2020-05-12_VGPortfolio_2QRank","2019-06-11_to_2020-06-12_VGPortfolio_2QRank","2019-07-11_to_2020-07-12_VGPortfolio_2QRank","2019-08-12_to_2020-08-12_VGPortfolio_2QRank","2019-09-11_to_2020-09-12_VGPortfolio_2QRank","2019-10-11_to_2020-10-12_VGPortfolio_2QRank","2019-11-11_to_2020-11-12_VGPortfolio_2QRank","2019-12-11_to_2020-12-12_VGPortfolio_2QRank","2020-01-13_to_2021-01-12_VGPortfolio_2QRank","2020-02-11_to_2021-02-12_VGPortfolio_2QRank","2020-03-11_to_2021-03-12_VGPortfolio_2QRank","2020-04-13_to_2021-04-12_VGPortfolio_2QRank","2020-05-11_to_2021-05-12_VGPortfolio_2QRank","2020-06-11_to_2021-06-12_VGPortfolio_2QRank","2020-07-13_to_2021-07-12_VGPortfolio_2QRank","2020-08-11_to_2021-08-12_VGPortfolio_2QRank","2020-09-11_to_2021-09-12_VGPortfolio_2QRank"
"P Information Ratio","1.48","1.42","1.02","0.16","0.2","0.48","1.15","0.82","0.21","0.12","2.97","2.18","2.3","3.2","2.56","2.54","2.18","0.15","1.86","2.71","-0.39","0.41","0.31","0.53","0.55","0.34","-0.12","-0.19","2.77","3.49","1.97","1.84","3.99","2.49","2.14","1.78","3.13","3.52","2.06","1.16","2.26","0.95","1.48","0","1.71","1.42","1.86","0.68","1.98","1.64","0.76","0.94","0.27","0.41","-0.08","0.65","1.54","-0.4","-0.06","0.02","1.13","-0.53","0.34","-1.42","-0.99","-1.1","-0.9","-3.61","-0.51","-0.83","-0.12","1.14","0.15","3.43","1","0.26","1.33","1.49","1.99","3.14","1.47","3.37","1.67","3.08","2.19","1.83","1.65","1.3"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.43","1.45","0.83","0.38","0.39","0.3","0.51","-0.61","0.31","0.36","0.76","0.82","0.87","0.94","0.68","0.78","0.63","-0.01","0.86","0.72","-0.24","0.19","0.19","0.2","0.15","0.2","0.04","-0.05","0.7","0.59","0.53","0.42","0.8","0.63","0.8","0.29","0.78","0.89","0.73","0.15","0.71","0.27","0.51","0","-0.05","0.05","0.25","0.07","0.35","0.26","0.27","0.18","0.17","0.05","-0.06","-0.13","0.19","0.07","0.01","-0.13","0.08","-0.01","0.13","-0.41","-0.38","-0.22","-0.59","-0.5","0.04","-0.14","-0.07","0.33","0.07","0.48","0.07","0.15","0.44","0.64","0.87","0.77","0.69","0.81","0.76","1.28","1.25","1.51","0.83","0.59"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.68","0.58","0.68","0.75","0.85","1.04","0.9","1.29","0.62","0.86","0.98","0.82","0.88","1.04","1","1","1.01","0.85","0.84","0.84","0.93","0.89","0.86","0.82","0.83","0.87","0.97","0.97","1.11","1.11","1.23","1.28","1.11","1.06","0.94","1.12","0.98","0.94","0.81","1.05","0.85","0.94","0.81","1.05","1.21","1.17","1.12","1.14","1.12","1.09","0.97","1.05","1.09","1","0.94","0.89","0.95","1.01","1.01","1.04","0.96","1.01","0.95","0.95","1.04","1.01","1.12","1.01","0.97","1.01","0.94","0.96","1.06","1.06","1.1","1.16","1.15","1.01","1.21","1.15","1.11","1.06","1.13","1.01","1.03","0.98","1.1","1"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","35.6","26.39","40.84","53.9","55.48","64.68","56.99","73.98","38.41","73.47","92.03","77.03","78.1","89.04","87.1","88.83","88.05","90.68","94.71","96.61","93.34","84.53","84.94","87.18","89.95","90.42","95.05","93.59","95.52","96.38","92.48","86.38","75.7","72.78","55.64","67.16","73.77","62.37","68.1","72.93","54.82","74.18","62.51","80.82","89.27","93.43","92.73","93.38","90.76","93.21","85.87","88.94","91.1","93.61","91.52","94.89","98.8","96.35","93.82","94.15","98.73","99.1","97.67","96.37","95.82","97.92","91.77","97.87","97.48","97.75","98.65","96.88","97.04","98.72","97.1","93.67","95.38","96.63","96.92","97.76","92.44","91.1","78.57","75.86","74.58","71.07","75.56","72.27"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-7.2058","-6.7943","-5.4932","-4.9806","-5.4538","-7.8901","-7.2829","-7.3025","-7.3368","-8.7455","-7.788","-7.8214","-7.6404","-8.5305","-8.1076","-11.8464","-11.6859","-13.8354","-12.0624","-11.5702","-15.1841","-15.2752","-14.4554","-13.8461","-13.2963","-13.6546","-15.6047","-15.3624","-13.5048","-13.4695","-13.5208","-7.7981","-6.4047","-6.4585","-6.7603","-6.0145","-4.9615","-3.6704","-2.9815","-5.0349","-3.3485","-2.9974","-3.0363","-3.3055","-9.2841","-9.5978","-10.9746","-11.5319","-10.68","-10.4289","-10.1079","-10.6165","-11.7075","-12.0338","-11.6103","-19.2494","-18.4843","-18.7521","-19.1681","-20.1303","-19.0601","-19.6362","-19.1121","-19.2588","-16.2718","-15.0838","-9.7977","-7.1131","-7.1341","-27.341","-32.4421","-31.8931","-34.2958","-32.3928","-35.3965","-33.8024","-33.622","-29.4084","-34.871","-34.6697","-35.3852","-17.0249","-10.493","-10.8472","-9.8312","-9.4996","-8.7888","-7.1833"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-0.9519","-0.5404","0.7607","1.2733","0.8001","-0.3803","0.226900000000001","0.2073","0.173","-1.2357","-0.2781","-0.311599999999999","-0.130599999999999","-1.0207","-0.597799999999999","1.4815","1.642","-0.5075","1.2655","1.7577","-1.8562","-1.9473","-1.1275","-0.5182","0.0315999999999992","-0.326700000000001","-3.7685","-3.5262","-1.6686","-2.0559","-2.9946","-2.6777","-1.2843","-1.3381","-1.6399","-0.894","-0.1147","0.9724","1.6613","-0.9485","-0.1161","-0.0940999999999996","-0.133","-0.4022","1.0543","0.740600000000001","0.1982","-0.3591","0.492800000000001","0.7439","1.0649","0.5563","-0.534699999999999","-0.860999999999999","-0.4375","0.709899999999998","1.475","1.2072","0.7912","-0.170999999999999","0.8992","0.3231","0.847199999999997","0.700499999999998","0.469799999999999","0.7288","1.7007","0.556","0.535","-1.3024","-0.910900000000005","-0.361900000000002","-2.7646","-0.861600000000003","-3.8653","-2.2712","-2.0908","2.1228","-3.3398","-3.1385","-3.854","-1.0857","0.00910000000000011","-0.3451","0.6709","1.0024","1.7133","0.7493"
