"","2013-09-11_to_2015-09-12_ALLPortfolio_3QRank","2013-10-11_to_2015-10-12_ALLPortfolio_3QRank","2013-11-11_to_2015-11-12_ALLPortfolio_3QRank","2013-12-11_to_2015-12-12_ALLPortfolio_3QRank","2014-01-13_to_2016-01-12_ALLPortfolio_3QRank","2014-02-11_to_2016-02-12_ALLPortfolio_3QRank","2014-03-11_to_2016-03-12_ALLPortfolio_3QRank","2014-04-11_to_2016-04-12_ALLPortfolio_3QRank","2014-05-12_to_2016-05-12_ALLPortfolio_3QRank","2014-06-11_to_2016-06-12_ALLPortfolio_3QRank","2014-07-11_to_2016-07-12_ALLPortfolio_3QRank","2014-08-11_to_2016-08-12_ALLPortfolio_3QRank","2014-09-11_to_2016-09-12_ALLPortfolio_3QRank","2014-10-13_to_2016-10-12_ALLPortfolio_3QRank","2014-11-11_to_2016-11-12_ALLPortfolio_3QRank","2014-12-11_to_2016-12-12_ALLPortfolio_3QRank","2015-01-12_to_2017-01-12_ALLPortfolio_3QRank","2015-02-11_to_2017-02-12_ALLPortfolio_3QRank","2015-03-11_to_2017-03-12_ALLPortfolio_3QRank","2015-04-13_to_2017-04-12_ALLPortfolio_3QRank","2015-05-11_to_2017-05-12_ALLPortfolio_3QRank","2015-06-11_to_2017-06-12_ALLPortfolio_3QRank","2015-07-13_to_2017-07-12_ALLPortfolio_3QRank","2015-08-11_to_2017-08-12_ALLPortfolio_3QRank","2015-09-11_to_2017-09-12_ALLPortfolio_3QRank","2015-10-12_to_2017-10-12_ALLPortfolio_3QRank","2015-11-11_to_2017-11-12_ALLPortfolio_3QRank","2015-12-11_to_2017-12-12_ALLPortfolio_3QRank","2016-01-11_to_2018-01-12_ALLPortfolio_3QRank","2016-02-11_to_2018-02-12_ALLPortfolio_3QRank","2016-03-11_to_2018-03-12_ALLPortfolio_3QRank","2016-04-11_to_2018-04-12_ALLPortfolio_3QRank","2016-05-11_to_2018-05-12_ALLPortfolio_3QRank","2016-06-13_to_2018-06-12_ALLPortfolio_3QRank","2016-07-11_to_2018-07-12_ALLPortfolio_3QRank","2016-08-11_to_2018-08-12_ALLPortfolio_3QRank","2016-09-12_to_2018-09-12_ALLPortfolio_3QRank","2016-10-11_to_2018-10-12_ALLPortfolio_3QRank","2016-11-11_to_2018-11-12_ALLPortfolio_3QRank","2016-12-12_to_2018-12-12_ALLPortfolio_3QRank","2017-01-11_to_2019-01-12_ALLPortfolio_3QRank","2017-02-13_to_2019-02-12_ALLPortfolio_3QRank","2017-03-13_to_2019-03-12_ALLPortfolio_3QRank","2017-04-11_to_2019-04-12_ALLPortfolio_3QRank","2017-05-11_to_2019-05-12_ALLPortfolio_3QRank","2017-06-12_to_2019-06-12_ALLPortfolio_3QRank","2017-07-11_to_2019-07-12_ALLPortfolio_3QRank","2017-08-11_to_2019-08-12_ALLPortfolio_3QRank","2017-09-11_to_2019-09-12_ALLPortfolio_3QRank","2017-10-11_to_2019-10-12_ALLPortfolio_3QRank","2017-11-13_to_2019-11-12_ALLPortfolio_3QRank","2017-12-11_to_2019-12-12_ALLPortfolio_3QRank","2018-01-11_to_2020-01-12_ALLPortfolio_3QRank","2018-02-12_to_2020-02-12_ALLPortfolio_3QRank","2018-03-12_to_2020-03-12_ALLPortfolio_3QRank","2018-04-11_to_2020-04-12_ALLPortfolio_3QRank","2018-05-11_to_2020-05-12_ALLPortfolio_3QRank","2018-06-11_to_2020-06-12_ALLPortfolio_3QRank","2018-07-11_to_2020-07-12_ALLPortfolio_3QRank","2018-08-13_to_2020-08-12_ALLPortfolio_3QRank","2018-09-11_to_2020-09-12_ALLPortfolio_3QRank","2018-10-11_to_2020-10-12_ALLPortfolio_3QRank","2018-11-12_to_2020-11-12_ALLPortfolio_3QRank","2018-12-11_to_2020-12-12_ALLPortfolio_3QRank","2019-01-11_to_2021-01-12_ALLPortfolio_3QRank","2019-02-11_to_2021-02-12_ALLPortfolio_3QRank","2019-03-11_to_2021-03-12_ALLPortfolio_3QRank","2019-04-11_to_2021-04-12_ALLPortfolio_3QRank","2019-05-13_to_2021-05-12_ALLPortfolio_3QRank","2019-06-11_to_2021-06-12_ALLPortfolio_3QRank","2019-07-11_to_2021-07-12_ALLPortfolio_3QRank","2019-08-12_to_2021-08-12_ALLPortfolio_3QRank","2019-09-11_to_2021-09-12_ALLPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.034","14.225","12.712","13.431","8","5.817","7.901","12.497","11.308","8.208","9.712","11.088","9.069","11.083","8.277","11.44","12.108","9.975","8.149","7.177","9.031","9.414","9.062","11.066","20.739","20.16","19.038","20.176","27.39","30.025","25.386","21.483","22.827","22.724","19.611","18.238","22.366","18.359","14.978","9.656","8.822","9.648","8.363","10.752","9.901","8.054","10.071","9.293","10.025","8.297","9.822","7.903","8.372","13.9","-5.583","4.688","6.263","7.294","10.021","10.176","13.619","17.86","15.332","19.74","28.011","18.828","27.661","27.924","28.085","32.512","22.658","34.639","30.58"
"B Annualized Returns","6.746","8.184","8.235","7.314","3.001","1.554","3.621","5.718","4.406","4.118","3.851","6.054","4.263","6.268","3.006","4.723","6.055","5.695","8.343","6.657","6.882","7.525","7.488","8.48","13.075","12.503","11.014","14.092","19.494","17.296","16.289","13.145","14.366","15.35","13.666","14.381","15.68","13.115","14.472","8.368","6.853","7.66","8.02","10.624","9.682","9.076","11.413","9.045","9.944","7.421","9.879","9.12","9.403","13.282","0.456","4.664","5.925","6.117","9.555","10.842","10.119","14.39","16.366","19.798","23.126","22.854","20.593","21.161","23.003","22.997","22.447","26.481","25.528"
"AR DIFF(P-B)","4.288","6.041","4.477","6.117","4.999","4.263","4.28","6.779","6.902","4.09","5.861","5.034","4.806","4.815","5.271","6.717","6.053","4.28","-0.194000000000001","0.52","2.149","1.889","1.574","2.586","7.664","7.657","8.024","6.084","7.896","12.729","9.097","8.338","8.461","7.374","5.945","3.857","6.686","5.244","0.506","1.288","1.969","1.988","0.343","0.128","0.218999999999999","-1.022","-1.342","0.247999999999999","0.0809999999999995","0.876","-0.0570000000000004","-1.217","-1.031","0.618","-6.039","0.024","0.338","1.177","0.466000000000001","-0.666","3.5","3.47","-1.034","-0.0579999999999998","4.885","-4.026","7.068","6.763","5.082","9.515","0.211000000000002","8.158","5.052"
"P Volatility","10.83","10.74","11.79","11.52","10.85","11.45","12.07","13.52","13.29","12.97","12.06","12.75","13.38","12.79","13.17","13.73","13.29","12.31","12.55","12","12.23","11.43","11.17","9.39","9.9","8.55","8.89","8.75","6.84","8.42","9.23","9.72","9.96","9.29","9.09","9.3","8.94","8.46","9.13","9.17","11.8","12.36","12.92","12.97","13.09","14.14","14.62","14.37","14.08","14.16","14.19","13.91","13.05","12.2","14.08","17.5","19.81","20.59","22.6","21.53","25.06","24.94","23.34","24.38","24.51","23.7","24.62","23.99","24.37","24.6","20.61","24.96","24.71"
"B Volatility","9.96","9.85","11.95","11.94","11.67","12.79","12.78","13.49","13.46","13.43","13.41","13.42","13.4","13.44","13.23","13.35","13.12","12.74","12.77","12.75","12.73","12.49","12.39","11.21","10.79","8.48","8.49","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","0.869999999999999","0.890000000000001","-0.16","-0.42","-0.82","-1.34","-0.709999999999999","0.0299999999999994","-0.170000000000002","-0.459999999999999","-1.35","-0.67","-0.0199999999999996","-0.65","-0.0600000000000005","0.380000000000001","0.17","-0.43","-0.219999999999999","-0.75","-0.5","-1.06","-1.22","-1.82","-0.889999999999999","0.0700000000000003","0.4","0.390000000000001","1.12","2.1","2.65","2.24","2.46","1.76","1.75","1.68","1.29","0.950000000000001","-0.309999999999999","-0.18","0.360000000000001","0.27","0.74","0.780000000000001","0.529999999999999","0.75","0.909999999999998","0.639999999999999","0.210000000000001","0.33","0.369999999999999","-0.0999999999999996","-0.639999999999999","-1.05","-0.84","0.41","0.539999999999999","1.22","3.29","2.17","4.55","4.79","3.06","4.76","5.21","4.41","5.28","4.75","5.63","5.89","1.87","6.43","6.18"
"P Tracking Error","5.31","6.33","6.86","6.81","6.79","6.43","6.08","6.38","6.09","6.09","6.43","6.35","5.95","5.43","5.75","5.66","5.34","5.24","5.34","5.63","5.41","5.79","6.15","5.48","5.24","4.32","4.34","4.05","4.37","4.64","4.28","4.61","4.82","4.27","4.5","4.79","4.1","4.19","3.57","3.09","3.29","3.62","3.92","3.98","3.42","3.96","4.34","3.97","4.22","4.59","4.3","4.65","4.3","4.32","4.32","4.97","5.13","6.18","7.22","6.45","7.91","8","7.12","8.93","8.93","9.23","9.57","8.66","10.05","9.88","8.05","10.46","10.13"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
