"","2014-03-11_to_2015-03-12_ALLPortfolio_5QRank","2014-04-11_to_2015-04-12_ALLPortfolio_5QRank","2014-05-12_to_2015-05-12_ALLPortfolio_5QRank","2014-06-11_to_2015-06-12_ALLPortfolio_5QRank","2014-07-11_to_2015-07-12_ALLPortfolio_5QRank","2014-08-11_to_2015-08-12_ALLPortfolio_5QRank","2014-09-11_to_2015-09-12_ALLPortfolio_5QRank","2014-10-13_to_2015-10-12_ALLPortfolio_5QRank","2014-11-11_to_2015-11-12_ALLPortfolio_5QRank","2014-12-11_to_2015-12-12_ALLPortfolio_5QRank","2015-01-12_to_2016-01-12_ALLPortfolio_5QRank","2015-02-11_to_2016-02-12_ALLPortfolio_5QRank","2015-03-11_to_2016-03-12_ALLPortfolio_5QRank","2015-04-13_to_2016-04-12_ALLPortfolio_5QRank","2015-05-11_to_2016-05-12_ALLPortfolio_5QRank","2015-06-11_to_2016-06-12_ALLPortfolio_5QRank","2015-07-13_to_2016-07-12_ALLPortfolio_5QRank","2015-08-11_to_2016-08-12_ALLPortfolio_5QRank","2015-09-11_to_2016-09-12_ALLPortfolio_5QRank","2015-10-12_to_2016-10-12_ALLPortfolio_5QRank","2015-11-11_to_2016-11-12_ALLPortfolio_5QRank","2015-12-11_to_2016-12-12_ALLPortfolio_5QRank","2016-01-11_to_2017-01-12_ALLPortfolio_5QRank","2016-02-11_to_2017-02-12_ALLPortfolio_5QRank","2016-03-11_to_2017-03-12_ALLPortfolio_5QRank","2016-04-11_to_2017-04-12_ALLPortfolio_5QRank","2016-05-11_to_2017-05-12_ALLPortfolio_5QRank","2016-06-13_to_2017-06-12_ALLPortfolio_5QRank","2016-07-11_to_2017-07-12_ALLPortfolio_5QRank","2016-08-11_to_2017-08-12_ALLPortfolio_5QRank","2016-09-12_to_2017-09-12_ALLPortfolio_5QRank","2016-10-11_to_2017-10-12_ALLPortfolio_5QRank","2016-11-11_to_2017-11-12_ALLPortfolio_5QRank","2016-12-12_to_2017-12-12_ALLPortfolio_5QRank","2017-01-11_to_2018-01-12_ALLPortfolio_5QRank","2017-02-13_to_2018-02-12_ALLPortfolio_5QRank","2017-03-13_to_2018-03-12_ALLPortfolio_5QRank","2017-04-11_to_2018-04-12_ALLPortfolio_5QRank","2017-05-11_to_2018-05-12_ALLPortfolio_5QRank","2017-06-12_to_2018-06-12_ALLPortfolio_5QRank","2017-07-11_to_2018-07-12_ALLPortfolio_5QRank","2017-08-11_to_2018-08-12_ALLPortfolio_5QRank","2017-09-11_to_2018-09-12_ALLPortfolio_5QRank","2017-10-11_to_2018-10-12_ALLPortfolio_5QRank","2017-11-13_to_2018-11-12_ALLPortfolio_5QRank","2017-12-11_to_2018-12-12_ALLPortfolio_5QRank","2018-01-11_to_2019-01-12_ALLPortfolio_5QRank","2018-02-12_to_2019-02-12_ALLPortfolio_5QRank","2018-03-12_to_2019-03-12_ALLPortfolio_5QRank","2018-04-11_to_2019-04-12_ALLPortfolio_5QRank","2018-05-11_to_2019-05-12_ALLPortfolio_5QRank","2018-06-11_to_2019-06-12_ALLPortfolio_5QRank","2018-07-11_to_2019-07-12_ALLPortfolio_5QRank","2018-08-13_to_2019-08-12_ALLPortfolio_5QRank","2018-09-11_to_2019-09-12_ALLPortfolio_5QRank","2018-10-11_to_2019-10-12_ALLPortfolio_5QRank","2018-11-12_to_2019-11-12_ALLPortfolio_5QRank","2018-12-11_to_2019-12-12_ALLPortfolio_5QRank","2019-01-11_to_2020-01-12_ALLPortfolio_5QRank","2019-02-11_to_2020-02-12_ALLPortfolio_5QRank","2019-03-11_to_2020-03-12_ALLPortfolio_5QRank","2019-04-11_to_2020-04-12_ALLPortfolio_5QRank","2019-05-13_to_2020-05-12_ALLPortfolio_5QRank","2019-06-11_to_2020-06-12_ALLPortfolio_5QRank","2019-07-11_to_2020-07-12_ALLPortfolio_5QRank","2019-08-12_to_2020-08-12_ALLPortfolio_5QRank","2019-09-11_to_2020-09-12_ALLPortfolio_5QRank","2019-10-11_to_2020-10-12_ALLPortfolio_5QRank","2019-11-11_to_2020-11-12_ALLPortfolio_5QRank","2019-12-11_to_2020-12-12_ALLPortfolio_5QRank","2020-01-13_to_2021-01-12_ALLPortfolio_5QRank","2020-02-11_to_2021-02-12_ALLPortfolio_5QRank","2020-03-11_to_2021-03-12_ALLPortfolio_5QRank","2020-04-13_to_2021-04-12_ALLPortfolio_5QRank","2020-05-11_to_2021-05-12_ALLPortfolio_5QRank","2020-06-11_to_2021-06-12_ALLPortfolio_5QRank","2020-07-13_to_2021-07-12_ALLPortfolio_5QRank","2020-08-11_to_2021-08-12_ALLPortfolio_5QRank","2020-09-11_to_2021-09-12_ALLPortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.563","19.566","15.387","14.784","11.809","13.952","2.829","14.067","6.722","5.189","1.78","-8.719","0.582","2.758","0.794","0.518","3.943","7.247","8.783","8.808","10.645","14.537","27.524","41.17","27.957","22.121","25.94","27.293","24.276","21.042","24.834","27.7","23.874","23.476","27.368","16.765","19.236","15.501","15.936","16.599","16.104","11.94","15.456","6.436","8.553","-0.22","-5.34","3.828","1.124","8.545","8.328","3.895","9.254","4.519","5.571","7.323","13.034","17.696","21.164","19.851","-13.845","-2.301","7.55","10.378","17.828","27.109","24.101","32.777","14.843","27.213","26.16","21.94","75.772","61.436","59.9","51.805","48.995","44.353","46.024"
"B Annualized Returns","8.947","12.658","10.188","7.8","2.974","6.679","-3.18","5.943","2.407","1.741","-4.163","-8.783","-1.446","-0.893","-0.738","0.552","2.209","5.298","12.344","6.405","3.607","9.383","16.38","22.52","17.753","14.76","15.467","16.955","13.025","11.632","14.93","18.951","19.843","18.104","21.738","11.418","14.792","11.553","13.273","14.212","14.311","16.08","16.434","7.565","9.628","-0.541","-6.245","1.178","0.16","9.702","5.836","4.184","8.589","3.739","3.815","7.278","13.662","19.721","28.636","26.794","0.479","-0.156","8.455","8.375","10.532","20.717","16.806","21.097","19.006","19.875","17.643","18.359","44.413","48.22","39.453","40.072","36.05","32.52","34.146"
"AR DIFF(P-B)","3.616","6.908","5.199","6.984","8.835","7.273","6.009","8.124","4.315","3.448","5.943","0.0640000000000001","2.028","3.651","1.532","-0.034","1.734","1.949","-3.561","2.403","7.038","5.154","11.144","18.65","10.204","7.361","10.473","10.338","11.251","9.41","9.904","8.749","4.031","5.372","5.63","5.347","4.444","3.948","2.663","2.387","1.793","-4.14","-0.978000000000002","-1.129","-1.075","0.321","0.905","2.65","0.964","-1.157","2.492","-0.289","0.664999999999999","0.78","1.756","0.0450000000000008","-0.628","-2.025","-7.472","-6.943","-14.324","-2.145","-0.905","2.003","7.296","6.392","7.295","11.68","-4.163","7.338","8.517","3.581","31.359","13.216","20.447","11.733","12.945","11.833","11.878"
"P Volatility","9.29","10.19","10.19","9.44","9.26","8.43","13.86","14.25","15.77","16.21","16.03","15.08","14.73","16.41","15.29","15.62","15.3","12.41","13.13","11.16","10.83","11.57","8.16","9.4","8.37","8.98","8.32","7.43","7.39","8.21","7.01","5.8","4.84","4.9","5.9","7.13","8.92","9.26","9.42","10.14","10.14","9.67","10.92","10.58","12.85","12.28","13.93","15.96","15.37","15.72","15.87","16.89","17.74","18.16","18.07","17.31","17.99","15.33","12.51","12.97","16.39","22.5","24.7","26.68","26.67","27.67","29.16","29.29","27.33","32.98","33.22","31.36","21.81","18.6","18.87","17.89","17.56","18.13","16.84"
"B Volatility","8.17","9.16","9.13","9.14","9.68","9.58","11.95","12.35","16.04","16.07","15.63","16.43","16.36","17.68","17.59","17.35","17.09","15.7","15.06","11.26","11.26","11.31","7.37","7.4","6","6.06","6.1","5.99","5.46","5.34","4.85","4.25","4.22","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33"
"V DIFF(P-B)","1.12","1.03","1.06","0.299999999999999","-0.42","-1.15","1.91","1.9","-0.27","0.140000000000001","0.4","-1.35","-1.63","-1.27","-2.3","-1.73","-1.79","-3.29","-1.93","-0.0999999999999996","-0.43","0.26","0.79","2","2.37","2.92","2.22","1.44","1.93","2.87","2.16","1.55","0.62","0.720000000000001","1.77","2.16","1.29","0.0299999999999994","0.17","0.74","0.73","-0.25","0.66","0.380000000000001","-0.0600000000000005","-0.530000000000001","-0.24","0.0600000000000005","-0.130000000000001","0.190000000000001","-0.209999999999999","-0.550000000000001","0.0899999999999999","0.800000000000001","0.559999999999999","1.58","2.17","3.47","1.96","2.46","0.640000000000001","3.55","2.09","4.31","4.18","5.19","4.92","3.98","1.95","6.47","6.62","8.03","3.81","3.86","3.73","2.31","2.07","5.18","6.51"
"P Tracking Error","4.64","5.16","4.75","4.68","4.51","4.75","5.43","7.5","7.4","6.85","6.99","7.3","7.56","7.27","7.53","7.09","6.86","6.32","4.45","3.49","3.15","3.21","3.27","5.21","4.62","5.29","4.57","4.14","4.8","5.11","4.05","3.65","2.71","3.43","3.69","3.49","2.93","3.32","3.68","3.51","3.47","3.45","3.7","3.9","3.6","3.31","3.32","3.15","2.64","2.91","4.19","3.9","3.89","4.87","5.05","5.17","6.06","6.62","5.77","6.15","6.22","7.38","7.45","8.91","9.01","9.69","9.3","8.8","8.22","10.81","10.88","11.21","8.79","9.24","10.59","10.23","11.04","12.26","12.58"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.78","1.34","1.09","1.49","1.96","1.53","1.11","1.08","0.58","0.5","0.85","0.01","0.27","0.5","0.2","0","0.25","0.31","-0.8","0.69","2.23","1.61","3.41","3.58","2.21","1.39","2.29","2.5","2.34","1.84","2.45","2.4","1.49","1.57","1.53","1.53","1.52","1.19","0.72","0.68","0.52","-1.2","-0.26","-0.29","-0.3","0.1","0.27","0.84","0.37","-0.4","0.59","-0.07","0.17","0.16","0.35","0.01","-0.1","-0.31","-1.29","-1.13","-2.3","-0.29","-0.12","0.22","0.81","0.66","0.78","1.33","-0.51","0.68","0.78","0.32","3.57","1.43","1.93","1.15","1.17","0.97","0.94"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
