"","1 Y 2014-12-11 to 2017-12-12","1 Y 2015-01-12 to 2018-01-12","1 Y 2015-02-11 to 2018-02-12","1 Y 2015-03-11 to 2018-03-12","1 Y 2015-04-13 to 2018-04-12","1 Y 2015-05-11 to 2018-05-12","1 Y 2015-06-11 to 2018-06-12","1 Y 2015-07-13 to 2018-07-12","1 Y 2015-08-11 to 2018-08-12","1 Y 2015-09-11 to 2018-09-12","1 Y 2015-10-12 to 2018-10-12","1 Y 2015-11-11 to 2018-11-12","1 Y 2015-12-11 to 2018-12-12","1 Y 2016-01-11 to 2019-01-12","1 Y 2016-02-11 to 2019-02-12","1 Y 2016-03-11 to 2019-03-12","1 Y 2016-04-11 to 2019-04-12","1 Y 2016-05-11 to 2019-05-12","1 Y 2016-06-13 to 2019-06-12","1 Y 2016-07-11 to 2019-07-12","1 Y 2016-08-11 to 2019-08-12","1 Y 2016-09-12 to 2019-09-12","1 Y 2016-10-11 to 2019-10-12","1 Y 2016-11-11 to 2019-11-12","1 Y 2016-12-12 to 2019-12-12","1 Y 2017-01-11 to 2020-01-12","1 Y 2017-02-13 to 2020-02-12","1 Y 2017-03-13 to 2020-03-12","1 Y 2017-04-11 to 2020-04-12","1 Y 2017-05-11 to 2020-05-12","1 Y 2017-06-12 to 2020-06-12","1 Y 2017-07-11 to 2020-07-12","1 Y 2017-08-11 to 2020-08-12","1 Y 2017-09-11 to 2020-09-12","1 Y 2017-10-11 to 2020-10-12","1 Y 2017-11-13 to 2020-11-12","1 Y 2017-12-11 to 2020-12-12","1 Y 2018-01-11 to 2021-01-12","1 Y 2018-02-12 to 2021-02-12","1 Y 2018-03-12 to 2021-03-12","1 Y 2018-04-11 to 2021-04-12","1 Y 2018-05-11 to 2021-05-12","1 Y 2018-06-11 to 2021-06-12","1 Y 2018-07-11 to 2021-07-12","1 Y 2018-08-13 to 2021-08-12","1 Y 2018-09-11 to 2021-09-12","1 Y 2018-10-11 to 2021-10-12","2 Y 2014-12-11 to 2017-12-12","2 Y 2015-01-12 to 2018-01-12","2 Y 2015-02-11 to 2018-02-12","2 Y 2015-03-11 to 2018-03-12","2 Y 2015-04-13 to 2018-04-12","2 Y 2015-05-11 to 2018-05-12","2 Y 2015-06-11 to 2018-06-12","2 Y 2015-07-13 to 2018-07-12","2 Y 2015-08-11 to 2018-08-12","2 Y 2015-09-11 to 2018-09-12","2 Y 2015-10-12 to 2018-10-12","2 Y 2015-11-11 to 2018-11-12","2 Y 2015-12-11 to 2018-12-12","2 Y 2016-01-11 to 2019-01-12","2 Y 2016-02-11 to 2019-02-12","2 Y 2016-03-11 to 2019-03-12","2 Y 2016-04-11 to 2019-04-12","2 Y 2016-05-11 to 2019-05-12","2 Y 2016-06-13 to 2019-06-12","2 Y 2016-07-11 to 2019-07-12","2 Y 2016-08-11 to 2019-08-12","2 Y 2016-09-12 to 2019-09-12","2 Y 2016-10-11 to 2019-10-12","2 Y 2016-11-11 to 2019-11-12","2 Y 2016-12-12 to 2019-12-12","2 Y 2017-01-11 to 2020-01-12","2 Y 2017-02-13 to 2020-02-12","2 Y 2017-03-13 to 2020-03-12","2 Y 2017-04-11 to 2020-04-12","2 Y 2017-05-11 to 2020-05-12","2 Y 2017-06-12 to 2020-06-12","2 Y 2017-07-11 to 2020-07-12","2 Y 2017-08-11 to 2020-08-12","2 Y 2017-09-11 to 2020-09-12","2 Y 2017-10-11 to 2020-10-12","2 Y 2017-11-13 to 2020-11-12","2 Y 2017-12-11 to 2020-12-12","2 Y 2018-01-11 to 2021-01-12","2 Y 2018-02-12 to 2021-02-12","2 Y 2018-03-12 to 2021-03-12","2 Y 2018-04-11 to 2021-04-12","2 Y 2018-05-11 to 2021-05-12","2 Y 2018-06-11 to 2021-06-12","2 Y 2018-07-11 to 2021-07-12","2 Y 2018-08-13 to 2021-08-12","2 Y 2018-09-11 to 2021-09-12","2 Y 2018-10-11 to 2021-10-12","3 Y 2014-12-11 to 2017-12-12","3 Y 2015-01-12 to 2018-01-12","3 Y 2015-02-11 to 2018-02-12","3 Y 2015-03-11 to 2018-03-12","3 Y 2015-04-13 to 2018-04-12","3 Y 2015-05-11 to 2018-05-12","3 Y 2015-06-11 to 2018-06-12","3 Y 2015-07-13 to 2018-07-12","3 Y 2015-08-11 to 2018-08-12","3 Y 2015-09-11 to 2018-09-12","3 Y 2015-10-12 to 2018-10-12","3 Y 2015-11-11 to 2018-11-12","3 Y 2015-12-11 to 2018-12-12","3 Y 2016-01-11 to 2019-01-12","3 Y 2016-02-11 to 2019-02-12","3 Y 2016-03-11 to 2019-03-12","3 Y 2016-04-11 to 2019-04-12","3 Y 2016-05-11 to 2019-05-12","3 Y 2016-06-13 to 2019-06-12","3 Y 2016-07-11 to 2019-07-12","3 Y 2016-08-11 to 2019-08-12","3 Y 2016-09-12 to 2019-09-12","3 Y 2016-10-11 to 2019-10-12","3 Y 2016-11-11 to 2019-11-12","3 Y 2016-12-12 to 2019-12-12","3 Y 2017-01-11 to 2020-01-12","3 Y 2017-02-13 to 2020-02-12","3 Y 2017-03-13 to 2020-03-12","3 Y 2017-04-11 to 2020-04-12","3 Y 2017-05-11 to 2020-05-12","3 Y 2017-06-12 to 2020-06-12","3 Y 2017-07-11 to 2020-07-12","3 Y 2017-08-11 to 2020-08-12","3 Y 2017-09-11 to 2020-09-12","3 Y 2017-10-11 to 2020-10-12","3 Y 2017-11-13 to 2020-11-12","3 Y 2017-12-11 to 2020-12-12","3 Y 2018-01-11 to 2021-01-12","3 Y 2018-02-12 to 2021-02-12","3 Y 2018-03-12 to 2021-03-12","3 Y 2018-04-11 to 2021-04-12","3 Y 2018-05-11 to 2021-05-12","3 Y 2018-06-11 to 2021-06-12","3 Y 2018-07-11 to 2021-07-12","3 Y 2018-08-13 to 2021-08-12","3 Y 2018-09-11 to 2021-09-12","3 Y 2018-10-11 to 2021-10-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","20.388","28.549","19.075","29.328","25.072","17.288","18.467","18.338","20.715","17.443","12.561","7.958","1.474","-7.732","0.046","-2.315","6.424","3.29","-1.411","4.918","-0.663","1.284","7.486","13.176","16.011","22.645","23.68","-10.981","0.645","3.787","10.396","8.905","24.721","17.029","34.09","25.586","19.899","23.477","34.713","61.849","51.218","42.441","41.059","41.701","39.845","29.945","30.043","17.161","24.8","23.377","26.246","21.793","17.59","18.218","17.029","20.982","19.224","20.235","17.804","11.965","9.831","12.372","11.019","15.403","13.297","10.352","12.661","9.102","9.793","7.94","10.464","9.208","8.529","12.504","-5.073","3.787","3.926","5.888","7.486","12.758","10.654","18.333","18.901","18.966","23.957","27.461","20.618","20.849","20.005","21.729","21.831","28.716","23.118","24.994","12.706","16.171","11.863","17.002","15.349","12.595","12.373","11.998","16.895","15.446","16.362","15.132","13.35","14.559","20.475","15.33","16.968","16.471","15.053","15.371","13.207","14.866","14.215","15.205","13.844","13.805","14.796","3.289","8.356","8.04","9.072","10.813","13.786","13.172","15.73","15.559","12.507","13.134","18.433","13.816","14.958","14.642","14.716","15.893","18.975","15.41","18.467"
"B Annualized Returns","18.104","21.738","12.822","15.012","11.553","13.036","14.212","14.311","15.516","16.434","7.565","9.049","-0.541","-5.623","1.178","0.16","9.702","7.214","4.184","8.589","2.367","3.815","5.047","13.662","19.721","27.891","26.794","0.479","-0.203","8.455","8.375","10.686","20.717","16.806","22.688","19.006","19.875","17.643","18.359","44.413","48.363","39.453","31.987","35.062","32.52","24.246","24.246","13.238","19.029","17.245","17.174","13.145","13.801","14.387","13.666","14.382","15.68","13.115","14.816","8.368","6.973","8.101","8.087","10.624","9.479","9.076","11.413","8.809","9.944","7.525","9.762","9.12","9.721","13.282","0.456","4.318","6.108","6.072","9.179","10.842","10.119","11.218","16.366","19.798","22.691","22.062","20.459","21.217","23.003","22.997","22.839","26.481","27.388","27.388","9.282","11.044","7.849","10.471","8.266","8.966","9.593","9.718","11.306","14.186","10.832","10.473","8.98","10.236","12.691","11.183","11.986","11.581","11.494","11.948","10.277","11.578","11.138","12.988","12.031","13.377","13.705","5.532","6.914","8.436","8.742","11.119","12.066","12.185","12.064","12.888","12.594","12.206","15.176","13.376","17.207","16.113","16.376","17.633","17.648","17.773","20.463"
"AR DIFF(P-B)","2.284","6.811","6.253","14.316","13.519","4.252","4.255","4.027","5.199","1.009","4.996","-1.091","2.015","-2.109","-1.132","-2.475","-3.278","-3.924","-5.595","-3.671","-3.03","-2.531","2.439","-0.486000000000001","-3.71","-5.246","-3.114","-11.46","0.848","-4.668","2.021","-1.781","4.004","0.222999999999999","11.402","6.58","0.0240000000000009","5.834","16.354","17.436","2.855","2.988","9.072","6.639","7.325","5.699","5.797","3.923","5.771","6.132","9.072","8.648","3.789","3.831","3.363","6.6","3.544","7.12","2.988","3.597","2.858","4.271","2.932","4.779","3.818","1.276","1.248","0.293000000000001","-0.151000000000002","0.415","0.702","0.088000000000001","-1.192","-0.778","-5.529","-0.531","-2.182","-0.184","-1.693","1.916","0.535","7.115","2.535","-0.831999999999997","1.266","5.399","0.158999999999999","-0.367999999999999","-2.998","-1.268","-1.008","2.235","-4.27","-2.394","3.424","5.127","4.014","6.531","7.083","3.629","2.78","2.28","5.589","1.26","5.53","4.659","4.37","4.323","7.784","4.147","4.982","4.89","3.559","3.423","2.93","3.288","3.077","2.217","1.813","0.427999999999999","1.091","-2.243","1.442","-0.396000000000001","0.329999999999998","-0.305999999999999","1.72","0.987","3.666","2.671","-0.0869999999999997","0.928000000000001","3.257","0.440000000000001","-2.249","-1.471","-1.66","-1.74","1.327","-2.363","-1.996"
"P Volatility","5.3","5.33","7.79","11.51","12.77","10.33","10.14","9.83","11.5","10.16","11.5","14.21","14.93","16.22","19","18.68","19.48","19.11","20.71","22.33","21.45","21.45","18.52","17.47","13.41","12.87","12.65","15.44","21.16","25.78","25.77","25.74","26.67","27.62","29.22","29.9","31.18","31.13","31.57","19.96","17.61","17.42","16.26","17.31","18.29","13.7","14.38","8.24","6.31","7.86","9.18","9.71","8.45","8.3","8.12","9.28","8.18","9.14","10.78","11.1","14.02","15.3","14.95","15.37","15.44","16.37","17.08","16.64","16.74","15.7","14.72","14.35","14.42","14.13","15.42","18.43","21.23","21.47","21.5","21.99","22.66","23.06","22.96","22.54","22.41","24.14","21.69","22.42","21.5","20.5","21.64","23.56","21.19","22.02","10.65","10.95","10.88","11.45","11.74","10.79","10.61","10.59","9.86","9.04","9.48","10.6","10.75","12.34","13.5","12.93","13.33","13.43","14.11","14.6","14.11","14.22","13.35","12.37","12.03","12.57","12.73","13.7","16.06","18.18","18.19","18.28","18.58","19.12","19.99","19.66","20.31","20.43","21.35","19.3","20.18","19.91","19.38","20.27","21.77","20.04","20.68"
"B Volatility","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33","10.33","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53","18.53","11.21","10.91","10.97","11.11","11.42","11.41","11.28","11.21","10.51","10.31","8.86","9.89","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","1.12","1.2","2.82","3.88","3.54","1.08","0.74","0.42","1.58","-0.0999999999999996","1.3","1.3","2.12","2.05","3.1","3.18","3.95","3.03","3.27","4.68","4.09","3.94","2.79","1.65","1.55","2.32","2.14","-0.31","2.21","3.17","3.4","3.25","4.19","3.38","3.91","4.52","4.67","4.53","8.24","1.96","2.87","2.28","0.680000000000001","1.82","5.34","3.37","4.05","-0.119999999999999","0.59","1.54","2.6","2.23","0.949999999999999","0.77","0.779999999999999","1.66","0.529999999999999","1.63","1.34","1.75","2.58","3.21","2.77","3.18","2.88","2.98","3.37","2.91","2.87","1.87","0.9","0.34","0.73","0.880000000000001","0.5","1.34","1.96","2.1","2.19","2.63","2.15","2.91","2.68","2.92","3.11","4.85","2.35","3.18","2.76","1.79","2.9","5.03","2.66","3.49","-0.56","0.0399999999999991","-0.0899999999999999","0.34","0.32","-0.620000000000001","-0.67","-0.620000000000001","-0.65","-1.27","0.620000000000001","0.709999999999999","0.960000000000001","2.18","2.72","2.57","2.96","2.79","2.82","3.17","2.68","2.72","1.88","0.909999999999998","0.479999999999999","0.98","1.27","0.69","1.39","1.85","1.79","1.82","2.01","1.7","2.24","1.86","1.98","2.2","3.37","1.54","2.38","1.9","1.34","2.27","3.79","2.05","3.12"
"P Tracking Error","4.4","4.11","5.05","6.73","7.51","4.69","3.71","3.65","5.99","4.33","5.69","5.13","5.69","5.5","6.11","5.23","5.84","4.82","4.92","5.99","6.15","6.15","5.67","6.11","5.68","5.64","6.19","6.97","7.66","7.91","8.41","7.87","8.6","8.59","8.37","8.86","10.84","9.33","11.06","7.63","9.43","8.28","8.12","8.24","9.7","7.91","8.38","3.79","3.73","4.21","5.22","5.69","4.32","3.92","3.94","5.8","4.1","5.35","4.97","5.01","5.26","5.7","5.14","5.55","5.44","5.29","5.43","5.63","5.63","5.26","5.3","4.71","4.41","4.95","5.25","5.75","5.68","6.32","6.16","6.8","6.79","6.83","7.21","8.14","7.52","8.96","7.36","8.55","7.86","7.27","7.73","8.92","7.61","8.19","5.23","5.07","5.21","6","6.28","5.32","5.38","5.24","5.9","4.36","4.78","4.43","4.43","4.85","5.32","4.85","5.33","5.34","5.17","5.42","5.38","5.34","5.02","4.97","4.45","4.18","4.68","4.94","5.28","5.27","5.5","5.33","5.77","5.82","5.83","6.11","6.84","6.36","7.53","6.16","7.32","6.69","6.41","6.71","7.65","6.76","7.19"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
