"","2015-12-11_to_2017-12-12_CorePortfolio_12QRank","2016-01-11_to_2018-01-12_CorePortfolio_12QRank","2016-02-11_to_2018-02-12_CorePortfolio_12QRank","2016-03-11_to_2018-03-12_CorePortfolio_12QRank","2016-04-11_to_2018-04-12_CorePortfolio_12QRank","2016-05-11_to_2018-05-12_CorePortfolio_12QRank","2016-06-13_to_2018-06-12_CorePortfolio_12QRank","2016-07-11_to_2018-07-12_CorePortfolio_12QRank","2016-08-11_to_2018-08-12_CorePortfolio_12QRank","2016-09-12_to_2018-09-12_CorePortfolio_12QRank","2016-10-11_to_2018-10-12_CorePortfolio_12QRank","2016-11-11_to_2018-11-12_CorePortfolio_12QRank","2016-12-12_to_2018-12-12_CorePortfolio_12QRank","2017-01-11_to_2019-01-12_CorePortfolio_12QRank","2017-02-13_to_2019-02-12_CorePortfolio_12QRank","2017-03-13_to_2019-03-12_CorePortfolio_12QRank","2017-04-11_to_2019-04-12_CorePortfolio_12QRank","2017-05-11_to_2019-05-12_CorePortfolio_12QRank","2017-06-12_to_2019-06-12_CorePortfolio_12QRank","2017-07-11_to_2019-07-12_CorePortfolio_12QRank","2017-08-11_to_2019-08-12_CorePortfolio_12QRank","2017-09-11_to_2019-09-12_CorePortfolio_12QRank","2017-10-11_to_2019-10-12_CorePortfolio_12QRank","2017-11-13_to_2019-11-12_CorePortfolio_12QRank","2017-12-11_to_2019-12-12_CorePortfolio_12QRank","2018-01-11_to_2020-01-12_CorePortfolio_12QRank","2018-02-12_to_2020-02-12_CorePortfolio_12QRank","2018-03-12_to_2020-03-12_CorePortfolio_12QRank","2018-04-11_to_2020-04-12_CorePortfolio_12QRank","2018-05-11_to_2020-05-12_CorePortfolio_12QRank","2018-06-11_to_2020-06-12_CorePortfolio_12QRank","2018-07-11_to_2020-07-12_CorePortfolio_12QRank","2018-08-13_to_2020-08-12_CorePortfolio_12QRank","2018-09-11_to_2020-09-12_CorePortfolio_12QRank","2018-10-11_to_2020-10-12_CorePortfolio_12QRank","2018-11-12_to_2020-11-12_CorePortfolio_12QRank","2018-12-11_to_2020-12-12_CorePortfolio_12QRank","2019-01-11_to_2021-01-12_CorePortfolio_12QRank","2019-02-11_to_2021-02-12_CorePortfolio_12QRank","2019-03-11_to_2021-03-12_CorePortfolio_12QRank","2019-04-11_to_2021-04-12_CorePortfolio_12QRank","2019-05-13_to_2021-05-12_CorePortfolio_12QRank","2019-06-11_to_2021-06-12_CorePortfolio_12QRank","2019-07-11_to_2021-07-12_CorePortfolio_12QRank","2019-08-12_to_2021-08-12_CorePortfolio_12QRank","2019-09-11_to_2021-09-12_CorePortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","16.171","20.561","19.15","18.521","13.693","14.242","11.989","11.309","9.692","12.887","11.594","11.814","9.92","7.597","9.036","8.083","9.803","7.678","7.891","8.9","6.068","7.743","6.391","6.41","6.293","6.062","11.134","-6.642","3.373","3.307","6.129","6.668","10.65","10.403","16.792","12.233","20.26","26.081","18.755","23.93","25.269","26.34","19.969","28.142","33.667","29.576"
"B Annualized Returns","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","2.74","0.672999999999998","0.254999999999999","1.531","0.0709999999999997","-0.244999999999999","-3.397","-2.936","-4.233","-2.787","-2.399","-0.587","1.289","0.759","0.657","-0.0730000000000004","-1.148","-2.157","-1.035","-2.732","-2.372","-2.356","-1.569","-3.533","-3.27","-3.163","-2.484","-2.311","-1.284","-1.668","-0.611000000000001","-3.467","-1.06","0.338000000000001","0.712000000000003","-3.612","0.494000000000003","3.456","-4.291","3.442","3.759","4.649","-3.085","5.025","6.92","4.18"
"P Volatility","9","6.41","6.74","6.97","7.6","7.72","7.41","7.14","7.62","7.49","7.37","9.01","8.68","11.25","11.42","11.62","11.63","12.14","12.73","12.83","13.23","13.3","13.7","13.64","13.84","13.75","12.82","14.63","16.65","18.55","18.46","18.95","18.94","20.97","20.8","21.18","22.1","22.22","19.56","22.33","23.09","21.96","18.58","21.93","21.76","22.22"
"B Volatility","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","1.47","0.3","0.13","0.0999999999999996","-0.11","-0.0100000000000007","-0.35","-0.390000000000001","-0.16","-0.42","-0.27","-0.5","-0.780000000000001","-0.66","-1.12","-0.99","-1.03","-0.77","-1.38","-1.94","-1.54","-1.59","-1.17","-1.22","-1.17","-0.9","-1.4","-0.789999999999999","-0.710000000000001","-0.969999999999999","-1.19","-0.609999999999999","-0.809999999999999","0.379999999999999","0.550000000000001","0.649999999999999","2.1","2.53","-0.190000000000001","2.59","3.36","3.13","0.0399999999999991","3.37","3.41","3.85"
"P Tracking Error","2.92","2.18","1.45","1.62","1.48","1.5","1.83","1.96","2.11","2.23","2.38","2.42","2.81","3.1","3.5","3.81","4.2","4.2","3.69","4.2","4.12","4.55","3.44","3.92","3.69","3.39","3.68","3.59","3.77","3.88","3.98","4.1","3.81","3.88","3.69","3.44","4.26","4.7","4.27","4.84","5.57","5.83","6.04","6.42","6.34","6.59"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.94","0.31","0.18","0.95","0.05","-0.16","-1.86","-1.5","-2.01","-1.25","-1.01","-0.24","0.46","0.24","0.19","-0.02","-0.27","-0.51","-0.28","-0.65","-0.58","-0.52","-0.46","-0.9","-0.89","-0.93","-0.67","-0.64","-0.34","-0.43","-0.15","-0.85","-0.28","0.09","0.19","-1.05","0.12","0.74","-1","0.71","0.67","0.8","-0.51","0.78","1.09","0.63"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.03","0.14","-0.05","0.12","0.02","0.06","-0.15","-0.14","-0.22","-0.12","-0.09","0","0.23","0.09","0.09","0.14","0.03","-0.08","-0.04","-0.03","-0.1","-0.07","-0.04","-0.21","-0.2","-0.17","-0.04","-0.22","-0.14","-0.09","0.04","-0.3","-0.07","0","0.02","-0.31","-0.14","-0.02","-0.23","0.12","0.16","0.13","-0.1","0.16","0.13","0.02"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.14","0.99","1","0.99","0.97","0.98","0.93","0.92","0.94","0.91","0.92","0.92","0.88","0.91","0.88","0.88","0.87","0.89","0.87","0.84","0.86","0.85","0.9","0.89","0.9","0.91","0.87","0.92","0.94","0.93","0.92","0.95","0.94","1","1.01","1.02","1.09","1.11","0.97","1.11","1.15","1.13","0.95","1.14","1.14","1.17"
