"","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-2.116","-8.672","1.958","0.844","7.872","4.334","6.401","6.974","4.453","3.652","6.1","8.993","15.43","22.411","19.109","-6.577","-6.269","-2.179","5.553","7.264","11.424","4.301","21.152","16.226","19.473","11.003","9.533","56.547","43.396","47.897","38.738","37.325","33.03","33.761"
"B Annualized Returns","-0.169","-6.92","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","6.675","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","38.619","37.088","31.563","33.761"
"AR DIFF(P-B)","-1.947","-1.752","-0.576","-1.099","-1.549","0.879","1.763","-0.931999999999999","1.091","0.2","-0.575","-5.041","-4.546","-6.452","-6.075","-6.289","-5.084","-6.208","-3.684","-2.771","-12.696","-12.061","-2.73","-3.112","0.599","-7.381","-9.624","-2.504","-5.964","4.945","0.119","0.237000000000002","1.467","0"
"P Volatility","12.31","14.24","15.55","16.25","15.8","15.56","17.42","17.97","17.62","17.15","16.9","16.45","12.54","10.91","11.68","15.79","20.18","23.1","22.58","22.32","21.6","22.19","26.9","25.64","30.36","26.14","23.33","17.93","16.38","16.67","15.83","16.45","15.44","14.83"
"B Volatility","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-0.74","-0.56","-0.91","0.18","-0.359999999999999","-0.94","-1.03","-1.37","-1.43","-2.04","-0.690000000000001","-1.23","-0.920000000000002","-1.44","-0.720000000000001","-0.390000000000001","1.04","0.880000000000003","1.07","0.73","-0.209999999999997","-0.93","2.66","1.02","4","-0.27","-0.560000000000002","-1","0.51","0.580000000000002","-0.520000000000001","0.379999999999999","1.11","2.75"
"P Tracking Error","4.06","4.06","4.12","4.3","5.2","5.1","5.36","5.12","4.69","5.48","4.15","2.68","2.48","2.58","2.36","2.17","2.7","2.53","2.57","2.74","4.06","3.57","5.11","4.26","7.46","7.08","7.12","7.88","7.84","8.58","8.37","9.32","8.15","7.9"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
