"","2015-12-11_to_2017-12-12_ValuePortfolio_12QRank","2016-01-11_to_2018-01-12_ValuePortfolio_12QRank","2016-02-11_to_2018-02-12_ValuePortfolio_12QRank","2016-03-11_to_2018-03-12_ValuePortfolio_12QRank","2016-04-11_to_2018-04-12_ValuePortfolio_12QRank","2016-05-11_to_2018-05-12_ValuePortfolio_12QRank","2016-06-13_to_2018-06-12_ValuePortfolio_12QRank","2016-07-11_to_2018-07-12_ValuePortfolio_12QRank","2016-08-11_to_2018-08-12_ValuePortfolio_12QRank","2016-09-12_to_2018-09-12_ValuePortfolio_12QRank","2016-10-11_to_2018-10-12_ValuePortfolio_12QRank","2016-11-11_to_2018-11-12_ValuePortfolio_12QRank","2016-12-12_to_2018-12-12_ValuePortfolio_12QRank","2017-01-11_to_2019-01-12_ValuePortfolio_12QRank","2017-02-13_to_2019-02-12_ValuePortfolio_12QRank","2017-03-13_to_2019-03-12_ValuePortfolio_12QRank","2017-04-11_to_2019-04-12_ValuePortfolio_12QRank","2017-05-11_to_2019-05-12_ValuePortfolio_12QRank","2017-06-12_to_2019-06-12_ValuePortfolio_12QRank","2017-07-11_to_2019-07-12_ValuePortfolio_12QRank","2017-08-11_to_2019-08-12_ValuePortfolio_12QRank","2017-09-11_to_2019-09-12_ValuePortfolio_12QRank","2017-10-11_to_2019-10-12_ValuePortfolio_12QRank","2017-11-13_to_2019-11-12_ValuePortfolio_12QRank","2017-12-11_to_2019-12-12_ValuePortfolio_12QRank","2018-01-11_to_2020-01-12_ValuePortfolio_12QRank","2018-02-12_to_2020-02-12_ValuePortfolio_12QRank","2018-03-12_to_2020-03-12_ValuePortfolio_12QRank","2018-04-11_to_2020-04-12_ValuePortfolio_12QRank","2018-05-11_to_2020-05-12_ValuePortfolio_12QRank","2018-06-11_to_2020-06-12_ValuePortfolio_12QRank","2018-07-11_to_2020-07-12_ValuePortfolio_12QRank","2018-08-13_to_2020-08-12_ValuePortfolio_12QRank","2018-09-11_to_2020-09-12_ValuePortfolio_12QRank","2018-10-11_to_2020-10-12_ValuePortfolio_12QRank","2018-11-12_to_2020-11-12_ValuePortfolio_12QRank","2018-12-11_to_2020-12-12_ValuePortfolio_12QRank","2019-01-11_to_2021-01-12_ValuePortfolio_12QRank","2019-02-11_to_2021-02-12_ValuePortfolio_12QRank","2019-03-11_to_2021-03-12_ValuePortfolio_12QRank","2019-04-11_to_2021-04-12_ValuePortfolio_12QRank","2019-05-13_to_2021-05-12_ValuePortfolio_12QRank","2019-06-11_to_2021-06-12_ValuePortfolio_12QRank","2019-07-11_to_2021-07-12_ValuePortfolio_12QRank","2019-08-12_to_2021-08-12_ValuePortfolio_12QRank","2019-09-11_to_2021-09-12_ValuePortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.909","20.353","29.321","15.445","13.189","12.768","18.495","16.826","13.643","14.078","11.169","7.327","3.024","3.255","5.942","5.972","7.453","9.077","6.64","6.287","3.079","4.595","1.663","6.007","4.248","2.986","6.818","-8.111","-5.945","-4.037","-8.315","-0.67","-5.216","-7.636","-6.095","0.226","3.632","6.316","4.301","8.85","7.352","11.864","36.944","8.918","8.747","5.711"
"B Annualized Returns","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","1.478","0.465","10.426","-1.545","-0.433","-1.719","3.109","2.581","-0.282","-1.596","-2.824","-5.074","-5.607","-3.583","-2.437","-2.184","-3.498","-0.758000000000001","-2.286","-5.345","-5.361","-5.504","-6.297","-3.936","-5.315","-6.239","-6.8","-3.78","-10.602","-9.012","-15.055","-10.805","-16.926","-17.701","-22.175","-15.619","-16.134","-16.309","-18.745","-11.638","-14.158","-9.827","13.89","-14.199","-18","-19.685"
"P Volatility","8.01","8.46","11.05","8.35","9.65","9.42","11.69","12.13","11.23","11.58","10.22","7.72","9.1","12","12.78","12.64","13.6","13.28","14.97","16.33","16.12","16.38","14.73","14.64","14.35","12.63","12.57","14.39","18.24","18.6","20.25","18.25","20.42","19.84","21.15","22.36","24.08","19.6","18.62","19.93","18.6","18.85","32.44","18.69","19.48","19.26"
"B Volatility","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","0.48","2.35","4.44","1.48","1.94","1.69","3.93","4.6","3.45","3.67","2.58","-1.79","-0.360000000000001","0.0899999999999999","0.24","0.0300000000000011","0.94","0.369999999999999","0.860000000000001","1.56","1.35","1.49","-0.139999999999999","-0.219999999999999","-0.66","-2.02","-1.65","-1.03","0.879999999999999","-0.919999999999998","0.600000000000001","-1.31","0.670000000000002","-0.75","0.899999999999999","1.83","4.08","-0.0899999999999999","-1.13","0.190000000000001","-1.13","0.0200000000000031","13.9","0.130000000000003","1.13","0.890000000000001"
"P Tracking Error","6","5.31","8.26","5.06","5.7","5.56","8.05","9.04","7.81","8.29","7.1","6.13","5.24","4.57","4.41","3.75","4.86","4.61","4.56","5.21","5.8","4.4","4.98","4.68","5.51","6.14","6.05","5.64","6.26","6.12","6.88","5.54","7.81","9.03","9.19","8.69","11.25","8.68","8.64","8.55","10.12","9.54","18.88","11.03","12.46","12.07"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
