"","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","2.573","7.59","11.412","11.943","7.964","8.408","9.562","21.522","36.633","24.256","18.044","15.457","23.912","15.183","17.656","20.415","28.704","29.5","24.372","32.63","23.12","27.106","24.759","23.957","23.497","20.264","20.802","19.736","10.896","11.566","3.493","-2.62","2.376","1.385","6.538","6.566","0.621","5.865","0.641","2.994","7.814","11.534","17.848","21.58","20.655","-10.889","-0.008","5.474","9.298","7.726","15.491","13.39","37.46","17.046","16.048","18.44","33.662","80.451","64.89","58.23","61.259","50.79","46.278","40.531","8.036","10.175","11.282","7.016","9.013","7.184","9.359","9.279","11.104","11.022","9.937","8.518","13.889","8.85","12.834","13.754","18.911","19.492","19.651","28.967","29.851","25.9","23.176","25.388","25.504","22.596","21.515","22.644","19.089","18.402","13.514","11.524","10.287","10.393","12.015","11.313","8.48","11.52","7.602","9.129","6.477","8.942","8.106","6.435","11.35","-5.001","2.939","4.678","5.862","7.279","9.792","8.709","20.371","14.509","15.984","20.115","27.012","26.129","26.203","29.82","34.339","31.583","37.053","34.542"
"B Annualized Returns","0.721","2.209","5.298","12.998","6.405","3.607","8.06","16.38","22.452","19.02","14.76","15.467","14.731","13.025","12.047","14.93","18.951","19.033","18.104","21.738","12.822","15.012","11.553","13.036","14.212","14.311","15.516","16.434","7.565","9.049","-0.541","-5.623","1.178","0.16","9.702","7.214","4.184","8.589","2.367","3.815","5.047","13.662","19.721","27.891","26.794","0.479","-0.203","8.455","8.375","10.686","20.717","16.806","22.688","19.006","19.875","17.643","18.359","44.413","48.363","39.453","31.987","35.062","32.52","24.246","4.118","3.851","6.118","4.263","6.268","3.006","4.723","6.055","5.695","8.343","6.657","7.058","7.525","7.488","8.48","13.075","12.503","11.014","14.092","19.029","17.296","16.289","13.145","14.366","15.35","13.666","14.381","15.68","13.115","14.472","8.368","6.853","7.66","8.02","10.624","9.682","9.076","11.413","9.045","9.944","7.421","9.879","9.12","9.403","13.282","0.456","4.664","5.925","6.072","9.555","10.842","10.119","14.39","16.366","19.798","23.126","22.062","20.459","21.161","23.003","22.997","22.447","26.481","25.528"
"AR DIFF(P-B)","1.852","5.381","6.114","-1.055","1.559","4.801","1.502","5.142","14.181","5.236","3.284","-0.00999999999999979","9.181","2.158","5.609","5.485","9.753","10.467","6.268","10.892","10.298","12.094","13.206","10.921","9.285","5.953","5.286","3.302","3.331","2.517","4.034","3.003","1.198","1.225","-3.164","-0.648000000000001","-3.563","-2.724","-1.726","-0.821","2.767","-2.128","-1.873","-6.311","-6.139","-11.368","0.195","-2.981","0.923","-2.96","-5.226","-3.416","14.772","-1.96","-3.827","0.797000000000001","15.303","36.038","16.527","18.777","29.272","15.728","13.758","16.285","3.918","6.324","5.164","2.753","2.745","4.178","4.636","3.224","5.409","2.679","3.28","1.46","6.364","1.362","4.354","0.679","6.408","8.478","5.559","9.938","12.555","9.611","10.031","11.022","10.154","8.93","7.134","6.964","5.974","3.93","5.146","4.671","2.627","2.373","1.391","1.631","-0.596","0.106999999999999","-1.443","-0.815000000000001","-0.944","-0.936999999999999","-1.014","-2.968","-1.932","-5.457","-1.725","-1.247","-0.21","-2.276","-1.05","-1.41","5.981","-1.857","-3.814","-3.011","4.95","5.67","5.042","6.817","11.342","9.136","10.572","9.014"
"P Volatility","15.54","15.26","12.27","11.45","10.5","9.9","10.51","8.47","8.2","6.89","7.19","6.79","7.31","6.88","7.64","7.19","6.06","6.47","6.49","6.73","8.61","10.6","11.59","11.49","11.12","11.2","11.79","11.6","11.5","13.42","13.91","13.65","15","15.32","15.87","15.79","16.94","18.69","18.84","19.17","17.86","17.89","13.46","11.59","10.9","15.57","22.3","25.49","26.82","26.93","27.48","28.04","31.08","29","33.2","31.36","32.58","23.76","21.56","22.41","23.68","22.35","19.15","17.75","12.26","12.23","12.61","12.05","12.46","11.75","12.38","12.98","12.69","12.11","11.94","11.3","11.85","11.7","10.28","9.86","8.81","9.07","9.04","7.13","8.61","9.41","9.97","9.94","9.46","9.48","9.71","9.29","9.02","10","10.23","11.92","12.13","12.21","12.65","12.69","13.42","14.38","14.3","14.97","14.83","14.7","14.79","14.02","13.23","14.58","18.65","20.6","21.86","22.27","22.28","23.12","24.38","23.15","24.53","22.55","25.27","24.51","24.85","24.24","24.55","23.53","23.55","23.31"
"B Volatility","17.35","17.09","15.7","15.06","11.26","11.26","11.31","7.37","7.4","6","6.06","6.1","5.99","5.46","5.34","4.85","4.25","4.22","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33","13.43","13.41","13.42","13.4","13.44","13.23","13.35","13.12","12.74","12.77","12.75","12.73","12.49","12.39","11.21","10.79","8.48","8.49","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","-1.81","-1.83","-3.43","-3.61","-0.76","-1.36","-0.800000000000001","1.1","0.799999999999999","0.89","1.13","0.69","1.32","1.42","2.3","2.34","1.81","2.25","2.31","2.6","3.64","2.97","2.36","2.24","1.72","1.79","1.87","1.34","1.3","0.51","1.1","-0.52","-0.9","-0.18","0.34","-0.289999999999999","-0.5","1.04","1.48","1.66","2.13","2.07","1.6","1.04","0.390000000000001","-0.18","3.35","2.88","4.45","4.44","5","3.8","5.77","3.62","6.69","4.76","9.25","5.76","6.82","7.27","8.1","6.86","6.2","7.42","-1.17","-1.18","-0.81","-1.35","-0.979999999999999","-1.48","-0.969999999999999","-0.139999999999999","-0.0500000000000007","-0.66","-0.81","-1.43","-0.640000000000001","-0.690000000000001","-0.930000000000001","-0.93","0.33","0.58","0.68","1.41","2.29","2.83","2.49","2.44","1.93","2.14","2.09","1.64","1.51","0.56","0.880000000000001","0.48","0.0400000000000009","0.0300000000000011","0.460000000000001","0.129999999999999","0.0299999999999994","0.67","0.57","1.1","1","0.879999999999999","0.779999999999999","0.33","-0.0199999999999996","-0.34","1.56","1.33","2.49","2.96","2.92","2.61","4.23","2.87","4.91","3.25","5.98","5.17","5.61","5.5","5.84","4.79","5.02","4.78"
"P Tracking Error","7.85","7.66","6.63","5.09","3.65","3.68","3.14","3.7","3.94","3.48","3.65","3.32","4.94","3.9","5.22","4.55","5.23","5.13","4.9","5.22","5.37","4.5","5.26","4.94","4.53","4.78","5.5","5.5","5.52","4.17","3.83","3.05","3.02","2.28","3.35","3.87","4.01","4.75","5.03","5.03","5.31","5.67","5.58","5.18","5.47","5.73","6.9","6.73","8.66","8.71","8.68","8.15","9.2","8.68","11.77","9.89","12.03","9.45","9.47","10.58","11.3","10.04","10.33","9.78","6.27","6.05","5.9","6.1","5.81","6.03","5.79","5.72","5.53","5.57","5.54","5.73","6.26","5.35","5.4","4.26","4.38","4.41","4.15","4.29","4.84","4.67","5.17","5.07","4.75","5.2","5.35","5.02","4.87","4.06","3.8","3.45","3.06","2.98","3.3","3.94","3.96","3.92","4","4.05","4.43","4.55","4.49","4.52","4.59","4.43","5.3","5.13","6.51","6.49","6.69","6.75","7.57","7.13","8.9","7.85","9.5","9.14","8.91","9.92","10.08","9.15","9.51","8.92"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
