"","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.722","31.5","49.065","32.095","27.344","37.04","37.783","34.69","31.649","36.006","39.927","38.137","31.594","40.318","31.985","37.341","31.827","28.251","30.457","36.429","32.486","32.725","18.583","14.559","11.217","3.744","6.989","0.74","12.314","7.235","1.222","8.807","3.224","6.793","13.359","21.657","21.844","27.545","33.988","-5.514","1.009","15.471","21.749","23.403","34.752","37.154","52.114","64.856","77.168","68.517","55.19","85.15","71.238","45.568","48.047","43.721","39.858","38.154"
"B Annualized Returns","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","4.505","12.438","26.236","14.367","13.982","21.663","21.283","21.548","19.854","20.65","21.454","19.126","13.141","17.475","17.427","20.845","19.016","14.736","16.171","21.677","16.385","16.733","8.928","8.338","11.594","9.982","4.441","0.306","2.893","0.970000000000001","-2.596","0.901000000000001","1.474","2.686","5.002","7.872","1.73","0.252000000000002","8.106","4.031","1.165","9.086","12.512","11.701","14.02","20.792","27.469","46.887","58.294","51.065","36.033","26.099","22.488","6.369","7.89599999999999","6.32899999999999","8.792","3.221"
"P Volatility","13.79","10.49","9.5","7.65","8.04","7.59","7.48","8.33","8.44","8.04","8.55","8.34","8.07","7.81","11.36","12.66","14.2","14.14","13.67","13.93","13.19","13.86","12.8","18.58","18.88","16.88","21.36","19.59","19.49","19.99","21.36","23.35","22.91","22.04","18.52","17.83","14.75","13.33","14.36","14.42","18.54","21.01","21.1","22.47","22.6","22.57","23.35","32.4","32.7","30.18","26.6","24.76","22.97","21.65","21.2","19.39","16.39","14.44"
"B Volatility","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","3.82","2.52","1.96","1.48","1.81","1.35","1.35","2.81","2.99","2.73","4.29","4.19","3.81","3.55","5.79","4.68","4.65","4.57","3.98","4.29","3.05","3.41","2.37","5.54","5.83","2.08","4.9","3.52","3.33","3.49","2.91","4.01","3.86","2.85","0.93","0.149999999999999","1.29","0.98","1.96","-1.76","-0.600000000000001","-1.21","-0.41","0.879999999999999","0.790000000000003","-0.550000000000001","-0.889999999999997","7.78","6.34","3.77","2.71","5.83","7.1","5.56","4.85","3.32","2.06","2.36"
"P Tracking Error","4.73","3.93","5.23","6.16","7.18","6","7.5","8.29","8.56","8.23","8.98","8.18","7.99","8.14","7.62","7.86","8.78","8.21","6.67","7.16","8.36","8.84","8.12","8.83","9.17","6.85","8.13","6.87","6.69","6.82","6.63","6.06","6.01","5.3","3.99","5.2","5.71","3.8","5.81","4.99","4.53","4.41","5.94","5.24","6.03","5.34","5.08","12.44","11.17","8.43","7.25","10.11","11.82","10.81","10.14","9.33","8.33","7.01"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.95","3.16","5.02","2.33","1.95","3.61","2.84","2.6","2.32","2.51","2.39","2.34","1.64","2.15","2.29","2.65","2.17","1.79","2.42","3.03","1.96","1.89","1.1","0.94","1.26","1.46","0.55","0.04","0.43","0.14","-0.39","0.15","0.25","0.51","1.25","1.51","0.3","0.07","1.4","0.81","0.26","2.06","2.11","2.23","2.33","3.89","5.41","3.77","5.22","6.06","4.97","2.58","1.9","0.59","0.78","0.68","1.06","0.46"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.3","0.66","1.23","1.08","1.65","1.46","2.45","1.9","2.18","2.06","2.26","2.03","1.8","1.74","0.31","1","1.14","0.6","0.95","1.23","1.06","1.33","0.88","0.75","0.77","0.49","0.15","0.25","0.03","-0.09","-0.03","0.24","0.2","0.27","0.38","0.71","0.27","-0.02","0.27","0.4","0.08","0.47","0.91","0.93","1.03","1.75","2.05","3.14","3.41","2.69","2.22","1.03","0.5","0.31","-0.08","0.18","0.15","-0.23"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.34","1.24","1.05","0.77","0.67","0.78","0.49","0.51","0.47","0.44","0.29","0.58","0.54","0.36","1.64","1.27","1.18","1.22","1.26","1.27","1.01","1.02","0.95","1.29","1.3","1.04","1.22","1.15","1.14","1.15","1.11","1.18","1.17","1.12","1.03","0.97","1.01","1.03","1.06","0.85","0.94","0.93","0.94","1.01","1","0.95","0.94","1.24","1.18","1.1","1.07","1.21","1.27","1.18","1.15","1.06","0.98","1.05"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
