"","2013-06-11_to_2016-06-12_GrowthPortfolio_2QRank","2013-07-11_to_2016-07-12_GrowthPortfolio_2QRank","2013-08-12_to_2016-08-12_GrowthPortfolio_2QRank","2013-09-11_to_2016-09-12_GrowthPortfolio_2QRank","2013-10-11_to_2016-10-12_GrowthPortfolio_2QRank","2013-11-11_to_2016-11-12_GrowthPortfolio_2QRank","2013-12-11_to_2016-12-12_GrowthPortfolio_2QRank","2014-01-13_to_2017-01-12_GrowthPortfolio_2QRank","2014-02-11_to_2017-02-12_GrowthPortfolio_2QRank","2014-03-11_to_2017-03-12_GrowthPortfolio_2QRank","2014-04-11_to_2017-04-12_GrowthPortfolio_2QRank","2014-05-12_to_2017-05-12_GrowthPortfolio_2QRank","2014-06-11_to_2017-06-12_GrowthPortfolio_2QRank","2014-07-11_to_2017-07-12_GrowthPortfolio_2QRank","2014-08-11_to_2017-08-12_GrowthPortfolio_2QRank","2014-09-11_to_2017-09-12_GrowthPortfolio_2QRank","2014-10-13_to_2017-10-12_GrowthPortfolio_2QRank","2014-11-11_to_2017-11-12_GrowthPortfolio_2QRank","2014-12-11_to_2017-12-12_GrowthPortfolio_2QRank","2015-01-12_to_2018-01-12_GrowthPortfolio_2QRank","2015-02-11_to_2018-02-12_GrowthPortfolio_2QRank","2015-03-11_to_2018-03-12_GrowthPortfolio_2QRank","2015-04-13_to_2018-04-12_GrowthPortfolio_2QRank","2015-05-11_to_2018-05-12_GrowthPortfolio_2QRank","2015-06-11_to_2018-06-12_GrowthPortfolio_2QRank","2015-07-13_to_2018-07-12_GrowthPortfolio_2QRank","2015-08-11_to_2018-08-12_GrowthPortfolio_2QRank","2015-09-11_to_2018-09-12_GrowthPortfolio_2QRank","2015-10-12_to_2018-10-12_GrowthPortfolio_2QRank","2015-11-11_to_2018-11-12_GrowthPortfolio_2QRank","2015-12-11_to_2018-12-12_GrowthPortfolio_2QRank","2016-01-11_to_2019-01-12_GrowthPortfolio_2QRank","2016-02-11_to_2019-02-12_GrowthPortfolio_2QRank","2016-03-11_to_2019-03-12_GrowthPortfolio_2QRank","2016-04-11_to_2019-04-12_GrowthPortfolio_2QRank","2016-05-11_to_2019-05-12_GrowthPortfolio_2QRank","2016-06-13_to_2019-06-12_GrowthPortfolio_2QRank","2016-07-11_to_2019-07-12_GrowthPortfolio_2QRank","2016-08-11_to_2019-08-12_GrowthPortfolio_2QRank","2016-09-12_to_2019-09-12_GrowthPortfolio_2QRank","2016-10-11_to_2019-10-12_GrowthPortfolio_2QRank","2016-11-11_to_2019-11-12_GrowthPortfolio_2QRank","2016-12-12_to_2019-12-12_GrowthPortfolio_2QRank","2017-01-11_to_2020-01-12_GrowthPortfolio_2QRank","2017-02-13_to_2020-02-12_GrowthPortfolio_2QRank","2017-03-13_to_2020-03-12_GrowthPortfolio_2QRank","2017-04-11_to_2020-04-12_GrowthPortfolio_2QRank","2017-05-11_to_2020-05-12_GrowthPortfolio_2QRank","2017-06-12_to_2020-06-12_GrowthPortfolio_2QRank","2017-07-11_to_2020-07-12_GrowthPortfolio_2QRank","2017-08-11_to_2020-08-12_GrowthPortfolio_2QRank","2017-09-11_to_2020-09-12_GrowthPortfolio_2QRank","2017-10-11_to_2020-10-12_GrowthPortfolio_2QRank","2017-11-13_to_2020-11-12_GrowthPortfolio_2QRank","2017-12-11_to_2020-12-12_GrowthPortfolio_2QRank","2018-01-11_to_2021-01-12_GrowthPortfolio_2QRank","2018-02-12_to_2021-02-12_GrowthPortfolio_2QRank","2018-03-12_to_2021-03-12_GrowthPortfolio_2QRank","2018-04-11_to_2021-04-12_GrowthPortfolio_2QRank","2018-05-11_to_2021-05-12_GrowthPortfolio_2QRank","2018-06-11_to_2021-06-12_GrowthPortfolio_2QRank","2018-07-11_to_2021-07-12_GrowthPortfolio_2QRank","2018-08-13_to_2021-08-12_GrowthPortfolio_2QRank","2018-09-11_to_2021-09-12_GrowthPortfolio_2QRank","2018-10-11_to_2021-10-12_GrowthPortfolio_2QRank"
"P Information Ratio","0.46","0.81","1.02","1.14","0.95","1.22","1.15","1.03","0.81","0.9","1.86","1.57","1.98","1.74","2.02","1.02","1.78","1.56","0.59","0.14","0.35","1.82","1.81","1.2","1.22","1.27","0.65","0.5","1.88","1.19","1.03","0.97","0.21","0.54","0.97","0.1","0.06","0.42","1.02","1.11","0.77","0.42","0.07","-0.11","0.34","0.11","0.37","1.5","1.91","1.89","1.92","1.69","0.77","0.94","0.5","1.11","1.31","0.61","1.27","0.07","0.89","0.92","1.11","0.37","0.16"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.4","0.61","0.7","0.7","0.66","0.91","0.88","0.63","0.55","0.8","0.94","0.86","1.14","1.13","1","0.47","0.64","0.62","0.49","0.28","0.17","1","1.08","0.49","0.59","0.67","0.36","0.4","1.29","0.75","0.45","0.48","0.03","0.23","0.59","0.05","0.01","0.13","0.36","0.26","0.14","-0.06","-0.28","-0.36","-0.07","0.18","0.18","0.71","1.07","0.9","1.03","1.21","0.36","0.5","0.23","0.39","0.46","0.25","0.4","-0.06","0.38","0.54","0.59","0.25","0.29"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.05","0.95","0.87","0.88","1.02","0.97","0.89","0.95","0.96","0.9","0.83","0.78","0.86","0.94","0.9","0.9","0.96","0.97","0.81","0.78","0.9","0.95","1.03","0.99","0.97","0.94","0.95","0.88","1.04","1.23","1.3","1.24","1.1","0.99","1.01","1.02","0.97","1.11","1.23","1.23","1.31","1.29","1.38","1.35","1.28","1.17","1.21","1.05","1.02","1","1.02","1.07","1.03","0.97","1.07","1.04","1.07","1.12","1.03","1.1","1.02","0.95","0.87","0.9","0.86"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","63.79","59.99","56.67","61.58","64.78","59.59","52.44","54.21","54.36","60.71","77.01","61.76","65.23","58.07","71.26","81.15","81.43","80.29","76.63","70.4","75.19","67.17","71.41","80.03","69.27","70.1","71.77","63.3","48.94","61.45","64.55","66.2","70.24","68.5","66.23","70.55","80.74","85.08","86.37","88.68","88.14","87.4","86.47","88.71","86.67","82.26","87.46","83.38","82.29","82.01","83.06","82.41","88.73","87.76","90.66","90.67","89.82","90.27","91.9","93.41","90.26","90.18","90.83","91.73","87.79"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-25.4369","-21.7864","-18.8273","-18.1027","-20.055","-19.7629","-18.0852","-17.6903","-17.9724","-17.4998","-12.6832","-14.9254","-14.3437","-16.8861","-14.2642","-15.2327","-15.9949","-16.33","-13.7398","-10.9538","-13.6337","-14.2981","-15.1955","-15.8996","-17.9018","-18.0553","-17.9988","-16.798","-15.2957","-18.2744","-22.3884","-29.403","-26.5761","-23.4648","-21.7254","-23.5657","-21.4384","-22.5411","-25.6223","-24.2763","-25.6323","-26.055","-28.3512","-28.1809","-26.7191","-33.3291","-37.8535","-32.7392","-30.2632","-31.0379","-30.9049","-31.6694","-32.4644","-31.5707","-34.2236","-30.3813","-29.8672","-33.5299","-30.4484","-33.885","-31.0285","-29.2172","-28.4033","-30.0693","-27.2935"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-12.109","-8.4585","-5.4994","-4.7748","-6.7271","-6.435","-4.7573","-4.3624","-4.6445","-4.1719","0.6447","-1.5975","-1.0158","-3.5582","-0.936300000000001","-1.9048","-2.667","-3.0021","-0.411900000000001","2.3741","-0.3058","-0.9702","-1.8676","-2.5717","-4.5739","-4.7274","-6.1626","-4.9618","-3.4595","-6.8608","-11.2156","-9.4437","-6.6168","-3.5055","-1.7661","-3.6064","-1.4791","-2.5818","-5.663","-4.317","-5.673","-6.0956","-8.3919","-8.2216","-6.7598","-7.2905","-6.3223","-1.208","1.268","0.493299999999998","0.626299999999997","-0.138200000000001","-0.933199999999999","-0.0395000000000003","-2.6924","1.1499","1.664","-1.9987","1.0828","-2.3538","0.502699999999997","2.314","3.1279","1.4619","4.2377"
