"","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-2.101,-10.651,7.096,14.274,10.8,10.314,22.82,19.518,-19.278,-8.477,-10.489,0.158,7.056,13.915,5.75,9.593,12.104,19.209,20.08,41.991,102.127,98.199,89.303,77.876,94.356,68.147,99.513,63.22,55.267,31.68,31.567,14.988,28.897,24.113
"B Annualized Returns",-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-1.855,-0.744999999999999,2.348,2.569,0.183,-1.551,11.895,11.457,12.494,12.161,13.143,12.561,7.777,9.877,11.387,7.3,4.151,6.485,-0.392000000000003,14.683,14.697,42.107,19.978,24.012,48.898,22.867,33.494,6.514,19.756,7.169,8.208,6.434,10.372,2.023
"P Volatility",16.99,17.21,13.59,12,13.09,13.7,12.5,12.24,13.38,28.5,34,33.99,36.07,38.3,36.88,37.03,35.77,35.92,35.83,34.84,23.53,19.78,17.32,19.21,26.35,16.7,24.2,16.48,17.55,12.16,12.41,8.39,10.84,11.68
"B Volatility",12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",4.18,3.2,1.35,0.18,1.44,1.98,0.91,0.66,2.3,-0.859999999999999,1.53,1.52,2.51,3.91,2.71,3.04,1.69,-0.0799999999999983,-0.770000000000003,-1.36,7.01,2.86,0.960000000000001,3.57,10.96,1.04,8.57,0.84,4.12,-1.94,-1.43,-2.9,-2.69,-3.59
"P Tracking Error",7.08,7.76,7.23,7.74,7.98,7.94,6.81,8.23,8.52,8.35,8.44,8.34,8.82,10.54,10.64,10.17,9.79,9.44,8.56,10.95,9.26,12.61,9.27,12.23,18.36,11.24,15.76,10.05,14.43,10.46,10.59,10.46,6.18,6.7
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.26,-0.1,0.32,0.33,0.02,-0.2,1.75,1.39,1.47,1.46,1.56,1.51,0.88,0.94,1.07,0.72,0.42,0.69,-0.05,1.34,1.59,3.34,2.16,1.96,2.66,2.03,2.13,0.65,1.37,0.69,0.78,0.62,1.68,0.3
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.27,-0.36,0.51,-0.15,0.21,-0.06,0.41,0.85,0.56,0.73,1.56,1.6,1.23,0.65,1.06,0.93,0.55,0.55,0.22,0.89,-0.55,2.34,1.54,1.88,2.16,2.09,1.4,1.03,1.54,1.54,1.47,1.88,0.78,0.86
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
