"","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",25.687,24.654,14.265,17.469,35.503,42.865,40.185,64.919,191.828,106.964,136.446,203.489,167.129,139.269,204.347,88.36,69.61,56.604,100.973,43.206,47.748,39.587
"B Annualized Returns",-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",26.408,21.771,18.444,15.474,28.532,31.353,20.474,40.114,96.487,52.078,69.203,152.706,123.615,95.1,143.272,31.654,32.185,30.105,72.369,27.116,31.328,17.497
"P Volatility",46.2,38.47,38.52,36.68,35.92,40.2,41.82,44.41,27.7,24.28,21.31,29.33,33.95,32,36.71,29.36,27.26,27.28,38.03,33.42,31.07,30.47
"B Volatility",33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",12.64,4.08,4.35,2.69,1.84,4.2,5.22,8.20999999999999,11.18,7.36,4.95,13.69,18.56,16.34,21.08,13.72,13.83,13.18,24.19,22.13,17.54,15.2
"P Tracking Error",17.11,13.92,15.03,12.18,11.73,13.47,13.05,13.65,16.58,19.48,23.52,26.27,29.01,26.87,29.59,24.59,24.29,28.16,34.6,32.14,27.82,26.43
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.54,1.56,1.23,1.27,2.43,2.33,1.57,2.94,5.82,2.67,2.94,5.81,4.26,3.54,4.84,1.29,1.33,1.07,2.09,0.84,1.13,0.66
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",3.01,1.34,2.05,1.19,1.32,1.85,1.44,1.69,1.36,2.92,5.99,7.47,5.88,4.29,4.73,1.95,1.49,3.63,4.25,3.34,1.82,1.56
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.32,1.04,1.04,1.02,1,1.05,1.09,1.18,1.4,0.87,0.31,0.85,1.16,1.12,1.47,1.03,0.92,0.38,1.15,0.83,1.02,0.99
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",90.68,85.61,83.21,87.78,88.16,87.78,89.85,91.94,66.61,29.42,-4.62,11.61,19.38,22.01,32.18,22.11,11.97,-6.9,8.34,-2.41,10.91,16.39
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-41.0864,-37.8145,-37.2785,-37.3984,-36.6152,-36.189,-36.4098,-34.3749,-8.7864,-8.6804,-7.7162,-11.1265,-17.1318,-15.5184,-14.8531,-14.5148,-15.7855,-15.877,-16.7542,-17.5401,-18.2622,-17.011
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",-2.7809,0.491,1.027,0.9071,1.6903,2.1165,1.197,1.2834,-1.4393,-1.3333,-0.8144,-4.2247,-10.23,-8.6166,-8.5156,-8.1773,-9.448,-5.6348,-6.512,-7.2979,-3.9288,-2.6777
