"","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",5.938,12.124,6.788,9.767,10.372,12.931,11.98,13.379,11.754,27.495,40.237,40.157,23.683,23.388,31.363,34.948,29.496,28.286,27.01,36.868,30.31,19.977
"B Annualized Returns",2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",2.968,8.117,4.657,5.7,3.858,5.309,3.5,1.953,-0.210000000000001,17.68,27.598,26.923,11.275,11.42,13.997,14.157,11.759,11.856,10.875,22.695,15.441,5.392
"P Volatility",22.59,22.96,19.32,20.73,21.61,22.08,21.67,23.55,23,27.17,31.02,30.52,28.55,26.17,26.2,29.02,27.2,28.25,26.63,29.78,27.68,23.77
"B Volatility",21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",1.3,1.28,-2.36,-0.690000000000001,0.140000000000001,-0.270000000000003,-1,1.12,0.199999999999999,4.33,8.18,7.64,5.94,3.59,3.77,6.91,5.13,5.93,4.36,7.54,5.08,0.849999999999998
"P Tracking Error",7.97,8.12,8.82,7.64,8.46,7.94,8.88,9.26,8.92,13.05,17.96,16.95,12.66,10.15,9.32,14.57,12.64,13.53,13.01,15.4,12.28,11.72
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.37,1,0.53,0.75,0.46,0.67,0.39,0.21,-0.02,1.35,1.54,1.59,0.89,1.13,1.5,0.97,0.93,0.88,0.84,1.47,1.26,0.46
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.35,0.38,0.38,0.49,0.42,0.38,0.42,0.16,0.03,1.2,1.74,1.9,0.74,0.87,1.1,0.74,0.65,0.87,0.66,1.41,1.03,0.56
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.99,0.99,0.81,0.9,0.93,0.92,0.88,0.97,0.93,1.04,1.11,1.12,1.14,1.07,1.1,1.14,1.1,1.12,1.04,1.16,1.1,0.91
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",87.19,87.12,83.01,86.99,84.73,87.28,84.32,84.2,84.98,76.37,66.17,69,81.02,84.89,87.65,75.26,78.37,77.25,75.56,73.84,80.45,75.8
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-33.4098,-34.6218,-29.4335,-32.3101,-32.5868,-32.4149,-30.7079,-34.3408,-34.253,-34.6752,-36.953,-36.4701,-37.5876,-35.832,-36.5017,-37.1669,-37.0946,-37.8212,-37.1184,-39.6818,-37.4433,-34.8727
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",4.89570000000001,3.6837,8.872,5.9954,5.71870000000001,5.8906,7.5976,3.9647,4.0525,3.63030000000001,1.3525,1.8354,0.7179,2.4735,1.8038,1.1386,1.2109,0.484300000000005,1.1871,-1.3763,0.862200000000001,3.4328
