"","1 Y 2018-01-23 to 2019-01-24","1 Y 2018-02-23 to 2019-02-24","1 Y 2018-03-23 to 2019-03-24","1 Y 2018-04-23 to 2019-04-24","1 Y 2018-05-23 to 2019-05-24","1 Y 2018-06-25 to 2019-06-24","1 Y 2018-07-23 to 2019-07-24","1 Y 2018-08-23 to 2019-08-24","1 Y 2018-09-24 to 2019-09-24","1 Y 2018-10-23 to 2019-10-24","1 Y 2018-11-26 to 2019-11-24","1 Y 2018-12-24 to 2019-12-24","1 Y 2019-01-23 to 2020-01-24","1 Y 2019-02-25 to 2020-02-24","1 Y 2019-03-25 to 2020-03-24","1 Y 2019-04-23 to 2020-04-24","1 Y 2019-05-23 to 2020-05-24","1 Y 2019-06-24 to 2020-06-24","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-8.026,-9.458,2.642,6.404,16.771,5.843,-2.942,-17.169,-0.662,17.246,6.023,9.47,19.888,30.643,-29.951,-11.834,-24.029,-4.653,2.888,6.289,-0.556,5.489,17.853,60.167,56.329,93.948,205.787,154.735,157.727,153.089,121.528,142.709,174.538,137.392,152.323,108.47,96.972,38.55,43.4,31.768
"B Annualized Returns",-3.943,-0.118,11.754,6.82,9.439,8.097,1.152,-8.968,4.912,12.907,10.617,11.865,10.988,10.81,-33.434,-20.638,-21.569,-10.354,-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",-4.083,-9.34,-9.112,-0.416,7.332,-2.254,-4.094,-8.201,-5.574,4.339,-4.594,-2.395,8.9,19.833,3.483,8.804,-2.46,5.701,3.609,3.406,3.623,3.494,10.882,48.655,36.618,69.143,110.446,99.849,90.484,102.306,78.014,98.54,113.463,80.686,114.898,81.971,68.368,22.46,26.98,9.678
"P Volatility",21.47,17.88,17.19,17.35,18.26,17.26,16.91,17.34,13.41,15.07,19.76,19.84,18.95,21.18,23.18,36.24,42.3,42.37,40.3,42.15,44.49,45.14,46.89,58.02,49.09,49.79,28.15,24.97,28.92,26.4,28.6,30.74,29.63,24,29.77,30.25,33.72,23.45,21.82,22.31
"B Volatility",15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",6.01,3.34,3.02,2.65,3.53,2.73,4.1,3.33,1.17,3.25,8.11,8.12,7.36,9.6,12.1,6.88,9.83,9.9,6.73999999999999,7.76,10.32,11.15,12.81,22.02,12.49,13.59,11.63,8.05,12.56,10.76,13.21,15.08,14,8.36,16.34,16.15,19.88,12.16,8.29,7.04
"P Tracking Error",16.45,11.74,12.75,12.65,11.69,9.83,11.53,8.04,9.85,7.84,13.19,13.75,14.17,14.97,15.42,11.02,14.31,15.92,12.83,14.85,17.95,18.35,20.21,30.86,25.39,23.51,20.26,18.6,20.36,22.72,23.2,24.38,22.38,15.08,24.69,25.35,28.07,21.21,13.05,12.9
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
