"","3 Y 2018-01-23 to 2021-01-24","3 Y 2018-02-23 to 2021-02-24","3 Y 2018-03-23 to 2021-03-24","3 Y 2018-04-23 to 2021-04-24","3 Y 2018-05-23 to 2021-05-24","3 Y 2018-06-25 to 2021-06-24","3 Y 2018-07-23 to 2021-07-24","3 Y 2018-08-23 to 2021-08-24","3 Y 2018-09-24 to 2021-09-24","3 Y 2018-10-23 to 2021-10-24","3 Y 2018-11-26 to 2021-11-24","3 Y 2018-12-24 to 2021-12-24","3 Y 2019-01-23 to 2022-01-24","3 Y 2019-02-25 to 2022-02-24","3 Y 2019-03-25 to 2022-03-24","3 Y 2019-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",23.447,35.244,48.342,56.748,71.851,67.933,53.175,54.816,59.123,62.827,60.169,60.648,63.144,59.023,66.133,54.343
"B Annualized Returns",8.461,10.819,12.643,9.89,12.256,13.065,12.657,11.952,17.366,21.087,17.94,16.43,17.721,16.125,14.879,15.023
"AR DIFF(P-B)",14.986,24.425,35.699,46.858,59.595,54.868,40.518,42.864,41.757,41.74,42.229,44.218,45.423,42.898,51.254,39.32
"P Volatility",37.61,33.94,39.06,37.92,40.63,40.39,36.37,39.07,35.76,34.84,32.69,35.38,32.73,34.24,37.23,31.48
"B Volatility",22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",14.94,11.51,16.26,15.08,17.79,17.51,13.76,16.49,13.33,12.73,10.62,13.06,10.46,12,14.63,8.56
"P Tracking Error",21.7,17.9,22.52,24.58,26.27,25.83,23.83,25.02,23.61,23.53,21.01,22.9,23.03,23.66,23.6,19.25
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.69,1.36,1.59,1.91,2.27,2.12,1.7,1.71,1.77,1.77,2.01,1.93,1.97,1.81,2.17,2.04
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.13,1.15,1.83,3.01,3.35,3.4,2.87,2.5,2.94,2.42,2.42,2.82,2.87,2.98,3.08,2.59
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.42,1.33,1.48,1.3,1.42,1.42,1.24,1.38,1.22,1.18,1.14,1.23,1.05,1.12,1.31,1.09
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",72.26,76.14,73.82,60.03,62.68,63.72,58.05,62.8,56.97,54.31,58.4,59.03,49.1,51.43,62.3,61.92
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-44.3269,-42.8156,-44.9507,-40.7901,-41.6393,-41.203,-37.1544,-40.6077,-36.6058,-35.2446,-35.1871,-36.8003,-33.0596,-34.4089,-38.8964,-36.3363
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-6.0214,-4.5101,-6.6452,-2.4846,-3.3338,-2.8975,1.1511,-2.3022,1.6997,3.0609,3.1184,1.5052,5.2459,3.8966,-0.590899999999998,1.9692
