"","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.406,15.162,-2.347,9.599,17.13,21.612,19.614,32.916,97.765,125.951,149.261,74.432,77.452,61.727,78.463,90.605,53.098,42.702,25.972,8.483,17.762,15.25
"B Annualized Returns",-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",3.127,12.279,1.832,7.604,10.159,10.1,-0.0969999999999978,8.111,2.42400000000001,71.065,82.018,23.649,33.938,17.558,17.388,33.899,15.673,16.203,-2.632,-7.607,1.342,-6.84
"P Volatility",32.62,35.85,38.27,35.87,35.29,37.13,37.62,35.24,19.74,23.36,22.47,16.89,17.66,17.72,17.24,22.83,18.34,18.36,13.27,9.4,11.29,13.3
"B Volatility",33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",-0.940000000000005,1.46,4.1,1.88,1.21,1.13,1.02,-0.960000000000001,3.22,6.44,6.11,1.25,2.27,2.06,1.61,7.19,4.91,4.26,-0.57,-1.89,-2.24,-1.97
"P Tracking Error",7.39,9.43,9.18,8.56,8.9,8.75,8.54,8.41,8.55,16.41,15.82,10.65,9.74,9.44,10.85,14.77,14.16,12.46,11.74,11.11,4.74,5.97
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.42,1.3,0.2,0.89,1.14,1.15,-0.01,0.96,0.28,4.33,5.18,2.22,3.48,1.86,1.6,2.3,1.11,1.3,-0.22,-0.68,0.28,-1.15
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.85,0.76,0.78,0.84,0.71,0.75,0.46,0.49,0.11,2.88,3.39,1.98,1.66,1.35,1.31,1.4,1.38,1.52,0.86,1.36,-0.06,0.06
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.95,1.01,1.09,1.03,1,1,1,0.95,1.08,0.98,0.98,0.85,0.96,0.96,0.87,1.12,0.88,0.96,0.6,0.36,0.79,0.8
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",94.61,92.32,94.35,93.74,92.93,93.83,94.27,94,79.66,45.19,44.96,57.97,66.33,68.63,57.61,54.24,34.65,48.96,32.4,9.98,87.69,83.32
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-34.7087,-35.3557,-37.4505,-35.6381,-35.2001,-35.3632,-35.5468,-32.9309,-6.9601,-8.239,-7.1762,-7.3743,-7.4745,-7.9196,-7.0281,-7.9405,-6.8384,-10.2236,-11.4323,-14.1524,-14.477,-13.6471
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",3.5968,2.9498,0.855000000000004,2.6674,3.1054,2.9423,2.06,2.7274,0.387,-0.891900000000001,-0.2744,-0.4725,-0.5727,-1.0178,-0.6906,-1.603,-0.5009,0.0186000000000011,-1.1901,-3.9102,-0.143600000000001,0.686199999999999
