"","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-6.472,-19.326,-13.542,8.862,-2.529,-1.37,-4.208,-12.954,-46.588,-38.594,-35.328,-19.992,-16.767,0.226,-12.158,-2.097,5.033,10.832,33.74,82.293,217.562,224.83,242.259,198.837,186.121,107.241,148.496,207.673,155.626,84.214,59.588,8.641,0.28,1.419
"B Annualized Returns",-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-6.226,-9.42,-18.29,-2.843,-13.146,-13.235,-15.133,-21.015,-14.816,-17.956,-11.696,-7.589,-16.046,-3.812,-6.521,-4.39,-2.92,-1.892,13.268,54.985,130.132,168.738,172.934,144.973,140.663,61.961,82.477,150.967,120.115,59.703,36.229,0.0869999999999997,-18.245,-20.671
"P Volatility",19.61,18.8,17.2,18.78,22.02,22.56,22.09,26.17,32.08,41.18,53.83,54.75,54.97,55.29,56.87,53.61,56.51,60.71,63.84,59.12,37.47,44.4,41.75,33.85,30.18,36.08,29.82,31.96,25.34,21.59,19.19,13.8,20.03,19.94
"B Volatility",12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",6.8,4.79,4.96,6.96,10.37,10.84,10.5,14.59,21,11.82,21.36,22.28,21.41,20.9,22.7,19.62,22.43,24.71,27.24,22.92,20.95,27.48,25.39,18.21,14.79,20.42,14.19,16.32,11.91,7.49,5.35,2.51,6.5,4.67
"P Tracking Error",16.96,13.85,16.86,12.91,16.39,17.1,16.43,20.7,24.73,21.01,29.63,30.86,30.36,27.65,30.32,26.43,32.58,33.02,35.21,30.72,29.72,34.65,32.57,27.87,25.05,27.67,25.27,24.05,21.97,17.32,12.94,14.15,11.22,12.1
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.37,-0.68,-1.08,-0.22,-0.8,-0.77,-0.92,-1.02,-0.6,-0.85,-0.39,-0.25,-0.53,-0.14,-0.22,-0.17,-0.09,-0.06,0.38,1.79,4.38,4.87,5.31,5.2,5.62,2.24,3.26,6.28,5.47,3.45,2.8,0.01,-1.63,-1.71
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.74,-1.2,-1.01,-0.68,-0.88,-1.07,-1.38,-1.64,-2.07,-2.22,-0.35,0.34,0.34,-0.49,0.64,-0.29,-0.3,0.17,0.19,2.58,3.35,3.35,3.83,5.18,6.56,2.08,4.11,4.39,5.19,4.39,2.52,1.01,-1.25,-1.39
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.79,0.91,0.54,1.16,1.3,1.29,1.31,1.46,2.2,1.23,1.46,1.47,1.43,1.47,1.49,1.44,1.42,1.5,1.56,1.47,1.45,1.85,1.77,1.25,1.1,1.59,1.01,1.41,0.94,0.92,1.02,0.46,1.25,1.04
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",18.84,40.16,5.22,48.63,41.21,38.67,41.49,35.04,53.17,73.99,74.82,73.32,73.84,81.65,78.11,81.71,70.12,76.93,77.6,79.33,34.55,43.92,42.58,26.2,23.73,42.05,20.25,41.44,16.61,28.81,49.52,4.73,68.39,59.21
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
