"","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.909,13.716,9.43,8.86,19.049,26.536,32.376,60.539,188.807,142.031,156.826,155.188,136.659,118.211,159.601,129.724,105.976,69.309,82.33,25.959,33.209,30.359
"B Annualized Returns",-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",9.63,10.833,13.609,6.865,12.078,15.024,12.665,35.734,93.466,87.145,89.583,104.405,93.145,74.042,98.526,73.018,68.551,42.81,53.726,9.869,16.789,8.269
"P Volatility",41.95,42.51,40.7,41.94,40.81,44.55,45.39,44.66,30.67,25,25.79,25.76,26.52,25.5,25.08,22.03,16.72,15.96,22.26,15.84,17.15,16.73
"B Volatility",33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",8.39,8.12,6.53,7.95,6.73,8.55,8.79,8.45999999999999,14.15,8.08,9.43,10.12,11.13,9.84,9.45,6.39,3.29,1.86,8.42,4.55,3.62,1.46
"P Tracking Error",14.63,15.63,15.74,15.32,15.13,16.41,16.56,15.55,19.42,18.13,19.42,20.67,19.33,17.38,16.79,14.82,13.08,13.49,17.1,14.94,11.75,11.23
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.66,0.69,0.86,0.45,0.8,0.92,0.76,2.3,4.81,4.81,4.61,5.05,4.82,4.26,5.87,4.93,5.24,3.17,3.14,0.66,1.43,0.74
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.78,0.46,1.64,0.84,0.55,0.84,0.69,1.82,1.29,3.75,3.59,4.94,4.47,3.34,3.57,3.09,3.64,3.74,3.38,2.52,1.13,1.05
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.19,1.16,1.1,1.16,1.12,1.16,1.17,1.17,1.53,1.02,1.04,0.98,1.2,1.21,1.21,1.04,0.8,0.68,1.03,0.61,0.93,0.83
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",88.96,86.86,84.22,87.04,85.8,86.82,87.21,88.62,64.6,41.6,37.05,28.48,42.38,50.22,52.12,49.82,34.87,29.38,34.51,9.78,48.2,52.58
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-38.183,-39.8667,-37.4153,-39.6946,-38.8348,-38.6608,-38.6609,-35.3231,-9.3457,-9.571,-9.4387,-9.297,-10.6552,-9.2839,-8.9269,-6.6693,-6.642,-9.5741,-9.0614,-14.1436,-14.3481,-15.1555
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",0.122500000000002,-1.5612,0.8902,-1.3891,-0.529299999999999,-0.3553,-1.0541,0.3352,-1.9986,-2.2239,-2.5369,-2.3952,-3.7534,-2.3821,-2.5894,-0.331799999999999,-0.3045,0.668100000000001,1.1808,-3.9014,-0.0147000000000013,-0.8222
