"","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.286,9.37,9.591,20.893,26.933,36.521,40.612,56.959,59.321,68.07,75.443,80.782,87.873,90.826,98.773,62.758,59.285,55.714,48.145,37.171,74.95,73.119
"B Annualized Returns",-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",8.77,11.109,11.302,13.991,17.199,24.834,25.378,39.868,46.237,57.251,62.072,64.687,68.538,67.856,74.538,37.137,38.335,36.282,28.961,19.613,25.902,34.922
"P Volatility",35.29,37.38,36.79,34.47,34.48,32.71,33.45,33.02,35.44,37.05,37.3,38.98,38.17,34.98,40.03,34.34,33.16,35.21,34.92,37.07,27.65,29.72
"B Volatility",24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",10.63,12.24,12.08,10.06,10.14,7.17,7.48,7.04,9.04,10.48,10.74,12.34,12.19,9.09,13.86,8.19,7,8.71,8.46,10.93,10.83,13.71
"P Tracking Error",17.54,17.91,19.1,15.51,15.03,13.87,14.21,13.71,15.81,21.48,20.77,22.38,22.65,21.87,23.46,19.81,18.98,19.69,20.41,22.83,24.01,27.5
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.5,0.62,0.59,0.9,1.14,1.79,1.79,2.91,2.92,2.67,2.99,2.89,3.03,3.1,3.18,1.87,2.02,1.84,1.42,0.86,1.08,1.27
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.41,0.73,1.37,1.07,1.14,1.58,1.66,1.83,2.42,3.61,3.55,4.02,4.04,3.7,4.21,2.26,2.11,2.47,2.18,1.47,2.44,2.74
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.27,1.35,1.31,1.3,1.31,1.17,1.18,1.17,1.22,1.15,1.18,1.22,1.2,1.06,1.27,1.08,1.04,1.11,1.07,1.12,0.83,0.75
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",77.87,81.81,76.29,83.36,85.19,83.08,83.11,83.77,82.01,65.93,69.25,67.78,65.02,59.21,67.23,65.51,65.78,67.91,64.54,61.08,22.09,12.24
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-41.6662,-42.8583,-41.9656,-40.3316,-40.4453,-36.8003,-36.9797,-36.9167,-36.3009,-36.0889,-36.3146,-36.6047,-37.1856,-33.7619,-37.0802,-36.2919,-35.536,-38.3308,-38.7382,-34.8525,-18.4449,-19.5218
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-3.3607,-4.5528,-3.6601,-2.0261,-2.1398,1.5052,1.3258,1.3888,2.0046,2.2166,1.9909,1.7008,1.1199,4.5436,1.2253,2.0136,2.7695,-0.0253000000000014,-1.1314,0.600000000000001,-4.1115,-5.1884
