"","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",27.679,33.205,35.535,58.209,55.072,46.679,48.206,50.365,135.065,118.567
"B Annualized Returns",18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",8.788,10.734,11.3,32.806,33.806,27.92,26.957,29.996,84.262,80.813
"P Volatility",34.87,46.33,37.89,45.85,45.43,45.24,44.51,41.8,35.36,31.85
"B Volatility",25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",8.89,20.44,11.72,19.7,19.27,18.74,18.05,15.66,18.54,15.84
"P Tracking Error",21.64,29.81,25.14,30.34,30.8,30.95,30.51,28.22,26.73,27.44
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.41,0.36,0.45,1.08,1.1,0.9,0.88,1.06,3.15,2.95
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.2,0.85,0.83,0.78,1.69,2.06,1.93,2.99,3.44,3.94
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.05,1.44,1.09,1.36,1.31,1.27,1.25,1.2,1.45,1.01
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",59.79,62.89,54.27,58.64,55.29,53.66,53.08,53.83,44.87,22.25
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.9408,-50.935,-41.9135,-50.1265,-48.8602,-48.6701,-46.4416,-37.7926,-15.3155,-19.5331
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",-1.6353,-12.6295,-3.608,-11.821,-10.5547,-10.3646,-8.8348,-2.1343,-0.982100000000001,-5.1997
