"","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",60.243,62.606,65.807,72.365,69.705,61.133,61.334,56.684,127.022,99.193
"B Annualized Returns",18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",41.352,40.135,41.572,46.962,48.439,42.374,40.085,36.315,76.219,61.439
"P Volatility",36.06,38.58,35.15,37.8,36.84,36.04,36.35,36.05,29.09,24.87
"B Volatility",25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",10.08,12.69,8.98,11.65,10.68,9.54,9.89,9.91,12.27,8.86
"P Tracking Error",18.45,21.42,18.78,19.89,19.26,18.99,19.37,18.69,19.78,17.56
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",2.24,1.87,2.21,2.36,2.52,2.23,2.07,1.94,3.85,3.5
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.77,2.26,2.65,2.01,2.38,2.71,2.48,2.92,3.27,2.83
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.21,1.27,1.14,1.26,1.22,1.17,1.18,1.19,1.3,1.1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",75.02,71.1,71.31,74.29,73.94,72.53,71.97,73.92,54.83,48.24
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.0636,-41.1519,-37.5787,-40.8721,-39.8454,-39.6152,-39.5559,-35.9209,-13.6771,-15.2658
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",-0.758099999999999,-2.8464,0.726800000000004,-2.5666,-1.5399,-1.3097,-1.9491,-0.262600000000006,0.6563,-0.932400000000001
