"","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-4.696,-16.528,-2.213,18.003,8.981,15.266,17.401,15.716,-25.496,-20.017,-20.818,-5.528,4.597,19.403,4.18,10.043,19.745,27.126,36.689,61.092,169.867,169.529,227.258,175.431,127.065,121.965,129.525,177.563,136.554,101.041,92.545,40.684,32.693,33.259
"B Annualized Returns",-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-4.45,-6.622,-6.961,6.298,-1.636,3.401,6.476,7.655,6.276,0.621000000000002,2.814,6.875,5.318,15.365,9.817,7.75,11.792,14.402,16.217,33.784,82.437,113.437,157.933,121.567,81.607,76.685,63.506,120.857,101.043,76.53,69.186,32.13,14.168,11.169
"P Volatility",17.16,17.32,14.23,16.68,19.98,19.58,19.92,21,24.03,37.54,43.12,43.73,44.36,43.94,47.56,43.58,43.35,50.12,51.77,50.63,28.72,32.04,33.11,25.78,20.3,32.33,22.65,30.76,23.11,30.43,31.62,27.34,24.53,23.11
"B Volatility",12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",4.35,3.31,1.99,4.86,8.33,7.86,8.33,9.42,12.95,8.18,10.65,11.26,10.8,9.55,13.39,9.59,9.27,14.12,15.17,14.43,12.2,15.12,16.75,10.14,4.91,16.67,7.02,15.12,9.68,16.33,17.78,16.05,11,7.84
"P Tracking Error",12.65,8.32,11.11,8.65,12.46,12.64,13.18,14.69,15.78,14.94,16.34,17.14,16.12,16.31,19.67,14.15,15.87,18.75,20.84,19.57,19.18,24.42,26.37,20.87,15.12,23.64,16.1,21.66,18.39,25.39,27.31,26.12,18.25,15.29
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.35,-0.8,-0.63,0.73,-0.13,0.27,0.49,0.52,0.4,0.04,0.17,0.4,0.33,0.94,0.5,0.55,0.74,0.77,0.78,1.73,4.3,4.65,5.99,5.82,5.4,3.24,3.94,5.58,5.49,3.01,2.53,1.23,0.78,0.73
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.11,-0.94,-0.19,-0.21,-0.08,0.13,0.03,0.35,0.36,0.59,1.13,1.03,1.51,0.59,1.58,0.64,0.67,1.05,0.83,1.32,2.04,3.96,5.07,5.68,4.77,2.58,3.38,3.13,3.89,4.42,3.92,3.04,0.46,0.48
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.91,1.09,0.76,1.23,1.4,1.31,1.33,1.34,1.84,1.19,1.26,1.27,1.26,1.2,1.3,1.24,1.2,1.33,1.34,1.33,1.34,1.25,1.25,0.97,0.89,1.49,1.02,1.48,1.04,1.21,1.16,0.76,1.23,1.14
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",40.13,74.96,36.84,72.98,62.75,57.64,55.48,49.45,68.63,84.8,88.14,87.33,89.57,87.52,86.26,92.03,87.88,90.84,88.36,89.66,54.63,37.41,31.22,27.25,39.18,46.92,43.93,51.4,29.69,23.65,17.67,-0.27,40.34,52.35
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.7275,-17.971,-13.5527,-16.1433,-18.2058,-16.4957,-16.2473,-16.5381,-38.9015,-38.5621,-39.7749,-40.2357,-40.6114,-41.6073,-43.3794,-43.5191,-40.6569,-44.4387,-43.7345,-38.6293,-8.9303,-8.7403,-9.0981,-9.1982,-8.1343,-14.0188,-7.3124,-10.0007,-11.7092,-15.8832,-14.854,-12.1937,-12.9249,-13.2789
"B Max Drawdown",-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-2.7486,-3.9921,-2.2752,-4.8658,-6.9283,-5.2182,-4.9698,-5.2606,-0.595999999999997,-0.256599999999999,-1.4694,-1.9302,-2.3059,-3.3018,-5.07389999999999,-5.2136,-2.3514,-6.1332,-6.1277,-3.1768,-1.5832,-1.3932,-2.1963,-2.2964,-1.2325,-7.117,-0.9749,-3.6632,-5.3717,-5.641,-4.6118,0.3063,1.4085,1.0544
