"","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",7.67,12.198,11.469,9.078,13.595,15.392,18.024,25.395,30.518,23.346,25.313,24.947,32.215,30.339,34.843,37.191,37.086,33.607,38.527,27.917,36.217,46.099
"B Annualized Returns",2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",4.7,8.191,9.338,5.011,7.081,7.77,9.544,13.969,18.554,13.531,12.674,11.713,19.807,18.371,17.477,16.4,19.349,17.177,22.392,13.744,21.348,31.514
"P Volatility",25.91,26.53,30.33,28.24,25.86,27.5,28.68,26.99,29.77,27.18,25.96,26.18,27.68,30.28,29.49,25.92,26.13,25.78,27.71,23.95,26.48,31.15
"B Volatility",21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",4.62,4.85,8.65,6.82,4.39,5.15,6.01,4.56,6.97,4.34,3.12,3.3,5.07,7.7,7.06,3.81,4.06,3.46,5.44,1.71,3.88,8.23
"P Tracking Error",11.9,13.28,15.1,14.25,11.57,11.88,10.62,9.89,12.88,11.68,10.13,10.5,12.49,15.29,15.9,11.13,11.17,11.91,12.74,9.77,12.33,15.59
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.39,0.62,0.62,0.35,0.61,0.65,0.9,1.41,1.44,1.16,1.25,1.12,1.59,1.2,1.1,1.47,1.73,1.44,1.76,1.41,1.73,2.02
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.67,0.5,0.65,0.57,0.56,0.51,0.7,0.67,1.05,0.91,0.93,0.79,1.44,1.17,1.41,0.94,1.09,1.3,1.49,0.97,1.56,1.92
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.08,1.06,1.24,1.15,1.08,1.12,1.19,1.13,1.19,1.08,1.05,1.05,1.1,1.17,1.11,1.06,1.07,1.03,1.11,0.98,1.04,1.19
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",78.77,74.46,77.4,75.04,79.84,81.68,88.22,87.31,82.96,81.41,84.49,83.63,79.67,75.37,70.8,81.3,81.57,78.08,79.04,82.86,77.75,76.25
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-36.8705,-35.9279,-40.1076,-37.8199,-37.0192,-37.2282,-38.6947,-35.8066,-36.4854,-36.3874,-35.3066,-35.5752,-35.6814,-37.6764,-37.131,-37.4054,-37.3323,-36.8941,-37.8495,-35.3619,-36.7922,-38.8436
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",1.435,2.3776,-1.8021,0.485600000000005,1.2863,1.0773,-0.389199999999995,2.4989,1.8201,1.9181,2.9989,2.7303,2.62410000000001,0.629100000000001,1.1745,0.900100000000002,0.973200000000006,1.4114,0.456000000000003,2.9436,1.5133,-0.5381
