"","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",34.871,33.985,40.975,44.081,41.333,39.168,40.408,41.652,43.965,45.977
"B Annualized Returns",12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",22.463,22.017,23.609,23.29,23.596,22.738,24.273,27.479,29.096,31.392
"P Volatility",29.97,30.87,30.43,29.99,29.92,29.35,30.61,30.87,31.03,31.11
"B Volatility",22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",7.36,8.29,8,7.88,7.85,7.03,8.34,8.63,8.43,8.19
"P Tracking Error",14.99,14.96,14.92,14.84,14.31,15.07,16.06,16.39,16.02,15.87
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.5,1.47,1.58,1.57,1.65,1.51,1.51,1.68,1.82,1.98
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.62,1.38,1.72,1.19,1.21,1.57,1.48,1.7,1.88,1.94
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.16,1.21,1.2,1.19,1.21,1.14,1.18,1.19,1.19,1.18
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",75.7,78.35,77.43,76.89,78.9,73.93,73.49,72.94,74.54,75.01
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-36.9083,-38.1245,-37.3267,-37.7229,-38.6711,-37.3834,-38.5662,-38.3618,-38.0012,-37.6921
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",1.39720000000001,0.181000000000004,0.9788,0.582599999999999,-0.365600000000001,0.9221,-0.2607,-0.0563000000000002,0.304300000000005,0.613399999999999
