"","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",26.994,30.083,9.587,4.723,9.466,14.655,13.298,10.16,7.973,2.431,20.631,6.982,29.094,41.244,48.385,47.151,18.685,23.103,20.75,20.689,48.253,46.953,59.017,98.162,59.836,33.868,37.919,41.744
"B Annualized Returns",12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",14.927,20.979,15.241,5.21,10.94,12.663,10.328,6.153,5.842,-1.636,14.117,-0.64,20.614,29.818,36.421,37.336,6.046,9.869,8.342,8.721,30.887,26.162,41.28,81.732,43.701,19.695,23.05,27.159
"P Volatility",21.71,25.63,27.24,31.85,32.27,31.47,33.6,33.23,27.79,27.24,36.51,34.39,34.44,33.22,36.18,32.81,19.8,24.63,23.07,23.21,24.6,23.3,34.66,41.47,32.71,29.43,32.6,41.73
"B Volatility",12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",9.38,13.4,14.83,11.9,11.26,10.47,12.31,11.55,6.11,5.82,15.04,12.04,11.77,10.79,13.38,9.97,-3.04,1.75,0.460000000000001,0.630000000000003,2.17,1.19,12.59,19.15,10.44,7.19,10,18.81
"P Tracking Error",15.95,19.33,20.95,19.08,16.53,16.92,18.45,18.51,15.45,14.91,22.11,18.23,19.75,18.14,20.07,20.91,13.38,12.02,12.93,13.17,15.38,14.66,22.78,34.18,25.29,23.66,22.77,26.73
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.94,1.09,0.73,0.27,0.66,0.75,0.56,0.33,0.38,-0.11,0.64,-0.04,1.04,1.64,1.81,1.79,0.45,0.82,0.65,0.66,2.01,1.78,1.81,2.39,1.73,0.83,1.01,1.02
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.89,1.36,1.14,1.01,1.12,0.8,1.23,0.32,0.52,0.08,1.08,-0.12,1.56,1.62,1.97,2.43,0.81,0.75,0.72,0.7,2.49,2.03,2.15,5.06,2.95,1.63,1.65,1.61
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.21,1.45,1.49,1.32,1.37,1.3,1.37,1.31,1.07,1.07,1.42,1.35,1.28,1.27,1.37,1.11,0.7,0.94,0.86,0.86,0.87,0.84,1.2,1.05,0.93,0.81,1.03,1.48
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",45.86,46.14,44.13,67.09,78.96,74.3,74.6,72.28,68.46,69.42,68.34,76.4,69.5,72.69,73.93,58.79,64.96,75.75,69.67,68.8,61.23,61.72,57.17,30.11,38.61,35.54,49.79,64.82
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-19.3955,-24.519,-45.1814,-45.7605,-45.1931,-43.5987,-42.0625,-43.5881,-37.7801,-37.2088,-46.6047,-44.6362,-41.0824,-40.7586,-40.771,-37.2711,-28.3673,-33.1875,-30.3508,-30.8403,-31.6186,-30.8764,-33.868,-33.5982,-30.8425,-31.4503,-35.9443,-44.3061
