"","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",38.123,37.292,44.688,48.009,45.054,42.927,43.897,45.969,48.745,51.08
"B Annualized Returns",12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",25.715,25.324,27.322,27.218,27.317,26.497,27.762,31.796,33.876,36.495
"P Volatility",31.65,32.99,32.75,31.95,32.13,31.02,32.95,33.45,33.53,33.63
"B Volatility",22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",9.04,10.41,10.32,9.84,10.06,8.7,10.68,11.21,10.93,10.71
"P Tracking Error",17,17.02,17.34,16.85,16.42,17.02,18.56,19.1,18.6,18.46
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.51,1.49,1.58,1.62,1.66,1.56,1.5,1.66,1.82,1.98
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.86,1.55,1.93,1.36,1.36,1.79,1.64,1.93,2.14,2.2
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.2,1.28,1.27,1.25,1.28,1.18,1.25,1.26,1.26,1.25
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",72.31,76.42,74.54,74.54,76.98,70.61,70.21,69.54,71.49,71.98
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-37.6518,-39.3672,-38.2133,-38.5639,-39.9992,-37.8956,-39.6208,-39.3101,-38.9015,-38.5621
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",0.653700000000001,-1.06169999999999,0.0922000000000054,-0.258399999999995,-1.6937,0.4099,-1.3153,-1.0046,-0.595999999999997,-0.256599999999999
