"","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",12.103,9.053,12.253,12.687,13.421,12.215,14.518,31.174,34.853,30.11,27.632,24.669,37.88,26.054,21.341,29.641,27.414,28.877,42.805
"B Annualized Returns",4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",8.036,2.539,4.631,4.207,1.995,0.250999999999999,4.703,18.535,21.619,17.702,15.664,7.303,17.089,8.317,4.911,13.506,13.241,14.008,28.22
"P Volatility",24.08,21.18,25.41,24.03,21.55,22.74,23,28.71,28.4,28.93,26.08,21.4,29.66,26.83,27.11,28.8,27.59,26.13,27.53
"B Volatility",21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",2.66,-0.289999999999999,3.06,1.36,-0.879999999999999,-0.0600000000000023,0.16,5.87,5.52,6.32,3.5,-1.03,7.55,4.76,4.79,6.53,5.35,3.53,4.61
"P Tracking Error",9.28,8.74,8.86,8.26,9.22,9.8,10.76,14.91,13.45,12.71,12.41,9.35,14.72,9.59,12.63,13.65,12.82,12.19,13.48
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.87,0.29,0.52,0.51,0.22,0.03,0.44,1.24,1.61,1.39,1.26,0.78,1.16,0.87,0.39,0.99,1.03,1.15,2.09
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.67,0.31,0.38,0.41,0.21,0.06,0.39,1.31,1.41,1.22,1.06,0.85,0.87,0.38,0.4,0.76,0.76,1,1.82
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.04,0.9,1.07,1,0.88,0.91,0.9,1.08,1.1,1.16,1.02,0.87,1.18,1.14,1.08,1.15,1.1,1.02,1.05
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",84.81,83.43,87.83,87.84,82.83,81.8,78.56,72.57,77.52,81.73,76.69,82.28,76.44,88.3,78.08,78.21,78.5,77.63,75.47
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-35.341,-32.7732,-35.2196,-33.3555,-30.5198,-33.4913,-33.0102,-37.1674,-37.1074,-38.1206,-34.0743,-33.0196,-37.4854,-38.3434,-37.3597,-38.5034,-37.5562,-35.6123,-36.1284
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",2.9645,5.5323,3.0859,4.95,7.7857,4.8142,5.2953,1.1381,1.1981,0.184899999999999,4.2312,5.28590000000001,0.820100000000004,-0.0379000000000005,0.945800000000006,-0.197899999999997,0.749300000000005,2.6932,2.1771
