"","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",3.297,4.859,7.688,14.854,14.87,22.042,25.462,39.2,39.267,42.821,49.207,54.332,58.231,70.378,76.566,65.311,61.417,55.117,52.44,52.47,98.89,105.157
"B Annualized Returns",-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",3.781,6.598,9.399,7.952,5.136,10.355,10.228,22.109,26.183,32.002,35.836,38.237,38.896,47.408,52.331,39.69,40.467,35.685,33.256,34.912,49.842,66.96
"P Volatility",31.42,32.77,31.67,30.9,32.16,31.75,34.47,35.41,37.46,37.63,37.3,38.55,37.4,37.51,39.91,36.25,35.45,36.69,37.47,37.04,24.7,26.6
"B Volatility",24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",6.76,7.63,6.96,6.49,7.82,6.21,8.5,9.43,11.06,11.06,10.74,11.91,11.42,11.62,13.74,10.1,9.29,10.19,11.01,10.9,7.88,10.59
"P Tracking Error",13.64,11.92,12.77,11.09,12.67,12.28,14.09,15.5,16.79,19.22,18.47,19.69,19.47,19.86,20.73,17.48,17.01,17.86,18.86,18.35,16.88,19.77
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.28,0.55,0.74,0.72,0.41,0.84,0.73,1.43,1.56,1.67,1.94,1.94,2,2.39,2.52,2.27,2.38,2,1.76,1.9,2.95,3.39
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.77,0.44,0.75,0.7,0.4,0.63,0.42,0.8,1.37,2.12,2.12,2.44,2.58,2.65,2.99,1.67,1.99,2.31,2.1,2.33,2.85,3.12
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.16,1.24,1.19,1.2,1.24,1.16,1.23,1.25,1.3,1.24,1.24,1.27,1.26,1.26,1.35,1.24,1.21,1.23,1.25,1.26,1.08,1.12
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",81.89,89.61,85.2,89.07,87.12,85.99,85.74,83.47,83.79,75.71,77.46,76.44,74.91,73.89,77.25,78.71,78.32,78.11,76.66,77.73,51.35,42.66
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-37.6518,-39.3672,-38.2133,-38.5639,-39.9992,-37.8956,-39.6208,-39.3101,-38.9015,-38.5621,-39.7749,-40.2357,-40.6114,-41.6073,-43.3794,-43.5191,-40.6569,-44.4387,-43.7345,-38.6293,-14.2521,-12.7847
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",0.653700000000001,-1.06169999999999,0.0922000000000054,-0.258399999999995,-1.6937,0.4099,-1.3153,-1.0046,-0.595999999999997,-0.256599999999999,-1.4694,-1.9302,-2.3059,-3.3018,-5.07389999999999,-5.2136,-2.3514,-6.1332,-6.1277,-3.1768,0.0812999999999988,1.5487
